map_id,journey_id,process_step,actor,route,screen_ui,rule_ids,trace_ids,positive_acceptance,negative_boundary_acceptance,offline_degraded_acceptance,verdict,release_gate
PLN-SPA-011,PLN-J11,Publish visit or batch,Planner,/planning/bulk/review,Publish and receipts,PLN-R04;PLN-R10,PLN-TR-018;PLN-TR-019;PLN-TR-020;PLN-TR-021;PLN-TR-022;PLN-TR-023;PLN-TR-050,"Per-target atomic publish and aggregate/per-row receipts reconcile","Forced failure rolls back target; partial batch explicit","Replay/idempotency and outbox degraded state",PARTIAL,"Transactional migration and probe"
PLN-SPA-012,PLN-J12,Lock published rule/package,Planner,/planning/visits/:id,Published configuration,PLN-R08,PLN-TR-039,"Published visit retains exact locked version","Client/default cannot override","Unavailable rule shown",PARTIAL,"Locked version proof"
PLN-SPA-013,PLN-J13,Reschedule window,Planner,/planning/visits/:id,New window and receipt,PLN-R03;PLN-R10,PLN-TR-008;PLN-TR-012;PLN-TR-051,"Window-changing reschedule at >=720h commits mutation/audit/outbox","719:59:59.999; stale window/version; changed replay; crossed cutoff deny","Delayed request uses process-time server transaction",MISSING,"Atomic reschedule engine"
PLN-SPA-014,PLN-J14,Explain cutoff,Planner,/planning/visits/:id,Asia/Riyadh cutoff message,PLN-R03,PLN-TR-009,"Exactly 720h accepted with receipt","Below 720h denied; client clock ignored","Server-time unavailable fails closed",MISSING,"Exact receipt and boundary evidence"
PLN-SPA-015,PLN-J15,Cancel visit,Planner,/planning/visits/:id,Cancel and optional note,PLN-R02;PLN-R03;PLN-R10,PLN-TR-003;PLN-TR-004;PLN-TR-005;PLN-TR-006;PLN-TR-007;PLN-TR-010;PLN-TR-011;PLN-TR-013;PLN-TR-014;PLN-TR-052,"Eligible cancellation >=720h; blank note allowed","Below cutoff/stale/ineligible denied; M04 unchanged","Delayed request evaluated when processed; replay receipt stable",MISSING,"Atomic cancellation engine"
PLN-SPA-016,PLN-J16,Reassign inspector,Supervisor pending,/planning/visits/:id,Reassign,PLN-R06,PLN-TR-030;PLN-TR-031;PLN-TR-032;PLN-TR-033,"No acceptance until Council capability ruling","Never apply 720h rule; own state/concurrency rules required","No offline assumption",GOVERNED-DECISION,"GATE-PLN-R06"
PLN-SPA-017,PLN-J17,Expire eligible not-started visit,System scheduler,/planning,Expired status/history,PLN-R07;PLN-R10,PLN-TR-034;PLN-TR-035;PLN-TR-036;PLN-TR-037,"Eligible published not-started row expires at p_as_of equal/after window_end including permitted immediate registered physical mode","Before end; returned; started; completed; cancelled; archived; unregistered pending all false","Late job records actual p_as_of; retry idempotent; delivery not overclaimed",MISSING,"Least-privilege scheduler and truth-table probe"
PLN-SPA-018,PLN-J18,View archived draft history,Authorized reader,/planning,Archived history,PLN-R01,PLN-TR-002,"Parent/children and prior versions queryable","No hard delete or restore","History failure truthful",MISSING,"Archival schema and read policy"
PLN-SPA-019,PLN-J19,Execute inspection under locked rule,Inspector,/execution,Inspection workspace/evidence,PLN-R08;PLN-R09;PLN-R10,PLN-TR-040;PLN-TR-041;PLN-TR-042;PLN-TR-044;PLN-TR-045;PLN-TR-046;PLN-TR-047;PLN-TR-048;PLN-TR-049;PLN-TR-053;PLN-TR-054;PLN-TR-055,"Inspection draft is distinct and evidence optional only when locked rule permits","Missing required evidence and cross-aggregate ID/state collision denied","Offline conflict explicit; provider delivery state separate",PARTIAL,"Execution regression and locked-rule evidence"
PLN-SPA-020,PLN-J20,Resolve unregistered entity to Senaei authority,External Senaei/Council,/factory-360,Source/provenance state,PLN-R05,PLN-TR-026,"Only verified contract may establish live identity","No permanent mock or manual-factory claim","Seeded/env-gated/not-configured/unavailable states truthful",GOVERNED-DECISION,"GATE-PLN-R05 and verified Senaei contract"
