Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Visit Planning-Planning,28,Configure Visit Details,MVP1-M01-027,AC-0027,[audit] Config fields validated as mandatory.,MATCH,"Matches ""planner completes all mandatory visit configuration fields."""
Visit Planning-Planning,29,Automatic Inspector Assignment,MVP1-M01-028,AC-0028,[audit] Auto-assign per configured round-robin strategy.,MATCH,"Matches ""all visits receive inspector assignments automatically."""
Visit Planning-Planning,30,Manual Inspector Assignment,MVP1-M01-029,AC-0029,[audit] Per-visit eligibility (pool) + same-window double-booking conflict validation.,MATCH,"Matches ""planner successfully assigns inspectors manually."""
Visit Planning-Planning,31,Review Visit Plan,MVP1-M01-030,AC-0030,"[audit] Summary + duplicate/mandatory validation, blockers surfaced.",MATCH,"Matches ""planner successfully reviews the Visit Plan before publishing."""
Visit Planning-Planning,32,Publish Visit Plan,MVP1-M01-031,AC-0031,"[audit] Publish: plan+per-visit IDs, assign, publish, notify, audit; status->published.",MATCH,"Matches ""Visit Plan is published successfully. Individual visits are created, assigned, audited and visible to inspectors."""
Visit Planning-Planning,33,Bulk Edit Visit Plan,MVP1-M01-032,AC-0032,"[audit] Bulk reschedule/reassign apply to selected child visits, audited.",MATCH,"Matches ""all selected visits are updated successfully."""
Visit Planning-Planning,34,Bulk Cancel Visits,MVP1-M01-033,AC-0033,"[audit] Bulk cancel with reason, notifies inspectors, audit.",MATCH,"Matches ""selected visits are successfully cancelled and inspectors are notified."""
Visit Planning-Planning,35,Select Single Planning,MVP1-M01-034,AC-0034,Single-visit wizard rendered + publish gate live-tested.,MATCH,"Matches ""Single Planning workspace opens successfully,"" and status is verified_live."
Visit Planning-Planning,36,Search Factory,MVP1-M01-035,AC-0035,CR/code factory search exercised in wizard.,MATCH,"Matches ""matching factory information is successfully retrieved,"" verified_live."
Visit Planning-Planning,37,Select Industrial License,MVP1-M01-036,AC-0036,[audit] License radio-select required before publish in wizard.,MATCH,"Matches ""planner successfully selects the intended Industrial License."""
Visit Planning-Planning,38,Retrieve Factory Profile,MVP1-M01-037,AC-0037,[audit] Factory identity (name/code/CR/city/risk) displayed on match.,MATCH,"Matches ""Factory profile is displayed successfully."""
Visit Planning-Planning,39,Verify Factory Location,MVP1-M01-038,AC-0038,[audit] GeoMap + planner lat/lng pin + confirm checkbox; saves planner pin when overridden.,MATCH,"Matches ""Verified location is successfully saved."""
Visit Planning-Planning,40,Configure Visit Details,MVP1-M01-039,AC-0039,[audit] Visit type/window/mode/package config validated.,MATCH,"Matches ""planner completes all required fields successfully."""
Visit Planning-Planning,41,Assign Inspector,MVP1-M01-040,AC-0040,[audit] Auto/manual assignment with in-window availability check.,MATCH,"Matches ""Visit is successfully assigned."""
Visit Planning-Planning,42,Review Single Visit,MVP1-M01-041,AC-0041,"[audit] Review validates duplicate/mandatory; blockers surfaced, entered work preserved.",MATCH,"Matches ""planner successfully reviews the visit."""
Visit Planning-Planning,43,Publish Single Visit,MVP1-M01-042,AC-0042,"[audit] Publish: visit ID, assign, notify, audit; planner pin persisted.",MATCH,"Assign+notify on publish supports ""available in the inspector's work queue."""
Visit Planning-Planning,44,Select Immediate Visit,MVP1-M01-043,AC-0043,[Codex live verification 2026-07-14] Immediate visit Planner/Inspector workspace verified in the focused live suite.,MATCH,"Matches ""Immediate Visit workspace opens successfully,"" verified_live."
Visit Planning-Planning,45,Search Existing Factory,MVP1-M01-044,AC-0044,[Codex live verification 2026-07-14] Registered factory search and identity-match blocker verified live.,MATCH,"Matches ""Factory information is successfully retrieved when available."""
Visit Planning-Planning,46,Manual Factory Information,MVP1-M01-045,AC-0045,[Codex live verification 2026-07-14] Minimum manual identity and generated-label provenance verified live.,MATCH,"Matches ""User can continue without a CR or Industrial License."""
Visit Planning-Planning,47,Capture Visit Location,MVP1-M01-046,AC-0046,[Codex live verification 2026-07-14] Blank-coordinate guard and Visit-level location provenance verified without master-coordinate overwrite.,MATCH,"Matches ""Visit location is successfully captured."""
Visit Planning-Planning,48,Configure Immediate Visit,MVP1-M01-047,AC-0047,[Codex live verification 2026-07-14] Planner window and Inspector start-now behavior verified live without an invented duration.,MATCH,"Matches ""Required information is successfully captured."""
Visit Planning-Planning,49,Assign Inspector,MVP1-M01-048,AC-0048,"[Codex live verification 2026-07-14] Eligibility, overlap serialization and Inspector self-assignment verified by the concurrent live test.",MATCH,"Matches ""Assigned inspector is successfully linked to the visit."""
Visit Planning-Planning,50,Review Immediate Visit,MVP1-M01-049,AC-0049,[Codex live verification 2026-07-14] Review/package/duplicate blockers and blocked-attempt audit verified live.,MATCH,"Matches ""planner successfully reviews the Immediate Visit before creation."""
Visit Planning-Planning,51,Create Immediate Visit,MVP1-M01-050,AC-0050,[Codex live verification 2026-07-14] Direct no-plan creation is atomic/idempotent and audit-complete in live concurrency tests.,MATCH,"Matches ""Immediate Visit is successfully created."""
Visit Planning-Planning,52,Start Immediate Inspection,MVP1-M01-051,AC-0051,[Codex live verification 2026-07-14] Inspector-created Visit enters the standard field start flow using the confirmed Visit location.,MATCH,"Matches ""Inspection starts successfully and the visit appears in the execution workspace."""
Visit Planning-Planning,53,Notify Assigned Inspector,MVP1-M01-052,AC-0052,[Codex live verification 2026-07-14] Planner notification truth and Inspector no-notification behavior verified live.,CONTRADICTION,"Source capability/criterion require the assigned inspector to receive the Immediate Visit in their work queue (implying notification); the ledger note explicitly states ""Inspector no-notification behavior,"" which is in direct semantic tension with the source wording unless ""no-notification"" refers only to a self-assigning inspector not needing a redundant alert to themselves -- this distinction is not stated and needs sponsor/Codex clarification."
