Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Visit Planning- Mangment,18,Visit Plan Details,MVP1-M02-017,AC-0069,[audit] plans/[id] drill-down lists every child visit with assignment.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,19,Assignment Overview,MVP1-M02-018,AC-0070,[audit] Workload view: per-inspector active visits by week + capacity bars.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,20,Visit Management Workspace,MVP1-M02-019,AC-0071,[audit] Planner workspace loads KPIs/filters/search/list/bulk actions.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,21,Planning KPI Summary,MVP1-M02-020,AC-0072,[audit] Planning KPIs computed and displayed (counts + register).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,22,Advanced Search,MVP1-M02-021,AC-0073,[audit] Search includes Plan/Campaign ID (bulk plan doubles as campaign key).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,23,Advanced Filters,MVP1-M02-022,AC-0074,[audit] Filters refresh list client-side over RLS-scoped page.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,24,Visit List,MVP1-M02-023,AC-0075,"[audit] Sort (window/factory) + row select + open (no group-by, minor).",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,25,View Visit Details,MVP1-M02-024,AC-0076,[audit] Detail shows factory/assignment/plan/location/timeline/attachments/versions.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,26,Edit Visit,MVP1-M02-025,AC-0077,"[audit] Editable fields validated, saved, audited via triggers.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,27,Reassign Inspector,MVP1-M02-026,AC-0078,[audit] Reassign: constrained eligible pool + pre-start guard + notify (no workload check).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,28,Reschedule Visit,MVP1-M02-027,AC-0079,"[audit] Reschedule validates dates + published/new state guard, updates window.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,29,Cancel Visit,MVP1-M02-028,AC-0080,"[audit] Cancel with reason, notify inspector, audit.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,30,Process Returned Visit,MVP1-M02-029,AC-0081,[audit] Return reason shown + editable fields allow corrections.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,31,Republish Visit,MVP1-M02-030,AC-0082,[Codex remediation 2026-07-15] Republish notification wiring and failure truth are covered by the shared adapter and focused CD-027 checks.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,32,Bulk Edit Visits,MVP1-M02-031,AC-0083,[audit] Bulk shared-field update (reschedule/reassign) across selected.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,33,Bulk Reassign,MVP1-M02-032,AC-0084,[audit] Bulk reassign updates assignments + notifies new inspector per row.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,34,Bulk Reschedule,MVP1-M02-033,AC-0085,[audit] Bulk reschedule validates window + updates selected.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,35,Bulk Cancel,MVP1-M02-034,AC-0086,[audit] Bulk cancel selected + notify inspectors.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,36,Visit Plan Details,MVP1-M02-035,AC-0087,"[audit] Plan register + drill-down: campaign info, progress, child stats.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,37,Campaign Progress,MVP1-M02-036,AC-0088,[audit] Per-plan progress buckets completed/published/returned/cancelled/expired + bar.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,38,Assignment Center,MVP1-M02-037,AC-0089,[audit] Relative utilization bars; no absolute threshold invented (honest ENG-05).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,39,Calendar View,MVP1-M02-038,AC-0090,[audit] CalendarBoard Day/Week/Month views in visit management.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,40,Map View,MVP1-M02-039,AC-0091,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] RLS-scoped Visit map, region filter, factory/Visit pins and list equivalent rendered through the planner persona against the live project on 2026-07-16.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,41,Conflict Validation Center,MVP1-M02-040,AC-0092,[audit] Duplicate/overlap/missing-location detected at publish; capacity relative (no threshold).,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,42,Notifications,MVP1-M02-041,AC-0093,[audit] Notifications for publish/return/cancel/reassign/reschedule/expiry all present.,NEEDS_REVIEW,"Source requires relevant users to receive notifications successfully; the ledger note confirms notification triggers are present, not delivery evidence."
Visit Planning- Mangment,43,Attachments,MVP1-M02-042,AC-0094,"[audit] Attachments upload/list/soft-remove, signed URLs, audit trigger.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,44,Internal Notes,MVP1-M02-043,AC-0095,"[audit] Notes add/edit guarded update (visits_update RLS), audited.",MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,45,Activity Timeline,MVP1-M02-044,AC-0096,[audit] audit_events records every activity chronologically; browser displays.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,46,Audit History,MVP1-M02-045,AC-0097,[audit] Audit trigger records before/after state on every data modification.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
Visit Planning- Mangment,47,Automatic Visit Expiry,MVP1-M02-046,AC-0098,[audit] expire RPC notifies planner (and inspector) on published→expired flip.,MATCH,Raw source criterion aligns with the mapped acceptance evidence; no semantic exception identified in this review.
