requirement_id,requirement_category,source_document,source_location,exact_requirement,business_rule,acceptance_criterion,api_endpoint,api_field,current_code_location,current_database_object,current_state,preservation_requirement,positive_delta,target_module,target_schema,target_route,target_component,integration_source,permission,implementation_status,functional_verification,evidence_reference,external_blocker,exception_reason,agent_owner,commit_sha,last_updated_at,process_id,screen_id,engine_id,cross_map_id,negative_path,evidence_id
F360-BR-011,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Timeline contains business events only.,Timeline contains business events only.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-017,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-012,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,One integration failure shall not block the entire page.,One integration failure shall not block the entire page.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-12,MVP1-M07-020,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-011
F360-LO-001,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,Factory 360 always displays one selected license.,Factory 360 always displays one selected license.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-003,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-LO-002,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,Changing the selected license refreshes all dependent sections.,Changing the selected license refreshes all dependent sections.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-003,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-LO-003,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,Compliance Rate is calculated from the latest approved inspection only.,Compliance Rate is calculated from the latest approved inspection only.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-LO-004,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,Returned and Rejected inspection reports do not contribute to Compliance Rate.,Returned and Rejected inspection reports do not contribute to Compliance Rate.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-LO-005,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,Risk Score is retrieved from the latest completed Risk Engine calculation.,Risk Score is retrieved from the latest completed Risk Engine calculation.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-12,MVP1-M07-014,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-LO-006,License Overview Rule,Factory_360_Specification_v2.0.docx,Page 4,AI explanation is derived only from Risk Engine factors.,AI explanation is derived only from Risk Engine factors.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-12,MVP1-M07-015,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-005
F360-CR-001,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Only submitted inspection reports are displayed.,Only submitted inspection reports are displayed.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-08;ENG-09;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-002,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,The list displays the latest version of each inspection.,The list displays the latest version of each inspection.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-08;ENG-09;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-003,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Opening an inspection displays its complete version history.,Opening an inspection displays its complete version history.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-08;ENG-09;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-004,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Only Approved inspections contribute to Compliance Rate and Compliance Trend.,Only Approved inspections contribute to Compliance Rate and Compliance Trend.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-08;ENG-09;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-005,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Returned and Rejected inspections remain visible for audit purposes.,Returned and Rejected inspections remain visible for audit purposes.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-08;ENG-09;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-006,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Every violation belongs to one approved inspection.,Every violation belongs to one approved inspection.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-08;ENG-09;ENG-12,MVP1-M07-012,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-007,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,One violation may have only one active penalty.,One violation may have only one active penalty.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-08;ENG-09;ENG-12,MVP1-M07-012,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-CR-008,Compliance Rule,Factory_360_Specification_v2.0.docx,Page 6,Historical violations are never deleted.,Historical violations are never deleted.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-08;ENG-09;ENG-12,MVP1-M07-012,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-006
F360-II-001,Industrial Information Rule,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information data is synchronized from Senaei only.,Industrial Information data is synchronized from Senaei only.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-006;MVP1-M07-007;MVP1-M07-008;MVP1-M07-009,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-007
F360-II-002,Industrial Information Rule,Factory_360_Specification_v2.0.docx,Page 7,Users cannot modify industrial information.,Users cannot modify industrial information.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-019,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-007
F360-II-003,Industrial Information Rule,Factory_360_Specification_v2.0.docx,Page 7,"Historical products, machines and raw materials remain visible when supported by source data.","Historical products, machines and raw materials remain visible when supported by source data.",,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-006;MVP1-M07-007,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-007
F360-II-004,Industrial Information Rule,Factory_360_Specification_v2.0.docx,Page 7,Empty industrial sections display an informational empty state rather than an error.,Empty industrial sections display an informational empty state rather than an error.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-020,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-007
F360-GI-001,Government Information Rule,Factory_360_Specification_v2.0.docx,Page 8,Pending services shall not appear in Factory 360.,Pending services shall not appear in Factory 360.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-001,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-008
F360-GI-002,Government Information Rule,Factory_360_Specification_v2.0.docx,Page 8,Expired approvals remain available as historical information.,Expired approvals remain available as historical information.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-017,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-008
F360-GI-003,Government Information Rule,Factory_360_Specification_v2.0.docx,Page 8,Government information is read-only.,Government information is read-only.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-019,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-008
F360-DOC-001,Document Rule,Factory_360_Specification_v2.0.docx,Page 8,Documents are grouped by business category.,Documents are grouped by business category.,,,,,,DISCOVERED,,,,,,,,view_factory_documents,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-07;ENG-12,MVP1-M07-016,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-009
F360-DOC-002,Document Rule,Factory_360_Specification_v2.0.docx,Page 8,Inspection evidence is never merged into the official factory gallery.,Inspection evidence is never merged into the official factory gallery.,,,,,,DISCOVERED,,,,,,,,view_factory_documents,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-07;ENG-12,MVP1-M07-016,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-009
F360-DOC-003,Document Rule,Factory_360_Specification_v2.0.docx,Page 8,Upload is not supported from Factory 360.,Upload is not supported from Factory 360.,,,,,,DISCOVERED,,,,,,,,view_factory_360,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-07;ENG-12,MVP1-M07-019,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-009
F360-DOC-004,Document Rule,Factory_360_Specification_v2.0.docx,Page 8,Download is permission-based.,Download is permission-based.,,,,,,DISCOVERED,,,,,,,,download_factory_documents,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-07;ENG-12,MVP1-M07-016;MVP1-M07-019,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-009
F360-DOC-005,Document Rule,Factory_360_Specification_v2.0.docx,Page 8,Missing documents display a friendly empty state.,Missing documents display a friendly empty state.,,,,,,DISCOVERED,,,,,,,,view_factory_documents,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-07;ENG-12,MVP1-M07-020,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-009
F360-AC-001,Acceptance Criterion,Factory_360_Specification_v2.0.docx,Page 5,Selected license information loads within the Factory 360 context.,,Selected license information loads within the Factory 360 context.,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,F360 source acceptance,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-AC-002,Acceptance Criterion,Factory_360_Specification_v2.0.docx,Page 5,Changing license refreshes all sections without leaving the page.,,Changing license refreshes all sections without leaving the page.,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,F360 source acceptance,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-AC-003,Acceptance Criterion,Factory_360_Specification_v2.0.docx,Page 5,Compliance Rate displays 'Not Available' when no approved inspection exists.,,Compliance Rate displays 'Not Available' when no approved inspection exists.,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,F360 source acceptance,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-AC-004,Acceptance Criterion,Factory_360_Specification_v2.0.docx,Page 5,Risk explanation is traceable to Risk Engine variables.,,Risk explanation is traceable to Risk Engine variables.,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,F360 source acceptance,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-AC-005,Acceptance Criterion,Factory_360_Specification_v2.0.docx,Page 5,Users cannot edit any license or factory profile information.,,Users cannot edit any license or factory profile information.,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,F360 source acceptance,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
