dictionary_id,source_document,source_page,category,field,data_type,source_system,business_rule,api_mapping,status,notes
F360-DICT-013,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Total Licenses,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-014,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Active Licenses,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-015,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Expired Licenses,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-016,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Suspended Licenses,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-017,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Highest Risk License,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-018,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Total Approved Inspections,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-019,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Total Open Violations,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-020,Factory_360_Specification_v2.0.docx,Page 3,CR Overview / Portfolio Summary,Total Active Penalties,TO_BE_CONFIRMED,Inspection Platform;Senaei;Risk Engine,Aggregates only; no CR-level risk or compliance,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-021,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,License Number,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,Task Show:$.data.license.license_number,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-022,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Plant Number,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,Task Show:$.data.visit.plant.plant_number,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-023,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,License Type,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,Task Show:$.data.license.license_type,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-024,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Stage,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,Task Show:$.data.visit.plant.state,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-025,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Status,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,Task Show:$.data.license.status,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-026,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Issue Date,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-027,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Expiry Date,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-028,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Risk Score,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-029,Factory_360_Specification_v2.0.docx,Pages 3-4,License Overview,Compliance Rate,TO_BE_CONFIRMED,Senaei;Risk Engine;Inspection Platform,Latest selected license; latest approved compliance only,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-030,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Factory Name,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.plant.commercial_entity.name_en/name_ar,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-031,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Region,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.region,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-032,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,City,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.city,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-033,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Address,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.plant.address,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-034,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Coordinates,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.plant.address.latitude/longitude,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-035,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Sector,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-036,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Activity,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,Task Show:$.data.visit.plant.main_activity_code_l2/l4,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-037,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Contact Information,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-038,Factory_360_Specification_v2.0.docx,Page 4,Factory Profile,Factory Images,TO_BE_CONFIRMED,Senaei;Inspection Platform,Read-only selected plant profile,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-039,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Compliance Rate,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-040,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Risk Trend,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-041,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Compliance Trend,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-042,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Inspection Reports,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-043,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Violations,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-044,Factory_360_Specification_v2.0.docx,Page 5,Compliance Dashboard,Penalties,TO_BE_CONFIRMED,Inspection Platform;Risk Engine,Regulatory outcomes only; no visits,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-045,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Inspection No.,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-046,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Inspection Type,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-047,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Inspection Date,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-048,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Status,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-049,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Inspector,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-050,Factory_360_Specification_v2.0.docx,Pages 5-6,Inspection Reports,Compliance Result,TO_BE_CONFIRMED,Inspection Platform,Latest submitted version; full version history,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-051,Factory_360_Specification_v2.0.docx,Page 6,Violations,Violation,TO_BE_CONFIRMED,Inspection Platform,Approved inspection lineage; history retained,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-052,Factory_360_Specification_v2.0.docx,Page 6,Violations,Severity,TO_BE_CONFIRMED,Inspection Platform,Approved inspection lineage; history retained,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-053,Factory_360_Specification_v2.0.docx,Page 6,Violations,Status,TO_BE_CONFIRMED,Inspection Platform,Approved inspection lineage; history retained,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-054,Factory_360_Specification_v2.0.docx,Page 6,Violations,Corrective Action,TO_BE_CONFIRMED,Inspection Platform,Approved inspection lineage; history retained,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-055,Factory_360_Specification_v2.0.docx,Page 6,Violations,Grace Period,TO_BE_CONFIRMED,Inspection Platform,Approved inspection lineage; history retained,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-056,Factory_360_Specification_v2.0.docx,Page 6,Penalties,Penalty Type,TO_BE_CONFIRMED,Inspection Platform,At most one active penalty per violation,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-057,Factory_360_Specification_v2.0.docx,Page 6,Penalties,Status,TO_BE_CONFIRMED,Inspection Platform,At most one active penalty per violation,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-058,Factory_360_Specification_v2.0.docx,Page 6,Penalties,Effective Date,TO_BE_CONFIRMED,Inspection Platform,At most one active penalty per violation,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-059,Factory_360_Specification_v2.0.docx,Page 6,Penalties,End Date,TO_BE_CONFIRMED,Inspection Platform,At most one active penalty per violation,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-060,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Products,Product Name,TO_BE_CONFIRMED,Senaei,Display all licensed products,Production Line:$.data[].product.name_en/name_ar,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-061,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Products,HS Code,TO_BE_CONFIRMED,Senaei,Display all licensed products,Production Line:$.data[].product.hs_code,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-062,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Products,Capacity,TO_BE_CONFIRMED,Senaei,Display all licensed products,Production Line:$.data[].maximum_production,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-063,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Products,Status,TO_BE_CONFIRMED,Senaei,Display all licensed products,Production Line:$.data[].product.active,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-064,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Machines,Machine,TO_BE_CONFIRMED,Senaei,Display active and historical machines,Production Line:type=machine,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-065,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Machines,Type,TO_BE_CONFIRMED,Senaei,Display active and historical machines,Production Line:type=machine,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-066,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Machines,Capacity,TO_BE_CONFIRMED,Senaei,Display active and historical machines,Production Line:$.data[].maximum_production,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-067,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Machines,Status,TO_BE_CONFIRMED,Senaei,Display active and historical machines,Production Line:$.data[].deleted_at,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-068,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Raw Materials,Material,TO_BE_CONFIRMED,Senaei,Display configured materials,Production Line:type=raw-material,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-069,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Raw Materials,HS Code,TO_BE_CONFIRMED,Senaei,Display configured materials,Production Line:$.data[].product.hs_code,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-070,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Raw Materials,Country,TO_BE_CONFIRMED,Senaei,Display configured materials,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-071,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Employees,Total Employees,TO_BE_CONFIRMED,Senaei,Latest synchronized value,Submit Inspection observed workforce fields; master endpoint not documented,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-072,Factory_360_Specification_v2.0.docx,Page 7,Industrial Information / Production,Production Information,TO_BE_CONFIRMED,Senaei,Read-only,Production Line endpoint; Submit Inspection immutable observed snapshot,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-073,Factory_360_Specification_v2.0.docx,Pages 7-8,Government Information,Land Provider,TO_BE_CONFIRMED,Senaei,Approved/expired history only; pending/returned/rejected excluded,Task Show:$.data.visit.plant.land_provider,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-074,Factory_360_Specification_v2.0.docx,Pages 7-8,Government Information,Chemical Permit,TO_BE_CONFIRMED,Senaei,Approved/expired history only; pending/returned/rejected excluded,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-075,Factory_360_Specification_v2.0.docx,Pages 7-8,Government Information,Customs Exemption,TO_BE_CONFIRMED,Senaei,Approved/expired history only; pending/returned/rejected excluded,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-076,Factory_360_Specification_v2.0.docx,Pages 7-8,Government Information,Approved Incentives,TO_BE_CONFIRMED,Senaei,Approved/expired history only; pending/returned/rejected excluded,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-077,Factory_360_Specification_v2.0.docx,Pages 7-8,Government Information,Approved Services,TO_BE_CONFIRMED,Senaei,Approved/expired history only; pending/returned/rejected excluded,NOT_DOCUMENTED,BLOCKED_EXTERNAL,Provider field or endpoint is not documented; no type or value was invented.
F360-DICT-078,Factory_360_Specification_v2.0.docx,Page 8,Documents & Images,License Documents,TO_BE_CONFIRMED,Senaei;Inspection Platform,Grouped by business category; permission-filtered,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-079,Factory_360_Specification_v2.0.docx,Page 8,Documents & Images,Permits,TO_BE_CONFIRMED,Senaei;Inspection Platform,Grouped by business category; permission-filtered,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-080,Factory_360_Specification_v2.0.docx,Page 8,Documents & Images,Inspection Reports,TO_BE_CONFIRMED,Senaei;Inspection Platform,Grouped by business category; permission-filtered,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-081,Factory_360_Specification_v2.0.docx,Page 8,Documents & Images,Evidence,TO_BE_CONFIRMED,Senaei;Inspection Platform,Grouped by business category; permission-filtered,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-082,Factory_360_Specification_v2.0.docx,Page 8,Documents & Images,Factory Images,TO_BE_CONFIRMED,Senaei;Inspection Platform,Grouped by business category; permission-filtered,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-083,Factory_360_Specification_v2.0.docx,Page 4,Factory Image Groups,Official Factory Images,TO_BE_CONFIRMED,Senaei;Inspection Platform,Inspection evidence remains linked and never merges into official gallery,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-084,Factory_360_Specification_v2.0.docx,Page 4,Factory Image Groups,Factory Profile Images,TO_BE_CONFIRMED,Senaei;Inspection Platform,Inspection evidence remains linked and never merges into official gallery,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-085,Factory_360_Specification_v2.0.docx,Page 4,Factory Image Groups,Inspection Evidence,TO_BE_CONFIRMED,Senaei;Inspection Platform,Inspection evidence remains linked and never merges into official gallery,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-086,Factory_360_Specification_v2.0.docx,Page 4,Factory Image Groups,Arrival Evidence,TO_BE_CONFIRMED,Senaei;Inspection Platform,Inspection evidence remains linked and never merges into official gallery,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
F360-DICT-087,Factory_360_Specification_v2.0.docx,Page 4,Factory Image Groups,Violation Evidence,TO_BE_CONFIRMED,Senaei;Inspection Platform,Inspection evidence remains linked and never merges into official gallery,NOT_DOCUMENTED,DATA_COMPLETE,Normalized storage or governed internal source is implemented; ambiguous provider payload remains retained in the immutable raw snapshot.
