mapping_id,endpoint_id,provider_family,direction,external_field_path,external_type,required_optional,enum_or_validation,canonical_entity,canonical_field,disposition,transformation,persistence_rule,history_version_rule,web_consumer,ipad_consumer,offline_inclusion,status,evidence
F360-XPC-MAP-0011,INSP-API-001,Inspection API,response,$.user.national_id,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0012,INSP-API-001,Inspection API,response,$.user.email,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0013,INSP-API-001,Inspection API,response,$.user.mobile,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0014,INSP-API-001,Inspection API,response,$.user.entity,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0015,INSP-API-001,Inspection API,response,$.user.date_of_birth,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0016,INSP-API-001,Inspection API,response,$.user.language,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0017,INSP-API-001,Inspection API,response,$.user.email_verified_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0018,INSP-API-001,Inspection API,response,$.user.mobile_verified_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0019,INSP-API-001,Inspection API,response,$.user.blocked_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0020,INSP-API-001,Inspection API,response,$.user.disabled_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0021,INSP-API-001,Inspection API,response,$.user.created_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0022,INSP-API-001,Inspection API,response,$.user.updated_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0023,INSP-API-001,Inspection API,response,$.user.last_login_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0024,INSP-API-001,Inspection API,response,$.user.ndb_synched_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0025,INSP-API-001,Inspection API,response,$.user.ndb_last_ops_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0026,INSP-API-002,Inspection API,response,$.success,bool,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0027,INSP-API-002,Inspection API,response,$.message,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0028,INSP-API-003,Inspection API,response,$.user,dict,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0029,INSP-API-003,Inspection API,response,$.user.id,str,NOT_DOCUMENTED,NOT_DOCUMENTED,external_id,external_id,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Retain provider ID with source and version metadata.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0030,INSP-API-003,Inspection API,response,$.user.old_id,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,external_id,external_id,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Retain provider ID with source and version metadata.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0031,INSP-API-003,Inspection API,response,$.user.username,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0032,INSP-API-003,Inspection API,response,$.user.first_name,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0033,INSP-API-003,Inspection API,response,$.user.last_name,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0034,INSP-API-003,Inspection API,response,$.user.national_id,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0035,INSP-API-003,Inspection API,response,$.user.email,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0036,INSP-API-003,Inspection API,response,$.user.mobile,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0037,INSP-API-003,Inspection API,response,$.user.entity,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0038,INSP-API-003,Inspection API,response,$.user.date_of_birth,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0039,INSP-API-003,Inspection API,response,$.user.language,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0040,INSP-API-003,Inspection API,response,$.user.email_verified_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0041,INSP-API-003,Inspection API,response,$.user.mobile_verified_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0042,INSP-API-003,Inspection API,response,$.user.blocked_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0043,INSP-API-003,Inspection API,response,$.user.disabled_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0044,INSP-API-003,Inspection API,response,$.user.created_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0045,INSP-API-003,Inspection API,response,$.user.updated_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0046,INSP-API-003,Inspection API,response,$.user.last_login_at,str,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_user_profile,restricted_user_profile,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Identity profile is not Factory 360 business master data.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0047,INSP-API-003,Inspection API,response,$.user.ndb_synched_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0048,INSP-API-003,Inspection API,response,$.user.ndb_last_ops_at,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,source_timestamp,source_timestamp,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Preserve as provider timestamp; do not overwrite platform audit time.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0049,INSP-API-004,Inspection API,request,email,text,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0050,INSP-API-004,Inspection API,response,$.success,bool,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0051,INSP-API-004,Inspection API,response,$.message,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0052,INSP-API-005,Inspection API,request,email,text,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0053,INSP-API-005,Inspection API,request,code,text,NOT_DOCUMENTED,NOT_DOCUMENTED,none,none,TRANSIENT_REQUEST_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Validated only at the server-side request boundary.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,NOT_APPLICABLE,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
