acceptance_id,requirement_id,journey,expected_result,data_precondition,implementation_status,functional_result,evidence_reference,commit_sha,notes
AC-0423,MVP1-M07-014,F360-JRN-014,Factory Health Score implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0424,MVP1-M07-015,F360-JRN-015,Risk Profile implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0425,MVP1-M07-016,F360-JRN-016,Documents & Evidence implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0426,MVP1-M07-017,F360-JRN-017,Factory Timeline implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0427,MVP1-M07-018,F360-JRN-018,Factory Card Link implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0428,MVP1-M07-019,F360-JRN-019,Access Control implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
AC-0429,MVP1-M07-020,F360-JRN-020,Error Handling implements the accepted Factory 360 behavior without regression.,Authorized scoped factory and source-backed data or an explicit unavailable fixture.,FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract and protected regression verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-001,F360-AC-001,F360-JRN-001,Selected license information loads within the Factory 360 context.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-002,F360-AC-002,F360-JRN-002,Changing license refreshes all sections without leaving the page.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-003,F360-AC-003,F360-JRN-003,Compliance Rate displays 'Not Available' when no approved inspection exists.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-004,F360-AC-004,F360-JRN-004,Risk explanation is traceable to Risk Engine variables.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-005,F360-AC-005,F360-JRN-005,Users cannot edit any license or factory profile information.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-006,F360-AC-006,F360-JRN-006,Only authorized users can create inspections or export information.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-007,F360-AC-007,F360-JRN-007,Only inspection reports associated with the selected license are displayed.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-008,F360-AC-008,F360-JRN-008,Visits are not displayed anywhere within Compliance.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-009,F360-AC-009,F360-JRN-009,Compliance Rate matches the approved inspection calculation.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-010,F360-AC-010,F360-JRN-010,Risk Trend reflects Risk Engine history.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-011,F360-AC-011,F360-JRN-011,Users cannot modify compliance information from Factory 360.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-012,F360-AC-012,F360-JRN-012,Industrial information matches Senaei.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",BLOCKED_EXTERNAL,PROVIDER_CONTRACT_OR_LIVE_CONNECTIVITY_NOT_SUPPLIED,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,"Blocked pending approved Senaei configuration, credentials and live equivalence evidence."
F360-AC-013,F360-AC-013,F360-JRN-013,Only approved and expired services and incentives are displayed.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",BLOCKED_EXTERNAL,PROVIDER_CONTRACT_OR_LIVE_CONNECTIVITY_NOT_SUPPLIED,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Blocked because the services and incentives endpoint contract was not supplied.
F360-AC-014,F360-AC-014,F360-JRN-014,Inspection evidence remains linked to inspections.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-015,F360-AC-015,F360-JRN-015,Documents are grouped correctly.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
F360-AC-016,F360-AC-016,F360-JRN-016,No editing capability exists within Factory 360.,"Authorized selected CR/license/plant fixture with source, history, and permission variants.",FUNCTIONALLY_VERIFIED,STATIC_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,a92dd9f49e7df50af606ed16881c09954161c528,Static contract verified; sponsor authenticated runtime acceptance remains pending.
