finding_id,severity,module,screen,node_id,user_task,finding_category,visible_evidence,user_impact,mental_model_impact,required_correction,jira,status,verification_method
CFX-015,MAJOR/P1,Inspector field capture,"Domain: Inspection — 17 component sets (SignatureBlock, SignatureParty, SignaturePad, ConflictList, AttendeeRow, PermissionState, ConflictCompareRow, AttendanceList, SignatureAudit, ConnectivityBanner, SyncQueueRow, SyncQueueSummary, ConflictChoice, OfflineDownload, AccessState, OfflineNotice, Weight)","450:61292, 450:60552, 440:53742 (+560)",Capture evidence / sign / resolve sync conflict,typography / design-system compliance,"563 visible text nodes set in Inter — not in the ramp. 902 of 1647 visible nodes (55%) have no text style bound. Inter sizes (13/11.5/14/15/12/17) exactly match ramp sizes, so metrics are right and only the binding is missing.",Evidence and signature components render in a different typeface from the report they belong to,Typeface is a primary signal of system membership; signature block reads as pasted in,"Bind to existing styles by size; do not change any size or weight",INSP-783,OPEN,Font census + textStyleId census over visible nodes
CFX-016,MAJOR/P1,Shared — all scope-refused screens,State page — saqeel-state--rls-denied (179:12964),179:12968 / 179:12973,Understand why a screen is empty and what to do,clipping + content design,"Body text 432px inside 344px clipping container. Renders as ""Ask a security to widen your data scope"" — the word administrator is deleted mid-sentence. Also uses ""Row-level security"", a Postgres mechanism, as product copy.",Canonical refusal state gives neither a coherent sentence nor an actionable next step,Teaches the system's access model instead of the user's,"Unclip (hug or wrap); rewrite to match sibling saqeel-state--unauthorized which already does it right",INSP-784,OPEN,Rendered the component and read it — a pure overflow count misses this because the sentence still looks finished
CFX-017,MAJOR/P1,All,Screen content — 6 RBAC refusal panels x 4 locale/theme variants,"50:1654, 50:1800 (+22)",Understand an access refusal,non-product content,"24 nodes read: ""Administration routes are guarded by the admin role family (security_admin / compliance_admin / risk_owner / form_admin / workflow_admin) in shell-navigation.ts. A Planner reaches the destination and is refused at the boundary.""",User is shown a source file path and five code identifiers,Product narrates its own routing implementation to the user,"Remove the file path and code identifiers unconditionally; rewrite to what happened + next action",INSP-755 (commented),OPEN,Full-text scan of 2666 visible nodes on Screen content
CFX-018,STOP-SHIP/P0 (root cause),Planning / Visit Management,Table component page — master Table cell,"71:3, 71:7 (+4)",Any table scan,table clipping at source,Master Table cell clips its own label by 8px in the canonical component — 6 nodes. Explains the otherwise anomalous 12-20px tr overflow at full 1280 width.,Every table built from this component inherits the defect,Table unreliable by construction not just under responsive pressure,Fix Table cell at component level first then re-measure 1280 before touching narrower frames,INSP-776 (commented),OPEN,Component page scan
CFX-019,MODERATE/P2,Shared,Map component page (14:157),map-panel / map-marker / map-cluster / map-legend / MapPanel,Read a map,design-system compliance,0 of 11 text nodes have a bound text style (100% unstyled) on the canonical map components,Map chrome drifts from the type system,Map reads as a separate artefact,Bind map component text to the ramp,NOT YET FILED,OPEN - map state coverage not yet verified; do not claim a state gap without rendering,Text style census
CFX-020,MINOR/P3,Shared,Nav & Chrome (13:49),"20:28, 20:31",Navigate,clipping / off-ramp type,nav-item clips the chevron by 8px (4 nodes); 2 nodes at 10px and 10.5px are below the ramp minimum of 11.5px,Minor chrome defect,none material,Hug the nav-item; move off-ramp sizes onto the ramp,NOT YET FILED,OPEN,Component page scan
CFX-021,STOP-SHIP/P0,Shared,Overlay component page — dialog (15:30),14:5,Decide whether to proceed with an irreversible action,clipping / destructive confirmation,"Body text 519px inside 360px clipping frame. Renders ""This visit will move to the selected inspector. This cannot b"" — the clause ""This cannot be undone once acknowledged."" is cut mid-word.",User confirms an irreversible action without ever seeing that it is irreversible,Confirmation dialog is a contract; truncating the consequence breaks it while still looking complete,"Body text FILL + textAutoResize HEIGHT; dialog hug vertically; never shorten the warning or shrink type",INSP-785,OPEN,Rendered the component at 2x and read the string
CFX-022,MAJOR/P1,Shared forms,Panel & KPI — Field (241:38648),I241:38648;171:5 / I241:38648;171:4,Know which fields are required,clipping / forms,"label container 280px clips; label text 291px (11px cut) and the required asterisk sits 20px beyond the edge and does not render at all",User cannot tell a mandatory field is mandatory,Asterisk convention is not degraded but inverted — field reads as optional,Hug or wrap the label and keep the required marker inside the content box,INSP-788,OPEN,Rendered
CFX-023,MAJOR/P1,Shared forms,Form Controls — filter-chip (72:6736) and seg-opt,"70:8, 72:6733, 70:5, 70:3, 72:6738",Read an active filter,clipping at component source,"filter-chip master renders ""Filte"" in all 3 variants (8px); seg-opt clips ""Option"" 3-4px",Any new chip built from the master reproduces the defect,Filter chip stops being a state indicator,Hug the label — same fix already applied to the Planning screens,INSP-788 (root cause of INSP-777),OPEN,Rendered
CFX-024,MAJOR/P1,Shared forms,Form Controls — Input (9:66),"9:57, 9:59, 9:61, 9:63, 9:65",Enter a value,placeholder content at component source,"Master carries literal ""Placeholder text"" in all 5 states (Default/Hover/Focus/Disabled/Error) — the source of the 8 inherited instances on Screen content",Non-word shown where an input hint belongs,Design reads as a mock,Replace with a real hint or nothing; use helper text where guidance is needed,INSP-788 (root cause of INSP-754),OPEN,Rendered
CFX-025,MODERATE/P2,All,Component library — text style binding,n/a (aggregate),Any,design-system compliance,"Text style binding by page: Alert 100%, State 100%, Table 94%, Progress 94%, Nav 86%, Panel&KPI 85%, Badge 83%, Overlay 80%, Identity 71%, Form Controls 70%, Domain: Inspection 45%, Button 1.4% (1 of 73), Map 0% (0 of 11)",Two components carry nearly all the risk: Button and Map,Most-used component in the product is almost entirely off the ramp,"Bind Button and Map component text to the ramp first; they are the outliers, the rest of the library is broadly compliant",NOT YET FILED,OPEN,textStyleId census across all 13 component pages
CFX-026,MINOR/P3,All,Icons page (73:2),n/a,Any,design-system consistency,"146 icon components with zero duplicate names (good), but six distinct icon sizes in use: 24x24 (37), 20x20 (14), 18x18 (10), 14x14 (2), 16x16 (1), 15x15 (1)",Inconsistent optical sizing across the icon set,Minor,"Consolidate to the 2-3 sizes the ramp needs; the 15x15 and 16x16 singletons are almost certainly accidents",NOT YET FILED,OPEN,Component size histogram
CFX-027,MAJOR/P1,"Inspector field, Admin",SCR-FLD-610 / SCR-FLD-600 / SCR-ADM-001 / SCR-ADM-040,"709:386, 709:389, 683:57, 860:39299",Read the interface,accessibility / contrast,"~115 nodes with unbound raw #000000 on tokenised dark surfaces. #000000 on #191d22 = 1.24:1; on #101317 = 1.13:1. Admin: 25 nodes raw on accent-soft = 1.27:1",Primary content is invisible not merely low-contrast,Dark theme silently loses its content,Bind every unbound text fill to a text token,INSP-792,FIXED IN FIGMA 2026-08-05 - 259 fills bound to text-primary across Dark+Light+AR (115 failing + 144 preventive); rescan 149->34; 3 nodes guarded-skipped to avoid creating root-cause-2; rendered and read,"Mode-aware scan + 2x visual render. NOTE: diagnosis corrected - Light siblings carry the same unbound black, so this was never a dark-theme-only defect"
CFX-028,MAJOR/P1,Build sections / Planning / Inspector,"BUILD Visit Statement, Planning Calendar, SCR-IPAD-630","716:44, 532:79597, I337:44910;317:64",Read the interface,accessibility / contrast,"~30 nodes where a Dark text token falls through to a raw WHITE ancestor. text-primary Dark on white = 1.10:1; text-muted Dark on white = 2.64:1",Near-white text on white,Container never received its surface token,Give the affected frames their surface-* fill,INSP-792,OPEN,Mode-aware scan
CFX-029,MAJOR/P1,All,Color token collection,text-disabled / text-muted / text-secondary,Any,design-system semantic inversion,"text-disabled 7.91:1 Light and 9.74:1 Dark on surface-primary — STRONGER than text-secondary (7.74/8.06) and text-muted (5.83/6.41)",A disabled control draws more attention than the live supporting text beside it,Token name promises de-emphasis; value delivers emphasis,Re-value text-disabled to be the weakest token in the ramp in both modes,INSP-792,OPEN,Computed from resolved variable values
CFX-030,MODERATE/P2,Analytics,All chart surfaces,chart-label token,Read a chart,accessibility / contrast,chart-label fails 4.5:1 on 4 of 5 Light surfaces (3.83-4.48:1) and 2 Dark surfaces,Axis and series labels below threshold on every analytics screen,Charts read as decorative,Raise chart-label to meet 4.5:1 on surface-canvas and surface-sunken,INSP-792,OPEN,Token pair computation
CFX-031,MODERATE/P2,Shared,Navigation and borders,"nav-indicator, border-strong, border-subtle",Perceive selected state and control boundaries,accessibility / non-text contrast,"nav-indicator 2.67:1 Light (marks selected nav item = meaningful state); border-strong 2.49/2.68:1; border-subtle 1.37/1.52:1",Selected navigation state below the 3:1 non-text threshold,Selection becomes a colour hint rather than a state,"Raise nav-indicator to 3:1; judge border-subtle by usage - exempt on decorative dividers, border-input already handles inputs correctly",INSP-792,OPEN,Token pair computation
