source_item,source_kind,classification,web_figma_node,journey,persona,repo_route,route_decision,jira,responsive_states
Summons/Violation/Incident/Sample/Facility/NCPD report defs (30 defs),component,OBSOLETE — duplicates,collapsed into the records flow,Records flow,Inspector,/field/summons-notices,PENDING,INSP-558/563/568/573/578/583,component-level
Frame 1984078811 / 1984078775 / 1984078776 (3 defs),component,OBSOLETE,n/a — not delivered,n/a,Inspector,n/a,SETTLED — auto-named,n/a,component-level
Task Cards Test (1),component,OBSOLETE,n/a — not delivered,n/a,Inspector,n/a,SETTLED — test artefact,n/a,component-level
SCR-IPAD-600 state frames (3),state,REFERENCE-ONLY,311:41750 (reference),Assigned visits,Inspector,/field/my-tasks,PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-610 state frames (4),state,REFERENCE-ONLY,311:41750 (reference),Startup pack,Inspector,/field/[visitId],PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-620 state frames (4),state,REFERENCE-ONLY,311:41750 (reference),Journey,Inspector,/field/[visitId]/travel,PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-630 state frames (3),state,REFERENCE-ONLY,311:41750 (reference),Item list,Inspector,/field/inspection/[id],PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-640 state frames (4),state,REFERENCE-ONLY,311:41750 (reference),Evidence,Inspector,/field/inspection/[id],PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-650 state frames (3),state,REFERENCE-ONLY,311:41750 (reference),Findings,Inspector,/field/inspection/[id]/results,PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-660 state frames (3),state,REFERENCE-ONLY,311:41750 (reference),Pre-submit,Inspector,/field/inspection/[id]/statement,PENDING — state names are input to canonical Web states,GAP,reference — 834 only
SCR-IPAD-670 state frames (3),state,REFERENCE-ONLY,311:41750 (reference),Returned,Inspector,/field/drafts,PENDING — state names are input to canonical Web states,GAP,reference — 834 only
Establishments states (3),state,MIGRATE,338:41915 / 338:41966 / 338:42016,Establishment list,Inspector,/field/establishments,KEEP,INSP-588,1280/1024/834/680 clean
