requirement_id,screen_id,score,tier,classification,module,had_module_signal
REQ-R0C-00141,SCR-WEB-120,8,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00142,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00143,SCR-WEB-130,10,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00144,SCR-WEB-130,14,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00145,SCR-WEB-130,2,WEAK,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00146,SCR-WEB-120,11,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00147,SCR-WEB-130,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00148,SCR-WEB-130,14,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00150,SCR-WEB-130,10,STRONG,DATA_REQUIREMENT,"visit planning-planning",True
REQ-R0C-00151,SCR-WEB-140,10,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00152,SCR-WEB-140,8,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00153,SCR-WEB-130,7,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00154,SCR-WEB-120,16,STRONG,USER_ACTION,"visit planning-planning",True
REQ-R0C-00155,SCR-WEB-150,6,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00156,SCR-WEB-150,9,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00157,SCR-WEB-130,12,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00158,SCR-WEB-130,12,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00159,SCR-WEB-100,2,WEAK,USER_ACTION,"visit planning-planning",True
REQ-R0C-00160,SCR-WEB-210,9,STRONG,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00161,SCR-WEB-130,13,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00162,SCR-WEB-200,2,WEAK,SYSTEM_BEHAVIOR,"visit planning-planning",True
REQ-R0C-00163,SCR-WEB-130,9,STRONG,BUSINESS_RULE,"visit planning-planning",True
REQ-R0C-00164,SCR-WEB-200,12,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00165,SCR-WEB-120,10,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00166,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00167,SCR-WEB-150,5,WEAK,ACCEPTANCE_CRITERION,"visit planning- mangment",True
REQ-R0C-00168,SCR-WEB-120,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00169,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00170,SCR-WEB-120,16,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00172,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00173,SCR-WEB-200,2,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00174,SCR-WEB-130,11,STRONG,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00175,SCR-WEB-210,19,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00176,SCR-WEB-210,3,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00177,SCR-WEB-120,9,STRONG,ACCEPTANCE_CRITERION,"visit planning- mangment",True
REQ-R0C-00178,SCR-WEB-120,14,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00179,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00180,SCR-WEB-210,4,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00181,SCR-WEB-150,6,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00182,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00183,SCR-WEB-150,12,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00184,SCR-WEB-130,13,STRONG,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00185,SCR-WEB-200,12,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00186,SCR-WEB-130,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00187,SCR-WEB-100,12,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00188,SCR-WEB-210,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00189,SCR-WEB-120,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00190,SCR-WEB-130,2,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00191,SCR-WEB-210,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00192,SCR-WEB-210,2,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00193,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00194,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00195,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00196,SCR-WEB-150,4,WEAK,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00197,SCR-WEB-120,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00198,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00199,SCR-WEB-120,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00200,SCR-WEB-210,4,WEAK,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00201,SCR-WEB-210,12,STRONG,ACCEPTANCE_CRITERION,"visit planning- mangment",True
REQ-R0C-00203,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00205,SCR-WEB-100,10,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00206,SCR-WEB-210,9,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00207,SCR-WEB-210,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00208,SCR-WEB-100,10,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00209,SCR-WEB-150,10,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00210,SCR-WEB-200,9,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00211,SCR-WEB-210,5,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00212,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00213,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"visit planning- mangment",True
REQ-R0C-00214,SCR-WEB-120,11,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00215,SCR-WEB-210,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00216,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00217,SCR-WEB-120,16,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00218,SCR-WEB-120,10,STRONG,ACCEPTANCE_CRITERION,"visit planning- mangment",True
REQ-R0C-00219,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00220,SCR-WEB-130,11,STRONG,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00221,SCR-WEB-200,6,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00222,SCR-WEB-120,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00223,SCR-WEB-210,10,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00224,SCR-WEB-210,13,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00225,SCR-WEB-210,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00226,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00227,SCR-WEB-130,13,STRONG,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00228,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00229,SCR-WEB-140,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00230,SCR-WEB-120,10,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00231,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00232,SCR-WEB-130,2,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00233,SCR-WEB-210,10,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00234,SCR-WEB-100,8,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00235,SCR-WEB-130,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00237,SCR-WEB-130,3,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00238,SCR-WEB-200,2,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00239,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00240,SCR-WEB-130,13,STRONG,DATA_REQUIREMENT,"visit planning- mangment",True
REQ-R0C-00241,SCR-WEB-150,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00242,SCR-WEB-120,10,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00243,SCR-WEB-150,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00244,SCR-WEB-110,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00245,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00246,SCR-WEB-150,8,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00248,SCR-WEB-150,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00249,SCR-WEB-150,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00250,SCR-WEB-150,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00251,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00252,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00253,SCR-WEB-210,12,STRONG,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00254,SCR-WEB-120,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00255,SCR-WEB-150,6,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00256,SCR-WEB-150,12,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00257,SCR-WEB-200,2,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00259,SCR-WEB-200,4,WEAK,USER_ACTION,"visit planning- mangment",True
REQ-R0C-00260,SCR-WEB-110,2,WEAK,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00261,SCR-WEB-100,8,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00263,SCR-WEB-210,10,STRONG,SYSTEM_BEHAVIOR,"visit planning- mangment",True
REQ-R0C-00264,SCR-ADM-051,6,STRONG,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00265,SCR-ADM-001,2,WEAK,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
REQ-R0C-00266,SCR-ADM-001,2,WEAK,BUSINESS_RULE,"inspection execution - prestart",True
REQ-R0C-00267,SCR-ADM-031,4,WEAK,ACCEPTANCE_CRITERION,"inspection execution - prestart",True
REQ-R0C-00268,SCR-WEB-200,12,STRONG,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00269,SCR-WEB-150,4,WEAK,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
REQ-R0C-00270,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"inspection execution - prestart",True
REQ-R0C-00271,SCR-ADM-031,4,WEAK,ACCEPTANCE_CRITERION,"inspection execution - prestart",True
REQ-R0C-00272,SCR-WEB-200,6,STRONG,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00273,SCR-WEB-210,3,WEAK,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
REQ-R0C-00274,SCR-WEB-140,6,STRONG,BUSINESS_RULE,"inspection execution - prestart",True
REQ-R0C-00275,SCR-WEB-200,6,STRONG,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00276,SCR-ADM-010,2,WEAK,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
REQ-R0C-00277,SCR-WEB-150,4,WEAK,BUSINESS_RULE,"inspection execution - prestart",True
REQ-R0C-00278,SCR-ADM-010,2,WEAK,ACCEPTANCE_CRITERION,"inspection execution - prestart",True
REQ-R0C-00279,SCR-ADM-051,4,WEAK,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00280,SCR-WEB-210,3,WEAK,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
REQ-R0C-00281,SCR-WEB-100,8,STRONG,BUSINESS_RULE,"inspection execution - prestart",True
REQ-R0C-00282,SCR-ADM-051,4,WEAK,USER_ACTION,"inspection execution - prestart",True
REQ-R0C-00283,SCR-WEB-140,7,STRONG,SYSTEM_BEHAVIOR,"inspection execution - prestart",True
