requirement_id,module,design_id,covered_in_r1_package,covered_in_r2_package,r2_frames_source,r2_render_evidence,note
"MVP2-REQ-0052","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0053","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0054","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0055","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0070","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0071","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0235","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0243","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0251","M3-02","CD-052","YES","YES","CD-052_M3-02_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-052_R2_FINAL/renders/01..06-CD-052_R2.png",""
"MVP2-REQ-0231","M3-03","CD-053","YES","YES","CD-053_M3-03_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-053_R2_FINAL/renders/01..06-CD-053_R2.png",""
"MVP2-REQ-0234","M3-03","CD-053","YES","YES","CD-053_M3-03_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-053_R2_FINAL/renders/01..06-CD-053_R2.png",""
"MVP2-REQ-0247","M3-03","CD-053","YES","YES","CD-053_M3-03_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-053_R2_FINAL/renders/01..06-CD-053_R2.png",""
"MVP2-REQ-0248","M3-03","CD-053","YES","YES","CD-053_M3-03_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-053_R2_FINAL/renders/01..06-CD-053_R2.png",""
"MVP2-REQ-0230","M3-04","CD-054","YES","YES","CD-054_M3-04_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-054_R2_FINAL/renders/01..06-CD-054_R2.png",""
"MVP2-REQ-0237","M3-04","CD-054","YES","YES","CD-054_M3-04_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-054_R2_FINAL/renders/01..06-CD-054_R2.png",""
"MVP2-REQ-0254","M3-04","CD-054","YES","YES","CD-054_M3-04_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-054_R2_FINAL/renders/01..06-CD-054_R2.png",""
"MVP2-REQ-0072","M3-05","CD-055","YES","YES","CD-055_M3-05_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-055_R2_FINAL/renders/01..06-CD-055_R2.png",""
"MVP2-REQ-0075","M3-05","CD-055","YES","YES","CD-055_M3-05_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-055_R2_FINAL/renders/01..06-CD-055_R2.png",""
"MVP2-REQ-0233","M3-05","CD-055","YES","YES","CD-055_M3-05_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-055_R2_FINAL/renders/01..06-CD-055_R2.png",""
"MVP2-REQ-0074","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0076","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0176","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0178","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0179","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0180","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0181","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0182","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0183","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0184","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0185","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0186","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0240","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0244","M3-06","CD-056","YES","YES","CD-056_M3-06_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-056_R2_FINAL/renders/01..06-CD-056_R2.png",""
"MVP2-REQ-0228","M3-07","CD-057","YES","YES","CD-057_M3-07_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-057_R2_FINAL/renders/01..06-CD-057_R2.png",""
"MVP2-REQ-0067","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0069","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0079","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0080","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0081","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0082","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0085","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0086","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0177","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0187","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0229","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0253","M3-08","CD-058","YES","YES","CD-058_M3-08_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-058_R2_FINAL/renders/01..06-CD-058_R2.png",""
"MVP2-REQ-0068","M3-09","CD-059","YES","YES","CD-059_M3-09_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-059_R2_FINAL/renders/01..06-CD-059_R2.png",""
"MVP2-REQ-0083","M3-09","CD-059","YES","YES","CD-059_M3-09_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-059_R2_FINAL/renders/01..06-CD-059_R2.png",""
"MVP2-REQ-0242","M3-09","CD-059","YES","YES","CD-059_M3-09_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-059_R2_FINAL/renders/01..06-CD-059_R2.png",""
"MVP2-REQ-0255","M3-10","CD-060","YES","YES","CD-060_M3-10_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-060_R2_FINAL/renders/01..06-CD-060_R2.png",""
"MVP2-REQ-0077","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0084","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0225","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0232","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0236","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0245","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0246","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0252","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0257","M3-11","CD-061","YES","YES","CD-061_M3-11_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-061_R2_FINAL/renders/01..06-CD-061_R2.png",""
"MVP2-REQ-0258","M3-12","M3-12","N/A — integrated assurance row (no product screen package; P13 protocol)","N/A — integrated assurance row (no product screen package; P13 protocol)","CD-M3-12_M3-12_R2_FINAL/ (dc.html frame selector — all R1 frame ids preserved)","CD-M3-12_R2_FINAL/renders/01..06-CD-M3-12_R2.png","per pack rule"
