MVP3 Module,Design ID,Source Module,Requirement ID,Acceptance ID,Evidence ID,Capability,Title,Requirement,Expected Result,Negative Guard,Required Evidence,Priority,Channels,Personas,Dependencies,Source Reference,Status
M3-00,CD-050,M2-01,MVP2-REQ-0238,MVP2-AC-0238,MVP2-EV-0238,Strategic Platform Expansion Pack,Bilingual Arabic/English is late,"Forms, legal clauses, dashboards and field instructions are not usable by all stakeholders.","Bilingual content model, terminology glossary, RTL test and Arabic form rendering on iPad.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 49_Final_Blindspots_Gates, row 14",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-01,CD-051,M2-02,MVP2-REQ-0249,MVP2-AC-0249,MVP2-EV-0249,Strategic Platform Expansion Pack,"Workflow Studio shall allow admins to configure workflow definitions with status transitions, guards, SLAs, notifications and action permissions per role.","Workflow Studio shall allow admins to configure workflow definitions with status transitions, guards, SLAs, notifications and action permissions per role.",Workflow simulator proves all happy paths and exception paths before publish.,Case cannot bypass mandatory evidence/signature/review guards unless explicit break-glass rule exists.,Workflow simulator proves all happy paths and exception paths before publish.,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,Workflow governance requirement,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 14",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-01,CD-051,M2-02,MVP2-REQ-0250,MVP2-AC-0250,MVP2-EV-0250,Strategic Platform Expansion Pack,Published workflow versions shall be immutable for in-flight inspections; new workflow versions apply only to future packages unless controlled migration is approved.,Published workflow versions shall be immutable for in-flight inspections; new workflow versions apply only to future packages unless controlled migration is approved.,Existing inspection displays original workflow version; new package uses new version after effective date.,In-flight case cannot suddenly change status path due to admin update.,Existing inspection displays original workflow version; new package uses new version after effective date.,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,Workflow governance requirement,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 15",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0044,MVP2-AC-0044,MVP2-EV-0044,General-Purpose No-Code Form Builder,Template library,"Reusable templates by visit type, regulation, activity, sector, risk band and region.",Template can be published with approval.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 2",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0045,MVP2-AC-0045,MVP2-EV-0045,General-Purpose No-Code Form Builder,Component catalog,"Text, number, date, dropdown, yes/no, multi-select, evidence, GPS, signature, table, repeatable group, calculated field and clause selector.",All component types render on iPad.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 3",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0046,MVP2-AC-0046,MVP2-EV-0046,General-Purpose No-Code Form Builder,Clause mapping,"Map question/finding/violation option to regulation, clause, violation and penalty.",Violation links to active clause version.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 4",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0047,MVP2-AC-0047,MVP2-EV-0047,General-Purpose No-Code Form Builder,Conditional logic,"Show/hide/require/score/evidence/branch by answer, visit type, risk, activity or regulation.",Rule works in preview and offline.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 5",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0048,MVP2-AC-0048,MVP2-EV-0048,General-Purpose No-Code Form Builder,Evidence rules,Configure evidence type/minimum count/metadata/file limits per question/finding/severity.,Submit blocked when evidence missing.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 6",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0049,MVP2-AC-0049,MVP2-EV-0049,General-Purpose No-Code Form Builder,Calculations/scoring,"Define section scores, compliance score, risk signal outputs and calculated fields.",iPad/server values match.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 7",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0050,MVP2-AC-0050,MVP2-EV-0050,General-Purpose No-Code Form Builder,Localization,Arabic/English labels/help/errors/report labels and RTL.,Form fully bilingual before release.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 8",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0051,MVP2-AC-0051,MVP2-EV-0051,General-Purpose No-Code Form Builder,Package compilation,"Compile template, logic, clauses, evidence, report mapping and signatures into immutable package.",Report references package versions.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 9",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0052,MVP2-AC-0052,MVP2-EV-0052,General-Purpose No-Code Form Builder,Report mapping,Map sections/questions/findings/evidence to report template.,Report generates with no missing mandatory sections.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 10",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0053,MVP2-AC-0053,MVP2-EV-0053,General-Purpose No-Code Form Builder,Analytics/risk mapping,Map answers to KPI fields and risk variables.,Dashboard drills to answer source.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 11",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0054,MVP2-AC-0054,MVP2-EV-0054,General-Purpose No-Code Form Builder,Template testing,"Preview, sample context, offline runtime test and validation suite.",No broken logic/orphan mapping.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 12",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0055,MVP2-AC-0055,MVP2-EV-0055,General-Purpose No-Code Form Builder,Change impact,"Show impacted visit types, packages, reports and scheduled inspections before change approval.",Open visits not unexpectedly changed.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Admin; Shared Services,Form Admin; Regulatory Admin; Inspector,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 11_Form_Builder, row 13",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0070,MVP2-AC-0070,MVP2-EV-0070,Executive National Health and Strategic Dashboards,"Templates, components, conditional logic, validation, evidence rules, scoring, report mapping, localization","PLAT-0011 | Admin Console | Platform Administration | Form Builder | Templates, components, conditional logic, validation, evidence rules, scoring, report mapping, localization | Owns configuration, runtime behavior, validation, audit and handoff for Form Builder. | Does not bypass source BRD rules, published workflows or role permissions. | Regulation Admin, Form Designer, QA | Template library, form canvas, preview/simulator | FormTemplate, Question, LogicRule, EvidenceRule | Owns published runtime package for inspections. | Outputs scoring and risk signals. | Form lifecycle workflow, submit guards. | Published form package | P0 | 11_Form_Builder","Authorized user demonstrates 'Templates, components, conditional logic, validation, evidence rules, scoring, report mapping, localization' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Published form package,P0,Web,Executive; Branch Director; Reporting Analyst,Owns published runtime package for inspections.,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 16_Platform_Modules, row 14",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0071,MVP2-AC-0071,MVP2-EV-0071,Executive National Health and Strategic Dashboards,"Regulation, clause, violation, penalty, maker/checker, effective versions and linkages","PLAT-0012 | Admin Console | Platform Administration | Regulation Library | Regulation, clause, violation, penalty, maker/checker, effective versions and linkages | Owns configuration, runtime behavior, validation, audit and handoff for Regulation Library. | Does not bypass source BRD rules, published workflows or role permissions. | Regulation Admin, Compliance Officer | Regulation editor, clause tree, penalty matrix | Regulation, Clause, ViolationType, Penalty | Questions and violations map to active clauses. | Clause severity can be a risk variable. | Regulation approval workflow controls effective content. | Approved regulatory catalog | P0 | Regulation BRD","Authorized user demonstrates 'Regulation, clause, violation, penalty, maker/checker, effective versions and linkages' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Approved regulatory catalog,P0,Web,Executive; Branch Director; Reporting Analyst,Questions and violations map to active clauses.,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 16_Platform_Modules, row 15",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0235,MVP2-AC-0235,MVP2-EV-0235,Strategic Platform Expansion Pack,Regulation-to-form drift,Clause updates do not update forms/rules/risk/report mapping.,Regulation impact analysis and mandatory clause mapping coverage report.,"Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 49_Final_Blindspots_Gates, row 9",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0243,MVP2-AC-0243,MVP2-EV-0243,Strategic Platform Expansion Pack,The Inspection Package Compiler shall generate a locked package manifest and immutable package hash for every assigned inspection before the iPad starts execution.,The Inspection Package Compiler shall generate a locked package manifest and immutable package hash for every assigned inspection before the iPad starts execution.,Package manifest shows every included object and version; reviewer can reproduce what the inspector saw.,Submit fails if package manifest is missing or package has untracked changes.,Package manifest shows every included object and version; reviewer can reproduce what the inspector saw.,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,Internal architecture + offline package gate,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 3",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-02,CD-052,M2-03,MVP2-REQ-0251,MVP2-AC-0251,MVP2-EV-0251,Strategic Platform Expansion Pack,"Every form question, finding, violation, penalty and report paragraph shall map to a regulation clause/version or configured non-regulatory reason.","Every form question, finding, violation, penalty and report paragraph shall map to a regulation clause/version or configured non-regulatory reason.","Impact report lists affected templates, inspections, reports, penalties and dashboards.",Finding without clause link is blocked unless configured as observation-only.,"Impact report lists affected templates, inspections, reports, penalties and dashboards.",P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,Regulation/form governance,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 16",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-03,CD-053,M2-04,MVP2-REQ-0231,MVP2-AC-0231,MVP2-EV-0231,Strategic Platform Expansion Pack,Strategic requirement,"Decision principle | No black-box decisioning | Risk and licensing recommendations must display input drivers, weights, thresholds, rules, versions and decision rationale. | Risk, committee, audit | Explainability panel | A risk score that cannot be explained will be rejected.","Authorized user demonstrates 'Strategic requirement' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 42_KSA_Domain_Context, row 13",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-03,CD-053,M2-04,MVP2-REQ-0234,MVP2-AC-0234,MVP2-EV-0234,Strategic Platform Expansion Pack,Risk Studio may become black-box,Factories and executives ask why a target was selected and system cannot explain.,"Driver catalog, weights, thresholds, model versioning, simulation, approvals and score explanation panel.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 49_Final_Blindspots_Gates, row 7",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-03,CD-053,M2-04,MVP2-REQ-0247,MVP2-AC-0247,MVP2-EV-0247,Strategic Platform Expansion Pack,"Risk Studio shall display and export explainability for each factory selected into a visit plan, including model version and rule contribution.","Risk Studio shall display and export explainability for each factory selected into a visit plan, including model version and rule contribution.","Factory risk card explains why selected, with top drivers and scoring date.",No factory can be selected by hidden/manual-only logic without an override reason.,"Factory risk card explains why selected, with top drivers and scoring date.",P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,Risk governance requirement,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 12",Transferred to MVP3 — Sponsor direction 2026-07-17
