master_row,requirement_id,module,source_requirement,design_ref,route_or_component,test_evidence,runtime_evidence,provider_or_policy_hold,classification,gap_or_note,source_paths
"11","MVP2-REQ-0239","M3-00","Define integration inventory, API specifications, data owner, failure modes and mock/sandbox plan for external registries, licensing, notifications and EBDA","CD-050 R2 frames 01..06","/admin/integrations; mvp3_integration_endpoints","mvp3-enterprise-contract.spec.ts verifies dependency-blocked provider states; live regression renders four registered endpoints","Remote migration proves four dependency-blocked endpoints without provider enablement","MVP3-HOLD-003; MVP3-HOLD-004; MVP3-HOLD-005","NEEDS_REVIEW","Inventory and failure behavior are evidenced, but complete API specifications, named data owners and sandbox plans are not present in the reviewed row-level evidence.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-retrofit-regression.spec.ts"
"12","MVP2-REQ-0241","M3-00","Tighten generic role/security model through RBAC/ABAC, maker-checker, sensitive-action approvals and audit-access rules","CD-050 R2 frames 01..06","/admin/security-access; RLS and governed RPCs","mvp3-enterprise-contract.spec.ts verifies self-review denial, maker-checker, purpose and expiry; mvp3-retrofit-regression.spec.ts verifies negative persona containment","Remote migration certifies fixed-search-path role-checked RPCs, RLS and zero anonymous grants","None","MATCH","Source concern is directly addressed by live access-review, maker-checker, purpose/expiry and negative-role controls.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts"
"13","MVP2-REQ-0256","M3-00","Implement RBAC/ABAC, MFA/SSO, encryption at rest/in transit, evidence access control, retention and privacy audit logs","CD-050 R2 frames 01..06","/admin/security-access; purpose-bound evidence grants; audit events","mvp3-enterprise-contract.spec.ts verifies role controls, append-only evidence, purpose and expiry","Live RLS and evidence-access controls are certified; external SSO and retention policy remain unresolved, and no row-specific encryption proof is named","MVP3-HOLD-003; MVP3-HOLD-006","NEEDS_REVIEW","Access control and privacy logging align, but MFA/SSO, approved retention and explicit encryption evidence prevent whole-row runtime completion.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
"14","MVP2-REQ-0238","M3-00","Provide bilingual Arabic/English content, terminology, RTL testing and Arabic form rendering on iPad","CD-050 R2 frames 01..06","Additive admin routes; /admin/packages field preview; shared i18n","mvp3-enterprise-contract.spec.ts verifies Arabic keys; mvp3-retrofit-regression.spec.ts verifies Arabic RTL mobile; cd-008-009-packages.spec.ts verifies package RTL","Runtime tests prove selected additive routes and package surfaces, not the complete forms, legal clauses, dashboards and field-instruction estate","None","NEEDS_REVIEW","Arabic/RTL evidence is real but narrower than the source requirement's all-stakeholder, iPad-rendering scope; human Arabic review is also not shown here.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts; apps/web/e2e/cd-008-009-packages.spec.ts"
"15","MVP2-REQ-0249","M3-01","Workflow Studio configures status transitions, guards, SLAs, notifications and action permissions; simulator proves happy and exception paths before publish","CD-051 R2 frames 01..06","/admin/workflows; canonical workflow definitions and validators","mvp2-m2-02 workflow validator, lifecycle, transition-guard, notification, SLA and governed-transition tests; protected regression retains route","Implementation status certifies workflow regression, but no named runtime test demonstrates the complete pre-publish simulator UI across happy and exception paths","None","NEEDS_REVIEW","The underlying workflow contracts are well-tested, yet the row's specific simulator acceptance result is not directly runtime-evidenced.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp2-m2-02-workflow-validator.spec.ts; apps/web/e2e/mvp2-m2-02-transition-guards.spec.ts"
"16","MVP2-REQ-0250","M3-01","Published workflow versions remain immutable for in-flight inspections; new versions apply prospectively unless controlled migration is approved","CD-051 R2 frames 01..06","/admin/workflows; workflow_versions; canonical in-flight bindings","Workflow lifecycle, governed-transition and event tests protect versioned behavior; full regression contains the inherited workflow suite","Implementation status explicitly certifies published/in-flight behavior within the 510-test protected regression; retrofit map prohibits mutation of in-flight inspections","None","MATCH","Source, design, schema reuse, retrofit rule and runtime-regression status agree on immutable in-flight bindings and prospective versions.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"17","MVP2-REQ-0044","M3-02","Reusable template library by visit type, regulation, activity, sector, risk band and region with governed publish approval","CD-052 R2 frames 01..06","/admin/packages; TemplateRegistry; configuration_templates","cd-008-009-packages.spec.ts renders package groups and versions; cd-006-011-backend-completion.spec.ts verifies template version publishing","Protected regression certifies package composer and immutable version contracts on the live route","None","MATCH","Reusable versioned templates and governed publishing are represented in source and covered by package runtime/backend tests.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; apps/web/e2e/cd-008-009-packages.spec.ts; apps/web/e2e/cd-006-011-backend-completion.spec.ts"
"18","MVP2-REQ-0045","M3-02","Component catalog includes text, number, date, dropdown, yes/no, multi-select, evidence, GPS, signature, table, repeatable group, calculated field and clause selector, all rendering on iPad","CD-052 R2 frames 01..06","/admin/packages DraftEditor and PackagePreview; field projection","cd-008-009-packages.spec.ts proves read-only field preview and authoring structure but not every listed component type","Package route is regression-certified; no named runtime artifact enumerates and renders all component types on iPad","MVP3-HOLD-001 affects provider-backed signature execution only","NEEDS_REVIEW","Catalog implementation is plausible, but the acceptance result requires a complete all-component iPad render proof that is not named.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; apps/web/e2e/cd-008-009-packages.spec.ts"
"19","MVP2-REQ-0046","M3-02","Map questions, findings and violation options to regulation, active clause version, violation and penalty","CD-052 R2 frames 01..06","/admin/regulations; /admin/packages; item_rules and version lineage","cd-008-009-packages.spec.ts publish gate validates violation/penalty dependencies; cd-006-011-backend-completion.spec.ts protects frozen dependencies and package snapshots","Implementation status certifies package composer, lineage, manifest/hash and immutable version contracts","None","MATCH","Clause, violation and penalty relationships are versioned and publish-gated; the runtime certification names lineage and immutable package contracts.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; apps/web/e2e/cd-006-011-backend-completion.spec.ts"
"20","MVP2-REQ-0047","M3-02","Conditional show, hide, require, score, evidence and branching rules work by answer, visit type, risk, activity or regulation in preview and offline","CD-052 R2 frames 01..06","/admin/packages DraftEditor and field runtime; visible_when and mandatory_when_visible","cd-008-009-packages.spec.ts verifies visibility-rule grammar, circular-rule rejection and field projection semantics","Protected regression certifies the package surface but does not name an offline conditional-logic runtime case","None","NEEDS_REVIEW","Authoring validation is evidenced; the full preview-plus-offline behavior across the stated condition inputs is not directly evidenced.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"21","MVP2-REQ-0048","M3-02","Configure evidence type, minimum count, metadata and file limits per question, finding and severity; block submit when evidence is missing","CD-052 R2 frames 01..06","/admin/packages evidence_rule; canonical field submission guards","cd-008-009-packages.spec.ts verifies evidence-rule publish blockers and authoritative definition wiring; protected regression includes field/package negative paths","Runtime-regression certificate preserves deterministic inspection behavior and package contracts","None","MATCH","Evidence rules are part of the governed package definition and validation blocks incomplete evidence configuration; no conflicting implementation was found.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"22","MVP2-REQ-0049","M3-02","Define section scores, compliance score, risk outputs and calculated fields with matching iPad and server values","CD-052 R2 frames 01..06","/admin/packages scoring fields; field runtime; risk engine","cd-008-009-packages.spec.ts verifies score_weight and scoringEnabled source wiring","Package runtime is certified at module level; no named test compares iPad and server calculation results","None","NEEDS_REVIEW","Scoring configuration exists, but the required cross-runtime equality result is not directly evidenced.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts"
"23","MVP2-REQ-0050","M3-02","Arabic/English labels, help, errors and report labels with RTL; form fully bilingual before release","CD-052 R2 frames 01..06","/admin/packages; /admin/localization; shared i18n","cd-008-009-packages.spec.ts verifies Arabic document-level RTL and guarded Arabic string source","Runtime shows populated package hierarchy in Arabic RTL, but not every label/help/error/report string or human language review","None","NEEDS_REVIEW","Bilingual infrastructure and a representative runtime are evidenced; the whole-form completeness acceptance is broader than the named proof.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts"
"24","MVP2-REQ-0051","M3-02","Compile template, logic, clauses, evidence, report mapping and signatures into an immutable package referenced by reports","CD-052 R2 frames 01..06","/admin/packages; mvp3_compile_inspection_package; mvp3_inspection_package_manifests","mvp3-enterprise-contract.spec.ts requires forms, clauses, evidence_rules, report_template and locales in the manifest, SHA-256 hash shape and append-only trigger; package tests protect immutable published versions","Live migration certifies the additive package manifest table/RPC; module status certifies manifest/hash and immutable version contracts","MVP3-HOLD-001 applies only to external signature execution, not provider-independent package composition","MATCH","The compiled manifest is complete, hashed and append-only, with provider-independent composition preserved while external signature execution stays held.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/cd-008-009-packages.spec.ts"
"25","MVP2-REQ-0052","M3-02","Map sections, questions, findings and evidence to a report template; generated report has no missing mandatory sections","CD-052 R2 frames 01..06","/admin/packages response_mapping and report_template manifest","cd-008-009-packages.spec.ts verifies response_mapping wiring and report-template inclusion at publish; mvp3-enterprise-contract.spec.ts requires report_template in compiled manifest","Module-level package runtime is certified, but no named generated-report test asserts every mandatory section is populated","None","NEEDS_REVIEW","Authoring and manifest mapping align, but the final generated-report completeness acceptance is not directly runtime-evidenced.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
"26","MVP2-REQ-0053","M3-02","Map answers to KPI fields and risk variables so dashboard drill-through reaches the answer source","CD-052 R2 frames 01..06","/admin/packages response_mapping; /dashboard; /admin/risk","cd-008-009-packages.spec.ts verifies response_mapping source wiring; protected regression covers package, risk and dashboard routes","Retrofit certificate certifies coexistence but no named runtime case drills a KPI/risk result to its originating answer","None","NEEDS_REVIEW","The mapping seam is present, but the stated dashboard drill-through acceptance result is not directly evidenced.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"27","MVP2-REQ-0054","M3-02","Template testing provides preview, sample context, offline runtime test and validation suite with no broken logic or orphan mapping","CD-052 R2 frames 01..06","/admin/packages field preview and publish validation; offline field runtime","cd-008-009-packages.spec.ts verifies preview, validation, circular-rule and dependency blockers; protected regression includes offline and package suites","Module-level package and field regression is certified, but no named single template-test run demonstrates sample context plus offline runtime and orphan-mapping checks","None","NEEDS_REVIEW","Strong component evidence exists, but the complete template-testing acceptance bundle is not explicitly traceable to this row.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"28","MVP2-REQ-0055","M3-02","Show impacted visit types, packages, reports and scheduled inspections before change approval so open visits do not change unexpectedly","CD-052 R2 frames 01..06","/admin/packages ImpactPanel","cd-008-009-packages.spec.ts verifies impact truth for active visits and inspections and refuses fabricated zero values","Runtime route is certified and the impact panel distinguishes unavailable scope; evidence does not name visit-type, package and report impact coverage together","None","NEEDS_REVIEW","The panel honestly reports visit/inspection impact, but the source requires a broader four-domain impact set before approval.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; apps/web/e2e/cd-008-009-packages.spec.ts"
