requirement_id,domain,requirement,source,current_baseline,target_implementation,acceptance,priority,status
PLN-REQ-031,Bulk,Field-appropriate operators,Planning bulk,is/is-not,equals/contains/gt/lt/between/in,Operator semantics tested,P0,NOT_STARTED
PLN-REQ-032,Bulk,Nested AND/OR group semantics,Planning bulk,Nested all/any exists,Preserve and extend,Parentheses fixtures evaluate correctly,P0,NOT_STARTED
PLN-REQ-033,Bulk,Select page/all matching configurable max,Planning bulk,Exists partly,Admin max + confirmation,Selection respects limit and filters,P0,NOT_STARTED
PLN-REQ-034,Bulk,Persist criteria/selection as Draft,Planning draft,sessionStorage,Server draft/autosave,Close/reopen restores exact selection,P0,NOT_STARTED
PLN-REQ-035,Bulk,Per-factory eligible/ineligible validation,Planning bulk,Duplicate/missing location partial,Full eligibility ledger,Named reasons for every row,P0,NOT_STARTED
PLN-REQ-036,Bulk,One invalid row does not block eligible rows,Planning bulk,Potential all-block,Explicit eligible-subset acknowledgement,Eligible subset can proceed,P0,NOT_STARTED
PLN-REQ-037,Bulk,Atomic commit accepted eligible subset,Planning bulk,Atomic all selected,Partition then atomic commit,No partial accepted-subset commit,P0,NOT_STARTED
PLN-REQ-038,Bulk,Shared Bulk Plan Ref + unique Visit Refs,Planning bulk,Plan/visit IDs exist,Expose and search,All child rows trace to one plan,P0,NOT_STARTED
PLN-REQ-039,Bulk,Pre-creation summary counts,Planning bulk,Partial readiness,Seven required metrics,Counts match ledger,P0,NOT_STARTED
PLN-REQ-040,Config,All common fields,Planning fields,Subset,Shared configuration schema/form,All fields stored/displayed/audited,P0,NOT_STARTED
PLN-REQ-041,Config,Zero-or-more packages,Planning package,One required,Join table/version snapshots,Zero allowed; multiple retained,P0,NOT_STARTED
PLN-REQ-042,Config,Inspector package selection when none planned,Planning package,Execution may expect package,Preparation gate,Inspector selects before execution,P0,NOT_STARTED
PLN-REQ-043,Config,Admin-managed visit type/mode/priority,Planning lookups,Hardcoded/free text,Active versioned lookups,Inactive values unavailable for new records,P0,NOT_STARTED
PLN-REQ-044,Config,Attachments/notes/notify/internal ref/source channel,Planning fields,Partial,Complete shared model,Persist through lifecycle/detail/export,P0,NOT_STARTED
PLN-REQ-045,Assignment,Recommendation active/same region/workload/availability,Planning assignment,First available,Deterministic evidence engine,Ordered recommendation reasons traceable,P0,NOT_STARTED
PLN-REQ-046,Assignment,Display evidence and warnings,Planning assignment,Overlap evidence partial,Full documented display,No false zero/not-evaluated hidden,P0,NOT_STARTED
PLN-REQ-047,Assignment,Manual override reason,Planning assignment,Pick exists,Configured warning/override,Required reason stored/audited,P0,NOT_STARTED
PLN-REQ-048,Assignment,Bulk distribution and per-row reassignment,Planning bulk,Manual/auto partial,Distribution engine,Every visit assigned before publish,P0,NOT_STARTED
PLN-REQ-049,Assignment,Authoritative overlap/concurrency guard,Planning assignment,Pre-RPC gap documented,Transaction-level lock/recheck,Concurrent conflicting publish blocked,P0,NOT_STARTED
PLN-REQ-050,Location,Map selected factory/factories and missing pins,Planning map,Partial,Shared map/list contract,Pins and missing-location states correct,P0,NOT_STARTED
PLN-REQ-051,Location,Store original/current/source/actor/time,Planning location,Partial,Location version/history table,History never overwritten,P0,NOT_STARTED
PLN-REQ-052,Location,Planner correction permission,Planning location,Pin override,Capability guard,Unauthorized correction fails,P0,NOT_STARTED
PLN-REQ-053,Location,Inspector correction preserves planning/master,Planning/execution,Execution observations exist,Cross-module location lineage,Three values remain comparable,P0,NOT_STARTED
PLN-REQ-054,Draft,Stable reference and partial save,Planning draft,Plans created at publish in bulk,Persisted plan draft,Incomplete draft survives session,P0,NOT_STARTED
PLN-REQ-055,Draft,No inspector notification/workload/pool,Planning draft,Needs proof,Draft side-effect guards,No assignment side effects,P0,NOT_STARTED
PLN-REQ-056,Draft,Missing publish requirements shown,Planning draft,Readiness exists staged,Persisted validation ledger,Exact blockers visible after resume,P0,NOT_STARTED
PLN-REQ-057,Draft,Discard/soft-delete audit,Planning draft,Ambiguous,Canonical discard contract,No physical loss of audit,P0,NOT_STARTED
PLN-REQ-058,Publish,All documented preconditions except mandatory package,Planning publish,Package required,Shared validator,Zero-package publish passes; other guards enforced,P0,NOT_STARTED
PLN-REQ-059,Publish,Duplicate active criteria,Planning publish,Factory+periodic partial,Licence/plant/type/window/status/campaign,Each duplicate rule tested,P0,NOT_STARTED
PLN-REQ-060,Publish,Published/New + inspector pool + audit/notifications,Planning publish,Exists,Reconcile complete,All side effects transactionally consistent,P0,NOT_STARTED
PLN-REQ-061,Return,Normalized reason/comments/history,Planning return,Notes prefix,Return cycle records,Multiple cycles preserved,P0,NOT_STARTED
PLN-REQ-062,Return,Editable allowed fields and republish same IDs,Planning return,Actions partial,State-specific form,IDs unchanged; audit/notifications correct,P0,NOT_STARTED
PLN-REQ-063,Cancel,Cut-off after journey/arrival/execution/submission,Planning cancel,Pre-start guards partial,Canonical guard service,Every blocking state tested,P0,NOT_STARTED
PLN-REQ-064,Cancel,Complete cancellation fields/history,Planning cancel,Reason only partial,Normalized cancellation record,Previous inspector/window retained,P0,NOT_STARTED
PLN-REQ-065,Cancel,Final/read-only/duplicate,Planning cancel,Final guards exist,Full contract,Edit/republish blocked; duplicate works,P0,NOT_STARTED
PLN-REQ-066,Expiry,Configurable four rule families,Planning expiry,One fixed rule,Versioned rules,Each rule triggers fixture independently,P0,NOT_STARTED
PLN-REQ-067,Expiry,"Scheduler, reason, notifications, audit",Planning expiry,Cron exists,Generalized evaluator,Idempotent scheduled test passes,P0,NOT_STARTED
PLN-REQ-068,Expiry,"Read-only, duplicate, no auto-extension",Planning expiry,Partial,Full actions,Correct boundaries,P0,NOT_STARTED
PLN-REQ-069,Detail,All documented sections,Planning details,Many but incomplete,Complete canonical detail,All fields/history visible,P0,NOT_STARTED
PLN-REQ-070,Admin,Manage all Planning lookups,Planning dependencies,Scattered/hardcoded,Lookup management,Create/activate/deactivate with audit,P0,NOT_STARTED
PLN-REQ-071,Admin,Manage workflow/status/transitions/guards,Planning admin,Generic workflow editor,Planning-specific UI over versioned engine,Invalid transition cannot publish,P0,NOT_STARTED
PLN-REQ-072,Admin,Manage expiry/cut-off/bulk max/assignment rules,Planning admin,Missing,Versioned config,Runtime uses published version,P0,NOT_STARTED
PLN-REQ-073,Notifications,Publish/return/reassign/cancel/expiry/window events,Planning notifications,Some rows,Complete event catalogue,Recipient and truthful delivery state tested,P0,NOT_STARTED
PLN-REQ-074,Audit,All changes before/after/actor/server time,Planning audit,Triggers exist,Coverage audit,Every transition/action traceable,P0,NOT_STARTED
PLN-REQ-075,API,Server-only canonical provider integration,Planning dependencies,Factory tables local,Shared adapters/projection,No browser provider calls,P0,NOT_STARTED
PLN-REQ-076,API,Source/freshness/unavailable states,Planning dependencies,Partial,Canonical metadata,Failure never zero/empty masquerade,P0,NOT_STARTED
PLN-REQ-077,Dashboard,Canonical status KPIs and downstream counts,Planning KPI,Multiple surfaces,Shared views/query service,List/dashboard/operations counts reconcile,P0,NOT_STARTED
PLN-REQ-078,i18n,English/Arabic/RTL/dark/light/responsive,Platform NFR,Partial translations,Complete Planning key inventory,No fallback/overflow; keyboard/focus pass,P0,NOT_STARTED
PLN-REQ-079,Testing,Kimi full browser journeys on port 3000,User direction,Partial historical tests,Independent browser certification,All journeys evidenced,P0,NOT_STARTED
