ext_finding_id,summary,severity,supporting_evidence,existing_decision_id,relationship,decision_status,decision_owner,g5_gate_condition,affected_channel,affected_personas,affected_storyboards,related_requirement_ids,production_impact,closure_condition,recommended_action,blocks
EXT-11,Violation and corrective-action generation may be UI-message-only with no runtime insert,P0,"admin/violations/actions.ts inserts into violation_codes/penalty_mappings (config-side, confirmed). Runtime instance-generation path from non_compliant response -> reviews decision -> violations/action_forms row NOT traced end-to-end in this pass.",none,Unverifiable,n/a,n/a,G5/G8,iPad/Web,Inspector/Compliance Admin/Factory Representative,SB15,n/a,Non-compliance may not produce governed violation/action objects,Traced end-to-end insert with deadline/owner/notification/audit confirmed live,Unverifiable,"DayZero,Production"
EXT-12,Evidence capture and acknowledgement incomplete (photo-only; hardcoded acknowledgement),P0,"Workspace.tsx attachPhoto() accepts image/* only, no video/document/note capture found. submit() hardcodes acknowledgement: { name: 'Factory representative', signed: true, ts: ... } with no actual factory-rep identity/signature captured.",DEC-006,AddlEvidence,Open,Compliance/Security,G5/G7,iPad/Virtual,Inspector/Factory Representative,SB15,n/a,No genuine acknowledgement/refusal; incomplete evidence types undermine legal defensibility,"Real multi-type evidence capture, hash, malware scan, genuine identity-bound acknowledgement/refusal",Expand,"G5,DayZero,Production"
EXT-12B,Digital acknowledgement not identity-bound,P0,"Same submit() call: acknowledgement object has no participant/session binding beyond a literal string name",DEC-009,AddlEvidence,Open,Legal/Product,G3/G5,iPad/Virtual,Factory Representative,SB15,n/a,Acknowledgement/refusal not legally defensible,Acknowledgement bound to authenticated session/participant identity,Expand,"G5,DayZero,Production"
EXT-13,Virtual inspection not release-ready; development OTP code shown in UI,P0,"apps/web/src/app/virtual/[id]/Room.tsx: otpInfo state stores dev_code from vp_request_otp RPC and renders it directly in UI (line ~76); page.tsx string otpSent notes 'DEV provider shows code (release: Unifonic)'",DEC-007,AddlEvidence,Open,Technical/Security,G5,Virtual,Inspector/Factory Representative,SB09,n/a,Dev bypass code visible in production-shaped UI defeats OTP verification purpose,Real provider (Unifonic or approved alternative) wired; dev_code never rendered outside dev environment,Expand,"G5,DayZero,Production"
EXT-14,Arabic/RTL not delivered; root HTML hardcoded lang=en dir=ltr,P0,"apps/web/src/app/layout.tsx:29 <html lang={locale} dir={locale==='ar'?'rtl':'ltr'}> driven by getLocale(); IBM_Plex_Sans_Arabic font loaded; admin/localization draft/reviewed workflow exists. Implementation claim does not reproduce. DEC-004 scope decision itself remains Open in register.",DEC-004,Conflict,Open,Executive/Product,G6 design freeze,All 4 channels,All 8 human personas,SB19 (umbrella),n/a,Bilingual infra built ahead of governing decision is a process risk even though not the claimed defect,DEC-004 scope decision made; full parity tests pass for whichever scope is chosen,Reject_pending_reverify,G5(decision only)
EXT-15,Cloud/data-residency decision unresolved (backend region reported as Seoul),P0,"docs/G5_ARCHITECTURE_AND_READINESS.md sec12: region unknown, schema discovery blocked pending secret key/PAT. Region not independently confirmed this session.",none,Unverifiable,n/a,n/a,G5,Backend,All,SB20 (umbrella),n/a,Data residency/NDMO/PDPL non-compliance risk if unresolved before production data load,Formal data classification + NDMO/SDAIA assessment + approved hosting architecture before production data,NewDecision,"G5,Production"
EXT-16,Product shell not commercially credible (generic identity/navigation),P1,Design-judgment claim; no design audit run this session,none,Unverifiable,n/a,n/a,G6,All 4 channels,All,SB18/SB19,n/a,Reduced stakeholder/user confidence,Approved Ministry identity + role-aware shell delivered post-G6,Unverifiable,Commercial
EXT-17,Iconography/PWA product assets effectively absent,P1,"apps/web/public/manifest.json now lists 3 icons (icon.svg, icon-192.png, apple-touch-icon-512.png), not 1 as claimed. No maskable-icon/screenshot/shortcut set confirmed.",none,PartialDup,n/a,n/a,G6,iPad/PWA,All,SB01 (umbrella),n/a,Reduced install/discoverability quality,Full semantic icon system + maskable assets + screenshots + shortcuts delivered,PartialDup,Commercial
EXT-18,Typography and density below showcase quality,P1,Design-judgment claim; no measurement run this session,none,Unverifiable,n/a,n/a,G6,All 4 channels,All,n/a,n/a,Usability risk at small sizes/dense screens,Type ramp + density modes defined and applied post-G6,Unverifiable,Commercial
EXT-19,Accessibility asserted but not certified (no WCAG 2.2 AA evidence suite),P0,No automated/manual accessibility audit run in this session or found in repo,DEC-010(adjacent),Unverifiable,n/a,n/a,G5/G8,All 4 channels,All,n/a,n/a,Government DGA WCAG 2.2 AA compliance risk,WCAG 2.2 AA matrix + automated/manual evidence suite passing,NewDecision,"G5,Production,Compliance"
EXT-20,iPad channel is shallow PWA shell without device certification,P0,"manifest.json improved (3 icons) since assessment; no physical-device test evidence found this session; service worker caching scope not re-verified",none,Unverifiable,n/a,n/a,G5/G8,iPad,Inspector,SB06/SB07/SB08,n/a,Unknown real-device offline/camera/GPS/storage behavior at release,Real iPad Safari certification across supported models/OS with recorded evidence,Unverifiable,"DayZero,Production"
