component_id,component_name,source_path,layer,disposition,current_role,rationale,reuse_constraints,target_pattern,evidence_refs,status
WP01-CMP-014,PublishControls,apps/web/src/app/admin/packages/PublishControls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Publish Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-015,TemplateRegistry,apps/web/src/app/admin/packages/TemplateRegistry.tsx,PAGE_LOCAL_COMPONENT,REFINE,Template Registry,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-016,error,apps/web/src/app/admin/packages/error.tsx,PAGE_LOCAL_COMPONENT,REFINE,error,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-017,loading,apps/web/src/app/admin/packages/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-018,Controls,apps/web/src/app/admin/regulations/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-019,RegulationDetail,apps/web/src/app/admin/regulations/RegulationDetail.tsx,PAGE_LOCAL_COMPONENT,REFINE,Regulation Detail,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-020,loading,apps/web/src/app/admin/regulations/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-021,RiskForm,apps/web/src/app/admin/risk/RiskForm.tsx,PAGE_LOCAL_COMPONENT,REFINE,Risk Form,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-022,RiskModels,apps/web/src/app/admin/risk/models/RiskModels.tsx,PAGE_LOCAL_COMPONENT,REFINE,Risk Models,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-023,Controls,apps/web/src/app/admin/violations/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-024,error,apps/web/src/app/admin/violations/error.tsx,PAGE_LOCAL_COMPONENT,REFINE,error,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-025,loading,apps/web/src/app/admin/violations/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-026,Controls,apps/web/src/app/admin/workflows/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-027,WfDeck,apps/web/src/app/admin/workflows/WfDeck.tsx,PAGE_LOCAL_COMPONENT,REFINE,Wf Deck,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-028,AiDockets,apps/web/src/app/ai/suggestions/AiDockets.tsx,PAGE_LOCAL_COMPONENT,REFINE,Ai Dockets,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-029,OpenCase,apps/web/src/app/cases/OpenCase.tsx,PAGE_LOCAL_COMPONENT,REFINE,Open Case,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-030,RecordSignature,apps/web/src/app/committee/RecordSignature.tsx,PAGE_LOCAL_COMPONENT,REFINE,Record Signature,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-031,DashboardView,apps/web/src/app/dashboard/DashboardView.tsx,PAGE_LOCAL_COMPONENT,REFINE,Dashboard View,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-032,loading,apps/web/src/app/dashboard/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-033,OcrReview,apps/web/src/app/evidence-ocr/OcrReview.tsx,PAGE_LOCAL_COMPONENT,REFINE,Ocr Review,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-034,FactoryList,apps/web/src/app/factories/FactoryList.tsx,PAGE_LOCAL_COMPONENT,REFINE,Factory List,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-035,Controls,apps/web/src/app/factories/[id]/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-036,FactorySpatialMap,apps/web/src/app/factories/[id]/FactorySpatialMap.tsx,PAGE_LOCAL_COMPONENT,REFINE,Factory Spatial Map,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-037,loading,apps/web/src/app/factories/[id]/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-038,loading,apps/web/src/app/factories/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-039,Startup,apps/web/src/app/field/[visitId]/Startup.tsx,PAGE_LOCAL_COMPONENT,SPECIALIZED,Startup,Domain behavior is not a generic primitive; preserve governed semantics behind shared presentation contracts.,"Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Specialized domain pattern using shared primitives,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-040,loading,apps/web/src/app/field/[visitId]/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-041,FactoryVerification,apps/web/src/app/field/inspection/[id]/FactoryVerification.tsx,PAGE_LOCAL_COMPONENT,REFINE,Factory Verification,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-042,SignaturePad,apps/web/src/app/field/inspection/[id]/SignaturePad.tsx,PAGE_LOCAL_COMPONENT,REFINE,Signature Pad,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-043,Workspace,apps/web/src/app/field/inspection/[id]/Workspace.tsx,PAGE_LOCAL_COMPONENT,SPECIALIZED,Workspace,Domain behavior is not a generic primitive; preserve governed semantics behind shared presentation contracts.,"Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Specialized domain pattern using shared primitives,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-044,loading,apps/web/src/app/field/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-045,icons,apps/web/src/app/icons.tsx,PAGE_LOCAL_COMPONENT,REFINE,icons,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-046,error,apps/web/src/app/launch/error.tsx,PAGE_LOCAL_COMPONENT,REFINE,error,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-047,loading,apps/web/src/app/launch/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-048,DemoAccess,apps/web/src/app/login/DemoAccess.tsx,PAGE_LOCAL_COMPONENT,REFINE,Demo Access,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-049,LoginClient,apps/web/src/app/login/LoginClient.tsx,PAGE_LOCAL_COMPONENT,REFINE,Login Client,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-050,SaqeelHero,apps/web/src/app/login/SaqeelHero.tsx,PAGE_LOCAL_COMPONENT,REFINE,Saqeel Hero,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-051,SaqeelMark,apps/web/src/app/login/SaqeelMark.tsx,PAGE_LOCAL_COMPONENT,REFINE,Saqeel Mark,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-052,SaudiAtlasDossier,apps/web/src/app/login/SaudiAtlasDossier.tsx,PAGE_LOCAL_COMPONENT,REFINE,Saudi Atlas Dossier,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-053,SaudiIndustrialAtlas,apps/web/src/app/login/SaudiIndustrialAtlas.tsx,PAGE_LOCAL_COMPONENT,REFINE,Saudi Industrial Atlas,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-054,StoryMapInner,apps/web/src/app/login/StoryMapInner.tsx,PAGE_LOCAL_COMPONENT,REFINE,Story Map Inner,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-055,StoryPanel,apps/web/src/app/login/StoryPanel.tsx,PAGE_LOCAL_COMPONENT,REFINE,Story Panel,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-056,Controls,apps/web/src/app/operations/Controls.tsx,PAGE_LOCAL_COMPONENT,REFINE,Controls,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-057,Monitoring,apps/web/src/app/operations/Monitoring.tsx,PAGE_LOCAL_COMPONENT,REFINE,Monitoring,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-058,OpsExport,apps/web/src/app/operations/OpsExport.tsx,PAGE_LOCAL_COMPONENT,REFINE,Ops Export,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-059,OpsMap,apps/web/src/app/operations/OpsMap.tsx,PAGE_LOCAL_COMPONENT,REFINE,Ops Map,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-060,OverrideQueue,apps/web/src/app/operations/OverrideQueue.tsx,PAGE_LOCAL_COMPONENT,REFINE,Override Queue,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-061,LiveMapInner,apps/web/src/app/operations/live/LiveMapInner.tsx,PAGE_LOCAL_COMPONENT,REFINE,Live Map Inner,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-062,LiveOps,apps/web/src/app/operations/live/LiveOps.tsx,PAGE_LOCAL_COMPONENT,REFINE,Live Ops,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-063,loading,apps/web/src/app/operations/loading.tsx,PAGE_LOCAL_COMPONENT,REFINE,loading,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-064,BulkForm,apps/web/src/app/planning/bulk/BulkForm.tsx,PAGE_LOCAL_COMPONENT,REFINE,Bulk Form,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-065,CriteriaBuilder,apps/web/src/app/planning/bulk/CriteriaBuilder.tsx,PAGE_LOCAL_COMPONENT,REFINE,Criteria Builder,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-066,DistributionPanels,apps/web/src/app/planning/bulk/DistributionPanels.tsx,PAGE_LOCAL_COMPONENT,REFINE,Distribution Panels,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-067,EligibilityLedger,apps/web/src/app/planning/bulk/EligibilityLedger.tsx,PAGE_LOCAL_COMPONENT,REFINE,Eligibility Ledger,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
WP01-CMP-068,TargetingLensClient,apps/web/src/app/planning/bulk/TargetingLensClient.tsx,PAGE_LOCAL_COMPONENT,REFINE,Targeting Lens Client,"Keep current capability while aligning composition, state, RTL, accessibility and evidence truth.","Do not alter workflow, permission, provider, audit, offline or immutable-version behavior in design-only work.",Shared premium design-system pattern,Current source; WP-01 screenshots; governed screen reconciliation,PROPOSED_FOR_CLAUDE_DESIGN_REVIEW
