acceptance_id,area,criterion,status,evidence_refs,owner,blocking,notes
WP01-AC-038,Density,"The Density requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-039,Navigation,"The Navigation requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-040,Account/profile,"The Account/profile requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-041,Factory 360,"The Factory 360 requirement is explicit, source-backed and has direct evidence or an honest blocker.",FAIL_P0,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,YES,
WP01-AC-042,Virtual inspection,"The Virtual inspection requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-043,Cases/enforcement,"The Cases/enforcement requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-044,Public/reset,"The Public/reset requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-045,Screenshot provenance,"The Screenshot provenance requirement is explicit, source-backed and has direct evidence or an honest blocker.",PASS,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-046,Source authority,"The Source authority requirement is explicit, source-backed and has direct evidence or an honest blocker.",PASS,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-047,Design acceptance trace,"The Design acceptance trace requirement is explicit, source-backed and has direct evidence or an honest blocker.",PASS,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-048,No-code-change boundary,"The No-code-change boundary requirement is explicit, source-backed and has direct evidence or an honest blocker.",PASS,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,
WP01-AC-049,Sponsor decisions,"The Sponsor decisions requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
WP01-AC-050,Five-screen handoff,"The Five-screen handoff requirement is explicit, source-backed and has direct evidence or an honest blocker.",PARTIAL,"Inventory, findings and current screenshots",Claude Design for design response; Master Codex for sponsor decisions,NO,Requires design response and later runtime certification.
