finding_id,route,screen_id,persona,mode,locale,direction,theme,severity,category,observation,user_cost,evidence_path,evidence_status,source_refs,recommendation,acceptance_test,design_package,status
WP01-UI-0021,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Dark theme,Current en-LTR light evidence for /admin requires dark theme refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Verify contrast, map/chart palette, borders and disabled states in governed dark tokens.","On /admin in en-LTR light, verify: Verify contrast, map/chart palette, borders and disabled states in governed dark tokens.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0022,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Responsive behavior,Current en-LTR light evidence for /admin requires responsive behavior refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Define desktop, tablet and 412 px reflow without clipped identity or horizontal task loss.","On /admin in en-LTR light, verify: Define desktop, tablet and 412 px reflow without clipped identity or horizontal task loss.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0023,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Data provenance,Current en-LTR light evidence for /admin requires data provenance refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Visually distinguish production-like records from deterministic fixtures and suppress test artefacts in sponsor evidence.,"On /admin in en-LTR light, verify: Visually distinguish production-like records from deterministic fixtures and suppress test artefacts in sponsor evidence.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0024,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Evidence/audit,Current en-LTR light evidence for /admin requires evidence/audit refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Attach source, version, timestamp and immutable audit context to regulatory evidence.","On /admin in en-LTR light, verify: Attach source, version, timestamp and immutable audit context to regulatory evidence.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0025,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P1,State integrity,Current en-LTR light evidence for /admin requires state integrity refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Make draft, submitted, returned and immutable versions visually distinct with allowed actions only.","On /admin in en-LTR light, verify: Make draft, submitted, returned and immutable versions visually distinct with allowed actions only.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0026,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,ar-rtl-dark,ar,RTL,dark,P1,Visual hierarchy,Arabic RTL dark capture mixes English role/action labels and compresses account identity in the command bar.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Establish a single decision-first page header with job, lifecycle state, scope and one primary action.","On /admin in ar-RTL dark, verify: Establish a single decision-first page header with job, lifecycle state, scope and one primary action.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0027,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,ar-rtl-dark,ar,RTL,dark,P2,Action hierarchy,Current ar-RTL dark evidence for /admin requires action hierarchy refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Separate primary, secondary, destructive and irreversible actions by placement, color and confirmation.","On /admin in ar-RTL dark, verify: Separate primary, secondary, destructive and irreversible actions by placement, color and confirmation.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0028,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,ar-rtl-dark,ar,RTL,dark,P2,Density,Current ar-RTL dark evidence for /admin requires density refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Use progressive disclosure and bounded regions so the page remains scannable at operational data scale.,"On /admin in ar-RTL dark, verify: Use progressive disclosure and bounded regions so the page remains scannable at operational data scale.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0029,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,ar-rtl-dark,ar,RTL,dark,P2,Typography,Current ar-RTL dark evidence for /admin requires typography refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Apply the governed Arabic/Latin type scale with stable numerals, line height and truncation behavior.","On /admin in ar-RTL dark, verify: Apply the governed Arabic/Latin type scale with stable numerals, line height and truncation behavior.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0030,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,ar-rtl-dark,ar,RTL,dark,P2,Status semantics,Current ar-RTL dark evidence for /admin requires status semantics refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Use tokenized status labels with text, icon and color; never rely on color alone.","On /admin in ar-RTL dark, verify: Use tokenized status labels with text, icon and color; never rely on color alone.",CD-PREM-02,OPEN_EVIDENCED
