improvement_id,area,improvement,why_it_matters,affected_routes,severity,source_refs,acceptance_test,proposed_package,dedup_key,status
WP01-IMP-019,Onboarding,Use real Saudi industrial characters and correct PPE,Builds authenticity and trust,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,All media passes rights cultural and safety review,CD-PREM-02,onboarding-019,PROPOSED
WP01-IMP-020,Onboarding,Provide captions transcript poster and reduced-motion alternatives,Makes media inclusive,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every video has accessible equivalents and no audible autoplay,CD-PREM-02,onboarding-020,PROPOSED
WP01-IMP-021,Onboarding,Embed contextual micro-guides at first-use decision points,Reduces training burden,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Guides appear only when relevant and can be revisited without blocking work,CD-PREM-02,onboarding-021,PROPOSED
WP01-IMP-022,Onboarding,Link tutorials to the exact live route and state,Avoids generic training,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every chapter states its source route persona and product version,CD-PREM-02,onboarding-022,PROPOSED
WP01-IMP-023,Onboarding,Add a four-hour demonstration storyline with chapter navigation,Supports sales training and audit walkthrough,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,The complete platform can be demonstrated sequentially without skipping governed journeys,CD-PREM-02,onboarding-023,PROPOSED
WP01-IMP-024,Minister view,Use the existing Leadership boundary until a Minister role is approved,Protects RBAC integrity,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,No design or implementation creates an unapproved role,CD-PREM-03,minister-view-024,PROPOSED
WP01-IMP-025,Minister view,Synchronize national map ranked list KPIs and context panel,Enables visual decision-making,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Selecting any item updates all views with the same governed scope,CD-PREM-03,minister-view-025,PROPOSED
WP01-IMP-026,Minister view,Expose metric definition numerator denominator and lineage,Prevents black-box dashboards,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every displayed number drills to authorized source records,CD-PREM-03,minister-view-026,PROPOSED
WP01-IMP-027,Minister view,Add preset executive questions beside the composer,Improves discoverability,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Questions are limited to governed query templates and active access scope,CD-PREM-03,minister-view-027,PROPOSED
WP01-IMP-028,Minister view,Require citations freshness and uncertainty in AI answers,Makes AI defensible,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Unsupported questions return cannot answer instead of fabricated output,CD-PREM-03,minister-view-028,PROPOSED
WP01-IMP-029,Minister view,Separate factual briefing from human action,Preserves accountability,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,AI never creates a regulatory action without a governed human step,CD-PREM-03,minister-view-029,PROPOSED
WP01-IMP-030,Minister view,Provide yearly zonal sector risk compliance and remediation comparisons,Matches executive needs,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every comparison has a governed definition period and drilldown,CD-PREM-03,minister-view-030,PROPOSED
WP01-IMP-031,Maps,Pair every operational map with a synchronized accessible list,Improves comprehension and accessibility,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Map selection and list selection remain equivalent and keyboard operable,CD-PREM-03,maps-031,PROPOSED
WP01-IMP-032,Maps,Distinguish official verified inspection and projected locations,Prevents false geographic precision,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every location carries source confidence and time label,CD-PREM-04,maps-032,PROPOSED
WP01-IMP-033,Maps,Label projected routes persistently until real telemetry is live,Prevents stakeholder misunderstanding,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,No projected position is visually or textually presented as live GPS,CD-PREM-04,maps-033,PROPOSED
WP01-IMP-034,Planning,Show why each factory was selected with criteria and model version,Supports auditor explainability,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every target traces to rule data and manual override reason,CD-PREM-04,planning-034,PROPOSED
WP01-IMP-035,Planning,Combine calendar map workload and conflict resolution without hiding blockers,Improves assignment quality,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Planner can see timing geography capacity truth and unresolved conflicts together,CD-PREM-04,planning-035,PROPOSED
WP01-IMP-036,Factory 360,Turn Factory 360 into a decision-grade spatial timeline,Connects fragmented history,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Users can move from identity to visits findings actions documents and source evidence,CD-PREM-04,factory-360-036,PROPOSED
WP01-IMP-037,Operations,Prioritize exceptions by consequence and required next action,Reduces dashboard noise,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every alert identifies owner evidence urgency and allowed resolution,CD-PREM-04,operations-037,PROPOSED
WP01-IMP-038,Operations,Show service freshness and degradation per widget,Protects trust during partial outages,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,One stale feed does not contaminate other live or current sections,CD-PREM-04,operations-038,PROPOSED
WP01-IMP-039,Inspector,Design iPad as a field application rather than responsive desktop,Improves field usability,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Portrait and landscape journeys meet touch readability and interruption requirements,CD-PREM-05,inspector-039,PROPOSED
WP01-IMP-040,Inspector,Keep the valid next action and blockers persistent,Reduces field uncertainty,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Inspector always knows what is complete blocked and safe to do next,CD-PREM-05,inspector-040,PROPOSED
WP01-IMP-041,Inspector,Expose saved locally queued syncing synced failed and conflict states,Prevents silent data loss,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every draft and evidence item has truthful actionable sync status,CD-PREM-05,inspector-041,PROPOSED
WP01-IMP-042,Evidence,Show chain of custody and quality at capture time,Reduces review returns,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Evidence displays source time device link hash status and recoverable quality issues,CD-PREM-05,evidence-042,PROPOSED
WP01-IMP-043,Evidence,Use finding-centred capture rather than a generic attachment list,Improves traceability,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every evidence item is linked to question finding clause or approved exception,CD-PREM-05,evidence-043,PROPOSED
WP01-IMP-044,Submission,Use a pre-submit proof summary with fix links,Prevents incomplete immutable submission,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Every blocker navigates directly to the exact unresolved section,CD-PREM-05,submission-044,PROPOSED
WP01-IMP-045,Returned work,Highlight only editable returned scope and immutable prior content,Protects version integrity,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Locked content cannot appear editable and changes compare clearly,CD-PREM-05,returned-work-045,PROPOSED
WP01-IMP-046,Virtual inspection,Use readiness and participant verification as the room spine,Improves governed remote execution,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Appointment identity devices network state and next transition are always visible,CD-PREM-06,virtual-inspection-046,PROPOSED
WP01-IMP-047,Virtual inspection,Design provider-pending and low-bandwidth work modes honestly,Allows useful work without fake video,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Checklist evidence notes and fallback work while video remains explicitly unavailable,CD-PREM-06,virtual-inspection-047,PROPOSED
WP01-IMP-048,Review,Create a change-focused review and version comparison mode,Reduces reviewer cognitive load,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Reviewer navigates changed sections evidence and immutable comments efficiently,CD-PREM-06,review-048,PROPOSED
WP01-IMP-049,Committee,Generate a business-readable decision dossier with source drilldown,Supports defensible decisions,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Summary risk evidence history objections and recommendation each trace to governed records,CD-PREM-06,committee-049,PROPOSED
WP01-IMP-050,Audit,Provide a replayable inspection timeline across planning field evidence review and outcome,Supports internal and external audit,PLATFORM_WIDE_OR_PACKAGE_SCOPE,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FIFTY_ADDITIONAL_RECOMMENDATIONS.csv,Auditor reconstructs who what when where why version source and correlation without chat history,CD-PREM-06,audit-050,PROPOSED
WP01-IMP-051,Route orientation,Add a governed decision header and journey breadcrumb for /admin.,Closes a route-specific premium-system gap for /admin.,/admin,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-001,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-001-route-orientation,PROPOSED
WP01-IMP-052,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin.",Closes a route-specific premium-system gap for /admin.,/admin,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-001,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-001-state-and-evidence-truth,PROPOSED
WP01-IMP-053,Operational scale,"Bound, paginate or virtualize dense content on /admin while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin.,/admin,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-001,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-001-operational-scale,PROPOSED
WP01-IMP-054,Route orientation,Add a governed decision header and journey breadcrumb for /admin/access.,Closes a route-specific premium-system gap for /admin/access.,/admin/access,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-090,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-002-route-orientation,PROPOSED
WP01-IMP-055,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/access.",Closes a route-specific premium-system gap for /admin/access.,/admin/access,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-090,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-002-state-and-evidence-truth,PROPOSED
WP01-IMP-056,Operational scale,"Bound, paginate or virtualize dense content on /admin/access while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/access.,/admin/access,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-090,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-002-operational-scale,PROPOSED
WP01-IMP-057,Route orientation,Add a governed decision header and journey breadcrumb for /admin/gis.,Closes a route-specific premium-system gap for /admin/gis.,/admin/gis,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-070,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-003-route-orientation,PROPOSED
WP01-IMP-058,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/gis.",Closes a route-specific premium-system gap for /admin/gis.,/admin/gis,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-070,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-003-state-and-evidence-truth,PROPOSED
WP01-IMP-059,Operational scale,"Bound, paginate or virtualize dense content on /admin/gis while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/gis.,/admin/gis,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-070,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-003-operational-scale,PROPOSED
WP01-IMP-060,Route orientation,Add a governed decision header and journey breadcrumb for /admin/items.,Closes a route-specific premium-system gap for /admin/items.,/admin/items,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-020,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-004-route-orientation,PROPOSED
WP01-IMP-061,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/items.",Closes a route-specific premium-system gap for /admin/items.,/admin/items,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-020,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-004-state-and-evidence-truth,PROPOSED
WP01-IMP-062,Operational scale,"Bound, paginate or virtualize dense content on /admin/items while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/items.,/admin/items,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-020,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-004-operational-scale,PROPOSED
WP01-IMP-063,Route orientation,Add a governed decision header and journey breadcrumb for /admin/notifications.,Closes a route-specific premium-system gap for /admin/notifications.,/admin/notifications,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-080,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-005-route-orientation,PROPOSED
WP01-IMP-064,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/notifications.",Closes a route-specific premium-system gap for /admin/notifications.,/admin/notifications,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-080,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-005-state-and-evidence-truth,PROPOSED
WP01-IMP-065,Operational scale,"Bound, paginate or virtualize dense content on /admin/notifications while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/notifications.,/admin/notifications,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-080,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-005-operational-scale,PROPOSED
WP01-IMP-066,Route orientation,Add a governed decision header and journey breadcrumb for /admin/packages.,Closes a route-specific premium-system gap for /admin/packages.,/admin/packages,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-030,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-006-route-orientation,PROPOSED
