design_ac_id,screen_id,process_id,channel,design_outcome,required_evidence,status,reviewer,notes
DSG-SHELL-001,SHARED-AUTH-SHELL,"P00;P01;P02;P03;P10;P11;P12",Web/Admin,Role-scoped grouped Saqeel shell wires every supported business tab and omits unsupported destinations,"desktop expanded/collapsed; mobile AR RTL drawer; dark/light; keyboard; role matrix",sponsor_accepted_complete,Sponsor,"TASK-WEB-SHELL-001; authority/SHARED_SHELL_BUSINESS_TAB_CONTRACT_V1.md; targeted Playwright 10/10; full regression 41/41"
DSG-CMD-001,SHELL,P12,Web,"Dashboard/Operations Center/Factory 360 visible in primary nav to planner/inspector/reviewer/ops/leadership/auditor and hidden for admin-only roles","EN/AR dark/light desktop+narrow nav frames per persona",not_started,,"NEW_UI_RULE menu visibility; auditor gated until SL-1"
DSG-CMD-002,SHELL,P12,Web,"Menu-visible-but-data-scoped personas see governed empty/masked/partial states not errors on each surface","scoped-persona populated vs empty frames",not_started,,"menu != access; RLS authoritative (FND-001)"
DSG-CMD-003,/dashboard,P12,Web,"Strategic KPI catalogue (risk distribution, violation trend, decision mix, checklist-per-authority, risk-to-attention, repeat-violation) recomposed over existing data","strategic view populated + loading + partial-source",not_started,,"COVERED_BUT_UI_UNSPECIFIED; no new source"
DSG-CMD-004,/dashboard,P12,Web,"Compliance trend uses existing passed/answered formula; xlsx S1 wording slip ignored","trend frame + formula annotation",not_started,,"preserve business logic §5.1"
DSG-CMD-005,/dashboard,P12,Web,"Coverage and Uninspected-overdue render explicit Not-available-not-configured states","not-configured state frames",not_started,,"SL-7 decision-blocked; no invented cycle"
DSG-CMD-006,/dashboard,P12,Web,"Inspector-load shows relative load only with no invented capacity threshold","workload frame + unavailable-threshold note",not_started,,"O6 unavailable boundary"
DSG-CMD-007,/dashboard,P12,Web,"Pending-publish surfaced only as RBAC-gated admin-owned widget or omitted for non-admin","gated-widget vs non-admin frame",not_started,,"CONFLICT O5 data permission"
DSG-CMD-008,/dashboard,P12,Web,"Strategic AI Summary slot is deferred: deterministic labelled-non-AI list or empty deferred state","deferred-AI placeholder frame",not_started,,"OUT_OF_MVP1 Phase-2 AI"
DSG-CMD-009,SCR-WEB-500,P12,Web,"Live Operations Map + Inspector Card with projected-route labelling and drilldowns to visit/Factory 360","live map + inspector card + drill frames",not_started,,"COVERED M08-002/004/008/009"
DSG-CMD-010,SCR-WEB-500,P12,Web,"Inspector Card conditional-display contract: Arrived/Started/License No./Risk Level appear only when their fact exists","before/after arrival + missing-field frames",not_started,,"NEW_UI_RULE interaction §3.1"
DSG-CMD-011,SCR-WEB-500,P12,Web,"Regional Performance Map choropleth with region->factory->Factory 360 drill over existing metrics","national/regional/factory drill frames",not_started,,"NEW_UI_RULE composition"
DSG-CMD-012,SCR-WEB-500,P12,Web,"Regional map uses greyscale/ranked default; colour banding marked decision-blocked","ranked default frame + SL-2 note",not_started,,"SL-2 threshold policy absent"
DSG-CMD-013,SCR-WEB-500,P12,Web,"Operational Highlights deterministic priority-ordered panel with deep links; NL layer deferred labelled non-AI","highlights panel + deep-link frames",not_started,,"COVERED M08-007; AI deferred"
DSG-CMD-014,SCR-WEB-400,P12,Web,"Factory 360 CR->License-selector->single-plant IA shell; selecting a license refreshes all sections without leaving","cr overview + selector + refreshed-section frames",not_started,,"PARTIALLY_COVERED; SL-3 relation verify"
DSG-CMD-015,SCR-WEB-400,P12,Web,"CR Overview portfolio is counts-only with no CR-level risk or compliance number","portfolio summary frame",not_started,,"BR-005/006 honored"
DSG-CMD-016,SCR-WEB-400,P12,Web,"License Overview + factory-level Compliance Rate (existing formula) + compliance/risk trend charts + penalties over existing rows","overview + trends + penalties frames",not_started,,"PARTIALLY_COVERED build over existing data"
DSG-CMD-017,SCR-WEB-400,P12,Web,"Government Information and Machines rendered as unavailable-boundary sections unless Senaei feed confirmed","unavailable-boundary section frames",not_started,,"GENUINE_FUNCTIONAL_GAP SL-4/SL-5"
DSG-CMD-018,SCR-WEB-400,P12,Web,"Grouped document/image galleries with non-merge rule; viewer metadata-only","grouped gallery + blocked-viewer frame",not_started,,"DOC-002; SL-8 viewer blocked"
DSG-CMD-019,SCR-WEB-400,P12,Web,"AI Risk Explanation entry + traceable placeholder only; PDF export spec-only gated on governed export","deferred-AI + export-gated frames",not_started,,"BR-010 AI deferred; SL-6 export"
DSG-CMD-020,SHELL,P12,Web,"Direct-route authorization matches broadened nav on /dashboard and /operations with RLS unchanged","route-guard spec + unauthorized frame",not_started,,"NEW_UI_RULE §1.3; dashboard/page.tsx:100"
