requirement_id,acceptance_id,module,channel,status,note
MVP1-M01-033,AC-0033,Visit Planning - Planning,Web Portal,implemented,"[audit] Bulk cancel with reason, notifies inspectors, audit."
MVP1-M01-034,AC-0034,Visit Planning - Planning,Web Portal,verified_live,Single-visit wizard rendered + publish gate live-tested.
MVP1-M01-035,AC-0035,Visit Planning - Planning,Web Portal,verified_live,CR/code factory search exercised in wizard.
MVP1-M01-036,AC-0036,Visit Planning - Planning,Web Portal,implemented,[audit] License radio-select required before publish in wizard.
MVP1-M01-037,AC-0037,Visit Planning - Planning,Web Portal,implemented,[audit] Factory identity (name/code/CR/city/risk) displayed on match.
MVP1-M01-038,AC-0038,Visit Planning - Planning,Web Portal,implemented,[audit] GeoMap + planner lat/lng pin + confirm checkbox; saves planner pin when overridden.
MVP1-M01-039,AC-0039,Visit Planning - Planning,Web Portal,implemented,[audit] Visit type/window/mode/package config validated.
MVP1-M01-040,AC-0040,Visit Planning - Planning,Web Portal,implemented,[audit] Auto/manual assignment with in-window availability check.
MVP1-M01-041,AC-0041,Visit Planning - Planning,Web Portal,implemented,"[audit] Review validates duplicate/mandatory; blockers surfaced, entered work preserved."
MVP1-M01-042,AC-0042,Visit Planning - Planning,Web Portal,implemented,"[audit] Publish: visit ID, assign, notify, audit; planner pin persisted."
MVP1-M01-043,AC-0043,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Immediate visit Planner/Inspector workspace verified in the focused live suite.
MVP1-M01-044,AC-0044,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Registered factory search and identity-match blocker verified live.
MVP1-M01-045,AC-0045,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Minimum manual identity and generated-label provenance verified live.
MVP1-M01-046,AC-0046,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Blank-coordinate guard and Visit-level location provenance verified without master-coordinate overwrite.
MVP1-M01-047,AC-0047,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Planner window and Inspector start-now behavior verified live without an invented duration.
MVP1-M01-048,AC-0048,Visit Planning - Planning,Web Portal,verified_live,"[Codex live verification 2026-07-14] Eligibility, overlap serialization and Inspector self-assignment verified by the concurrent live test."
MVP1-M01-049,AC-0049,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Review/package/duplicate blockers and blocked-attempt audit verified live.
MVP1-M01-050,AC-0050,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Direct no-plan creation is atomic/idempotent and audit-complete in live concurrency tests.
MVP1-M01-051,AC-0051,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Inspector-created Visit enters the standard field start flow using the confirmed Visit location.
MVP1-M01-052,AC-0052,Visit Planning - Planning,Web Portal,verified_live,[Codex live verification 2026-07-14] Planner notification truth and Inspector no-notification behavior verified live.
MVP1-M02-001,AC-0053,Visit Planning - Management,Web Portal,implemented,"[audit] VisitsBoard loads KPIs, search, filters, visit list."
MVP1-M02-002,AC-0054,Visit Planning - Management,Web Portal,implemented,[audit] KPI tiles show draft/published/returned/cancelled/expired counts and filter list.
MVP1-M02-003,AC-0055,Visit Planning - Management,Web Portal,implemented,[audit] Search over Visit ID/factory/CR/license/inspector.
MVP1-M02-004,AC-0056,Visit Planning - Management,Web Portal,implemented,[audit] Status/type/mode/date-range filters refresh list.
MVP1-M02-005,AC-0057,Visit Planning - Management,Web Portal,implemented,"[audit] Detail: config, assignment, plan, versions, journey timeline; audit via browser."
MVP1-M02-006,AC-0058,Visit Planning - Management,Web Portal,implemented,[audit] Edit type/window/inspector/notes validated+audited (location edit not exposed).
MVP1-M02-007,AC-0059,Visit Planning - Management,Web Portal,implemented,"[audit] Multi-select bulk reschedule/reassign apply to selected, per-row audited."
MVP1-M02-008,AC-0060,Visit Planning - Management,Web Portal,implemented,[audit] Return reason surfaced; republish/cancel/reschedule in ActionBar.
MVP1-M02-009,AC-0061,Visit Planning - Management,Web Portal,implemented,[Codex remediation 2026-07-15] Republish queues the assigned-inspector notification through the shared adapter; queue failure is reported neutrally after the state change.
MVP1-M02-010,AC-0062,Visit Planning - Management,Web Portal,implemented,"[audit] Cancel with mandatory reason, notifies inspector, audit."
MVP1-M02-011,AC-0063,Visit Planning - Management,Web Portal,implemented,"[audit] Bulk cancel with reason, per-row outcome, notifies, audit."
MVP1-M02-012,AC-0064,Visit Planning - Management,Web Portal,verified_live,"[Codex live verification 2026-07-14] Same-factory active Visit detection is transaction-locked, blocked and audited in the live suite."
MVP1-M02-013,AC-0065,Visit Planning - Management,Web Portal,implemented,[audit] Journey/location event timeline chronological on detail; audit browser for events.
MVP1-M02-014,AC-0066,Visit Planning - Management,Web Portal,implemented,[audit] audit_events trigger records before/after/actor/timestamp; admin/audit browser.
MVP1-M02-015,AC-0067,Visit Planning - Management,Web Portal,implemented,[audit] guardPublishedNew/guardPreStart + canonical transitions enforce lifecycle.
MVP1-M02-016,AC-0068,Visit Planning - Management,Web Portal,implemented,"[audit] expire_lapsed_visits RPC persists published→expired, audit trigger records it."
MVP1-M02-017,AC-0069,Visit Planning - Management,Web Portal,implemented,[audit] plans/[id] drill-down lists every child visit with assignment.
MVP1-M02-018,AC-0070,Visit Planning - Management,Web Portal,implemented,[audit] Workload view: per-inspector active visits by week + capacity bars.
MVP1-M02-019,AC-0071,Visit Planning - Management,Web Portal,implemented,[audit] Planner workspace loads KPIs/filters/search/list/bulk actions.
MVP1-M02-020,AC-0072,Visit Planning - Management,Web Portal,implemented,[audit] Planning KPIs computed and displayed (counts + register).
MVP1-M02-021,AC-0073,Visit Planning - Management,Web Portal,implemented,[audit] Search includes Plan/Campaign ID (bulk plan doubles as campaign key).
MVP1-M02-022,AC-0074,Visit Planning - Management,Web Portal,implemented,[audit] Filters refresh list client-side over RLS-scoped page.
MVP1-M02-023,AC-0075,Visit Planning - Management,Web Portal,implemented,"[audit] Sort (window/factory) + row select + open (no group-by, minor)."
MVP1-M02-024,AC-0076,Visit Planning - Management,Web Portal,implemented,[audit] Detail shows factory/assignment/plan/location/timeline/attachments/versions.
MVP1-M02-025,AC-0077,Visit Planning - Management,Web Portal,implemented,"[audit] Editable fields validated, saved, audited via triggers."
MVP1-M02-026,AC-0078,Visit Planning - Management,Web Portal,implemented,[audit] Reassign: constrained eligible pool + pre-start guard + notify (no workload check).
MVP1-M02-027,AC-0079,Visit Planning - Management,Web Portal,implemented,"[audit] Reschedule validates dates + published/new state guard, updates window."
MVP1-M02-028,AC-0080,Visit Planning - Management,Web Portal,implemented,"[audit] Cancel with reason, notify inspector, audit."
MVP1-M02-029,AC-0081,Visit Planning - Management,Web Portal,implemented,[audit] Return reason shown + editable fields allow corrections.
MVP1-M02-030,AC-0082,Visit Planning - Management,Web Portal,implemented,[Codex remediation 2026-07-15] Republish notification wiring and failure truth are covered by the shared adapter and focused CD-027 checks.
MVP1-M02-031,AC-0083,Visit Planning - Management,Web Portal,implemented,[audit] Bulk shared-field update (reschedule/reassign) across selected.
MVP1-M02-032,AC-0084,Visit Planning - Management,Web Portal,implemented,[audit] Bulk reassign updates assignments + notifies new inspector per row.
MVP1-M02-033,AC-0085,Visit Planning - Management,Web Portal,implemented,[audit] Bulk reschedule validates window + updates selected.
MVP1-M02-034,AC-0086,Visit Planning - Management,Web Portal,implemented,[audit] Bulk cancel selected + notify inspectors.
MVP1-M02-035,AC-0087,Visit Planning - Management,Web Portal,implemented,"[audit] Plan register + drill-down: campaign info, progress, child stats."
MVP1-M02-036,AC-0088,Visit Planning - Management,Web Portal,implemented,[audit] Per-plan progress buckets completed/published/returned/cancelled/expired + bar.
MVP1-M02-037,AC-0089,Visit Planning - Management,Web Portal,implemented,[audit] Relative utilization bars; no absolute threshold invented (honest ENG-05).
MVP1-M02-038,AC-0090,Visit Planning - Management,Web Portal,implemented,[audit] CalendarBoard Day/Week/Month views in visit management.
MVP1-M02-039,AC-0091,Visit Planning - Management,Web Portal,verified_live,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] RLS-scoped Visit map, region filter, factory/Visit pins and list equivalent rendered through the planner persona against the live project on 2026-07-16."
MVP1-M02-040,AC-0092,Visit Planning - Management,Web Portal,implemented,[audit] Duplicate/overlap/missing-location detected at publish; capacity relative (no threshold).
MVP1-M02-041,AC-0093,Visit Planning - Management,Web Portal,implemented,[audit] Notifications for publish/return/cancel/reassign/reschedule/expiry all present.
MVP1-M02-042,AC-0094,Visit Planning - Management,Web Portal,implemented,"[audit] Attachments upload/list/soft-remove, signed URLs, audit trigger."
MVP1-M02-043,AC-0095,Visit Planning - Management,Web Portal,implemented,"[audit] Notes add/edit guarded update (visits_update RLS), audited."
MVP1-M02-044,AC-0096,Visit Planning - Management,Web Portal,implemented,[audit] audit_events records every activity chronologically; browser displays.
MVP1-M02-045,AC-0097,Visit Planning - Management,Web Portal,implemented,[audit] Audit trigger records before/after state on every data modification.
MVP1-M02-046,AC-0098,Visit Planning - Management,Web Portal,implemented,[audit] expire RPC notifies planner (and inspector) on published→expired flip.
MVP1-M03-001,AC-0099,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] SCR-IPAD-600 FieldHome: workload/inbox/views/search/filter/sort/expiry — BUILT
MVP1-M03-002,AC-0100,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,"[audit] FieldHome loads RLS-scoped visits + open/switch views, offline sync engine — BUILT"
MVP1-M03-003,AC-0101,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] Calendar/List/Map view switch over same rows (FieldHome) — BUILT
MVP1-M03-004,AC-0102,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] Text search + status/type/mode filter + window sort (FieldHome) — BUILT
MVP1-M03-005,AC-0103,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Field calendar drag submits a planner-owned reschedule request with the existing server guard.
MVP1-M03-006,AC-0104,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Field startup renders and submits the existing return-request form with neutral failure handling.
MVP1-M03-007,AC-0105,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] [visitId] page renders visit details + readiness — BUILT
MVP1-M03-008,AC-0106,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] Factory profile/history via factories 360 + Startup factory context — BUILT
MVP1-M03-009,AC-0107,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,"[audit] AI insights sub-capability — MVP2 by contract; recommendation panel is a scaffold, no live inference"
MVP1-M03-010,AC-0108,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,"[audit] planning/single Wizard: date/mode/package/inspector, resolves+publishes visit — BUILT"
MVP1-M03-011,AC-0109,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,"[audit] [visitId] eligibility panel: physical=GIS coords, virtual=OTP engine — BUILT"
MVP1-M03-012,AC-0110,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] admin/packages PackagePreview (inspector-view) + version-locked package — BUILT
MVP1-M03-013,AC-0111,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] Planning actions send notifications via configured-channel adapter (lib/notify) — BUILT
MVP1-M03-014,AC-0112,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] virtual ScheduleForm appointment + OTP room + reschedule actions — BUILT
MVP1-M03-015,AC-0113,Inspection Execution - Pre-Start,iPad / Inspector Workspace,implemented,[audit] expire_lapsed_visits rpc + FieldHome new/ready/expired/overdue display — BUILT
MVP1-M04-001,AC-0114,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-002,AC-0115,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-003,AC-0116,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-004,AC-0117,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-005,AC-0118,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-006,AC-0119,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-007,AC-0120,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-008,AC-0121,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-009,AC-0122,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-010,AC-0123,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-011,AC-0124,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-012,AC-0125,Physical Inspection Execution,iPad / Inspector Workspace,verified_live,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Inspector live replay persisted privacy-minimized device_id, os_version and app_version on the journey session through normal RLS on 2026-07-16."
MVP1-M04-013,AC-0126,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-014,AC-0127,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-015,AC-0128,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-016,AC-0129,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-017,AC-0130,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Traffic-aware Google Routes adapter, initial ETA request, neutral unavailable/no-route states and journey persistence are wired; the deployment has no provider API key and is not claimed provider-live."
MVP1-M04-018,AC-0131,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-019,AC-0132,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup journey: validate/session/device+GPS capture/nav/STM-OPS transition — BUILT
MVP1-M04-020,AC-0133,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-021,AC-0134,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-022,AC-0135,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-023,AC-0136,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-024,AC-0137,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] ETA refresh runs from live journey telemetry at the governed cadence and persists latest distance/time/provider facts; provider-unavailable behavior rendered live without fabricated ETA.
MVP1-M04-025,AC-0138,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-026,AC-0139,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-027,AC-0140,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-028,AC-0141,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-029,AC-0142,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-030,AC-0143,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-031,AC-0144,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-032,AC-0145,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-033,AC-0146,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-034,AC-0147,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-035,AC-0148,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-036,AC-0149,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup continuous tracking: telemetry/deviation/status/offline-queue/exception — BUILT
MVP1-M04-037,AC-0150,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-038,AC-0151,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-039,AC-0152,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-040,AC-0153,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-041,AC-0154,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-042,AC-0155,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-043,AC-0156,Physical Inspection Execution,iPad / Inspector Workspace,verified_live,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Outside-fence live replay proved mandatory reason, actual 1,112m-away coordinates, 5m accuracy, immutable override event, guarded arrived transition and visit audit on 2026-07-16."
MVP1-M04-044,AC-0157,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-045,AC-0158,Physical Inspection Execution,iPad / Inspector Workspace,verified_live,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Live inspector replay persisted arrival-linked comment evidence through normal RLS with SHA-256, synced_at and one private evidence object; independent database reconciliation passed on 2026-07-16."
MVP1-M04-046,AC-0159,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-047,AC-0160,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-048,AC-0161,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-049,AC-0162,Physical Inspection Execution,iPad / Inspector Workspace,implemented,"[audit] Startup geofence check-in: arrival detect, coords/accuracy/altitude, distance — BUILT"
MVP1-M04-050,AC-0163,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Arrival confirmation cards and summary are rendered in Startup and use the visit-linked field handoff.
MVP1-M04-051,AC-0164,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Factory arrival card is rendered with source-backed visit/factory identity.
MVP1-M04-052,AC-0165,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Visit arrival card is rendered with source-backed schedule and assignment identity.
MVP1-M04-053,AC-0166,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Arrival summary renders the available journey/distance/GPS facts without inventing a threshold.
MVP1-M04-054,AC-0167,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Arrival cards expose governed expand/collapse controls with keyboard-safe state.
MVP1-M04-055,AC-0168,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup proceed/session + guarded STM-OPS to executing; cancellation guard — BUILT
MVP1-M04-056,AC-0169,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Inspector cancellation form is rendered and submits the governed cancellation request.
MVP1-M04-057,AC-0170,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Cancellation reason selection is rendered from the governed reason source.
MVP1-M04-058,AC-0171,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[Codex remediation 2026-07-15] Cancellation evidence is queued through the visit-linked offline outbox path.
MVP1-M04-059,AC-0172,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup proceed/session + guarded STM-OPS to executing; cancellation guard — BUILT
MVP1-M04-060,AC-0173,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup proceed/session + guarded STM-OPS to executing; cancellation guard — BUILT
MVP1-M04-061,AC-0174,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Startup proceed/session + guarded STM-OPS to executing; cancellation guard — BUILT
MVP1-M04-062,AC-0175,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
MVP1-M04-063,AC-0176,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
MVP1-M04-064,AC-0177,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
MVP1-M04-065,AC-0178,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
MVP1-M04-066,AC-0179,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
MVP1-M04-067,AC-0180,Physical Inspection Execution,iPad / Inspector Workspace,implemented,[audit] Workspace wizard: sections/progress/completion/autosave/draft-resume/validation — BUILT
