scr_id,title,app_route,state,code_surface,EN-Light-1280,EN-Light-1024,EN-Light-720,EN-Dark-1280,EN-Dark-1024,EN-Dark-720,AR-Light-1280,AR-Light-1024,AR-Light-720,AR-Dark-1280,AR-Dark-1024,AR-Dark-720
SCR-ADM-160,Integrations,/admin/integrations,degraded,apps/web/src/app/(app)/admin/integrations/page.tsx,433:51816,793:126981,793:126989,793:127057,793:127065,793:127073,793:124843,793:127080,793:127210,793:127340,793:127470,793:127600
SCR-ADM-170,Risk Operations,/admin/risk/models,empty,apps/web/src/app/(app)/admin/risk/models/page.tsx,433:51960,793:127669,793:127677,793:127745,793:127753,793:127761,793:125224,793:127768,793:127898,793:128028,793:128158,793:128288
SCR-ADM-080,Notification & SLA Rules,/admin/notifications,delivery degraded,apps/web/src/app/(app)/admin/notifications/page.tsx,433:52104,794:126434,794:126442,794:126510,794:126518,794:126526,794:25425,794:126533,794:126663,794:126793,794:126923,794:127053
SCR-ADM-180,Localization Registry,/admin/localization,empty,apps/web/src/app/(app)/admin/localization/page.tsx,439:3395,793:131761,793:131769,793:131837,793:131845,793:131853,793:130237,793:131860,793:131990,793:132120,793:132250,793:132380
SCR-ADM-190,Platform Operations,/admin/operations,degraded,apps/web/src/app/(app)/admin/operations/page.tsx,439:3521,793:132449,793:132457,793:132525,793:132533,793:132541,793:130618,793:132548,793:132678,793:132808,793:132938,793:133068
SCR-ADM-200,Bulk Violation Assignment,/admin/bulk-violations,decision required,apps/web/src/app/(app)/admin/bulk-violations/page.tsx,439:3647,793:133137,793:133145,793:133213,793:133221,793:133229,793:130999,793:133236,793:133366,793:133496,793:133626,793:133756
SCR-ADM-210,Template Registry,/admin/templates,empty,apps/web/src/app/(app)/admin/templates/page.tsx,439:54008,793:133825,793:133833,793:133901,793:133909,793:133917,793:131380,793:133924,793:134054,793:134184,793:134314,793:134444
SCR-ADM-220,SENAI Integration Data,/admin/integrations/senai-data,degraded,apps/web/src/app/(app)/admin/integrations/senai-data/page.tsx,439:54134,793:137536,793:137544,793:137612,793:137620,793:137628,793:136393,793:137635,793:137765,793:137895,793:138025,793:138155
SCR-ADM-230,Factory Data Control,/admin/integrations/factory-data,empty,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,439:54260,793:138224,793:138232,793:138300,793:138308,793:138316,793:136774,793:138323,793:138453,793:138583,793:138713,793:138843
SCR-ADM-240,GIS Spatial Administration,/admin/gis/spatial,empty,apps/web/src/app/(app)/admin/gis/spatial/page.tsx,439:54386,793:138912,793:138920,793:138988,793:138996,793:139004,793:137155,793:139011,793:139141,793:139271,793:139401,793:139531
SCR-ADM-250,Compliance Request Detail,/admin/compliance-requests/[id],ready,apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,447:55815,794:127122,794:127144,794:127226,794:127248,794:127270,794:25806,794:127291,794:127421,794:127551,794:127681,794:127811
SCR-ADM-260,Approval Decision,/admin/compliance-approvals/[id],decision ready,apps/web/src/app/(app)/admin/compliance-approvals/[id]/page.tsx,447:55823,794:127880,794:127902,794:127984,794:128006,794:128028,794:26168,794:128049,794:128179,794:128309,794:128439,794:128569
SCR-ADM-270,Enforcement Recommendation Detail,/admin/enforcement-recommendations/[id],decision ready,apps/web/src/app/(app)/admin/enforcement-recommendations/[id]/page.tsx,447:55831,794:128638,794:128660,794:128742,794:128764,794:128786,794:26530,794:128807,794:128937,794:129067,794:129197,794:129327
SCR-ADM-280,User Directory,/admin/users,access review,apps/web/src/app/(app)/admin/users/page.tsx,447:55839,795:127981,795:128003,795:128085,795:128107,795:128129,795:26991,795:128150,795:128280,795:128410,795:128540,795:128670
SCR-ADM-290,Role Detail,/admin/access/roles/[id],access review,apps/web/src/app/(app)/admin/access/roles/[id]/page.tsx,447:55847,795:128739,795:128761,795:128843,795:128865,795:128887,795:27353,795:128908,795:129038,795:129168,795:129298,795:129428
SCR-ADM-300,Audit Event Detail,/admin/audit/[id],integrity verified,apps/web/src/app/(app)/admin/audit/[id]/page.tsx,447:55855,795:129497,795:129519,795:129601,795:129623,795:129645,795:27715,795:129666,795:129796,795:129926,795:130056,795:130186
SCR-ADM-310,Trusted Device Detail,/admin/devices/[id],revoke ready,apps/web/src/app/(app)/admin/devices/[id]/page.tsx,447:55863,795:130255,795:130277,795:130359,795:130381,795:130403,795:28077,795:130424,795:130554,795:130684,795:130814,795:130944
SCR-ADM-320,Integration Detail,/admin/integrations/[id],recovery,apps/web/src/app/(app)/admin/integrations/[id]/page.tsx,447:58983,795:134069,795:134091,795:134173,795:134195,795:134217,795:132621,795:134238,795:134368,795:134498,795:134628,795:134758
SCR-ADM-330,Risk Model Detail,/admin/risk/models/[id],review ready,apps/web/src/app/(app)/admin/risk/models/[id]/page.tsx,447:58991,795:134827,795:134849,795:134931,795:134953,795:134975,795:132983,795:134996,795:135126,795:135256,795:135386,795:135516
SCR-ADM-340,Notification Delivery Log,/admin/notifications/delivery,recovery,apps/web/src/app/(app)/admin/notifications/delivery/page.tsx,447:58999,795:135585,795:135607,795:135689,795:135711,795:135733,795:133345,795:135754,795:135884,795:136014,795:136144,795:136274
SCR-ADM-350,Localization Key Detail,/admin/localization/[key],ready,apps/web/src/app/(app)/admin/localization/[key]/page.tsx,447:59007,795:136343,795:136365,795:136447,795:136469,795:136491,795:133707,795:136512,795:136642,795:136772,795:136902,795:137032
SCR-ADM-360,Template Detail,/admin/templates/[id],ready,apps/web/src/app/(app)/admin/templates/[id]/page.tsx,447:59015,795:139787,795:139809,795:139891,795:139913,795:139935,795:138701,795:139956,795:140086,795:140216,795:140346,795:140476
SCR-ADM-370,Operations Incident Detail,/admin/operations/incidents/[id],degraded,apps/web/src/app/(app)/admin/operations/incidents/[id]/page.tsx,447:59023,795:140545,795:140567,795:140649,795:140671,795:140693,795:139063,795:140714,795:140844,795:140974,795:141104,795:141234
SCR-ADM-380,GIS Layer Detail,/admin/gis/spatial/[id],ready,apps/web/src/app/(app)/admin/gis/spatial/[id]/page.tsx,447:59031,795:141303,795:141325,795:141407,795:141429,795:141451,795:139425,795:141472,795:141602,795:141732,795:141862,795:141992
SCR-ADM-101,Compliance Requests,/admin/compliance-requests,submitted,apps/web/src/app/(app)/admin/compliance-requests/page.tsx,447:61575,796:131501,796:131513,796:131585,796:131597,796:131609,796:30455,796:131620,796:131750,796:131880,796:132010,796:132140
SCR-ADM-111,Compliance Approval Queue,/admin/compliance-approvals,completed,apps/web/src/app/(app)/admin/compliance-approvals/page.tsx,447:61583,796:132209,796:132221,796:132293,796:132305,796:132317,796:30831,796:132328,796:132458,796:132588,796:132718,796:132848
SCR-ADM-121,Enforcement Recommendations,/admin/enforcement-recommendations,completed,apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx,447:61591,796:132917,796:132929,796:133001,796:133013,796:133025,796:31207,796:133036,796:133166,796:133296,796:133426,796:133556
SCR-ADM-131,Security Access,/admin/security-access,recovery,apps/web/src/app/(app)/admin/security-access/page.tsx,447:61599,796:133625,796:133637,796:133709,796:133721,796:133733,796:31583,796:133744,796:133874,796:134004,796:134134,796:134264
SCR-ADM-141,Audit Replay,/admin/audit,integrity error,apps/web/src/app/(app)/admin/audit/page.tsx,447:61607,797:133221,797:133233,797:133305,797:133317,797:133329,797:31799,797:133340,797:133470,797:133600,797:133730,797:133860
SCR-ADM-151,Trusted Devices,/admin/devices,revoked,apps/web/src/app/(app)/admin/devices/page.tsx,447:61615,797:133929,797:133941,797:134013,797:134025,797:134037,797:32175,797:134048,797:134178,797:134308,797:134438,797:134568
SCR-ADM-161,Integrations,/admin/integrations,recovered,apps/web/src/app/(app)/admin/integrations/page.tsx,447:61623,797:134637,797:134649,797:134721,797:134733,797:134745,797:32551,797:134756,797:134886,797:135016,797:135146,797:135276
SCR-ADM-171,Risk Operations,/admin/risk/models,validation blocked,apps/web/src/app/(app)/admin/risk/models/page.tsx,447:61631,797:135345,797:135357,797:135429,797:135441,797:135453,797:32927,797:135464,797:135594,797:135724,797:135854,797:135984
SCR-ADM-081,Notification & SLA Rules,/admin/notifications,recovered,apps/web/src/app/(app)/admin/notifications/page.tsx,447:61639,797:136053,797:136065,797:136137,797:136149,797:136161,797:33303,797:136172,797:136302,797:136432,797:136562,797:136692
SCR-ADM-390,API Clients,/admin/access/api-clients,review ready,apps/web/src/app/(app)/admin/access/api-clients/page.tsx,455:67164,798:134469,798:134491,798:134573,798:134595,798:134617,798:33479,798:134638,798:134768,798:134898,798:135028,798:135158
SCR-ADM-400,Service Accounts,/admin/access/service-accounts,review ready,apps/web/src/app/(app)/admin/access/service-accounts/page.tsx,455:67290,798:135227,798:135249,798:135331,798:135353,798:135375,798:33841,798:135396,798:135526,798:135656,798:135786,798:135916
SCR-ADM-410,Integration Credentials,/admin/integrations/[id]/credentials,rotation due,apps/web/src/app/(app)/admin/integrations/[id]/credentials/page.tsx,455:67416,798:135985,798:136007,798:136089,798:136111,798:136133,798:34203,798:136154,798:136284,798:136414,798:136544,798:136674
SCR-ADM-420,Risk Threshold Version,/admin/risk/models/[id]/thresholds,approval required,apps/web/src/app/(app)/admin/risk/models/[id]/thresholds/page.tsx,455:67542,798:136743,798:136765,798:136847,798:136869,798:136891,798:34565,798:136912,798:137042,798:137172,798:137302,798:137432
SCR-ADM-430,Notification Channel Detail,/admin/notifications/channels/[id],degraded,apps/web/src/app/(app)/admin/notifications/channels/[id]/page.tsx,455:67668,799:135291,799:135313,799:135395,799:135417,799:135439,799:34663,799:135460,799:135590,799:135720,799:135850,799:135980
SCR-ADM-440,Audit Export,/admin/audit/exports,ready,apps/web/src/app/(app)/admin/audit/exports/page.tsx,455:67794,799:136049,799:136071,799:136153,799:136175,799:136197,799:35025,799:136218,799:136348,799:136478,799:136608,799:136738
SCR-ADM-450,Device Policy,/admin/devices/policies,review ready,apps/web/src/app/(app)/admin/devices/policies/page.tsx,455:67920,799:136807,799:136829,799:136911,799:136933,799:136955,799:35387,799:136976,799:137106,799:137236,799:137366,799:137496
