requirement_id,module,capability,classification,process_phases,journey,authoritative_storyboard,channel,screens,states,state_transitions,behavior,acceptance_id,evidence_contracts,error_contracts,source
MVP1-M01-011,Visit Planning - Planning,Select Planning Method,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select Bulk, Single or Immediate. -> Load corresponding planning workflow.",AC-0011,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 12
MVP1-M01-012,Visit Planning - Planning,Build Planning Criteria,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Add/remove filters, combine using AND/OR. -> Validate criteria.",AC-0012,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 13
MVP1-M01-013,Visit Planning - Planning,Retrieve Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Click Search. -> Execute search and return matching factories.,AC-0013,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 14
MVP1-M01-014,Visit Planning - Planning,Review Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Sort, filter, open factory profile. -> Display factory information.",AC-0014,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 15
MVP1-M01-015,Visit Planning - Planning,Select Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select/unselect individual or multiple factories. -> Store selected factories.,AC-0015,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 16
MVP1-M01-016,Visit Planning - Planning,AI Planning Summary,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Review AI summary. -> Generate campaign summary.,AC-0016,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 17
MVP1-M01-017,Visit Planning - Planning,Configure Visit Details,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select Visit Type, Visit Window, Assignment Method, Notes. -> Validate mandatory fields.",AC-0017,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 18
MVP1-M01-018,Visit Planning - Planning,Auto Assignment,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Choose Auto. -> Allocate inspectors.,AC-0018,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 19
MVP1-M01-019,Visit Planning - Planning,Manual Assignment,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select inspectors manually. -> Validate availability.,AC-0019,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 20
MVP1-M01-020,Visit Planning - Planning,Review & Publish,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Review and confirm. -> Validate duplicates, create Visit Plan, create Visits, notify inspectors, update calendars, audit.",AC-0020,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 21
MVP1-M01-021,Visit Planning - Planning,Select Planning Method,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select Bulk Planning. -> Load Bulk Planning workspace.,AC-0021,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 22
MVP1-M01-022,Visit Planning - Planning,Build Planning Criteria,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Add, remove and combine filter keys using AND / OR logic. -> Validate filters and prepare search query.",AC-0022,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 23
MVP1-M01-023,Visit Planning - Planning,Search Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Click Search. -> Execute search and retrieve all matching factories.,AC-0023,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 24
MVP1-M01-024,Visit Planning - Planning,Review Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"View factory details, sort list, filter results, open factory profile. -> Display complete factory information.",AC-0024,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 25
MVP1-M01-025,Visit Planning - Planning,Select Target Factories,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select, unselect or select all factories. -> Store selected factories.",AC-0025,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 26
MVP1-M01-026,Visit Planning - Planning,AI Planning Summary,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Review AI recommendations. -> Generate campaign summary.,AC-0026,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 27
MVP1-M01-027,Visit Planning - Planning,Configure Visit Details,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Configure Business Visit Type, Visit Window, Assignment Method and Notes. -> Validate mandatory information.",AC-0027,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 28
MVP1-M01-028,Visit Planning - Planning,Automatic Inspector Assignment,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select Auto Assignment. -> Assign inspectors according to configured strategy.,AC-0028,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 29
MVP1-M01-029,Visit Planning - Planning,Manual Inspector Assignment,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select inspector for one or multiple visits. -> Validate inspector eligibility and assignment conflicts.,AC-0029,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 30
MVP1-M01-030,Visit Planning - Planning,Review Visit Plan,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Review selected factories, assignments and visit configuration. -> Validate mandatory data, detect duplicate visits and highlight validation errors.",AC-0030,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 31
MVP1-M01-031,Visit Planning - Planning,Publish Visit Plan,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Confirm publishing. -> Create Visit Plan, generate individual Visit IDs, assign inspectors, update inspector calendars, send notifications, create audit records and move visits to Published status.",AC-0031,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 32
MVP1-M01-032,Visit Planning - Planning,Bulk Edit Visit Plan,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Modify one or more fields and save changes. -> Apply updates to all selected child visits and record audit logs.,AC-0032,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 33
MVP1-M01-033,Visit Planning - Planning,Bulk Cancel Visits,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select visits and provide cancellation reason. -> Cancel selected visits, notify inspectors and record audit logs.",AC-0033,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 34
MVP1-M01-034,Visit Planning - Planning,Select Single Planning,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select Single Planning. -> Load the Single Planning workspace.,AC-0034,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 35
MVP1-M01-035,Visit Planning - Planning,Search Factory,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Search using CR Number or Industrial License Number. -> Validate search input and retrieve matching records.,AC-0035,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 36
MVP1-M01-036,Visit Planning - Planning,Select Industrial License,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select one Industrial License. -> Retrieve selected license details.,AC-0036,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 37
MVP1-M01-037,Visit Planning - Planning,Retrieve Factory Profile,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Review retrieved information. -> Display factory information including CR, Industrial License, Factory Name, Region, City, License Stage and Status.",AC-0037,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 38
MVP1-M01-038,Visit Planning - Planning,Verify Factory Location,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Confirm location, modify map pin or manually pin a new location. -> Display existing location and save updates if modified.",AC-0038,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 39
MVP1-M01-039,Visit Planning - Planning,Configure Visit Details,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,"Select Business Visit Type, Visit Window, Assignment Method and Notes. -> Validate mandatory fields.",AC-0039,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 40
MVP1-M01-040,Visit Planning - Planning,Assign Inspector,MVP1 Mandatory,P01;P02;P03,"SB04 Visit Planning - Planning Methods, Targeting and Publishing",SB04,Web Portal,SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130;SCR-WEB-140;SCR-WEB-150,Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,STM-PLAN-001;STM-PLAN-002,Select Auto Assignment or Manual Assignment. -> Assign inspector and validate availability.,AC-0040,EV-003;EV-001;EV-011;EV-012,ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001,Inspection Project.xlsx | Visit Planning-Planning | row 41
