acceptance_id,requirement_id,module,actor,input_preconditions,input_action,ui_result_visible,backend_result,business_rule,workflow_state_impact,audit_impact,evidence_impact,failure_recovery,proof_required,test_level,regression_guard
AC-0001,MVP1-M01-001,Visit Planning - Planning,"Planner, Inspector","User Authentication, Role & Permission Management",Select planning method.,User can access only the planning methods permitted by their role.,Load the selected planning workflow.,"Three planning methods are supported: Bulk, Single and Immediate.",STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-001 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-001 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0012,MVP1-M01-012,Visit Planning - Planning,Planner,Factory Master Data,"Add/remove filters, combine using AND/OR.",Planner can create valid search criteria.,Validate criteria.,Unlimited filter combinations supported.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-012 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-012 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0013,MVP1-M01-013,Visit Planning - Planning,Planner,Search Engine,Click Search.,Matching factories displayed.,Execute search and return matching factories.,Only matching factories are returned.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-013 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-013 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0014,MVP1-M01-014,Visit Planning - Planning,Planner,Factory Repository,"Sort, filter, open factory profile.",Planner can review every returned factory.,Display factory information.,Factories are read-only during review.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-014 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-014 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0015,MVP1-M01-015,Visit Planning - Planning,Planner,Retrieved Factories,Select/unselect individual or multiple factories.,Selected factories are saved.,Store selected factories.,Only selected factories proceed.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-015 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-015 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0016,MVP1-M01-016,Visit Planning - Planning,"Planner, AI",AI Engine,Review AI summary.,Summary generated successfully.,Generate campaign summary.,Informational only.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-016 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-016 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0017,MVP1-M01-017,Visit Planning - Planning,Planner,Visit Configuration,"Select Visit Type, Visit Window, Assignment Method, Notes.",Configuration saved successfully.,Validate mandatory fields.,Applies to all selected visits.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-017 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-017 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0018,MVP1-M01-018,Visit Planning - Planning,Planner,Assignment Engine,Choose Auto.,Inspectors assigned successfully.,Allocate inspectors.,Every visit must have an inspector.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-018 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-018 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0019,MVP1-M01-019,Visit Planning - Planning,Planner,Inspector Master Data,Select inspectors manually.,Manual assignment completed successfully.,Validate availability.,Manual assignment overrides auto assignment.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-019 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-019 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0020,MVP1-M01-020,Visit Planning - Planning,Planner,"Notification Service, Calendar Service",Review and confirm.,Visit Plan successfully published.,"Validate duplicates, create Visit Plan, create Visits, notify inspectors, update calendars, audit.",Visits become available to inspectors immediately.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-020 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-020 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0021,MVP1-M01-021,Visit Planning - Planning,Planner,Visit Planning Permission,Select Bulk Planning.,Bulk Planning workspace opens successfully.,Load Bulk Planning workspace.,Planner must select one planning method before proceeding.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-021 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-021 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0022,MVP1-M01-022,Visit Planning - Planning,Planner,"Factory Master Data, Search Engine","Add, remove and combine filter keys using AND / OR logic.",Planner can successfully define one or more planning criteria.,Validate filters and prepare search query.,Unlimited filters are supported. Multiple AND/OR conditions are allowed.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-022 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-022 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0023,MVP1-M01-023,Visit Planning - Planning,Planner,Factory Repository,Click Search.,Matching factories are displayed successfully.,Execute search and retrieve all matching factories.,Only factories satisfying the selected criteria are returned.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-023 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-023 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0024,MVP1-M01-024,Visit Planning - Planning,Planner,Factory Repository,"View factory details, sort list, filter results, open factory profile.",Planner can review all returned factories.,Display complete factory information.,No visits are created during review.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-024 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-024 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0025,MVP1-M01-025,Visit Planning - Planning,Planner,Retrieved Factory List,"Select, unselect or select all factories.",Only selected factories are included in the Visit Plan.,Store selected factories.,Only selected factories proceed to planning.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-025 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-025 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0026,MVP1-M01-026,Visit Planning - Planning,"Planner, AI",AI Recommendation Engine,Review AI recommendations.,AI summary is generated successfully before publishing.,Generate campaign summary.,AI recommendations are advisory only and do not modify the plan automatically.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-026 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-026 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
