acceptance_id,category,actor_roles,operations_view,precise_location_identity,resolve_exception,approve_active_cancel,profile_region,org_scope,national_scope,scenario,expected_route,expected_projection,expected_write,negative_leakage_assertion,requirements,status
OPS-AUTH-AC-017,PRECISE_LOCATION,ops,present,absent,present,present,Riyadh,Operations,absent,"Ops has route and write capabilities but precise-location capability is absent or revoked","Allowed","Reduced non-precise projection","Capability-governed non-location writes may remain","Role name alone must not restore precise GPS or identity after capability removal","CR-433;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-018,PRECISE_LOCATION,ops,present,present,present,present,Riyadh,Operations,absent,"Visit is not in an active journey/execution state","Allowed","No inspector position; honest policy-hidden/unavailable state","None","Historical geo_event rows must not produce a current inspector marker or identity disclosure","CR-433;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-019,MONITORING_PROJECTION,planner,present,absent,absent,absent,Riyadh,Planning,absent,"Planner projection contains active visits and factories","Allowed","Visit/factory/status/schedule/workload facts needed for planning only","None","No Operations exception decisions, raw location history, inspector identity or national data beyond scope","CR-430;CR-433;CR-439;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-020,MONITORING_PROJECTION,leadership,present,absent,absent,absent,Riyadh,Leadership,absent,"Leadership projection contains national or regional posture","Allowed","Aggregated KPI and authorized-geography posture with masking","None","No row-level inspector, geo-event, action owner or sensitive queue payload","CR-430;CR-433;CR-439;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-021,MONITORING_PROJECTION,ops,present,present,present,present,Riyadh,Operations,absent,"Ops projection contains live map/list and operational queues","Allowed","Full authorized operational data with truthful provenance","Capability-governed controls only","No unsupported data source, cross-scope row or monitoring claim","CR-430;CR-433;CR-439;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-022,WRITE,planner,present,absent,absent,absent,Riyadh,Planning,absent,"Planner submits resolve-exception action","Allowed read route","Planner monitoring-only projection","Denied; zero mutation","No success toast, changed status, audit-success claim or side effect","CR-430;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-023,WRITE,leadership,present,absent,absent,absent,Riyadh,Leadership,absent,"Leadership submits active-cancellation decision","Allowed read route","Leadership aggregate/masked projection","Denied; zero mutation","No cancellation status, visit state, assignment, journey or notification mutation","CR-430;CR-447;RBAC-008;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-024,WRITE,planner,present,absent,absent,absent,Riyadh,Planning,absent,"Planner calls decide_geo_override directly","Allowed read route if D01 retains Planner","Planner monitoring-only projection","Denied by ops authority; zero mutation","No request decision, visit state, geo_event or audit-success row","CR-430;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-025,WRITE,reviewer,absent,absent,absent,absent,Riyadh,null,absent,"Reviewer calls an Operations server action without route access","Unauthorized route","No Operations payload","Denied; zero mutation","Direct action invocation must not rely on the route UI being hidden","CR-430;CR-447;RBAC-011",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-026,WRITE,ops,present,present,absent,present,Riyadh,Operations,absent,"Ops lacks operations.resolve_exception and submits resolve action","Allowed","Ops read projection within scope","Denied; zero mutation","Ops role alone must not bypass a revoked resolve capability","CR-430;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-027,WRITE,ops,present,present,present,absent,Riyadh,Operations,absent,"Ops lacks operations.approve_active_cancel and submits cancellation decision","Allowed","Ops read projection within scope","Denied; zero mutation","No visit, cancellation request, assignment, journey, inspection or notification mutation","CR-430;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-028,WRITE,ops,present,present,present,present,Riyadh,Operations,absent,"Ops has resolve capability and performs a valid in-scope exception transition","Allowed","Ops projection within scope","Allowed through canonical guarded transition","Mutation must be limited to the named record and canonical audit side effects","CR-430;CR-447;RBAC-008",PROPOSED_POSITIVE_CONTROL_PENDING_SPONSOR
OPS-AUTH-AC-029,WRITE,ops,present,present,present,present,Riyadh,Operations,absent,"Ops decides own request or an already-decided request","Allowed","Ops projection within scope","Denied; zero additional mutation","Requester/decider separation and idempotent terminal state remain enforced","CR-430;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-030,REGION_SCOPE,ops,present,present,present,present,Riyadh,Operations,absent,"Ops requests Riyadh while profile scope is Riyadh","Allowed","Only Riyadh factories, visits, inspectors, counts, filters, maps, alerts and queues","In-scope capability actions only","No non-Riyadh row or aggregate contribution","CR-439;CR-447;RBAC-008",PROPOSED_POSITIVE_CONTROL_PENDING_SPONSOR
OPS-AUTH-AC-031,REGION_SCOPE,ops,present,present,present,present,Riyadh,Operations,absent,"Ops forges ?region=Eastern while profile scope is Riyadh","Allowed route with authorized scope","Empty/denied Eastern selection or scope-safe response","None on Eastern records","No Eastern option, count, pin, list row, inspector, error distinction or record existence disclosure","CR-439;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-032,REGION_SCOPE,planner,present,absent,absent,absent,Riyadh,Planning,absent,"Planner requests an out-of-scope city through query parameters","Allowed route with authorized scope","Planner projection remains within authorized region/organization","None","Client parameters cannot expand server-authorized geography","CR-439;CR-447;RBAC-007",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-033,REGION_SCOPE,leadership,present,absent,absent,absent,Eastern,Leadership-East,absent,"Leadership views authorized Eastern aggregate","Allowed","Eastern aggregate/masked posture only","None","No record-level inspector/location and no contribution from other regions","CR-439;CR-447;RBAC-013",PROPOSED_POSITIVE_CONTROL_PENDING_SPONSOR
OPS-AUTH-AC-034,REGION_SCOPE,leadership,present,absent,absent,absent,Eastern,Leadership-East,absent,"Leadership attempts Riyadh drill from Eastern scope","Allowed route with authorized scope","No Riyadh drill data","None","No counts, filters, factories, inspectors or existence hint for Riyadh","CR-439;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-035,NULL_SCOPE,ops,present,present,present,present,null,null,absent,"Ops has operations.view but both profile scope fields are null","Fail closed with explicit scope-unconfigured state before protected regional reads","No Operations records","None","Null must not imply national; no all-region filters, counts, map or queue facts","CR-439;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-036,NULL_SCOPE,planner,present,absent,absent,absent,"",Planning,absent,"Planner region is blank/empty rather than a governed value","Fail closed or organization-only only if D04 explicitly approves that mapping","No unapproved geographic records","None","Empty string must not become national access","CR-439;CR-447;RBAC-007",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-037,NULL_SCOPE,leadership,present,absent,absent,absent,null,Leadership-National,absent,"Leadership has organization text implying National but no explicit national capability","Fail closed or bounded to a separately approved organization mapping","No inferred national data","None","Free-text org_scope must not substitute for explicit national authorization","CR-439;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-038,NATIONAL_SCOPE,ops,present,present,present,present,Riyadh,Operations,present,"Ops has explicit operations.view_all_regions","Allowed","All-region Ops projection, still respecting D02 and write capabilities","Authorized actions only within separately approved action scope","National access derives from the explicit grant, not null/profile inference","CR-439;CR-447;RBAC-008",PROPOSED_POSITIVE_CONTROL_PENDING_SPONSOR
OPS-AUTH-AC-039,NATIONAL_SCOPE,planner,present,absent,absent,absent,Riyadh,Planning,present,"Planner has explicit national grant","Allowed","All-region Planner monitoring-only projection","None","National geography must not expand to precise GPS, identity or write authority","CR-433;CR-439;CR-447;RBAC-007",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-040,NATIONAL_SCOPE,leadership,present,absent,absent,absent,Eastern,Leadership,present,"Leadership has explicit national grant","Allowed","National aggregate/masked Executive projection","None","National geography must not expand to row-level inspector identity or precise GPS","CR-433;CR-439;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-041,NATIONAL_SCOPE,ops,present,present,present,present,Riyadh,Operations,revoked,"National grant is revoked between requests","Allowed with regional scope only","Next authoritative read returns only Riyadh","Actions limited to current authorized scope","No stale cached national rows, filter options, map pins or counts survive the authoritative refresh","CR-439;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-042,NATIONAL_SCOPE,reviewer,absent,absent,absent,absent,Riyadh,null,present_invalid_combination,"Reviewer has national-scope grant but lacks operations.view","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","National grant alone must not create route/view permission","CR-430;CR-439;CR-447;RBAC-011",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-043,ERROR_BOUNDARY,ops,present,present,present,present,Riyadh,Operations,absent,"Authorized in-scope query returns zero rows under RLS","Allowed","Truthful empty state","None","Empty authorized scope must not be labelled unauthorized or fetch failure","CR-447;CR-448",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-044,ERROR_BOUNDARY,ops,present,present,present,present,Riyadh,Operations,absent,"Authorized geo-event read fails while other scoped sources succeed","Allowed","Explicit position-read error; unrelated safe widgets may remain","None","Failure must not become projected/unavailable provenance or expose diagnostic/database detail","CR-447;CR-448",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-045,ERROR_BOUNDARY,role_less,absent,absent,absent,absent,null,null,absent,"Unauthorized actor's protected source would fail if queried","Explicit unauthorized frame before query","No source error or Operations payload","None","Error behavior must not prove table existence or disclose that a protected query was attempted","CR-447;CR-448",PROPOSED_PENDING_SPONSOR
