source_line_id,source_type,style_or_shape,verbatim_text
PLN-SRC-0040-R11,table_row,4 columns,Contact Email || Senaei || According to rule / edited || Available factory email address.
PLN-SRC-0040-R12,table_row,4 columns,Region || Senaei / location record || Controlled edit || Registered region.
PLN-SRC-0040-R13,table_row,4 columns,City || Senaei / location record || Controlled edit || Registered city.
PLN-SRC-0040-R14,table_row,4 columns,"Coordinates || Senaei / license || Controlled edit || Latitude and longitude, when available."
PLN-SRC-0040-R15,table_row,4 columns,"Location Source || System || No || License, Planner, Inspector, or other configured source."
PLN-SRC-0040-R16,table_row,4 columns,"Land Provider || Senaei || No || Land provider, when available."
PLN-SRC-0040-R17,table_row,4 columns,Sector || Senaei || No || Factory sector.
PLN-SRC-0040-R18,table_row,4 columns,Activities || Senaei || No || Registered industrial activities.
PLN-SRC-0040-R19,table_row,4 columns,Products || Senaei || No || Registered products.
PLN-SRC-0040-R20,table_row,4 columns,Employee Count || Senaei || No || Current available employee count.
PLN-SRC-0041,paragraph,Normal,Multiple Licenses Under One CR
PLN-SRC-0042,paragraph,Normal,When searching by CR Number and multiple licenses are found:
PLN-SRC-0043,paragraph,Normal,Display the CR information.
PLN-SRC-0044,paragraph,Normal,Display all related licenses and plants.
PLN-SRC-0045,paragraph,Normal,Require the Planner to select the target license or plant.
PLN-SRC-0046,paragraph,Normal,Display the selected factory details.
PLN-SRC-0047,paragraph,Normal,Create the visit at the license or plant level.
PLN-SRC-0048,paragraph,Normal,A visit must not be created only at the CR level when a factory-level license or plant is required.
PLN-SRC-0049,paragraph,Normal,Unregistered Factory or Factory Not Found
PLN-SRC-0050,paragraph,Normal,Manual Creation Eligibility
PLN-SRC-0051,paragraph,Normal,"If the searched factory is not found in Senaei, the system must allow manual information entry only when:"
PLN-SRC-0052,paragraph,Normal,The user has the required permission.
PLN-SRC-0053,paragraph,Normal,The applicable Visit Type permits inspections of unregistered factories.
PLN-SRC-0054,paragraph,Normal,The user confirms that the factory was not found.
PLN-SRC-0055,paragraph,Normal,The system records that the factory information was manually entered.
PLN-SRC-0056,paragraph,Normal,Manual Factory Fields
PLN-SRC-0057-R01,table_row,5 columns,Field || Type || Required || Expected Value || Explanation
PLN-SRC-0057-R02,table_row,5 columns,CR Number || Text || Conditional || Valid CR number if available || May be unavailable for certain inspection scenarios.
PLN-SRC-0057-R03,table_row,5 columns,CR Name / Establishment Name || Text || Yes || Legal or known establishment name || Used as the primary display name.
PLN-SRC-0057-R04,table_row,5 columns,License Number || Text || No || License number if known || Manually entered and marked as unverified.
PLN-SRC-0057-R05,table_row,5 columns,Plant Number || Text || No || Plant identifier if known || Manually entered and marked as unverified.
PLN-SRC-0057-R06,table_row,5 columns,Contact Name || Text || No || Contact person || Factory contact information.
PLN-SRC-0057-R07,table_row,5 columns,Contact Mobile || Text || Conditional || Valid Saudi or configured mobile format || Required when factory notification is enabled.
PLN-SRC-0057-R08,table_row,5 columns,Contact Email || Email || No || Valid email address || Optional factory contact.
PLN-SRC-0057-R09,table_row,5 columns,Region || Dropdown || Yes || Active region || Required location classification.
PLN-SRC-0057-R10,table_row,5 columns,City || Dependent dropdown || Yes || City under selected region || Required location classification.
PLN-SRC-0057-R11,table_row,5 columns,Address Description || Text area || No || Free text || Additional directions or address information.
PLN-SRC-0057-R12,table_row,5 columns,Map Location || Map pin || Yes || Latitude and longitude || Added manually by Planner.
PLN-SRC-0057-R13,table_row,5 columns,Location Source || System generated || System || Planner || Records that coordinates were provided by the Planner.
PLN-SRC-0057-R14,table_row,5 columns,"Manual Entry Reason || Dropdown / text || Yes || Not registered, external complaint, field discovery, or configured reason || Explains why a non-master factory was used."
PLN-SRC-0057-R15,table_row,5 columns,Supporting Attachment || File || Configurable || Evidence of factory identity or request || May be required based on Visit Type.
PLN-SRC-0058,paragraph,Normal,Bulk Planning
PLN-SRC-0059,paragraph,Normal,Bulk Planning allows the Planner to identify and select multiple factories using configurable search conditions.
PLN-SRC-0060,paragraph,Normal,Bulk Planning must retrieve factories from Senaei or the approved factory master source.
PLN-SRC-0061,paragraph,Normal,Manual unregistered factory entry is not supported within Bulk Planning.
PLN-SRC-0062,paragraph,Normal,Bulk Search Criteria
PLN-SRC-0063-R01,table_row,4 columns,Search Criterion || Type || Expected Value || Explanation
PLN-SRC-0063-R02,table_row,4 columns,Region || Multi-select || One or more regions || Returns factories registered in selected regions.
PLN-SRC-0063-R03,table_row,4 columns,City || Multi-select || One or more cities || Dependent on selected regions where applicable.
PLN-SRC-0063-R04,table_row,4 columns,Sector || Multi-select || Active sectors || Filters factories by industrial sector.
PLN-SRC-0063-R05,table_row,4 columns,License Stage || Multi-select || Foundation / Establish / Production || Filters by current license stage.
PLN-SRC-0063-R06,table_row,4 columns,Activity || Multi-select || Active industrial activities || Filters factories with selected activities.
PLN-SRC-0063-R07,table_row,4 columns,Product || Searchable multi-select || Registered products or HS-related product master || Filters factories producing selected products.
PLN-SRC-0063-R08,table_row,4 columns,"Land Provider || Multi-select || MODON, RCJY, private, or configured values || Filters by available land provider information."
PLN-SRC-0063-R09,table_row,4 columns,Employee Count || Range || Minimum and maximum || Filters factories based on available employee count.
PLN-SRC-0063-R10,table_row,4 columns,"License Status || Multi-select || Active, Expired, Suspended, etc. || Filters using configured eligible statuses."
PLN-SRC-0063-R11,table_row,4 columns,"Risk Level || Multi-select || Low, Medium, High, Critical || Available when Risk Engine data exists."
PLN-SRC-0063-R12,table_row,4 columns,Previous Violation Count || Range || Minimum and maximum || Optional risk-based filter.
PLN-SRC-0063-R13,table_row,4 columns,"Previous Inspection Outcome || Multi-select || Compliant, Non-Compliant, etc. || Optional historical inspection filter."
PLN-SRC-0063-R14,table_row,4 columns,Last Inspection Date || Date range || From and to || Optional historical inspection filter.
PLN-SRC-0063-R15,table_row,4 columns,Issuing Authority || Multi-select || Configured authority values || Optional regulatory or operational filter.
PLN-SRC-0064,paragraph,Normal,Bulk search must not require all filters.
PLN-SRC-0065,paragraph,Normal,The Planner must provide at least one valid criterion unless the user has a specific permission allowing unrestricted factory retrieval.
PLN-SRC-0066,paragraph,Normal,AND / OR Logic
PLN-SRC-0067,paragraph,Normal,The Planner must be able to define how search conditions are combined.
PLN-SRC-0068,paragraph,Normal,AND Example
PLN-SRC-0069,paragraph,Normal,Region = Riyadh
PLN-SRC-0070,paragraph,Normal,AND
PLN-SRC-0071,paragraph,Normal,Sector = Food
PLN-SRC-0072,paragraph,Normal,AND
PLN-SRC-0073,paragraph,Normal,Employee Count > 100
PLN-SRC-0074,paragraph,Normal,The result includes factories satisfying all conditions.
PLN-SRC-0075,paragraph,Normal,OR Example
PLN-SRC-0076,paragraph,Normal,Region = Riyadh
PLN-SRC-0077,paragraph,Normal,OR
PLN-SRC-0078,paragraph,Normal,Region = Eastern Province
PLN-SRC-0079,paragraph,Normal,OR
PLN-SRC-0080,paragraph,Normal,Risk Level = Critical
PLN-SRC-0081,paragraph,Normal,The result includes factories satisfying at least one condition.
PLN-SRC-0082,paragraph,Normal,Condition Builder
PLN-SRC-0083,paragraph,Normal,The interface should support condition rows containing:
PLN-SRC-0084-R01,table_row,2 columns,Component || Description
PLN-SRC-0084-R02,table_row,2 columns,Field || Selected search criterion
PLN-SRC-0084-R03,table_row,2 columns,"Operator || Equals, contains, greater than, less than, between, in, depending on field type"
PLN-SRC-0084-R04,table_row,2 columns,Value || Selected or entered value
PLN-SRC-0084-R05,table_row,2 columns,Connector || AND / OR
PLN-SRC-0084-R06,table_row,2 columns,Remove || Removes the condition
PLN-SRC-0084-R07,table_row,2 columns,Add Condition || Adds another search condition
PLN-SRC-0084-R08,table_row,2 columns,Add Group || Optional grouping for advanced conditions
PLN-SRC-0085,paragraph,Normal,"Where grouped conditions are supported, the system must process parentheses correctly."
PLN-SRC-0086,paragraph,Normal,Example:
PLN-SRC-0087,paragraph,Normal,Region = Riyadh
PLN-SRC-0088,paragraph,Normal,AND
PLN-SRC-0089,paragraph,Normal,(
PLN-SRC-0090,paragraph,Normal,Sector = Food
PLN-SRC-0091,paragraph,Normal,OR
PLN-SRC-0092,paragraph,Normal,Sector = Chemical
PLN-SRC-0093,paragraph,Normal,)
PLN-SRC-0094,paragraph,Normal,Bulk Selection Actions
PLN-SRC-0095,paragraph,Normal,The Planner must be able to:
PLN-SRC-0096,paragraph,Normal,Select one factory.
PLN-SRC-0097,paragraph,Normal,Select multiple factories.
PLN-SRC-0098,paragraph,Normal,Select all displayed results.
PLN-SRC-0099,paragraph,Normal,"Select all matching results, subject to a configurable maximum."
PLN-SRC-0100,paragraph,Normal,Unselect selected factories.
PLN-SRC-0101,paragraph,Normal,View factory details.
PLN-SRC-0102,paragraph,Normal,Open Factory 360.
PLN-SRC-0103,paragraph,Normal,Remove an ineligible factory from the selection.
PLN-SRC-0104,paragraph,Normal,Review the final selected factory count.
PLN-SRC-0105,paragraph,Normal,Bulk Visit Creation
PLN-SRC-0106,paragraph,Normal,After confirming the selected factories:
PLN-SRC-0107,paragraph,Normal,The Planner defines common visit information.
PLN-SRC-0108,paragraph,Normal,The system validates each selected factory separately.
PLN-SRC-0109,paragraph,Normal,The system displays eligible and ineligible factories.
PLN-SRC-0110,paragraph,Normal,The Planner may proceed with eligible factories.
PLN-SRC-0111,paragraph,Normal,A separate visit record is created for each eligible factory.
PLN-SRC-0112,paragraph,Normal,All created visits retain the same Bulk Plan Reference.
PLN-SRC-0113,paragraph,Normal,Each visit receives its own Visit Reference.
PLN-SRC-0114,paragraph,Normal,Inspector assignment may be shared or distributed based on assignment logic.
PLN-SRC-0115,paragraph,Normal,One factory failing validation must not automatically block all other valid factories.
PLN-SRC-0116,paragraph,Normal,"Before final creation, the system must show a summary of:"
PLN-SRC-0117,paragraph,Normal,Total selected.
PLN-SRC-0118,paragraph,Normal,Eligible.
PLN-SRC-0119,paragraph,Normal,Ineligible.
PLN-SRC-0120,paragraph,Normal,Visits to be created.
PLN-SRC-0121,paragraph,Normal,Visits with missing location.
PLN-SRC-0122,paragraph,Normal,Visits with active conflicts.
PLN-SRC-0123,paragraph,Normal,Visits requiring manual Inspector override.
PLN-SRC-0124,paragraph,Normal,Factory Location and Map
PLN-SRC-0125,paragraph,Normal,The map must display the selected factory or selected factories.
PLN-SRC-0126,paragraph,Normal,The map must display the selected factory or selected factories.
PLN-SRC-0127,paragraph,Normal,For Single Planning:
PLN-SRC-0128,paragraph,Normal,Display the selected factory pin.
PLN-SRC-0129,paragraph,Normal,Allow location review.
PLN-SRC-0130,paragraph,Normal,Allow location addition when no coordinates exist.
PLN-SRC-0131,paragraph,Normal,Allow controlled location correction.
PLN-SRC-0132,paragraph,Normal,For Bulk Planning:
PLN-SRC-0133,paragraph,Normal,Display selected factory pins when coordinates exist.
PLN-SRC-0134,paragraph,Normal,Indicate factories with missing coordinates.
PLN-SRC-0135,paragraph,Normal,Allow the Planner to exclude factories with missing locations or provide a location through an approved process.
PLN-SRC-0136,paragraph,Normal,Location Source
PLN-SRC-0137,paragraph,Normal,Every factory location used in the inspection platform must include a source.
PLN-SRC-0138-R01,table_row,2 columns,Location Source || Meaning
PLN-SRC-0138-R02,table_row,2 columns,License || Coordinates retrieved from the industrial license or Senaei master data.
PLN-SRC-0138-R03,table_row,2 columns,Planner || Coordinates added or corrected by the Planner during planning.
PLN-SRC-0138-R04,table_row,2 columns,Inspector || Coordinates captured or corrected by the Inspector during arrival or execution.
PLN-SRC-0138-R05,table_row,2 columns,Integration || Coordinates retrieved from another approved integration.
PLN-SRC-0138-R06,table_row,2 columns,"Historical Inspection || Coordinates obtained from a previously approved inspection, if configured."
PLN-SRC-0139,paragraph,Normal,The system must also store:
PLN-SRC-0140,paragraph,Normal,Original coordinates.
PLN-SRC-0141,paragraph,Normal,Current visit coordinates.
PLN-SRC-0142,paragraph,Normal,Source.
PLN-SRC-0143,paragraph,Normal,Added or modified by.
PLN-SRC-0144,paragraph,Normal,Added or modified date.
PLN-SRC-0145,paragraph,Normal,Location Editing Rules
PLN-SRC-0146,paragraph,Normal,If coordinates come from the License:
PLN-SRC-0147,paragraph,Normal,The Planner may correct them only with the required permission.
PLN-SRC-0148,paragraph,Normal,The original coordinates must remain unchanged in the audit history.
PLN-SRC-0149,paragraph,Normal,The planning visit uses the corrected visit coordinates.
PLN-SRC-0150,paragraph,Normal,Senaei master coordinates must not be automatically updated.
PLN-SRC-0151,paragraph,Normal,If coordinates were entered by the Planner:
PLN-SRC-0152,paragraph,Normal,The source must be Planner.
PLN-SRC-0153,paragraph,Normal,The Inspector may later confirm or correct the location.
PLN-SRC-0154,paragraph,Normal,Any Inspector correction must not overwrite the planning history.
PLN-SRC-0155,paragraph,Normal,If the Inspector updates coordinates:
PLN-SRC-0156,paragraph,Normal,The source for the new coordinates becomes Inspector.
PLN-SRC-0157,paragraph,Normal,The system must preserve the previous Planner or License coordinates.
PLN-SRC-0158,paragraph,Normal,The approved inspection may submit the updated location for a later data-quality process.
PLN-SRC-0159,paragraph,Normal,Inspector Assignment
PLN-SRC-0160,paragraph,Normal,An Inspector must be assigned before publishing.
PLN-SRC-0161,paragraph,Normal,"The system must provide a recommended Inspector, but the Planner may manually override the recommendation."
PLN-SRC-0162,paragraph,Normal,"The recommendation must prioritize configured criteria, including:"
PLN-SRC-0163,paragraph,Normal,Inspector is active.
PLN-SRC-0164,paragraph,Normal,Inspector is assigned to or operates within the same Region.
PLN-SRC-0165,paragraph,Normal,Inspector has fewer currently assigned visits.
PLN-SRC-0166,paragraph,Normal,Inspector has availability within the Visit Window.
PLN-SRC-0167,paragraph,Normal,Inspector Recommendation Display
PLN-SRC-0168-R01,table_row,2 columns,Information || Explanation
PLN-SRC-0168-R02,table_row,2 columns,Inspector Name || User display name
PLN-SRC-0168-R03,table_row,2 columns,Region || Assigned or operational region
PLN-SRC-0168-R04,table_row,2 columns,Assigned Visits || Current number of active assigned visits
PLN-SRC-0168-R05,table_row,2 columns,Visits Within Selected Window || Workload overlapping the Visit Window
PLN-SRC-0168-R06,table_row,2 columns,"Availability || Available, Partially Available, Unavailable"
PLN-SRC-0168-R07,table_row,2 columns,Recommendation Reason || Example: Same region and lowest active workload
PLN-SRC-0168-R08,table_row,2 columns,"Warning || Schedule conflict, overload, missing skill, leave, etc."
PLN-SRC-0169,paragraph,Normal,Manual Override
PLN-SRC-0170,paragraph,Normal,The Planner may assign another eligible Inspector.
PLN-SRC-0171,paragraph,Normal,If the selected Inspector has a warning but is not blocked:
PLN-SRC-0172,paragraph,Normal,Display the warning.
PLN-SRC-0173,paragraph,Normal,Require an override reason when configured.
PLN-SRC-0174,paragraph,Normal,Store the override in the audit log.
PLN-SRC-0175,paragraph,Normal,Bulk Assignment
PLN-SRC-0176,paragraph,Normal,"For Bulk Planning, the Planner may:"
PLN-SRC-0177,paragraph,Normal,Allow the system to distribute visits among recommended Inspectors.
PLN-SRC-0178,paragraph,Normal,Manually assign Inspectors per factory.
PLN-SRC-0179,paragraph,Normal,Reassign individual factories before publishing.
PLN-SRC-0180,paragraph,Normal,The system distribution should primarily consider:
PLN-SRC-0181,paragraph,Normal,Same Region.
PLN-SRC-0182,paragraph,Normal,Active workload.
PLN-SRC-0183,paragraph,Normal,Visit Window availability.
PLN-SRC-0184,paragraph,Normal,Visit Window
PLN-SRC-0185,paragraph,Normal,The Visit Window is the allowed date range in which the Inspector must define and execute the visit
PLN-SRC-0186,paragraph,Normal,The Planner does not define the exact Execution Date.
PLN-SRC-0187,paragraph,Normal,The Inspector selects the Execution Date during preparation.
PLN-SRC-0188-R01,table_row,3 columns,Field || Required || Expected Value
PLN-SRC-0188-R02,table_row,3 columns,Visit Window Start || Yes || Valid permitted start date
PLN-SRC-0188-R03,table_row,3 columns,Visit Window End || Yes || Date equal to or later than start date
PLN-SRC-0188-R04,table_row,3 columns,Window Notes || No || Additional scheduling constraints
PLN-SRC-0189,paragraph,Normal, The Inspector’s Execution Date must fall inside the Visit Window.
PLN-SRC-0190,paragraph,Normal," The Inspector may change the Execution Date before execution, provided the new date remains inside the Visit Window."
PLN-SRC-0191,paragraph,Normal, Changes outside the Visit Window require the visit to be returned to the Planner or formally extended by an authorized Planner.
PLN-SRC-0192,paragraph,Normal, The Planner may update the Visit Window while the visit is Draft or Returned.
PLN-SRC-0193,paragraph,Normal,Visit Window End must not be earlier than Visit Window Start.
PLN-SRC-0194,paragraph,Normal,Draft Behavior
PLN-SRC-0195,paragraph,Normal,The Planner may save a partially completed visit.
PLN-SRC-0196,paragraph,Normal,Minimum information required to create a Draft:
PLN-SRC-0197,paragraph,Normal,Planning Type.
PLN-SRC-0198,paragraph,Normal,"At least one factory search or selection attempt, when applicable."
PLN-SRC-0199,paragraph,Normal,"The system may allow a completely initial Draft if auto-save is introduced, but such records must be clearly distinguished from completed Drafts."
PLN-SRC-0200,paragraph,Normal,Draft Rules
PLN-SRC-0201,paragraph,Normal,Draft does not notify the Inspector.
PLN-SRC-0202,paragraph,Normal,Draft does not reserve the Inspector’s workload unless configured.
PLN-SRC-0203,paragraph,Normal,Draft does not appear in the Inspector’s pool.
PLN-SRC-0204,paragraph,Normal,Draft may contain incomplete fields.
PLN-SRC-0205,paragraph,Normal,Draft may be edited or Canceled by authorized users.
PLN-SRC-0206,paragraph,Normal,Draft must retain all entered values.
PLN-SRC-0207,paragraph,Normal,Draft must show missing mandatory fields required for publishing.
PLN-SRC-0208,paragraph,Normal,Saving a Draft must generate a Visit Reference or Draft Reference.
PLN-SRC-0209,paragraph,Normal,Draft Rules
PLN-SRC-0210,paragraph,Normal,Draft does not notify the Inspector.
PLN-SRC-0211,paragraph,Normal,Draft does not reserve the Inspector’s workload unless configured.
PLN-SRC-0212,paragraph,Normal,Draft does not appear in the Inspector’s pool.
PLN-SRC-0213,paragraph,Normal,Draft may contain incomplete fields.
PLN-SRC-0214,paragraph,Normal,Draft may be edited or deleted by authorized users.
PLN-SRC-0215,paragraph,Normal,Draft must retain all entered values.
PLN-SRC-0216,paragraph,Normal,Draft must show missing mandatory fields required for publishing.
PLN-SRC-0217,paragraph,Normal,Saving a Draft must generate a Visit Reference or Draft Reference.
PLN-SRC-0218,paragraph,Normal,19. Publish Visit
PLN-SRC-0219,paragraph,Normal,19.1 Publish Preconditions
PLN-SRC-0220,paragraph,Normal,"Before publishing, the system must validate:"
PLN-SRC-0221,paragraph,Normal,Planning Type is selected.
PLN-SRC-0222,paragraph,Normal,At least one eligible factory is selected.
PLN-SRC-0223,paragraph,Normal,Required factory identity information exists.
PLN-SRC-0224,paragraph,Normal,Required location information exists according to Visit Type.
PLN-SRC-0225,paragraph,Normal,Visit Type is selected.
PLN-SRC-0226,paragraph,Normal,Visit Mode is selected.
PLN-SRC-0227,paragraph,Normal,Visit Window is valid.
PLN-SRC-0228,paragraph,Normal,Inspector is assigned.
PLN-SRC-0229,paragraph,Normal,Required attachments exist when configured.
PLN-SRC-0230,paragraph,Normal,No blocking duplicate visit exists.
PLN-SRC-0231,paragraph,Normal,No blocking active visit conflict exists.
PLN-SRC-0232,paragraph,Normal,"Selected Report Packages are active and eligible, when provided."
PLN-SRC-0233,paragraph,Normal,User has publish permission.
PLN-SRC-0234,paragraph,Normal,Any required override reasons are entered.
PLN-SRC-0235,paragraph,Normal,Report Package is not mandatory for publishing.
PLN-SRC-0236,paragraph,Normal,Publish Result
PLN-SRC-0237,paragraph,Normal,Upon successful publishing:
PLN-SRC-0238,paragraph,Normal,Status becomes Published.
PLN-SRC-0239,paragraph,Normal,Operational state becomes New.
PLN-SRC-0240,paragraph,Normal,Visit becomes visible to the assigned Inspector.
PLN-SRC-0241,paragraph,Normal,Visit appears in the Inspector’s visit pool.
PLN-SRC-0242,paragraph,Normal,Inspector receives the configured notification.
PLN-SRC-0243,paragraph,Normal,Factory notification is sent only according to the configured process.
PLN-SRC-0244,paragraph,Normal,A package snapshot is stored when a Planner-selected Report Package exists.
PLN-SRC-0245,paragraph,Normal,Publish date and publisher are recorded.
PLN-SRC-0246,paragraph,Normal,Audit log entry is created.
PLN-SRC-0247,paragraph,Normal,Duplicate and Active Visit Validation
PLN-SRC-0248,paragraph,Normal,"Before publishing, the system must check for possible duplicate visits using configurable criteria, such as:"
PLN-SRC-0249,paragraph,Normal,Same License or Plant.
PLN-SRC-0250,paragraph,Normal,Same Visit Type.
PLN-SRC-0251,paragraph,Normal,Overlapping Visit Window.
PLN-SRC-0252,paragraph,Normal,Existing Draft or Published Visit.
PLN-SRC-0253,paragraph,Normal,Same regulatory campaign or reference.
PLN-SRC-0254,paragraph,Normal,Return Journey
PLN-SRC-0255,paragraph,Normal,"A visit may be returned to Planning by an inspector , supervisor ."
PLN-SRC-0256,paragraph,Normal,Return Reasons
