route,view,state,spec_reference,evidence_status
/operations,both,ar_rtl_412,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,en_ltr_320,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,ar_rtl_320,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,light_theme,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations,both,dark_theme,01_OPERATIONS_CENTER_CORRECTION_SPEC.md#6,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,loading,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,last_observed_timestamp,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,freshness_policy_unconfigured,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,permission_denied_direct_route,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,rls_empty,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,error,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,tile_provider_failure,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,no_positions,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,reduced_motion,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,accessible_list_alternative,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#2,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,wallboard,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,en_ltr_1200,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,ar_rtl_1200,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,en_ltr_1024,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,ar_rtl_1024,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,en_ltr_412,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,ar_rtl_412,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,en_ltr_320,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,ar_rtl_320,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,light_theme,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
/operations/live,map,dark_theme,02_OPERATIONS_LIVE_CORRECTION_SPEC.md#3,SPEC_ONLY_NOT_CAPTURED
