route,route_type,phase_scope,owner_package,requirement_ids,design_authority,acceptance_ids,dependencies,page_or_handler_file,layout_file,loading_file,error_file,not_found_file,navigation_entry,breadcrumb,persona_permission_guard,server_actions_services,supabase_tables_views,supabase_rpcs,workflow_audit_versioning,required_states_observed,mock_hardcoded_degraded_review,tests,evidence_status
/admin/compliance-requests/:id,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/Shell;@/lib/supabase-server,apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,apps/web/src/app/(app)/admin/compliance-requests/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,compliance_admin;form_admin;reviewer,@/components/Shell;@/lib/supabase-server,compliance_configuration_requests;compliance_request_component_dependencies;compliance_request_components;compliance_request_decisions;compliance_request_publications;compliance_request_revisions;user_roles,,AUDIT;VERSION;IMMUTABLE,error;not-found,REVIEW_REQUIRED,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/compliance-requests/new,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/AdminRouteBoundary;@/components/Shell,apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx,apps/web/src/app/(app)/admin/compliance-requests/new/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,compliance_admin;form_admin,@/components/AdminRouteBoundary;@/components/Shell,,,,,NO_STATIC_MARKER,apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/dashboard-config,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/Shell;@/lib/dashboard-kpi/registry;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server,apps/web/src/app/admin/dashboard-config/page.tsx,apps/web/src/app/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,compliance_admin;leadership;ops;reviewer;security_admin,@/components/Shell;@/lib/dashboard-kpi/registry;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server,dashboard_config_heads;dashboard_config_parameters;dashboard_config_versions;mvp3_kpi_definitions;user_roles,dash_create_config_draft;dash_publish_config;dash_return_config;dash_submit_config,VERSION;IMMUTABLE,error,REVIEW_REQUIRED,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/devices,PAGE,PHASE1_WEB_ADMIN,M8,CR-001..CR-478,SAQEEL Users Roles.dc.html;SAQEEL Admin Role Override.dc.html,WA-M8-AC-001..006,@/components/Mvp3ActionForm;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/supabase-server,apps/web/src/app/(app)/admin/devices/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/devices/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,inspector,@/components/Mvp3ActionForm;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/supabase-server,mvp3_device_commands;mvp3_devices,,,loading;empty;error,NO_STATIC_MARKER,apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/enforcement-recommendations,PAGE,PHASE1_WEB_ADMIN,M6,CR-449..CR-478,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,WA-M6-AC-001..006,@/components/EmptyState;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/persona;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/enforcement-recommendations/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;inspector;leadership;ops;planner;reviewer,@/components/EmptyState;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/persona;@/lib/supabase-server;@/lib/verified-user,enforcement_recommendations,,AUDIT,loading;empty;error;unauthorized,REVIEW_REQUIRED,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/execution,PAGE,PHASE1_WEB_ADMIN,M10,CR-001..CR-478,SAQEEL Admin Integrations.dc.html;SAQEEL Admin Integrations Data.dc.html;SAQEEL Admin Geofence.dc.html;SAQEEL Admin SENAI Data.dc.html;SAQEEL Admin Execution.dc.html;SAQEEL Admin Virtual Premium.dc.html;SAQEEL Control Panel.dc.html,WA-M10-AC-001..006,@/components/EmptyState;@/components/Shell;@/lib/execution/capabilities;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/admin/execution/page.tsx,apps/web/src/app/layout.tsx,,,,DIRECT,TO_VERIFY_IN_RUNTIME,inspector,@/components/EmptyState;@/components/Shell;@/lib/execution/capabilities;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,audit_events;engine_settings,has_capability,WORKFLOW;AUDIT;VERSION,empty;error,REVIEW_REQUIRED,apps/web/e2e/execution-admin-contract.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/gis,PAGE,PHASE1_WEB_ADMIN,M10,CR-001..CR-478,SAQEEL Admin Integrations.dc.html;SAQEEL Admin Integrations Data.dc.html;SAQEEL Admin Geofence.dc.html;SAQEEL Admin SENAI Data.dc.html;SAQEEL Admin Execution.dc.html;SAQEEL Admin Virtual Premium.dc.html;SAQEEL Control Panel.dc.html,WA-M10-AC-001..006,@/components/EmptyState;@/components/GeoMap;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/gis/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/gis/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,gis_admin,@/components/EmptyState;@/components/GeoMap;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,engine_settings;factories,,VERSION,loading;empty;error,REVIEW_REQUIRED,apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/mapbox-provider.spec.ts;apps/web/e2e/mvp2-modules-live.spec.ts;apps/web/e2e/mvp2-modules-rls-negative.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts;apps/web/e2e/ipad-gps-policy.spec.ts;apps/web/e2e/neutral-error-sweep.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/gis/spatial,PAGE,PHASE1_WEB_ADMIN,M10,CR-001..CR-478,SAQEEL Admin Integrations.dc.html;SAQEEL Admin Integrations Data.dc.html;SAQEEL Admin Geofence.dc.html;SAQEEL Admin SENAI Data.dc.html;SAQEEL Admin Execution.dc.html;SAQEEL Admin Virtual Premium.dc.html;SAQEEL Control Panel.dc.html,WA-M10-AC-001..006,@/components/EmptyState;@/components/NotYetBoundary;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/providers/env-gate;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/gis/spatial/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/gis/spatial/loading.tsx,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,gis_admin,@/components/EmptyState;@/components/NotYetBoundary;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/providers/env-gate;@/lib/supabase-server;@/lib/verified-user,factory_locations;gis_layers,,,loading;empty;error,NO_STATIC_MARKER,apps/web/e2e/mvp2-modules-live.spec.ts;apps/web/e2e/mvp2-modules-rls-negative.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/integrations,PAGE,PHASE1_WEB_ADMIN,M10,CR-001..CR-478,SAQEEL Admin Integrations.dc.html;SAQEEL Admin Integrations Data.dc.html;SAQEEL Admin Geofence.dc.html;SAQEEL Admin SENAI Data.dc.html;SAQEEL Admin Execution.dc.html;SAQEEL Admin Virtual Premium.dc.html;SAQEEL Control Panel.dc.html,WA-M10-AC-001..006,@/components/Shell;@/lib/i18n;@/lib/supabase-server,apps/web/src/app/(app)/admin/integrations/page.tsx,apps/web/src/app/(app)/layout.tsx,,,,DIRECT,TO_VERIFY_IN_RUNTIME,AUTHENTICATED_ROUTE_GROUP,@/components/Shell;@/lib/i18n;@/lib/supabase-server,mvp3_api_events;mvp3_export_jobs;mvp3_integration_endpoints,,VERSION,empty;error,NO_STATIC_MARKER,apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts;apps/web/e2e/factory360-admin-control-plane.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/integrations/factory-data,PAGE,PHASE1_WEB_ADMIN,M10,CR-001..CR-478,SAQEEL Admin Integrations.dc.html;SAQEEL Admin Integrations Data.dc.html;SAQEEL Admin Geofence.dc.html;SAQEEL Admin SENAI Data.dc.html;SAQEEL Admin Execution.dc.html;SAQEEL Admin Virtual Premium.dc.html;SAQEEL Control Panel.dc.html,WA-M10-AC-001..006,@/components/AdminRouteBoundary;@/components/Shell;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,apps/web/src/app/(app)/admin/integrations/factory-data/layout.tsx,,,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,compliance_admin;security_admin;workflow_admin,@/components/AdminRouteBoundary;@/components/Shell;@/lib/supabase-server;@/lib/verified-user,factories;factory_documents;factory_import_batches;factory_import_rows;factory_materials;factory_products;factory_representatives;senaei_reconciliation_records;senaei_sync_runs;user_roles,,WORKFLOW;AUDIT;VERSION,error,REVIEW_REQUIRED,apps/web/e2e/factory360-admin-control-plane.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/items,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/AdminRouteBoundary;@/components/EmptyState;@/components/Shell;@/components/Skeleton;@/lib/admin-configuration;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server,apps/web/src/app/(app)/admin/items/page.tsx,apps/web/src/app/(app)/admin/items/layout.tsx,apps/web/src/app/(app)/admin/items/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;form_admin;inspector;reviewer,@/components/AdminRouteBoundary;@/components/EmptyState;@/components/Shell;@/components/Skeleton;@/lib/admin-configuration;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server,inspection_items;regulation_clauses;user_roles,admin_configuration_audit;inspection_item_usage;inspection_item_versions_are_frozen,AUDIT;VERSION;IMMUTABLE,loading;empty;error;degraded,REVIEW_REQUIRED,apps/web/e2e/cd-006-011-backend-completion.spec.ts;apps/web/e2e/cd-007-items.spec.ts;apps/web/e2e/compliance-library-evidence.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/cd-006-admin-backend-foundation.spec.ts;apps/web/e2e/neutral-error-sweep.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/items/:id/runtime-preview,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/Shell;@/lib/supabase-server,apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx,apps/web/src/app/(app)/admin/items/layout.tsx,apps/web/src/app/(app)/admin/items/[id]/runtime-preview/loading.tsx,apps/web/src/app/(app)/admin/items/[id]/runtime-preview/error.tsx,,DEEP_LINK_OR_ALIAS,TO_VERIFY_IN_RUNTIME,inspector,@/components/Shell;@/lib/supabase-server,compliance_entity_versions;inspection_item_versions;inspection_items;package_version_item_snapshots;violation_codes,,VERSION;IMMUTABLE,loading;error;not-found,REVIEW_REQUIRED,apps/web/e2e/cd-006-011-backend-completion.spec.ts;apps/web/e2e/cd-007-items.spec.ts;apps/web/e2e/compliance-library-evidence.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/cd-006-admin-backend-foundation.spec.ts;apps/web/e2e/neutral-error-sweep.spec.ts,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
/admin/localization,PAGE,PHASE1_WEB_ADMIN,M9,CR-001..CR-478,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,WA-M9-AC-001..006,@/components/EmptyState;@/components/Shell;@/lib/i18n;@/lib/i18n-sync;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,apps/web/src/app/(app)/admin/localization/page.tsx,apps/web/src/app/(app)/layout.tsx,apps/web/src/app/(app)/admin/localization/loading.tsx,,,DIRECT,TO_VERIFY_IN_RUNTIME,compliance_admin;security_admin;workflow_admin,@/components/EmptyState;@/components/Shell;@/lib/i18n;@/lib/i18n-sync;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user,ui_string_revisions;ui_strings,,WORKFLOW;AUDIT;VERSION,loading;empty;error;not-found,REVIEW_REQUIRED,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,CURRENT_IMPLEMENTATION_EVIDENCE_ONLY
