requirement_id,source_id,source_sha256,source_sheet,source_coordinate,module,capability,purpose,user_flow,user_actions,system_actions,ai_actions,inputs,outputs,business_rules,personas,dependencies,source_acceptance_criteria,original_source_text,disposition,disposition_alias,target_module_id,implementation_package,target_routes,target_designs,acceptance_ids,decision_or_blocker_ids,shared_backend_dependencies,evidence_ids,status
CR-011,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!12,Visit Planning,Select Planning Method,Allow planner to choose how inspection visits will be created.,Visit Planning → Create Visit → Select Method,"Select Bulk, Single or Immediate.",Load corresponding planning workflow.,N/A,Planning Method,Selected workflow,Only one planning method can be selected per creation session.,Planner,Visit Planning Permission,Selected planning workflow opens successfully.,"module=Visit Planning | capability=Select Planning Method | purpose=Allow planner to choose how inspection visits will be created. | user_flow=Visit Planning → Create Visit → Select Method | user_actions=Select Bulk, Single or Immediate. | system_actions=Load corresponding planning workflow. | ai_actions=N/A | inputs=Planning Method | outputs=Selected workflow | business_rules=Only one planning method can be selected per creation session. | personas=Planner | dependencies=Visit Planning Permission | source_acceptance_criteria=Selected planning workflow opens successfully.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0011,,,WA-EV-0011,BASELINED_NOT_IMPLEMENTED
CR-012,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!13,Visit Planning,Build Planning Criteria,Define target factories using business filters.,Bulk Planning → Build Criteria,"Add/remove filters, combine using AND/OR.",Validate criteria.,Recommend additional filters based on previous campaigns.,"Activity, Region, City, Risk, License Stage, Violations, Employees...",Search Criteria,Unlimited filter combinations supported.,Planner,Factory Master Data,Planner can create valid search criteria.,"module=Visit Planning | capability=Build Planning Criteria | purpose=Define target factories using business filters. | user_flow=Bulk Planning → Build Criteria | user_actions=Add/remove filters, combine using AND/OR. | system_actions=Validate criteria. | ai_actions=Recommend additional filters based on previous campaigns. | inputs=Activity, Region, City, Risk, License Stage, Violations, Employees... | outputs=Search Criteria | business_rules=Unlimited filter combinations supported. | personas=Planner | dependencies=Factory Master Data | source_acceptance_criteria=Planner can create valid search criteria.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0012,,,WA-EV-0012,BASELINED_NOT_IMPLEMENTED
CR-013,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!14,Visit Planning,Retrieve Target Factories,Retrieve all factories matching the criteria.,Search,Click Search.,Execute search and return matching factories.,Rank factories by risk.,Search Criteria,Factory List,Only matching factories are returned.,Planner,Search Engine,Matching factories displayed.,module=Visit Planning | capability=Retrieve Target Factories | purpose=Retrieve all factories matching the criteria. | user_flow=Search | user_actions=Click Search. | system_actions=Execute search and return matching factories. | ai_actions=Rank factories by risk. | inputs=Search Criteria | outputs=Factory List | business_rules=Only matching factories are returned. | personas=Planner | dependencies=Search Engine | source_acceptance_criteria=Matching factories displayed.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0013,,,WA-EV-0013,BASELINED_NOT_IMPLEMENTED
CR-014,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!15,Visit Planning,Review Target Factories,Allow planner to review retrieved factories.,Review Results,"Sort, filter, open factory profile.",Display factory information.,Highlight abnormal factories.,Factory List,Reviewed List,Factories are read-only during review.,Planner,Factory Repository,Planner can review every returned factory.,"module=Visit Planning | capability=Review Target Factories | purpose=Allow planner to review retrieved factories. | user_flow=Review Results | user_actions=Sort, filter, open factory profile. | system_actions=Display factory information. | ai_actions=Highlight abnormal factories. | inputs=Factory List | outputs=Reviewed List | business_rules=Factories are read-only during review. | personas=Planner | dependencies=Factory Repository | source_acceptance_criteria=Planner can review every returned factory.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0014,,,WA-EV-0014,BASELINED_NOT_IMPLEMENTED
CR-015,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!16,Visit Planning,Select Target Factories,Build the inspection scope.,Review → Selection,Select/unselect individual or multiple factories.,Store selected factories.,Suggest additional factories.,Factory List,Selected Factories,Only selected factories proceed.,Planner,Retrieved Factories,Selected factories are saved.,module=Visit Planning | capability=Select Target Factories | purpose=Build the inspection scope. | user_flow=Review → Selection | user_actions=Select/unselect individual or multiple factories. | system_actions=Store selected factories. | ai_actions=Suggest additional factories. | inputs=Factory List | outputs=Selected Factories | business_rules=Only selected factories proceed. | personas=Planner | dependencies=Retrieved Factories | source_acceptance_criteria=Selected factories are saved.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0015,,,WA-EV-0015,BASELINED_NOT_IMPLEMENTED
CR-016,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!17,Visit Planning,AI Planning Summary,Summarize the selected campaign before publishing.,Selection → Summary,Review AI summary.,Generate campaign summary.,"Explain risks, workload, hotspots, recommendations.",Selected Factories,Planning Summary,Informational only.,"Planner, AI",AI Engine,Summary generated successfully.,"module=Visit Planning | capability=AI Planning Summary | purpose=Summarize the selected campaign before publishing. | user_flow=Selection → Summary | user_actions=Review AI summary. | system_actions=Generate campaign summary. | ai_actions=Explain risks, workload, hotspots, recommendations. | inputs=Selected Factories | outputs=Planning Summary | business_rules=Informational only. | personas=Planner, AI | dependencies=AI Engine | source_acceptance_criteria=Summary generated successfully.",OPEN_BUSINESS_DECISION,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0016,DEC-026,,WA-EV-0016,BASELINED_NOT_IMPLEMENTED
CR-017,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!18,Visit Planning,Configure Visit Details,Define common visit configuration.,Configure Visit,"Select Visit Type, Visit Window, Assignment Method, Notes.",Validate mandatory fields.,Recommend best visit window.,Visit Configuration,Configured Plan,Applies to all selected visits.,Planner,Visit Configuration,Configuration saved successfully.,"module=Visit Planning | capability=Configure Visit Details | purpose=Define common visit configuration. | user_flow=Configure Visit | user_actions=Select Visit Type, Visit Window, Assignment Method, Notes. | system_actions=Validate mandatory fields. | ai_actions=Recommend best visit window. | inputs=Visit Configuration | outputs=Configured Plan | business_rules=Applies to all selected visits. | personas=Planner | dependencies=Visit Configuration | source_acceptance_criteria=Configuration saved successfully.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0017,,,WA-EV-0017,BASELINED_NOT_IMPLEMENTED
CR-018,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!19,Visit Planning,Auto Assignment,Automatically assign inspectors.,Assignment,Choose Auto.,Allocate inspectors.,"Balance workload, proximity, capacity, skills.",Assignment Strategy,Assigned Visits,Every visit must have an inspector.,Planner,Assignment Engine,Inspectors assigned successfully.,"module=Visit Planning | capability=Auto Assignment | purpose=Automatically assign inspectors. | user_flow=Assignment | user_actions=Choose Auto. | system_actions=Allocate inspectors. | ai_actions=Balance workload, proximity, capacity, skills. | inputs=Assignment Strategy | outputs=Assigned Visits | business_rules=Every visit must have an inspector. | personas=Planner | dependencies=Assignment Engine | source_acceptance_criteria=Inspectors assigned successfully.",PHASE1_WEB,,MOD-06,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0018,,,WA-EV-0018,BASELINED_NOT_IMPLEMENTED
CR-019,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!20,Visit Planning,Manual Assignment,Override inspector assignment.,Assignment,Select inspectors manually.,Validate availability.,Recommend better inspector if needed.,Inspector Selection,Assigned Visits,Manual assignment overrides auto assignment.,Planner,Inspector Master Data,Manual assignment completed successfully.,module=Visit Planning | capability=Manual Assignment | purpose=Override inspector assignment. | user_flow=Assignment | user_actions=Select inspectors manually. | system_actions=Validate availability. | ai_actions=Recommend better inspector if needed. | inputs=Inspector Selection | outputs=Assigned Visits | business_rules=Manual assignment overrides auto assignment. | personas=Planner | dependencies=Inspector Master Data | source_acceptance_criteria=Manual assignment completed successfully.,PHASE1_WEB,,MOD-06,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0019,,,WA-EV-0019,BASELINED_NOT_IMPLEMENTED
CR-020,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!21,Visit Planning,Review & Publish,Final validation before publishing.,Review → Publish,Review and confirm.,"Validate duplicates, create Visit Plan, create Visits, notify inspectors, update calendars, audit.",Summarize publishing result.,Configured Plan,Published Visit Plan,Visits become available to inspectors immediately.,Planner,"Notification Service, Calendar Service",Visit Plan successfully published.,"module=Visit Planning | capability=Review & Publish | purpose=Final validation before publishing. | user_flow=Review → Publish | user_actions=Review and confirm. | system_actions=Validate duplicates, create Visit Plan, create Visits, notify inspectors, update calendars, audit. | ai_actions=Summarize publishing result. | inputs=Configured Plan | outputs=Published Visit Plan | business_rules=Visits become available to inspectors immediately. | personas=Planner | dependencies=Notification Service, Calendar Service | source_acceptance_criteria=Visit Plan successfully published.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0020,,,WA-EV-0020,BASELINED_NOT_IMPLEMENTED
CR-021,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!22,Visit Planning,Select Planning Method,Allow planner to choose how inspection visits will be created.,Visit Planning → Create Visit → Select Bulk Planning,Select Bulk Planning.,Load Bulk Planning workspace.,N/A,Planning Method,Bulk Planning workspace,Planner must select one planning method before proceeding.,Planner,Visit Planning Permission,Bulk Planning workspace opens successfully.,module=Visit Planning | capability=Select Planning Method | purpose=Allow planner to choose how inspection visits will be created. | user_flow=Visit Planning → Create Visit → Select Bulk Planning | user_actions=Select Bulk Planning. | system_actions=Load Bulk Planning workspace. | ai_actions=N/A | inputs=Planning Method | outputs=Bulk Planning workspace | business_rules=Planner must select one planning method before proceeding. | personas=Planner | dependencies=Visit Planning Permission | source_acceptance_criteria=Bulk Planning workspace opens successfully.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0021,,,WA-EV-0021,BASELINED_NOT_IMPLEMENTED
CR-022,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!23,Visit Planning,Build Planning Criteria,Define which factories should be inspected.,Bulk Planning → Criteria Builder,"Add, remove and combine filter keys using AND / OR logic.",Validate filters and prepare search query.,Suggest frequently used filters and recommended criteria (Future).,"Activity, Region, City, License Stage, License Status, Factory Status, Risk Level, Number of Violations, Number of Employees, Last Inspection Date, Inspection Type, Industrial City, Business Category and any configured factory attribute.",Planning Criteria,Unlimited filters are supported. Multiple AND/OR conditions are allowed.,Planner,"Factory Master Data, Search Engine",Planner can successfully define one or more planning criteria.,"module=Visit Planning | capability=Build Planning Criteria | purpose=Define which factories should be inspected. | user_flow=Bulk Planning → Criteria Builder | user_actions=Add, remove and combine filter keys using AND / OR logic. | system_actions=Validate filters and prepare search query. | ai_actions=Suggest frequently used filters and recommended criteria (Future). | inputs=Activity, Region, City, License Stage, License Status, Factory Status, Risk Level, Number of Violations, Number of Employees, Last Inspection Date, Inspection Type, Industrial City, Business Category and any configured factory attribute. | outputs=Planning Criteria | business_rules=Unlimited filters are supported. Multiple AND/OR conditions are allowed. | personas=Planner | dependencies=Factory Master Data, Search Engine | source_acceptance_criteria=Planner can successfully define one or more planning criteria.",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0022,,,WA-EV-0022,BASELINED_NOT_IMPLEMENTED
CR-023,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning-Planning,Visit Planning-Planning!24,Visit Planning,Search Target Factories,Retrieve factories matching the planning criteria.,Build Criteria → Search,Click Search.,Execute search and retrieve all matching factories.,Rank factories based on calculated inspection risk (Future).,Planning Criteria,Factory List,Only factories satisfying the selected criteria are returned.,Planner,Factory Repository,Matching factories are displayed successfully.,module=Visit Planning | capability=Search Target Factories | purpose=Retrieve factories matching the planning criteria. | user_flow=Build Criteria → Search | user_actions=Click Search. | system_actions=Execute search and retrieve all matching factories. | ai_actions=Rank factories based on calculated inspection risk (Future). | inputs=Planning Criteria | outputs=Factory List | business_rules=Only factories satisfying the selected criteria are returned. | personas=Planner | dependencies=Factory Repository | source_acceptance_criteria=Matching factories are displayed successfully.,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0023,,,WA-EV-0023,BASELINED_NOT_IMPLEMENTED
