acceptance_id,package_id,category,criterion,priority,proof,status
WA-M2-AC-005,M2,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,FOCUSED_PASS_BASELINE_29_OF_38_WITH_9_PREEXISTING_FAILURES
WA-M2-AC-006,M2,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,REVIEW_PACKET_RECORDED
WA-M3-AC-001,M3,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M3-AC-002,M3,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M3-AC-003,M3,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M3-AC-004,M3,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M3-AC-005,M3,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M3-AC-006,M3,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-001,M4,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-002,M4,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-003,M4,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-004,M4,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-005,M4,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M4-AC-006,M4,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-001,M5,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-002,M5,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-003,M5,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-004,M5,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-005,M5,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M5-AC-006,M5,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-001,M6,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-002,M6,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-003,M6,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-004,M6,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-005,M6,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M6-AC-006,M6,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-001,M7,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-002,M7,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-003,M7,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-004,M7,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-005,M7,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M7-AC-006,M7,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-001,M8,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-002,M8,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-003,M8,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-004,M8,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-005,M8,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M8-AC-006,M8,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-001,M9,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-002,M9,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-003,M9,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-004,M9,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-005,M9,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M9-AC-006,M9,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-001,M10,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-002,M10,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-003,M10,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-004,M10,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-005,M10,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M10-AC-006,M10,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-001,M11,FUNCTIONAL,Authorized source-backed route behavior and all required interactions are wired to real services.,P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-002,M11,NEGATIVE_SECURITY,"Unauthorized, validation, stale/conflict, provider and RLS/RBAC negative paths fail safely.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-003,M11,VISUAL,Reference and implementation match at the fixed design viewport with zero unapproved difference.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-004,M11,RTL_RESPONSIVE_A11Y,"English/LTR and Arabic/RTL pass desktop, 1024, 412/390 and 320 reflow plus keyboard/accessibility checks.",P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-005,M11,REGRESSION,"Protected backend, workflow, audit, version, maker-checker and adjacent-route regression passes.",P0,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
WA-M11-AC-006,M11,EVIDENCE,Requirement/design/route IDs and external binary evidence manifest are complete and truthful.,P1,TEST_PLUS_RUNTIME_PLUS_TEXTUAL_EVIDENCE_INDEX,PLANNED_NOT_IMPLEMENTED
