design_page_id,design_page_name,design_revision,application_channel,application_route,source_component,mapping_classification,mapping_confidence,evidence,unresolved_question,design_content_verified,code_candidate_confidence
WA-DES-015,SAQEEL Admin,1784805992533435,ADMIN_CONTROL_PANEL,/admin,apps/web/src/app/(app)/admin/page.tsx,CLOSE MATCH,"high (sponsor-designated canonical, evidence-backed, 2026-07-24)","SPONSOR DECISION 2026-07-24: designated canonical for /admin, resolving the Admin-vs-Control-Panel conflict. Decisive evidence: /admin/page.tsx's own header comment identifies it as 'CD-004 / SCR-ADM-001 — Approval & Configuration home (Configuration Evidence Spine)... Read-only control-plane gateway', checking 6 governed sources (engine_settings, regulations, inspection_items, package_versions, violation_codes, audit_events) via buildShellNavigation(roles).find(g => g.id === 'control'). This matches Admin.dc.html's own internal 'Approval & Configuration' overview item (its default view under the 'Control plane' sidebar group, ahead of 'Configuration' and 'Platform' groups) far more precisely than Control Panel.dc.html's external-link card-grid launcher.",,"yes — content-read 2026-07-24, real conflict found",high (route/file exists)
WA-DES-016,SAQEEL Auth States,1784618956418580,ADMIN_CONTROL_PANEL,/launch;/launch/no-workspace;/reset,apps/web/src/app/launch/page.tsx;apps/web/src/app/launch/no-workspace/page.tsx;apps/web/src/app/reset/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-016), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-017,SAQEEL Cases,1784805992533435,BUSINESS_WEB,/cases,apps/web/src/app/(app)/cases/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-017), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-018,SAQEEL Committee,1784805992533435,BUSINESS_WEB,/committee,apps/web/src/app/(app)/committee/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-018), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-019,SAQEEL Compliance Requests,1784805992533435,BUSINESS_WEB,/admin/compliance-requests;/admin/compliance-requests/new;/admin/compliance-requests/:id,apps/web/src/app/(app)/admin/compliance-requests/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-019), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-020,SAQEEL Control Panel,1784805992533435,ADMIN_CONTROL_PANEL,,,DESIGN ONLY,"n/a (sponsor-designated non-canonical, 2026-07-24)","SPONSOR DECISION 2026-07-24: NOT canonical for /admin — SAQEEL Admin.dc.html was designated instead (see that row for evidence). Retained as an alternate design exploration / card-grid launcher concept, not mapped to any live route. Its cards' individual link targets (Users Roles, Admin Detail, Risk, AI Studio, KPI Management, etc.) remain independently mapped in their own rows and are unaffected by this decision.",,"yes — content-read 2026-07-24, real conflict found",low (governed /admin/operations candidate does not semantically match)
WA-DES-021,SAQEEL Dashboard Config,1784805992533435,ADMIN_CONTROL_PANEL,/admin/dashboard-config,apps/web/src/app/admin/dashboard-config/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-021), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-022,SAQEEL Design System,1784619219725011,ADMIN_CONTROL_PANEL,FOUNDATION_ONLY,(none recorded / new route required),CLOSE MATCH,medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page),"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-022), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page)
WA-DES-023,SAQEEL Enforcement,1784805992533435,BUSINESS_WEB,/enforcement;/admin/violations,apps/web/src/app/(app)/enforcement/page.tsx;apps/web/src/app/(app)/admin/violations/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-023), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-024,SAQEEL Evidence OCR,1784805992533435,BUSINESS_WEB,/evidence-ocr,apps/web/src/app/(app)/evidence-ocr/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-024), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-025,SAQEEL Executive Overview,1784633455496212,BUSINESS_WEB,/dashboard?view=strategic,apps/web/src/app/(app)/dashboard/page.tsx;apps/web/src/app/(app)/dashboard/DashboardView.tsx,CLOSE MATCH,"high (content-read and compared against StrategicView.tsx, 2026-07-24)","CONTENT-COMPARED 2026-07-24 (not just route-matched): read full SAQEEL Executive Overview.html (etag 1784633455496212) and BOTH apps/web/src/app/(app)/dashboard/page.tsx AND apps/web/src/app/(app)/dashboard/DashboardView.tsx (the StrategicView component lives in DashboardView.tsx, not page.tsx — both files now listed in source_component). Structural match: 4-KPI hero strip (national compliance %, factories needing intervention, expiring licenses, inspection coverage) vs code's StrategicView metrics; design's ADM1 region choropleth (raw D3 + ArcGIS GADM fetch) vs code's Mapbox GL/GeoMap region choropleth — same concept, different provider, not a defect; design's ranked-region-by-compliance list vs code's 'Ranked intervention... by region compliance' panel — direct match. KEY DIVERGENCE: design shows a live conversational 'AI Composer' (Gemini-attributed, free-text query input, canned example prompts like 'which regions declined most this quarter'); code's equivalent panel is explicitly labelled '≠AI' with the text 'All panels are deterministic record filters, not AI recommendations' (DashboardView.tsx line ~424). This is the same intentional fail-closed-AI divergence pattern already documented for Field Login's OTP gap — design depicts AI/live capability the code deliberately does not fabricate. route confirmed live: /dashboard?view=strategic (page.tsx line 85: view param defaults to 'strategic').",,yes — content-read this session,"high (content-read and compared against StrategicView.tsx, 2026-07-24)"
WA-DES-026,SAQEEL Factories,1784806013700217,BUSINESS_WEB,/factories,apps/web/src/app/(app)/factories/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-026), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-027,SAQEEL Factory 360,1784806013700217,BUSINESS_WEB,/factories/:id;/factories/cr/:id,apps/web/src/app/(app)/factories/[id]/page.tsx;apps/web/src/app/(app)/factories/cr/[id]/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-027), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-028,SAQEEL Feedback,1784806013700217,BUSINESS_WEB,/feedback,(none recorded / new route required),CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-028), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-029,SAQEEL Incident Reports,1784806070831883,BUSINESS_WEB,/incident-reports,apps/web/src/app/(app)/incident-reports/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-029), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-030,SAQEEL Inspection Report,1784806070831883,BUSINESS_WEB,/reports/inspection/:id,apps/web/src/app/reports/inspection/[id]/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-030), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-031,SAQEEL KPI Management,1784806070831883,ADMIN_CONTROL_PANEL,/admin/dashboard-config?view=kpis,apps/web/src/app/admin/dashboard-config/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-031), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-032,SAQEEL Login,1784614966655898,SHARED_WEB,/login,apps/web/src/app/login/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-032), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-033,SAQEEL Operations Center,1784806070831883,BUSINESS_WEB,/operations,apps/web/src/app/(app)/operations/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-033), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-034,SAQEEL Operations Live,1784721421916945,BUSINESS_WEB,/operations/live,apps/web/src/app/(app)/operations/live/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-034), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-035,SAQEEL Planning Identity,1784806070831883,BUSINESS_WEB,/planning/bulk,apps/web/src/app/(app)/planning/bulk/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-035), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-036,SAQEEL Planning,1784806070831883,BUSINESS_WEB,"/planning (canonical, list-first CD-020); /planning?wa_preview=1 (design-comparable preview)",apps/web/src/app/(app)/planning/page.tsx;apps/web/src/app/(app)/planning/PlanningPreview.tsx,CLOSE MATCH (partial — see delta),"high (content-read and full delta produced, 2026-07-24)","ORCHESTRATED TASK 2026-07-24: full content-read and 16-item delta produced (deltas/WA-DES-036/1784806070831883/delta.md). Canonical /planning is a list-first CD-020 surface structurally unrelated to the design; PlanningPreview.tsx (?wa_preview=1) is the deliberate design-comparable surface (data-saqeel-design=""WA-DES-036""). 7 substantive design corrections proposed, 0 wiring required, all real backend contracts (expire_lapsed_visits, has_planning_capability, business_staff RBAC) confirmed intact. CORRECTION 2026-07-24 (Codex QA regression finding, independently re-verified): PlanningPreview.tsx still on deprecated legacy-*/retired-predecessor classes (sibling page.tsx already migrated to native sq-*); web-admin-m2-batch-002.spec.ts has 2 confirmed failing assertions against current retired-predecessor.css (.wa-visit-detail-actions absent everywhere; focus-visible pattern mismatch). Commit 20320e8f confirmed real/on-HEAD but its message (retired-predecessor fully removed) contradicts current tree (retired-predecessor.css still 1335 lines, still imported). apps/web/node_modules confirmed self-referential symlink, blocking a live test run this pass — findings are static-source-verified, not test-executed. NEW REVISION 2026-07-24 (1784901048581707 -> 1784903934723797): added 'List' frame (canonical /planning list-first surface) per sponsor-approved design lease, informed by real runtime screenshot evidence (real-implementation-planning-home-2026-07-24.png). See deltas/WA-DES-036/1784903934723797/semantic-delta.md. CORRECTION 2026-07-24 (1784903934723797 -> 1784904309230874): removed directional arrows from Continue/Visit management labels, replaced lightning emoji with stroke-SVG bolt icon. Zero-trace verified by grep.","Bulk/Single/Immediate/Plans tab content (item 7 in delta) out of this task's bounded file scope — not verified. Bounded Codex lease needed: migrate PlanningPreview.tsx legacy-*->sq-*, fix web-admin-m2-batch-002.spec.ts assertions to match current retired-predecessor.css (or decide .wa-visit-detail-actions/focus-visible pattern was itself supposed to ship and is the real regression), fix node_modules symlink.","yes — full 16-item delta, orchestrated task 2026-07-24",high
WA-DES-037,SAQEEL Portal,1784806070831883,SHARED_WEB,/portal,apps/web/src/app/(app)/portal/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-037), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-038,SAQEEL Profile,1784806070831883,SHARED_WEB,/profile,apps/web/src/app/(app)/profile/page.tsx,CLOSE MATCH,"high (content-read, applied, and sponsor-accepted — see state/WA-DES-038.json and consent/WA-DES-038/)","Full content-read of SAQEEL Profile.dc.html 2026-07-24; delta produced (deltas/WA-DES-038/1784806070831883/delta.md); consent packet approved; ONE design write applied via mcp__claude-design__write_files (bdi/dir=ltr RTL fix) and accepted as new baseline (state/WA-DES-038.json, accepted_revision 1784896277489148). This is the most fully-verified row in the entire mapping — was incorrectly caught by an earlier bulk regex downgrade pass; corrected here.",,"yes — content-read, delta produced, design edit applied and accepted 2026-07-24",high
WA-DES-039,SAQEEL Review & Approval,1784806080184527,BUSINESS_WEB,/reviews;/reviews/:id;/reviews/:id/started,apps/web/src/app/(app)/reviews/page.tsx;apps/web/src/app/(app)/reviews/[id]/page.tsx;apps/web/src/app/(app)/reviews/[id]/started/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-039), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-040,SAQEEL Risk,1784806070831883,BUSINESS_WEB,/admin/risk;/admin/risk/models,apps/web/src/app/(app)/admin/risk/page.tsx;apps/web/src/app/(app)/admin/risk/models/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-040), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-041,SAQEEL States System,1784806070831883,ADMIN_CONTROL_PANEL,FOUNDATION_ONLY,(none recorded / new route required),CLOSE MATCH,medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page),"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-041), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page)
WA-DES-042,SAQEEL Tasks,1784806070831883,BUSINESS_WEB,/tasks,apps/web/src/app/(app)/tasks/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-042), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-043,SAQEEL Users Roles,1784806070831883,ADMIN_CONTROL_PANEL,/admin/access;/admin/security-access,apps/web/src/app/(app)/admin/access/page.tsx;apps/web/src/app/(app)/admin/security-access/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-043), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-044,SAQEEL Virtual,1784806070831883,BUSINESS_WEB,/virtual;/virtual/:id,apps/web/src/app/(app)/virtual/page.tsx;apps/web/src/app/(app)/virtual/[id]/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-044), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-045,SAQEEL Visits,1784806070831883,BUSINESS_WEB,/visits;/visits/:id;/visits/calendar;/visits/map;/visits/workload,apps/web/src/app/(app)/visits/page.tsx;apps/web/src/app/(app)/visits/[id]/page.tsx;apps/web/src/app/(app)/visits/calendar/page.tsx;apps/web/src/app/(app)/visits/map/page.tsx;apps/web/src/app/(app)/visits/workload/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-045), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
WA-DES-046,SAQEEL Web Dashboard,1784806070831883,BUSINESS_WEB,/dashboard,apps/web/src/app/(app)/dashboard/page.tsx,CLOSE MATCH,medium,"Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-046), sha256 recorded there; not re-verified against current MCP content-hash this pass",,no — route/file existence only (governed authority + Web-Index + filesystem grep),high (governed authority + Web-Index + live file existence — three-source route agreement)
,Canvas,1784830510499088,NON_SCREEN_ARTEFACT,,,DESIGN ONLY,n/a,"Design-system/meta/canvas artefact, not an application screen",,no — route/file existence only (governed authority + Web-Index + filesystem grep),n/a
,SAQEEL Delegation,1784805992533435,WEB_ADMIN_CANDIDATE,,,NO CODE MATCH,high (absence confirmed),"Content-read 2026-07-24: full inspector-absence delegation/reassignment UI (delegate-to, cover window, scope, reason, audited). grep -ri 'delegat' apps/web/src returned zero files. Confirmed independently by the design team's own SAQEEL Web-Index.dc.html, which lists this page's route as '⊘ not yet in repo (confirmed requirement)'.",Genuine build gap if this capability is wanted; not a mapping error.,yes — content-read this session,high (absence confirmed)
,SAQEEL Establishment Violations,1784812839858290,ADMIN_CONTROL_PANEL,/admin/bulk-violations,apps/web/src/app/(app)/admin/bulk-violations/page.tsx;BulkViolationForm.tsx;actions.ts;loading.tsx,CLOSE MATCH,high (content-read + file-verified),"Content-read 2026-07-24: bulk violation-issuance flow (select establishments -> select violations -> confirm), already governed as part of WA-DES-004 'SAQEEL Admin Extended' -> /admin/bulk-violations in DESIGN_ROUTE_MAP.csv. Verified apps/web/src/app/(app)/admin/bulk-violations/{page.tsx,BulkViolationForm.tsx,actions.ts,loading.tsx} exist. NOTE: the design file's own embedded code comment claims a different route, '/establishment-management/violations' (both as an HTML comment and a data-route attribute) - that comment is stale/wrong; SAQEEL Web-Index.dc.html (the design team's own maintained index) confirms /admin/bulk-violations is correct.","Design file's internal route comment should be corrected to match Web-Index; flagged, not fixed (design write out of this correction pass's scope).",yes — content-read this session,high (content-read + file-verified)
,SAQEEL Figma Parity Grid,1784755870195219,NON_SCREEN_ARTEFACT,,,DESIGN ONLY,n/a,"Design-system/meta/canvas artefact, not an application screen",,no — route/file existence only (governed authority + Web-Index + filesystem grep),n/a
