item_id,persona_id,persona_name_en,role_key_evidence,content_type,title,duration_target,routes_referenced,key_truth_points,truth_class,languages,accessibility_assets,media_state,source_refs,sponsor_decision_required
CH-PA-AUD,PA-AUD,Auditor,auditor in read-authorized set,CH,Persona chapter: Auditor,20-45s,/admin/audit;/reviews/:id,flight recorder replay; read-only lozenge,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-025/029,none
CH-PA-LEAD,PA-LEAD,Minister / Leadership,leadership role key (no new role),CH,Persona chapter: Minister/Leadership,20-45s,/dashboard;/factories/:id,governed KPIs; explicit unavailable states; AI briefing not enabled,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-012/045;REC-024,label naming
CH-PA-FREP,PA-FREP,Factory Representative,external participant,CH,Persona chapter: Factory Representative,20-45s,/portal;/virtual/:id,portal surface; virtual participant verification,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-026/037,none
DAY-PA-ADM-COMP,PA-ADM-COMP,Compliance Admin,admin family,DAY,Your day: Compliance Admin,2-4min,/admin/regulations;/admin/items;/admin/violations,version review; publish blockers,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-004/007/010,none
DAY-PA-ADM-FORM,PA-ADM-FORM,Form Admin,admin family,DAY,Your day: Form Admin,2-4min,/admin/items;/admin/packages,checklist stewardship,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-004/006,none
DAY-PA-ADM-WF,PA-ADM-WF,Workflow Admin,admin family,DAY,Your day: Workflow Admin,2-4min,/admin/workflows,guarded transitions,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-011,none
DAY-PA-ADM-RISK,PA-ADM-RISK,Risk Owner,admin family,DAY,Your day: Risk Owner,2-4min,/admin/risk;/admin/risk/models,model governance,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-009/031,none
DAY-PA-ADM-GIS,PA-ADM-GIS,GIS Admin,admin family,DAY,Your day: GIS Admin,2-4min,/admin/gis;/admin/gis/spatial,location governance,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-003/030,none
DAY-PA-ADM-SEC,PA-ADM-SEC,Security Admin,admin family,DAY,Your day: Security Admin,2-4min,/admin/access;/admin/security-access;/admin/devices,access stewardship; fail-closed devices,IMPLEMENTED+PROVIDER_DEP,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-002/039/042,none
DAY-PA-PLN,PA-PLN,Planner,planner,DAY,Your day: Planner,2-4min,/planning/bulk;/visits;/visits/calendar;/visits/workload,lenses; map lens UNAVAILABLE with list equivalent,IMPLEMENTED+PROVIDER_DEP,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-019/027/051/053,none
DAY-PA-OPS,PA-OPS,Operations,ops,DAY,Your day: Operations,2-4min,/operations/live;/operations/exceptions;/dashboard,projected movement; exception ownership,IMPLEMENTED+PROVIDER_DEP,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-017/036/045,none
DAY-PA-INS,PA-INS,Inspector,inspector,DAY,Your day: Inspector,2-4min,/field;/field/:visitId;/field/inspection/:id;/virtual/:id,full 8-stage journey,IMPLEMENTED+PROVIDER_DEP,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-013/014/015/026,none
DAY-PA-REV,PA-REV,Reviewer,reviewer,DAY,Your day: Reviewer,2-4min,/reviews;/reviews/:id,queue; race message; return scoping,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-024/025,none
DAY-PA-AUD,PA-AUD,Auditor,auditor,DAY,Your day: Auditor,2-4min,/admin/audit;/reviews/:id;/reports/inspection/:id,replay; custody; read-only,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-025/029/049,none
DAY-PA-LEAD,PA-LEAD,Minister / Leadership,leadership,DAY,Your day: Leadership,2-4min,/dashboard;/factories/:id,drilldown; freshness; masked contacts,IMPLEMENTED,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-012/045,label naming
DAY-PA-FREP,PA-FREP,Factory Representative,external,DAY,Your day: Factory Representative,2-4min,/portal;/virtual/:id,portal scope; session join,IMPLEMENTED+PROVIDER_DEP,EN+AR,transcript+stills+reduced_motion,NOT_STARTED,RTE-026/037,none
SCOPE-ALL-13,ALL,All 13 launch personas,per persona,SCOPE,Can-see / cannot-do cards (13),static,per persona family,generated from implemented RBAC truth only; no speculative permissions,IMPLEMENTED,EN+AR,text+RTL,NOT_STARTED,CURRENT_STATE roles; RBAC guards,none
JMAP-ALL-13,ALL,All 13 launch personas,per persona,JMAP,Journey map + handoffs (13),static,spine phases per persona,Plan-Prepare-Inspect-Prove-Decide-Improve lens; next/previous handoff,IMPLEMENTED,EN+AR,text+RTL+non-color cues,NOT_STARTED,MASTER_PLAN s5/s11,none
TASK-PLN-01,PA-PLN,Planner,planner,TASK,Publish a bulk plan,60-120s,/planning/bulk;/planning/bulk/review,draft-validated-published; atomic publish,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-019/020,none
TASK-PLN-02,PA-PLN,Planner,planner+inspector dual,TASK,Create an immediate visit,60-120s,/planning/immediate,urgency reasons: Complaint received/Incident-accident report/Referral from authority/Other+notes,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-021,none
TASK-PLN-03,PA-PLN,Planner,planner,TASK,Create a single visit safely,60-120s,/planning/single,identity lens; duplicate guard,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-023,none
TASK-INS-01,PA-INS,Inspector,inspector,TASK,Prepare for a visit,60-120s,/field;/factories/:id,factory 360 provenance; pre-start lock,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-012/013,none
TASK-INS-02,PA-INS,Inspector,inspector,TASK,Arrive with geofence / request override,60-120s,/field/:visitId,one attempt; 30-min expiry; ops-only decision; self-decision blocked,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-014; request_geo_override,none
TASK-INS-03,PA-INS,Inspector,inspector,TASK,Capture evidence offline and sync,60-120s,/field/:visitId;/field/inspection/:id,outbox queued-replay; conflict surfaced never overwritten,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-014/015; offline drill,none
TASK-INS-04,PA-INS,Inspector,inspector,TASK,Submit and understand immutability,60-120s,/field/inspection/:id,submitted version immutable; negative edit demo,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-015,none
TASK-INS-05,PA-INS,Inspector,inspector,TASK,Handle a returned review,60-120s,/field/inspection/:id,edit only returned sections; resubmit; approve,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-015/025,none
TASK-VIR-01,PA-INS,Inspector,inspector,TASK,Run a virtual session honestly,60-120s,/virtual/:id,OTP verified gate; timeline; provider-pending room; S15 offline disabled,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-026; CD-042,none
TASK-REV-01,PA-REV,Reviewer,reviewer,TASK,Start and decide a review,60-120s,/reviews;/reviews/:id,race message; return with mandatory sections; approve locks version,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-024/025,none
TASK-AUD-01,PA-AUD,Auditor,auditor,TASK,Replay an inspection,60-120s,/admin/audit,reconstruction/comparison/custody/print-safe; runtime cert pending caveat,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-029; M2-05,none
TASK-OPS-01,PA-OPS,Operations,ops,TASK,Monitor live operations,60-120s,/operations/live,projected-movement label spoken; interval refresh states,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-017,none
TASK-OPS-02,PA-OPS,Operations,ops,TASK,Decide a geo-override request,60-120s,/operations or /field context,ops-only decision; audit trail,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,request_geo_override truth,none
TASK-LEAD-01,PA-LEAD,Leadership,leadership,TASK,Read the dashboard with trust,60-120s,/dashboard,definitions; freshness; drilldown; unavailable tiles,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-045,none
TASK-ADM-01,PA-ADM-COMP,Admin family,admin,TASK,Localization workflow,60-120s,/admin/localization,inline AR edit; review; history; CSV export; 1815 rows,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+poster+reduced_motion,NOT_STARTED,RTE-044,none
EXPL-01,ALL,All personas,n/a,EXPL,The spine: six phases one loop,90-180s,n/a,platform story,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,MASTER_PLAN s5,none
EXPL-02,ALL,All personas,n/a,EXPL,Immutable versions,90-180s,/field/inspection/:id;/reviews/:id,why history cannot be edited,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,immutability truth,none
EXPL-03,ALL,All personas,n/a,EXPL,One open review,90-180s,/reviews/:id,partial unique index behavior in plain language,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,CD-028,none
EXPL-04,ALL,All personas,n/a,EXPL,The offline outbox,90-180s,/field,queued/replay/conflict safety,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,offline drill,none
EXPL-05,ALL,All personas,n/a,EXPL,Geofence and override governance,90-180s,/field/:visitId,proven arrival; governed exception,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,request_geo_override,none
EXPL-06,ALL,All personas,n/a,EXPL,Provenance and freshness,90-180s,/factories/:id;/dashboard,source+time on every number,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,CD-031;RTE-045,none
EXPL-07,ALL,All personas,n/a,EXPL,Honest unavailability,90-180s,/visits;/virtual/:id;/dashboard,why tiles say unavailable; fail-closed providers,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,provider truth register,none
EXPL-08,ALL,All personas,n/a,EXPL,Arabic-first by design,90-180s,/login;/admin/localization,lang=ar dir=rtl default; bilingual records,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-057/044,none
HELP-SET-01,ALL,All personas,per route,HELP,Contextual micro-guides (~30 first-use points),<=30s each,first-use decision points across launch routes,revisitable; never blocking; route+state bound,PROPOSAL,EN+AR,text-first+RTL,NOT_STARTED,REC-021/022,none
CH-PA-COM,PA-COM,Committee,unconfirmed role binding,CH,Persona chapter: Committee (HELD),20-45s,/committee;/cases,held until governance confirms runtime role,SPONSOR_DECISION,EN+AR,tbd,NOT_STARTED,RTE-033/034,role binding
CH-PA-ENF,PA-ENF,Enforcement/Compliance Officer,unconfirmed role binding,CH,Persona chapter: Enforcement (HELD),20-45s,/enforcement,held until governance confirms runtime role,SPONSOR_DECISION,EN+AR,tbd,NOT_STARTED,RTE-043,role binding
CH-PA-INT,PA-INT,Integration Admin,unconfirmed persona reconciliation,CH,Persona chapter: Integration Admin (HELD),20-45s,/admin/integrations,held per Master Plan s11 reconciliation rule,SPONSOR_DECISION,EN+AR,tbd,NOT_STARTED,RTE-040,persona inclusion
