screen_id,journey_id,existing_evidence_status,existing_evidence_paths,missing_capture_profiles,notes
SCR-ADM-060,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE). No evidence located. DSG-011 not_started, rank 11, dependency none."
SCR-ADM-070,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE). No evidence located. DSG-012 not_started, rank 12, dependency none."
SCR-ADM-080,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE). No evidence located. DSG-013 not_started, rank 13. PHASE2 matrix flags a ROUTE_RECONCILIATION blocker: notification/SLA is consolidated under /admin, so capture should verify the existing logical surface only, not a route that doesn't exist standalone."
SCR-ADM-090,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE). No evidence located. DSG-014 not_started, rank 14, dependency none."
SCR-WEB-100,G2-P01,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW per PHASE2 matrix; DESIGN-OPS-004 Tier3). No evidence located. DSG-015 not_started, rank 15, dependency none."
SCR-WEB-110,G2-P01,partial,product-contract/evidence/screens/cd-021-bulk-v1/primary.png;product-contract/evidence/screens/cd-021-bulk-v1/ar-rtl.png;product-contract/evidence/screens/cd-021-bulk-v1/narrow.png,"G,H","Partial (W2_REUSE_PARTIAL). CD021-EVIDENCE primary/ar-rtl/narrow frames all present-and-located. primary.png and ar-rtl.png are described as EN desktop / Arabic document RTL with no dark theme captured (""only light theme apparent"" per DESIGN-OPS-004) — treated here as approximate A and C matches since no other theme is evidenced; narrow.png (420px) does not correspond to any of the 8 required profiles. DSG-016 not_started, rank 16."
SCR-WEB-120,G2-P01,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW). No evidence located. DSG-017 not_started, rank 17, dependency none."
SCR-WEB-130,G2-P01,reuse-candidate,product-contract/evidence/screens/immediate-v2/en-light-desktop.png;product-contract/evidence/screens/immediate-v2/en-dark-desktop.png;product-contract/evidence/screens/immediate-v2/ar-light-desktop.png;product-contract/evidence/screens/immediate-v2/ar-dark-desktop.png;product-contract/evidence/screens/immediate-v2/en-light-narrow.png;product-contract/evidence/screens/immediate-v2/en-dark-narrow.png;product-contract/evidence/screens/immediate-v2/ar-light-narrow.png;product-contract/evidence/screens/immediate-v2/ar-dark-narrow.png,"G,H","Reuse-candidate (W1_REUSE_RICH per PHASE2 matrix; DESIGN-OPS-004 Tier1 ""Strong""). CD023-LIVE-REMEDIATION set explicitly names EN/AR x light/dark x desktop/narrow (8 frames, all present-and-located). Desktop frames read as clean A/B/C/D matches (desktop convention = 1440x1024 in this repo); narrow frames do not correspond to any of the 8 profiles. DSG-018 not_started, rank 18 — closest full golden-set candidate after ADM-001."
SCR-WEB-140,G2-P02,none,none,"A,B,C,D,E,F,G,H","Blank slate for evidence purposes, but DO NOT capture beyond as-is per PHASE2 W4_HOLD_AS_IS_ONLY: DSG-019 status is correction_required (not just unproven) per CD-024_DESIGN_REVIEW_R1.md — implementation itself is blocked pending a P1 correction (route/ownership decision, equal-fidelity states, RTL/theme/narrow parity, keyboard semantics). Route-neutral workspace = existing /planning/bulk/review pre-publish surface (DEC-024). Any capture here should be labelled as-is-only, not treated as design-acceptance evidence."
SCR-WEB-150,G2-P03,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW). No evidence located. DSG-020 not_started, rank 20, dependency none."
SCR-WEB-200,G2-P03,reuse-candidate,product-contract/evidence/screens/cd-026-visit-management-v1/primary.png;product-contract/evidence/screens/cd-026-visit-management-v1/eligibility-preview.png;product-contract/evidence/screens/cd-026-visit-management-v1/ar-rtl.png;product-contract/evidence/screens/cd-026-visit-management-v1/narrow-412.png,"G,H","Reuse-candidate (W1_REUSE_RICH; DESIGN-OPS-004 Tier1 ""Moderate"" but zero-dependency and evidence-rich enough to sequence first). CD026-EV-002..005 all present-and-located: primary.png is explicitly EN dark desktop (clean B match); ar-rtl.png's theme is not individually stated so C/D cannot be confirmed from the filename alone; narrow-412.png does not correspond to any of the 8 profiles. Loading/empty/error states are still missing per DESIGN-OPS-004. DSG-021 not_started, rank 21."
SCR-WEB-210,G2-P03,reuse-candidate,product-contract/evidence/screens/cd-027-visit-detail-v1/ribbon-primary.png;product-contract/evidence/screens/cd-027-visit-detail-v1/ribbon-narrow-412.png,"G,H","Reuse-candidate (W1_REUSE_RICH; DESIGN-OPS-004 itself reads this as only ""Partial"" in absolute coverage — only 2 frames, EN only, theme not individually stated for ribbon-primary — but it is bucketed with the zero-dependency evidence-rich tier because the screen is built and has a starting frame). No profile can be confirmed as a clean A-H match from the filenames alone; treat as a weak reuse-candidate needing a full audit before any profile is marked closed. DSG-022 not_started, rank 22."
SCR-WEB-300,G2-P10,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW). No evidence located. DSG-023 not_started, rank 33, dependency none."
SCR-WEB-310,G2-P10,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW). No evidence located. DSG-024 not_started, rank 34, dependency none."
SCR-WEB-320,G2-P11,none,none,"A,B,C,D,E,F,G,H","Blank slate (W4_WEB_PLANNING_REVIEW). No evidence located. DSG-025 not_started, rank 36, dependency none."
SCR-WEB-400,G2-P12,none,none,"A,B,C,D,E,F,G,H","Blank slate (W7_P12_COMMAND). Only a pending/blank register row (EV-DESIGN-007) references this screen; artifact_path is empty, no PNG exists. DSG-026 not_started (rank 37) plus 6 composed DSG-CMD-014..019 rows (ranks 38-43), several with real dependency blocks: SL-3 CR-license relation, SL-4/SL-5 Senaei feed confirmation, SL-8 viewer decision, BR-010 Phase-2 AI deferral, SL-6 governed export. PHASE2 matrix flags a COMPOSED_HOLDS blocker: render explicit unavailable/deferred states only, do not fabricate the blocked sub-surfaces."
SCR-WEB-500,G2-P12,reuse-candidate,product-contract/evidence/screens/dashboard-business-v1/strategic-en-light-desktop.png;product-contract/evidence/screens/dashboard-business-v1/strategic-en-dark-desktop.png;product-contract/evidence/screens/dashboard-business-v1/operational-en-dark-desktop.png;product-contract/evidence/screens/dashboard-business-v1/strategic-ar-mobile.png;product-contract/evidence/screens/dashboard-kpi-seed/operations-scoped-en-light.png;product-contract/evidence/screens/dashboard-kpi-seed/live-operations-en-light.png,"E,F","Reuse-candidate (W1_REUSE_RICH; DESIGN-OPS-004 Tier1 ""Moderate""). DASH-EV-003..006 + KPI-SEED-EV-002/003, all present-and-located. strategic-en-light-desktop/strategic-en-dark-desktop/operational-en-dark-desktop read as A/B matches (desktop convention = 1440x1024); DASH-EV-006 (strategic-ar-mobile) is a mobile viewport and does not match any of the 8 profiles. Per the PHASE2 matrix this screen also already has G/H (1920x1080 wallboard) coverage via the same DASH-EV bucket, leaving only E/F (1024x768) genuinely missing for the base dashboard. DSG-027 base row not_started (rank 44); the 5 composed DSG-CMD-009/010/011/012/013 rows (ranks 45-49) are separate — DSG-CMD-012 is decision-blocked pending the SL-2 colour-banding policy, so the regional map must render greyscale/ranked only."
SCR-IPAD-600,G2-P04,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD per PHASE2 matrix; DESIGN-OPS-004 Tier3). No evidence located in DESIGN-OPS-002. iPad screens use tablet portrait/landscape 1024x1366 capture profiles (matrix profiles I-N), which are outside this manifest's required 8 desktop profiles (A-H) entirely — none of A-H apply to this channel, so all 8 are recorded as missing rather than partially applicable. DSG-028 not_started, rank 23."
SCR-IPAD-610,G2-P04,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600 — A-H (desktop profiles) do not apply to this iPad channel. DSG-029 not_started, rank 24."
SCR-IPAD-620,G2-P06A,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-030 not_started, rank 26. Any future map/GPS evidence must describe Mapbox GL JS (not Leaflet) and projected (not live) inspector positions per DESIGN-OPS-001."
SCR-IPAD-630,G2-P07,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-031 not_started, rank 29."
SCR-IPAD-640,G2-P08,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-032 not_started, rank 30."
SCR-IPAD-650,G2-P08,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-033 not_started, rank 31."
SCR-IPAD-660,G2-P09,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-034 not_started, rank 32."
SCR-IPAD-670,G2-P11,none,none,"A,B,C,D,E,F,G,H","Blank slate (W5_FIELD_IPAD). No evidence located. Same tablet-profile caveat as SCR-IPAD-600. DSG-035 not_started, rank 35."
SCR-VIR-700,G2-P06B,none,none,"A,B,C,D,E,F,G,H","Blank slate (W6_VIRTUAL per PHASE2 matrix; DESIGN-OPS-004 Tier3). No evidence located. DSG-036 not_started, rank 25."
SCR-VIR-710,G2-P06B,none,none,"A,B,C,D,E,F,G,H","Blank slate (W6_VIRTUAL). No evidence located. DSG-037 not_started, rank 27. Per DESIGN-OPS-001, OTP verification itself is genuinely live (vp_request_otp/vp_verify_otp RPCs) but SMS transmission runs through a DEV provider pending Unifonic — any future capture must caption the RPC as live and the SMS leg as DEV-provider, not fully production-live."
SCR-VIR-720,G2-P07,none,none,"A,B,C,D,E,F,G,H","Blank slate (W6_VIRTUAL). No evidence located. DSG-038 not_started, rank 28. PHASE2 matrix flags a PROVIDER_HOLD blocker: live-video is a staging stub off by default — capture must show provider-pending/simulated state and never claim live production video."
