capture_id,screen_id,screen_name,channel,process_id,route,catalogue_route,route_status,persona,authorization,permission_rule,state,locale,direction,theme,viewport_profile,viewport,data_precondition,safe_capture_rule,existing_evidence_reuse,blocker,wave
P2C-00011,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,EN,LTR,light,E,1024x768,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00012,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,loading,AR,RTL,dark,F,1024x768,Deterministic render/network delay; no action submitted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00013,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,EN,LTR,light,A,1440x1024,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00014,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,EN,LTR,dark,B,1440x1024,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00015,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,AR,RTL,light,C,1440x1024,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00016,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,AR,RTL,dark,D,1440x1024,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00017,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,EN,LTR,light,E,1024x768,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00018,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,empty,AR,RTL,dark,F,1024x768,Authorized zero-row scope or deterministic empty fixture; no shared rows deleted,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00019,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,EN,LTR,light,A,1440x1024,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00020,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,EN,LTR,dark,B,1440x1024,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00021,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,AR,RTL,light,C,1440x1024,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00022,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,AR,RTL,dark,D,1440x1024,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00023,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,EN,LTR,light,E,1024x768,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00024,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,validation,AR,RTL,dark,F,1024x768,Local draft/fixture with named invalid field or guard; do not submit/publish,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00025,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,EN,LTR,light,A,1440x1024,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00026,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,EN,LTR,dark,B,1440x1024,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00027,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,AR,RTL,light,C,1440x1024,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00028,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,AR,RTL,dark,D,1440x1024,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00029,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,EN,LTR,light,E,1024x768,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00030,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,read_only,AR,RTL,dark,F,1024x768,Immutable/published/submitted fixture or view-only role; no edit attempt beyond client guard,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00031,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,EN,LTR,light,A,1440x1024,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00032,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,EN,LTR,dark,B,1440x1024,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00033,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,AR,RTL,light,C,1440x1024,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00034,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,AR,RTL,dark,D,1440x1024,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00035,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,EN,LTR,light,E,1024x768,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00036,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,stale,AR,RTL,dark,F,1024x768,Fixture carries an explicit old freshness/version timestamp,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00037,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,EN,LTR,light,A,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00038,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,EN,LTR,dark,B,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00039,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,AR,RTL,light,C,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00040,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,AR,RTL,dark,D,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00041,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,EN,LTR,light,E,1024x768,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00042,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,degraded,AR,RTL,dark,F,1024x768,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00043,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,EN,LTR,light,A,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00044,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,EN,LTR,dark,B,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00045,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,AR,RTL,light,C,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00046,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,AR,RTL,dark,D,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00047,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,EN,LTR,light,E,1024x768,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00048,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,pending,AR,RTL,dark,F,1024x768,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00049,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,EN,LTR,light,A,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00050,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,EN,LTR,dark,B,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00051,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,AR,RTL,light,C,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00052,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,AR,RTL,dark,D,1440x1024,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00053,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,EN,LTR,light,E,1024x768,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00054,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,failed,AR,RTL,dark,F,1024x768,Fail-closed provider/subservice fixture; provider remains unavailable and clearly labelled,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00055,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,EN,LTR,light,A,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00056,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,EN,LTR,dark,B,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00057,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,AR,RTL,light,C,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00058,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,AR,RTL,dark,D,1440x1024,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00059,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,EN,LTR,light,E,1024x768,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
P2C-00060,SCR-ADM-001,Admin Home,Admin Portal,G2-P00,/admin,/admin,implemented,Compliance Admin,positive,Role-scoped,recovery,AR,RTL,dark,F,1024x768,Deterministic local queue/version fixture; no server overwrite or workflow transition,READ_ONLY_CAPTURE; no publish/approve/submit/cancel/reassign/override; stop if state requires shared mutation; mask PII/secrets,"AUDIT_DELTA: CD004-EV-003/005 (EN/AR, dark/light, 1024/1440)",none,W1_REUSE_RICH
