screen_id,channel,route,screen,personas,purpose,process,source_scope,mandatory_regions,primary_actions,states,permission_rule,scope
SCR-ADM-060,Admin Portal,/admin/risk,Risk Configuration,Risk Owner; Compliance Admin,"Configure approved MVP1 risk inputs, thresholds and version metadata",G2-P00,FND,Drivers; weights/formula reference; thresholds; source; effective version,Edit draft; test sample; approve; publish,Unknown formula/weights remain decision-blocked,Risk Owner,"MVP1 foundation, not advanced studio"
SCR-ADM-070,Admin Portal,/admin/gis,GIS & Geofence Settings,GIS Admin; Technical Admin,"Manage factory coordinates, geofence rules, arrival thresholds and override policy",G2-P00,FND,Map layers; geofence type; radius/polygon; accuracy; override roles,Edit; validate; preview; publish,Invalid geometry; threshold unresolved,GIS Admin,MVP1
SCR-ADM-080,Admin Portal,/admin/notifications,Notification & SLA Rules,Business Admin; Technical Admin,"Configure events, recipients, templates, timers and escalation",G2-P00,FND,Event catalogue; templates; recipients; channels; SLA; escalation,Create; test; activate; deactivate,Missing recipient; provider unavailable,Maker-checker,MVP1
SCR-ADM-090,Admin Portal,/admin/access,Roles & Permissions,Security Admin,Manage role permissions and data scope,G2-P00,FND,Role matrix; channel; object; action; scope; segregation rules,Create role; assign permission; compare; publish,Privilege conflict; segregation violation,Security Admin,MVP1
SCR-WEB-100,Web Portal,/planning,Visit Planning Home,Planner,"Start Bulk, Single or Immediate planning and view drafts",G2-P01,M01,Planning method cards; drafts; recent plans; alerts,Create plan; resume draft,No permission; no package,Planner,MVP1
SCR-WEB-110,Web Portal,/planning/bulk,Bulk Planning Criteria,Planner,"Build criteria, retrieve factories and select targets",G2-P01,M01,Filter builder; AND/OR; result count; factory table; selection,Search; select; save criteria; continue,No matches; invalid condition; data source unavailable,Planner,MVP1
SCR-WEB-120,Web Portal,/planning/single,Single Visit Planning,Planner,Find one registered factory and configure visit,G2-P01,M01,Factory search; Factory 360 preview; visit configuration,Select factory; configure; assign,Factory not found; duplicate visit,Planner,MVP1
SCR-WEB-130,Web Portal,/planning/immediate,Immediate Visit Planning,Planner; Authorized Inspector,Create urgent registered/unregistered visit with minimum controls,G2-P01,M01,Urgency reason; identity/location; visit type; assignment,Create; validate; dispatch,Missing minimum identity/location; unauthorized,Restricted role,MVP1
SCR-WEB-140,Web Portal,/planning/:id/configure,Visit Configuration & Assignment,Planner,"Set visit window, type, package, mode and assignment",G2-P02,M01,Configuration form; package version; mode; team; conflict panel,Assign auto/manual; resolve conflict; review,No package; unavailable inspector; overlapping visit,Planner,MVP1
SCR-WEB-150,Web Portal,/planning/:id/review,Plan Review & Publish,Planner; Approver if configured,Validate and publish plan and child visits,G2-P03,M01,Summary; targets; visits; assignments; validation; notifications,Publish; return to edit,Validation failure; stale data; duplicate,Planner,MVP1
SCR-WEB-200,Web Portal,/visits,Visit Management Workspace,Planner; Operations User; Branch Manager,"Search, filter and operate on visits and plans",G2-P03,M02,KPI cards; table; filters; saved views; map/calendar toggle; bulk bar,Open; edit; reassign; cancel; return; export; bulk action,Partial bulk failure; stale row; unauthorized,Role-scoped,MVP1
SCR-WEB-210,Web Portal,/visits/:id,Visit Detail,Planner; Operations; Inspector read context,"View complete visit, assignment, timeline, package and exceptions",G2-P03,M02,Header; status; factory; assignment; schedule; package; timeline; map,Edit allowed fields; reassign; cancel; open Factory 360,Locked state; conflict; not found,Role/state scoped,MVP1
SCR-WEB-300,Web Portal,/reviews,Level 2 Review Queue,Level 2 Reviewer,"Prioritize submitted inspections by SLA, risk and status",G2-P10,M06,Queue; filters; SLA; risk; assignee; version; workload,Claim/open/reassign,No evidence; stale assignment; unauthorized,Reviewer,MVP1
SCR-WEB-310,Web Portal,/reviews/:id,Level 2 Review Workspace,Level 2 Reviewer,Review immutable submission and decide,G2-P10,M06,Read-only report; checklist; evidence; findings; violations; timeline; decision panel,Approve; return; reject; add immutable comments,Missing reason; stale version; unauthorized,Reviewer,MVP1
SCR-WEB-320,Web Portal,/reviews/:id,Version Comparison,Reviewer; Auditor,Compare returned/resubmitted versions (route-neutral compare mode; CC-CD030-ROUTE-001),G2-P11,M06,Section diff; field diff; evidence diff; comments; version metadata,Navigate changed sections (Accept changes deferred — CC-CD030-ROUTE-001),Missing version; incompatible package,Reviewer/Auditor,MVP1
SCR-WEB-400,Web Portal,/factories/:id/360,Factory 360,Planner; Inspector; Reviewer; Operations; Leadership read,"Unified factory identity, history, risk, findings, actions and documents",G2-P12,M07,Profile; license; CR; location; metrics; history; findings; docs; timeline,Open report; filter history; open map; open action,Subservice degraded; stale source,Role/data-scope,MVP1
SCR-WEB-500,Operations Center,/operations,Operations Center,Operations User; Supervisor; Leadership,"Monitor visits, journeys, SLA, alerts, overrides and workload",G2-P12,M08,Live map/list; KPIs; alerts; workload; exceptions; tracking history,Open visit; resolve alert; approve override; export,Widget fault; stale telemetry; provider failure,Operations,MVP1
SCR-IPAD-600,iPad,/ipad/assignments,Assigned Visits,Inspector,"View assigned, upcoming, active and returned work",G2-P04,M03,List/cards; date; priority; status; offline state; alerts,Open; accept; return assignment,No sync; expired assignment; unauthorized,Assigned inspector,MVP1
SCR-IPAD-610,iPad,/ipad/visits/:id/prestart,Inspector Startup Pack,Inspector,"Prepare visit, review package and readiness",G2-P04,M03,Visit card; package; Factory 360 snapshot; docs; route; readiness checklist,Download; validate; run diagnostics; ready,Package corrupt; storage low; GPS weak; wrong mode,Assigned inspector,MVP1
SCR-IPAD-620,iPad,/ipad/visits/:id/journey,Journey & Check-In,Inspector,"Start journey, navigate, capture telemetry, arrive and check in",G2-P06A,M04,Route; ETA; distance; GPS accuracy; arrival; geofence; exceptions,Start; navigate; check in; request override,No GPS; out of geofence; route deviation; offline,Assigned inspector,MVP1
SCR-IPAD-630,iPad,/ipad/inspections/:id,Inspection Workspace,Inspector,Execute dynamic report/checklist and monitor completion,G2-P07,M04,Section nav; progress; question panel; notes; autosave; blockers,Answer; save; navigate; add finding/evidence,Conditional rule error; offline; validation failure,Assigned inspector,MVP1
SCR-IPAD-640,iPad,/ipad/inspections/:id/evidence,Evidence Capture,Inspector,Capture and link evidence with metadata,G2-P08,M04,Camera; gallery; video; doc scan; note; metadata; link target,Capture; attach; retry upload; delete draft only,Permission denied; file too large; corrupt; sync failure,Assigned inspector,MVP1
SCR-IPAD-650,iPad,/ipad/inspections/:id/findings,"Findings, Violations & Actions",Inspector,Record findings and consume configured violation/action rules,G2-P08,M04,Finding form; severity; linked clause/evidence; violation; penalty context; action form,Create; edit draft; complete action,Rule unavailable; missing evidence; action incomplete,Assigned inspector,MVP1
SCR-IPAD-660,iPad,/ipad/inspections/:id/submit,Pre-Submit & Submission,Inspector,"Validate, acknowledge/sign where applicable and submit immutable version",G2-P09,M04,Completion summary; blockers; evidence manifest; acknowledgement; sync status,Submit; retry; save offline,Mandatory gap; duplicate retry; network failure,Assigned inspector,MVP1
SCR-IPAD-670,iPad,/ipad/returned/:id,Returned Correction,Inspector,Edit only returned sections and resubmit,G2-P11,M06,Return summary; immutable comments; unlocked sections; version indicator,Correct; add evidence; resubmit,Attempt locked edit; overdue policy unresolved; sync conflict,Assigned inspector,MVP1
SCR-VIR-700,Virtual,/virtual/appointments/:id,Virtual Appointment & Waiting Room,Inspector; Factory Representative,Join governed virtual inspection,G2-P06B,M05,Appointment; participants; instructions; device readiness; join controls,Join; admit; reschedule,Wrong appointment; late; device failure,Participant/Inspector,MVP1
SCR-VIR-710,Virtual,/virtual/sessions/:id/verify,Identity & OTP Verification,Inspector; Factory Representative; System,Verify participants and unlock session,G2-P06B,M05,Identity details; OTP state; retries; exception; audit,Verify; resend OTP; escalate,OTP failure; identity mismatch; provider unavailable,Participant/System,MVP1
SCR-VIR-720,Virtual,/virtual/sessions/:id,Virtual Inspection Session,Inspector; Factory Representative,Conduct remote inspection and capture evidence,G2-P07,M05,Video; participant list; agenda; evidence; notes; checklist; status,Capture; request view; add evidence; close,Connectivity failure; insufficient evidence; fallback physical,Inspector,MVP1
