screen_id,catalogue_route,implemented_route,code_location,reconciliation,status,design_instruction
SCR-WEB-130,/planning/immediate,/planning/immediate,apps/web/src/app/planning/immediate,Direct,implemented,Design urgent registered and unregistered paths
SCR-WEB-140,/planning/:id/configure,"/planning/bulk/review (implemented P02 subset); /planning/plans/:id (read-only post-publish)","apps/web/src/app/planning/bulk/review/page.tsx; apps/web/src/app/planning/bulk/review/ReviewClient.tsx; apps/web/src/app/planning/bulk/actions.ts; apps/web/src/app/planning/plans/[id]/page.tsx",Route_and_screen_identity_conflict,reconciliation_required,"Do not edit the read-only plan drill-down. Current bulk review is labelled SCR-WEB-120, colliding with governed Single Visit Planning. Resolve ownership before CD-024 implementation."
SCR-WEB-150,/planning/:id/review,/planning/plans/:id,apps/web/src/app/planning/plans/[id]/page.tsx,Consolidated,implemented_logical,Make review validation and atomic publish a distinct step
SCR-WEB-200,/visits,/visits,apps/web/src/app/visits,Direct,implemented,Design table filters views map calendar workload and bulk actions
SCR-WEB-210,/visits/:id,/visits/:id,apps/web/src/app/visits/[id],Direct,implemented,Design timeline package assignment notes attachments and state actions
SCR-WEB-300,/reviews,/reviews,apps/web/src/app/reviews/page.tsx,Direct,implemented,Design risk SLA workload queue and claim behavior
SCR-WEB-310,/reviews/:id,/reviews/:id,apps/web/src/app/reviews/[id],Direct,implemented,Design immutable evidence-led review and decision panel
SCR-WEB-320,/reviews/:id/compare,/reviews/:id,apps/web/src/app/reviews/[id],Consolidated,implemented_logical,Create an explicit comparison mode with changed-section navigation
SCR-WEB-400,/factories/:id/360,/factories/:id,apps/web/src/app/factories/[id],Direct,implemented,Design resilient dossier with partial-service degradation
SCR-WEB-500,/operations,/operations and /operations/live,apps/web/src/app/operations,Extended,implemented,Separate operational dashboard from authenticated live-map mode
SCR-IPAD-600,/ipad/assignments,/field,apps/web/src/app/field/page.tsx,Route_alias,implemented,Keep iPad assignment dashboard semantics
SCR-IPAD-610,/ipad/visits/:id/prestart,/field/:visitId,apps/web/src/app/field/[visitId],Route_alias,implemented,Design startup package readiness map and diagnostics
SCR-IPAD-620,/ipad/visits/:id/journey,/field/:visitId,apps/web/src/app/field/[visitId]/Startup.tsx,Consolidated,implemented_logical,Make journey check-in and exception states explicit within startup route
SCR-IPAD-630,/ipad/inspections/:id,/field/inspection/:id,apps/web/src/app/field/inspection/[id],Route_alias,implemented,Design section navigation autosave progress and blockers
SCR-IPAD-640,/ipad/inspections/:id/evidence,/field/inspection/:id,apps/web/src/app/field/inspection/[id]/Workspace.tsx,Consolidated,implemented_logical,Create a strong evidence capture and lifecycle mode
SCR-IPAD-650,/ipad/inspections/:id/findings,/field/inspection/:id,apps/web/src/app/field/inspection/[id]/Workspace.tsx,Consolidated,implemented_logical,Create findings violations penalty context and action-form mode
SCR-IPAD-660,/ipad/inspections/:id/submit,/field/inspection/:id,apps/web/src/app/field/inspection/[id]/Workspace.tsx,Consolidated,implemented_logical,Create a dedicated pre-submit validation and immutable submission mode
SCR-IPAD-670,/ipad/returned/:id,/field/inspection/:id,apps/web/src/app/field/inspection/[id]/Workspace.tsx,State_alias,implemented_logical,Create returned-scope mode with locked sections and version context
SCR-VIR-700,/virtual/appointments/:id,/virtual/:id,apps/web/src/app/virtual/[id],Consolidated,implemented_logical,Design appointment waiting device and participant readiness states
SCR-VIR-710,/virtual/sessions/:id/verify,/virtual/:id,apps/web/src/app/virtual/[id]/Room.tsx,Consolidated,implemented_logical,Design OTP counters lockout identity mismatch and provider failure
SCR-VIR-720,/virtual/sessions/:id,/virtual/:id,apps/web/src/app/virtual/[id]/Room.tsx,Consolidated,provider_partial,Design governed room and video adapter states without fake integration
