handoff_id,originating_action,originating_persona,originating_endpoint,mechanism,receiving_downstream_queue_or_record,receiving_persona,receiving_endpoint,audit_notification_expected,test_evidence
HANDOFF-011,Incident report during visit,Inspector / Operations specialist,app/(app)/incident-reports/actions.ts,inserts incident_reports row,Operations queue / Case module,Operations Centre manager / Enforcement officer,app/(app)/operations/page.tsx + app/(app)/cases/page.tsx,audit_events + notifications to operations,none found
HANDOFF-012,Bulk violation issuance,Compliance manager,app/(app)/admin/bulk-violations/actions.ts issue_bulk_violation RPC,inserts violations + action_forms across targeted factories,"Enforcement module, Factory 360 compliance history",Enforcement officer / Factory owner,app/(app)/enforcement/page.tsx + app/(app)/factories/[id]/page.tsx,audit_events per affected factory + notifications,none found
HANDOFF-013,Compliance configuration request created (external portal Chemical Clearance / Customs Exemption),External factory representative (portal),app/(app)/portal/actions.ts create_compliance_request RPC,inserts compliance_configuration_requests (draft/submitted),Admin compliance-approvals queue,Compliance manager,app/(app)/admin/compliance-approvals/page.tsx + compliance-requests/[id]/page.tsx,audit_events + notification_rules-triggered notification to compliance manager,compliance-request-engine.spec.ts
HANDOFF-014,Compliance request decision (approved/returned),Compliance manager,app/(app)/admin/compliance-requests/actions.ts,inserts compliance_request_decisions + compliance_request_revisions,External portal requester correction/confirmation view,External factory representative,app/(app)/portal/page.tsx,audit_events + notifications to external requester (or governed sink if email/SMS unconfigured),compliance-request-engine.spec.ts
HANDOFF-015,Immediate Inspection created (unregistered establishment path),Senior inspection planner,app/(app)/planning/immediate/actions.ts create_immediate_visit RPC,inserts visits (immediate) + visit_location_events,Field assignment queue,Inspector,app/(app)/field/page.tsx,audit_events + notifications to assigned inspector,cd-023-immediate-authority-bar.spec.ts
HANDOFF-016,Bulk/single visit plan published,Planner,"app/(app)/planning/bulk/actions.ts publish_bulk_plan RPC, planning/single/actions.ts publish_single_visit RPC",inserts visits + assignments (published),Field assignment queue / Inspector workload,Inspector,app/(app)/field/page.tsx + visits/workload/page.tsx,audit_events + notifications to assigned inspectors,cd-020-planning-home.spec.ts / cd-021-bulk-targeting.spec.ts
HANDOFF-017,Virtual session verification event,Inspector / Factory representative (virtual),app/(app)/virtual/[id]/actions.ts vs_append_event / vs_mark_session_verified RPCs,inserts virtual_participants event trail + updates virtual_sessions.verified,Review queue (post virtual-inspection submission),Reviewer,app/(app)/reviews/page.tsx,audit_events on verification + notifications,cd-041-virtual-verified-gate.spec.ts
HANDOFF-018,Committee signature recorded on decision dossier,Committee member,app/(app)/committee/actions.ts (signature_acts insert via lib/committee/signature.ts + DocuSign),inserts signature_acts + report_verifications,Final report / Reports module,Reviewer / External recipient,app/reports/inspection/[id]/page.tsx,audit_events + (DocuSign envelope webhook when configured),mvp2-m2-12-signature.spec.ts
HANDOFF-019,Push subscription registered,Any authenticated persona (iOS PWA install),app/push/actions.ts,inserts push_subscriptions,Notification delivery pipeline for that persona,Same persona (self),lib/notify.ts + lib/providers/push-webpush.ts,"none (subscription, not a workflow event); future notify() calls audited via notifications table",mvp2-push-webpush.spec.ts
HANDOFF-020,AI suggestion generated and accepted/dismissed,Any persona (advisory surfaces only),app/(app)/ai/suggestions/actions.ts,inserts ai_events + updates ai_suggestions.status,Analytics/admin destination (when implemented) / originating workflow surface,Same persona (self) + Platform administrator (audit),app/(app)/ai/suggestions/page.tsx,ai_events audit row per generation/decision,ai-delta-contract.spec.ts
HANDOFF-021,Dashboard/config draft submitted for approval,Dashboard/config administrator,app/admin/dashboard-config/actions.ts dash_submit_config RPC,inserts dashboard_config_versions (submitted),Dashboard config approval queue,Platform administrator (approver),app/admin/dashboard-config/page.tsx,audit_events + notifications to approver,none found
HANDOFF-022,Risk model transitioned draft->simulated->review->approved->published,Risk owner,app/(app)/admin/risk/models/actions.ts risk_model_transition RPC,updates risk_models.status through governed lifecycle,Factory risk snapshot recompute / Dashboard risk-band KPI,All personas viewing Factory 360 / Dashboard,app/(app)/factories/[id]/page.tsx + app/(app)/dashboard/page.tsx,audit_events per transition,mvp2-m2-04-risk-model.spec.ts
HANDOFF-023,Regulation/package/violation-code/penalty-mapping published,Compliance manager / Config administrator,"app/(app)/admin/regulations/actions.ts publish_regulation, admin/packages/actions.ts publish_package_version, admin/violations/actions.ts publish_violation_code/publish_penalty_mapping",inserts new version rows (immutable published version),Field inspection runtime (checklist/violation catalogue) / Planning package selection,Inspector / Planner,app/(app)/field/inspection/[id]/page.tsx + app/(app)/planning/single/page.tsx,audit_events (admin_configuration_audit) on every publish,cd-005-006-regulations.spec.ts / cd-006-011-backend-completion.spec.ts
HANDOFF-024,Access review decided / device command issued / feature flag published / error retried (MVP3),Platform administrator,app/(app)/admin/mvp3-actions.ts,updates mvp3_access_reviews / mvp3_devices / mvp3_feature_flags / mvp3_error_queue,Requesting persona's device/session state,Persona whose access/device/flag was affected,app/(app)/admin/devices/page.tsx + security-access/page.tsx + operations/page.tsx (MVP3),audit_events per decision,mvp3-enterprise-contract.spec.ts
HANDOFF-025,Evidence OCR extraction reviewed,Inspector / Reviewer,app/(app)/evidence-ocr/actions.ts,inserts ocr_extractions (advisory text; never auto-fills authoritative field),Field inspection workspace / Review workspace (human confirms/transcribes),Inspector / Reviewer (self),app/(app)/field/inspection/[id]/page.tsx + reviews/[id]/page.tsx,"none beyond the ocr_extractions row itself (advisory, no downstream workflow mutation)",ocr-journey-contract.spec.ts
