migration_id,source,classification,notes,remote_tracking_detail
20260716161604_add_geo_override_evidence_link,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716161605_ipad_geo_override_approval_workflow,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716200000_cd006_011_trigger_rpc_hardening,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716210000_m09_relationship_contract_hardening,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716210000_remaining_requirements_backend,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716220000_def_wf_006_approved_requires_submission,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716221000_def_data_005_plausible_date_bounds,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716222000_scr_adm_080_notification_rules,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716223000_scr_adm_080_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716224000_def_prf_003_profile_notification_preferences,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716225000_def_prf_003_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717000000_cycle2_completion_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717010000_mvp2_m2_02_workflow_version_model,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717020000_mvp2_m2_02_workflow_outbox,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717030000_mvp2_m2_02_task_assignments,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717040000_mvp2_m2_02_sla_timers,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717050000_mvp2_m2_02_notification_bilingual_delivery,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717150000_mvp2_m2_05_semantic_audit_replay,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717170000_mvp2_m2_04_risk_workbench,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717180000_mvp2_m2_08_external_portal,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717190000_mvp2_m2_10_case_spine,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717200000_mvp2_m2_12_committee_signature,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717210000_mvp2_m2_11_assistive_ai,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717220000_mvp2_m2_06_spatial_gis,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717230000_mvp2_fix_submission_versions_acknowledgement_drift,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717240000_mvp2_m2_05_fix_emit_cross_table_colrefs,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260717250000_mvp2_m2_05_fix_emit_visit_anchored_evidence,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260718010000_mvp2_m2_02_push_subscriptions,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260718020000_mvp2_ocr_extractions,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260718140105_fix_geo_override_dispatch_coordinates,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260718150000_mvp3_enterprise_control_plane,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260719000000_mim_ipad_figma_localization_seed,local_file,canonical+applied,"Live evidence: ui_strings rows 'figma.hometasks.ht001' and 'figma.report.cr002' exist. No schema_migrations entry found under this or any matching slug -- applied outside the tracked history (untracked apply, not merely renumbered).",
20260719010000_dec_f_enforcement_recommendations,local_file,canonical+applied,Live evidence: table public.enforcement_recommendations exists. No schema_migrations entry found.,
20260719020000_dec_l_administrative_execution_mode,local_file,canonical+applied,Live evidence: enum execution_mode includes value 'administrative' (added by this file's ALTER TYPE ... ADD VALUE). No schema_migrations entry found.,
20260719030000_dec_l_bulk_violation_issuance,local_file,canonical+applied,Live evidence: tables public.bulk_violation_batches and public.bulk_violation_batch_items exist. No schema_migrations entry found.,
20260719040000_dec_f_rls_initplan_fix,local_file,canonical+applied,Live evidence: policy 'enforcement_recommendations_insert' exists on enforcement_recommendations. No schema_migrations entry found.,
20260719050000_pkg_chemical_customs_scaffold,local_file,canonical+applied,Live evidence: packages rows PKG-CHEM-CLEAR / PKG-CUST-EXEMPT (ids e1000000-...0001/0002) and ui_strings key 'figma.customsreport.cu001' exist. No schema_migrations entry found.,
20260719213000_compliance_configuration_request_engine,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260720010000_factory360_v2_foundation,local_file,canonical+applied,"Live evidence: tables public.permissions, public.role_permissions, public.external_source_connections exist. No schema_migrations entry found. NOTE: this file shares its numeric timestamp (20260720010000) with 20260720010000_incident_reports.sql -- a local filename timestamp collision between two unrelated migrations.",
20260720010000_incident_reports,local_file,canonical+applied,Live evidence: table public.incident_reports exists. No schema_migrations entry found. Shares timestamp collision with 20260720010000_factory360_v2_foundation.sql (see note above).,
20260720020000_fix_submission_versions_read_rls,local_file,canonical+applied,Live evidence: policy 'subs_read' exists. No schema_migrations entry found.,
20260720154210_g11_navigation_performance_indexes,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721010000_dashboard_kpi_admin_foundation,local_file,canonical+applied (ambiguous),"Live evidence: dashboard_config_parameters/versions/heads tables exist, but these tables are also documented in the seeding blueprint as pre-existing prior to this migration, so table existence alone does not prove THIS specific file ran (vs. an earlier migration having already created them). No schema_migrations entry found either way -- recommend a content diff (pg_dump --schema-only vs this file) before relying on it in the seeder DAG.",
20260721020000_plain_language_terminology_ar_strings,local_file,canonical+UNAPPLIED,Live evidence check FAILED: ui_strings key 'admin.bulkvio.title' (inserted by this file) is absent from the live database. No schema_migrations entry either. This file has NOT been applied.,
20260721030000_planning_capabilities,local_file,canonical+applied,"Same SQL content as remote version 20260721020805 (name 'planning_capabilities'); applied via Management API bypassing `supabase db push`, so schema_migrations recorded a different version stamp than the local filename.",
20260721030100_planning_canonical_structures,local_file,canonical+applied,Same SQL content as remote version 20260721021513 (name 'planning_canonical_structures'); applied via Management API with a renumbered version stamp.,
20260721030200_planning_visits_update_policy,local_file,canonical+applied,Same SQL content as remote version 20260721021552 (name 'planning_visits_update_policy'); applied via Management API with a renumbered version stamp.,
20260721090000_perf_indexes_rls_initplan,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721093000_execution_canonical_contracts,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721100000_execution_admin_audit,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721110000_execution_access_grants,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721120000_perf_tier_c_global_search,local_file,canonical+UNAPPLIED,Live evidence check FAILED: functions public.shell_global_search and public.dashboard_grouped_metrics (created by this file) do not exist live. No schema_migrations entry either. This file has NOT been applied.,
20260721121000_execution_preparation,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721130000_execution_journey_readiness_guard,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721140000_execution_journey_cancellation,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721150000_execution_item_lifecycle,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721160000_execution_submission_review,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721170000_execution_virtual_leg,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260721180000_planning_publish_capability,local_file,canonical+applied (superseded),"Live evidence: functions publish_bulk_plan / publish_single_visit exist, but this file's CREATE OR REPLACE bodies may have been overwritten by the later convergence migration below -- function existence confirms *a* version ran, not necessarily this file's exact body. No schema_migrations entry found.",
20260722090000_fix_submission_snapshot_trigger_search_path,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260722120000_planning_role_permissions_audit,local_file,canonical+applied,Live evidence: trigger trg_audit_role_permissions exists on public.role_permissions. No schema_migrations entry found.,
20260723090000_planning_publish_capability_convergence,local_file,canonical+applied,"Live evidence: functions publish_bulk_plan / publish_single_visit exist (this file re-defines them via CREATE OR REPLACE, so it is presumed to hold the currently-live body since it is the later of the two publish_* migrations by filename timestamp). No schema_migrations entry found.",
20260723090100_planning_capacity_read_gate_convergence,local_file,canonical+applied,Live evidence: function public.inspector_window_capacity exists. No schema_migrations entry found.,
20260719220000_compliance_lookup_management,remote_only_version,canonical+applied,"Pre-existing drift, already logged in product-contract/evidence/TASK-FACTORY-360-STAGING-RUNTIME-CLOSURE-016-preflight.md as separate concurrent MVP2/3 work; no matching local filename in this exact repo checkout.",remote_version=20260719220000; remote_name=compliance_lookup_management
20260719223000_compliance_lookup_type_canonicalization,remote_only_version,canonical+applied,"Pre-existing drift, already logged in product-contract/evidence/TASK-FACTORY-360-STAGING-RUNTIME-CLOSURE-016-preflight.md as separate concurrent MVP2/3 work; no matching local filename in this exact repo checkout.",remote_version=20260719223000; remote_name=compliance_lookup_type_canonicalization
20260719224000_compliance_enforcement_component_atomic,remote_only_version,canonical+applied,"Pre-existing drift, already logged in product-contract/evidence/TASK-FACTORY-360-STAGING-RUNTIME-CLOSURE-016-preflight.md as separate concurrent MVP2/3 work; no matching local filename in this exact repo checkout.",remote_version=20260719224000; remote_name=compliance_enforcement_component_atomic
20260721020805_planning_capabilities,remote_only_version,canonical+applied,Same SQL content as local supabase/migrations/20260721030000_planning_capabilities.sql; applied via Management API directly (bypassing `supabase db push`).,remote_version=20260721020805; remote_name=planning_capabilities
20260721021513_planning_canonical_structures,remote_only_version,canonical+applied,Same SQL content as local supabase/migrations/20260721030100_planning_canonical_structures.sql; applied via Management API directly.,remote_version=20260721021513; remote_name=planning_canonical_structures
20260721021552_planning_visits_update_policy,remote_only_version,canonical+applied,Same SQL content as local supabase/migrations/20260721030200_planning_visits_update_policy.sql; applied via Management API directly.,remote_version=20260721021552; remote_name=planning_visits_update_policy
20260723110000_inspector_briefing_cache,remote_only_version,canonical+applied,"Applied to the shared staging DB from a DIFFERENT, uncommitted worktree (/Users/vikramindla/Developer/Inspection-ipad-field-delivery, branch feature/ipad-field-channel-delivery). The migration file exists on that worktree's disk but was never committed to canonical repo history, so `git grep --all` in this repo finds nothing.",remote_version=20260723110000; remote_name=inspector_briefing_cache
