source_file,source_column,observed_sample,candidate_target_table,candidate_target_column,classification,rationale
inspection_flow_assignees.csv,action,assign,public.assignments,status/method (conceptually),transform,Single observed value 'assign' — insufficient sample to confirm the full legacy action vocabulary (no 'reassign'/'unassign'/'complete' observed); do not assume the enum is limited to what's in this 1-row sample.
inspection_flow_regulation_responses.csv,id / inspection_flow_id / reg_item_id,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement.
inspection_flow_regulation_responses.csv,applies,"1 / NULL",public.checklist_responses,response (jsonb),transform,"Boolean-as-text-1 in row 1, NULL in row 2 (the same reg_item_id re-evaluated on a different flow) — needs an explicit tri-state mapping (applies / does-not-apply / not-yet-evaluated), not a raw boolean cast that would silently coerce NULL to false."
inspection_flow_regulation_responses.csv,remarks,"applies / NULL",public.checklist_responses,response.notes (jsonb path),direct map,"Free-text remark, 1 of 2 rows populated; safe to carry through as-is once the parent IDs are crosswalked."
inspection_regulations.csv,id / inspection_flow_id / created_by,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement; created_by is another staff ID with no name (see inspection_flows.staff_id note).
inspection_regulations.csv,name,Administrative Notes,public.regulations,name (bilingual),lookup required,Only English observed in the 1-row sample; no Arabic label present anywhere in the export — bilingual content gap (see Rejected Row Rules doc). Needs a business decision on the authoritative Arabic label, not a machine translation.
inspection_regulations.csv,number,4801078725,public.regulations,number / external_reference,transform,Same ambiguity as inspection_flows.number — needs a business decision on target column and whether it must be unique against live regulations.number.
inspection_regulations.csv,issue_date,2026-06-21 00:00:00,public.regulations,issue_date,direct map,Plausible date, internally consistent with created_at/updated_at ordering (issue_date <= created_at).
inspection_regulations.csv,status,1,public.regulations,status,lookup required,Raw integer status code (value observed: 1) with no legend supplied in the export — requires a lookup table matching legacy integer codes to canonical text statuses; do not guess the mapping from a single sample value.
inspection_regulations.csv,meta,"[""industry_mineral_resources""]",public.regulations,issuing_authorities (jsonb),direct map,Simple single-element array of an authority code; consistent shape with inspection_flows.meta.regulation_data.issuing_authorities — safe direct map once schema-validated.
inspection_regulation_items.csv,id / inspection_flow_id,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement.
inspection_regulation_items.csv,type,violation,public.violation_codes or public.inspection_items,type,lookup required,Single observed value; insufficient sample to confirm full legacy type vocabulary.
inspection_regulation_items.csv,entity_notification,0,public.violation_codes,notification_required (boolean-like),transform,Text '0' needs explicit boolean-cast rule (0/1 as text, not native boolean) — do not rely on implicit truthy casting.
inspection_regulation_items.csv,geographical_location,Resolved from the system based on context (not editable).,(descriptive only),n/a,archive only,This is boilerplate UI help text baked into the data row, not a real geography value — must not be imported as if it were an actual location field.
inspection_regulation_items.csv,administrative_name,permits_and_licenses,public.compliance_lookup_values,category code,lookup required,Looks like a category/taxonomy key; needs mapping against the live compliance_lookup_types/compliance_lookup_values tables rather than free-text import.
inspection_regulation_items.csv,name,Municipal license (operation from a municipality affiliate),public.violation_codes / public.regulation_clauses,name,transform,Bilingual gap — English only observed; Arabic label must be sourced from a business owner, not invented.
inspection_regulation_items.csv,appeared_in_self_assessment,1,public.self_assessments (0 rows live today),n/a,business decision,"public.self_assessments has 0 rows in the live schema (see Section C finding DQ-015) — there is no live target to map this flag into yet; a business decision is needed on whether self-assessment support ships before this import is attempted."
inspection_regulation_items.csv,report_kind,seizure,public.action_forms or a report-type lookup,report_kind,business decision,"THE VISIT-REPORT / SEIZURE SEMANTIC CONFLICT: this single item simultaneously carries report_kind='seizure' AND meta.report_types=[""visit_report""] AND meta.associated_reports=[""release_seizure""] — i.e. it is tagged as a seizure-report item, a visit-report item, and a release-of-seizure item all at once for what is described as a municipal-licence violation (an administrative/paperwork issue, not a seizable-goods issue). This is an unresolved semantic conflict in the legacy source and must be escalated as a business decision, not silently resolved by picking one of the three tags."
inspection_regulation_items.csv,description,Municipal license (operation from a municipality affiliate),public.violation_codes,description,direct map,Duplicates the `name` field verbatim in this sample — likely a legacy authoring shortcut, not a data-quality defect per se, but worth flagging that description ≠ name is expected once more rows are seen.
inspection_regulation_items.csv,approval_option,yes,(workflow config),n/a,lookup required,Single sample value; vocabulary not confirmed.
inspection_regulation_items.csv,rejection_option,from_administrative_name,(workflow config),n/a,lookup required,Single sample value; appears to be a cross-reference to the administrative_name field rather than free text — needs schema clarification from the source system owner.
inspection_regulation_items.csv,status,inactive,public.violation_codes / public.compliance_lookup_values,status,business decision,"THE INACTIVE-BUT-VISIBLE ITEM: status=inactive while is_visible_to_inspector=1 in the same row — an item marked inactive in the source system is still flagged as visible to inspectors in the field. This must be resolved as an explicit business decision (does inactive mean 'do not surface to inspector' or 'do not allow new selection but keep historically visible'?) before any import; do not default to hiding or showing without approval."
inspection_regulation_items.csv,attachment_mode,supporting_documents,public.evidence rules,evidence_rule,lookup required,Single sample value; vocabulary not confirmed.
inspection_regulation_items.csv,is_mandatory_for_inspector,0,public.inspection_items,is_mandatory,transform,Text '0'/'1' boolean-cast rule as above.
inspection_regulation_items.csv,is_visible_to_inspector,1,public.inspection_items,is_visible,transform,See inactive-but-visible business decision above — this flag is the other half of that conflict.
inspection_regulation_items.csv,meta,"report_types/request_status/associated_reports/message",public.action_forms / public.compliance_request_*,multiple,transform,Fans out into multiple target concepts (report type, request status, associated reports) — same semantic-conflict caveat as report_kind above.
inspection_regulation_penalties.csv,id / inspection_flow_id / reg_violation_id,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement.
inspection_regulation_penalties.csv,frequency,daily,public.penalty_mappings,frequency,direct map,Single plausible value; safe direct map once schema-validated against live penalty_mappings enum.
inspection_regulation_penalties.csv,amount,12,public.penalty_mappings,amount,business decision,"THE PENALTY AMOUNT/UNIT/CURRENCY/GRACE-PERIOD PROBLEM: amount=12 and max_limit=13 carry no currency field, no unit field, and no explicit definition of what 'daily' compounds against (per day of what — per day of continued violation? per production line? per product seized?). This is the same suspicious repeated-12 pattern seen across the whole export (see next row) and must not be imported as a real penalty schedule without a business owner confirming currency (presumably SAR), unit, and the exact accrual/grace-period rule."
inspection_regulation_penalties.csv,max_limit,13,public.penalty_mappings,max_limit,business decision,See amount note — max_limit=13 with no unit is not independently interpretable.
inspection_regulation_penalties.csv,meta,"{""penalty_types"": [""product_seizure""]}",public.penalty_mappings,penalty_types (jsonb),business decision,"PENALTY-TYPE VS VIOLATION-TYPE MISMATCH: penalty_types=product_seizure is attached to a violation whose root cause (inspection_regulation_violations.description) is 'facility does not possess a valid municipal license' — a licensing/paperwork violation, not a goods-related violation that would justify product seizure. This mismatch must be escalated, not silently accepted."
inspection_regulation_violations.csv,id / inspection_flow_id / reg_item_id,ULIDs,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement.
inspection_regulation_violations.csv,administrative_technical_rules,The facility does not possess a valid municipal license for operation...,public.violation_codes,legal_basis,direct map,Plausible legal-basis text; English only (bilingual gap).
inspection_regulation_violations.csv,classification,material,public.violation_codes,severity/classification,lookup required,Single sample value 'material'; vocabulary against live severity enum not confirmed from 1 row.
inspection_regulation_violations.csv,description,(duplicates administrative_technical_rules verbatim),public.violations,description,direct map,Same duplication-with-name pattern noted on inspection_regulation_items.
inspection_regulation_violations.csv,corrective_action,NULL,public.action_forms,corrective_action,reject,Null in the only sample row — no corrective action text is present to import.
inspection_regulation_violations.csv,grace_period_duration,one_month,public.penalty_mappings,grace_period,direct map,Plausible enumerated value.
inspection_regulation_violations.csv,exceptional_grace_period_duration,one_month,public.penalty_mappings,exceptional_grace_period,direct map,"Identical to grace_period_duration in this single sample — plausible but worth confirming with more rows that 'exceptional' is ever actually different from the standard grace period in this source system."
inspection_regulation_violations.csv,meta,NULL,n/a,n/a,reject,Null in the only sample row.
inspection_visits.csv,id,ULID,(crosswalk table only),n/a,lookup required,Same ULID crosswalk requirement.
inspection_visits.csv,type,regulatory_variants,public.visits,visit_type,lookup required,Single observed value across both rows; vocabulary against live visit_type not confirmed.
inspection_visits.csv,method,registered,public.visits,execution_mode / visit_location_source,lookup required,Single observed value; needs mapping decision against the live execution_mode enum (physical/virtual/immediate etc.).
inspection_visits.csv,visit_date,"2026-06-24 / 2026-06-21",public.visits,execution_date,direct map,Plausible dates, both close to created_at/updated_at (same day or a few days apart) — no impossible-date pattern in this small sample.
inspection_visits.csv,notes,NULL (both rows),public.visits,notes,reject,Null in both sample rows.
inspection_visits.csv,facility_name,Nafhat Perfumes Factory (both rows),public.factories,name,business decision,"THE PERFUME-FACTORY / SUNFLOWER-OIL MISMATCH: both visit rows are for 'Nafhat Perfumes Factory', but the linked inspection_flows.meta.inspection_data.selected_products entry for the same flow (01kvqsba1w2qrm95nj9c1n84eq) is 'Sunflower-seed- safflower or cotton-seed oil...' (HS code 151200000000) — an edible-oil HS product, not a perfume/fragrance product. This factory/product mismatch is a direct instance of the blueprint's called-out sector-incoherence issue and must be corrected or explicitly quarantined before any factory/product coherence rule can be trusted for this row."
inspection_visits.csv,cr_number,7060138125 (both rows),public.commercial_registrations,cr_number,lookup required,Same CR number reused across both visit rows for the same facility_name — internally consistent, but the value's authenticity vs the live commercial_registrations table is unverified (do not assume it matches a real live CR without a lookup check).
inspection_visits.csv,third_parties,NULL (both rows),public.factory_representatives or similar,n/a,reject,Null in both sample rows.
inspection_visits.csv,created_by,01jk8mzresmtx8s2fbnjn5kj2r,public.profiles,user_id,lookup required,Same missing-staff-name problem as inspection_flows.staff_id.
inspection_visits.csv,inspector_id,01kv3vsb3e22a8v9a1mragpy66,public.assignments,inspector_id,lookup required,Same missing-staff-name problem; also the sole inspector_id used for both visits (Nafhat Perfumes appears twice) — insufficient sample to know if that is coincidence or the only inspector in the legacy export.
inspection_visits.csv,region_id / city_id,ULIDs,public.factories or a KSA region/city lookup,region / city,lookup required,ULID crosswalk required; no human-readable region/city name is present anywhere in this export to validate against KSA geography.
inspection_visits.csv,license_id,01kr14s8tqb9edce9jj0xqxv73,public.industrial_licenses,id,lookup required,ULID crosswalk required; same license_id used across both visit rows for the same facility (internally consistent).
inspection_visits.csv,plant_id,4711206688,public.plant_addresses / public.plant_production_line_items,plant_number,lookup required,Numeric-looking value distinct in shape from the ULID columns — needs a business decision on whether it is itself the plant_number or a separate external plant identifier requiring its own crosswalk.
inspection_visits.csv,inspection_flow_id,ULID,(crosswalk table only; FK to inspection_flows),n/a,lookup required,Links each visit 1:1 to its inspection_flows row in this export — must resolve through the same ULID crosswalk, not be treated as independently authoritative.
inspection_visits.csv,created_at / updated_at,"2026-06-22 16:47:03 / 2026-06-22 16:47:03",public.visits,created_at / updated_at (audit only),archive only,Same archival-only caveat as inspection_flows timestamps.
ALL_FILES,implausible_repeated_counts,"shifts_number=12, other_team_number... administrators_number=12, technicians_number=12, production_lines_number=12, specialized_professions_number=12 (all in inspection_flows.meta.inspection_data for the single populated visit row)",public.plant_production_line_items and related staffing fields,various,business decision,"THE ALL-EXACTLY-12 PATTERN: five independent operational counts (shifts, technicians, administrators, production lines, specialized professions) are all set to the identical value 12 in the one row that has this data populated, while other_team_number=1 and tools_and_equipments_number=2 differ — this is very unlikely to reflect five genuinely identical real counts and reads as a placeholder/default value baked in at data-entry time. Must be flagged, not imported as real operational data, until a business owner confirms it against the source record."
ALL_FILES,unlicensed_vs_licensed_product_count_contradiction,"un_licensed_products_number=21 vs licensed_products_number=2, actual_products_number=2",public.factory_products,various count fields,business decision,"21 unlicensed products against only 2 actual/licensed products for the same factory visit is an internally implausible ratio (an order of magnitude more unlicensed than the entire actual product count) — flagged in the blueprint and confirmed present in this export; requires a business decision on whether this reflects a real compliance emergency (would be a major finding if true) or a data-entry defect, before any downstream risk scoring consumes it."
ALL_FILES,placeholder_asdf,"factory_operation_mechanism=""asdf""",n/a (no target — reject),n/a,reject,"Confirmed present verbatim in inspection_flows.meta.inspection_data.factory_operation_mechanism for the one populated row. Literal keyboard-placeholder text; must never be imported as a real operation-mechanism description."
ALL_FILES,onsite_as_fuel_type,"used_fuel_type=[""onsite""]",public.factories or a fuel-type lookup,fuel_type,reject,"Confirmed present. ""onsite"" is not a fuel type (it duplicates the separate inspection_type=""onsite"" field, i.e. the field appears to have been populated with the wrong enum's value at data-entry time). Must not be imported as a real fuel type; needs correction at the source or exclusion."
