endpoint_id,route_or_endpoint,file_path,persona,read_write,tables_views_rpc,external_adapter,data_source_class,mock_fixture_dependency,rls_policy_involved,required_seed_scenario,expected_side_effect,receiving_downstream_workflow,test_evidence
EP-011,/(app)/admin/items + /items/[id]/runtime-preview,app/(app)/admin/items/page.tsx + Controls.tsx + actions.ts + runtime-preview/page.tsx,Compliance/config administrator,read/write,"inspection_items, regulation_clauses, user_roles, compliance_entity_versions, inspection_item_versions, package_version_item_snapshots, violation_codes; rpc admin_configuration_audit, inspection_item_usage, inspection_item_versions_are_frozen",none,LIVE_DATABASE,none,RLS by config-admin capability,inspection item catalogue with draft/published/frozen versions,inserts inspection_item_versions + audit_events,Packages designer / field inspection checklist runtime,cd-006-011-backend-completion.spec.ts
EP-012,/(app)/admin/localization,app/(app)/admin/localization/page.tsx + Manager.tsx + actions.ts,Localization/config administrator,read/write,"ui_strings, ui_string_revisions",none,LIVE_DATABASE,none,RLS by config-admin capability,bilingual (EN/AR) UI string catalogue with revision history,inserts ui_string_revisions + audit_events,All UI surfaces consuming i18n keys,none found
EP-013,/(app)/admin/mvp3-actions.ts (server actions used across MVP3 admin screens),app/(app)/admin/mvp3-actions.ts,Platform administrator (MVP3),write,"rpc mvp3_decide_access_review, mvp3_issue_device_command, mvp3_publish_feature_flag, mvp3_request_error_retry",none,LIVE_DATABASE,none,RLS/capability gated inside RPCs,access review requests + feature flags + device fleet + error queue entries,mutates mvp3_access_reviews/mvp3_devices/mvp3_feature_flags/mvp3_error_queue + audit_events,Security-access queue / Operations error queue / Device fleet,mvp3-enterprise-contract.spec.ts
EP-014,/(app)/admin/notifications,app/(app)/admin/notifications/page.tsx + NotificationRulesManager.tsx + actions.ts + preview-actions.ts,Notification/config administrator,read/write,"notification_rules, roles; rpc deactivate_notification_rule, publish_notification_rule",none,LIVE_DATABASE,none,RLS by config-admin capability,notification rules across draft/published/deactivated states,inserts/updates notification_rules + audit_events,Push/SMS/email delivery pipeline (lib/notify.ts adapters),none found
EP-015,/(app)/admin/operations (MVP3),app/(app)/admin/operations/page.tsx,Platform administrator (MVP3),read,"mvp3_error_queue, mvp3_feature_flags, mvp3_integration_endpoints",none,LIVE_DATABASE,none,RLS by admin capability,populated error queue + feature flag rollout states,none (read/dispatch),Error retry action / Integration monitoring,none found
EP-016,/(app)/admin/packages,app/(app)/admin/packages/page.tsx + DraftEditor.tsx + ImpactPanel.tsx + PackagePreview.tsx + PublishControls.tsx + TemplateRegistry.tsx + actions.ts,Config administrator,read/write,"configuration_templates, inspection_items, package_versions, packages, penalty_mappings, violation_codes, user_roles; rpc package_version_impact, publish_package_version",none,LIVE_DATABASE,none,RLS by config-admin capability,draft + published package_versions with dependency snapshots,inserts package_versions + package_version_item_snapshots + audit_events,Planning (single/bulk visit package selection) / Field execution runtime,cd-006-011-backend-completion.spec.ts
EP-017,/(app)/admin/planning/expiry,app/(app)/admin/planning/expiry/page.tsx + ExpiryAdmin.tsx + actions.ts,Planning administrator,read/write,"planning_expiry_rules; rpc has_planning_capability",none,LIVE_DATABASE,none,RLS by planning-admin capability,expiry rule set governing visit lapse windows,updates planning_expiry_rules + audit_events,Planning expiry engine (expire_lapsed_visits RPC) / Visits detail,cd-044-admin-planning.spec.ts
EP-018,/(app)/admin/planning/lookups,app/(app)/admin/planning/lookups/page.tsx + LookupsAdmin.tsx + actions.ts,Planning administrator,read/write,"planning_lookups; rpc has_planning_capability",none,LIVE_DATABASE,none,RLS by planning-admin capability,lookup catalogue (reasons/regions/visit types) used by planning forms,updates planning_lookups + audit_events,Planning single/bulk/immediate forms,cd-044-admin-planning.spec.ts
EP-019,/(app)/admin/planning/status,app/(app)/admin/planning/status/page.tsx,Planning administrator,read,config_versions,none,LIVE_DATABASE,none,RLS by planning-admin capability,config_versions rows describing planning-engine deploy status,none (read-only status board),Planning admin dashboard,cd-044-admin-planning.spec.ts
EP-020,/(app)/admin/regulations,app/(app)/admin/regulations/page.tsx + [id]/page.tsx + Controls.tsx + RegulationDetail.tsx + actions.ts,Compliance manager,read/write,"regulation_attachments, regulation_clauses, regulations, user_roles; rpc admin_configuration_audit, publish_regulation",none,LIVE_DATABASE,none,RLS by compliance-manager capability,draft/published regulations with clauses and attachments,inserts regulation_clauses + audit_events,Inspection items / violation mapping / field regulation reference,cd-005-006-regulations.spec.ts
EP-021,/(app)/admin/risk,app/(app)/admin/risk/page.tsx + RiskForm.tsx + actions.ts,Risk owner,read/write,engine_settings,none,LIVE_DATABASE,none,RLS by risk-owner capability,engine_settings risk-weight configuration rows,updates engine_settings + audit_events,Factory risk scoring (lib/risk/model.ts) / Factory 360 risk snapshot,cd-004-admin-control-plane-home.spec.ts
EP-022,/(app)/admin/risk/models,app/(app)/admin/risk/models/page.tsx + RiskModels.tsx + actions.ts,Risk owner,read/write,"risk_models; rpc risk_model_transition",none,LIVE_DATABASE,none,RLS by risk-owner capability,risk models across draft/simulated/review/approved/published/retired lifecycle,updates risk_models status + audit_events,Factory 360 risk snapshot / Dashboard risk-band KPI,none found
EP-023,/(app)/admin/security-access,app/(app)/admin/security-access/page.tsx,Platform administrator (MVP3),read,"mvp3_access_reviews, mvp3_evidence_access_grants, user_roles",none,LIVE_DATABASE,none,RLS by admin capability,pending/decided access review requests + evidence access grants,none (read/dispatch to mvp3_decide_access_review),Evidence access governance,mvp3-enterprise-contract.spec.ts
EP-024,/(app)/admin/templates,app/(app)/admin/templates/actions.ts,Config administrator,write,"configuration_templates; rpc publish_configuration_template",none,LIVE_DATABASE,none,RLS by config-admin capability,configuration templates in draft/published state,inserts configuration_templates version + audit_events,Package designer template registry,none found
EP-025,/(app)/admin/violations,app/(app)/admin/violations/page.tsx + Controls.tsx + actions.ts,Compliance manager,read/write,"configuration_templates, inspection_items, regulation_clauses, penalty_mappings, user_roles, violation_codes; rpc admin_configuration_audit, publish_penalty_mapping, publish_violation_code, violation_code_usage",none,LIVE_DATABASE,none,RLS by compliance-manager capability,violation codes + one-penalty Phase-1 mapping,inserts violation_codes/penalty_mappings + audit_events,Field violation capture / Bulk violation issuance / Enforcement,cd-006-011-backend-completion.spec.ts
EP-026,/(app)/admin/workflows,app/(app)/admin/workflows/page.tsx + Controls.tsx + WfDeck.tsx + actions.ts + sla-actions.ts + task-actions.ts + transition-actions.ts,Platform administrator,read/write,"audit_events, config_versions, profiles, sla_timers, user_roles, workflow_task_assignments",none,LIVE_DATABASE,"admin/workflows/page.tsx explicitly discloses GAP-02: simulation fixtures/replay persistence (sim_fixtures/sim_runs) NOT built — governed gap, not a hidden mock",RLS by admin capability,config_versions across draft/published workflow lifecycle + sla_timers + task assignments,inserts config_versions + workflow_task_assignments + audit_events,Governed transition engine (lib/workflow/*) consumed by visits/reviews/risk-models/dashboard-config,cd-004-admin-control-plane-home.spec.ts
EP-027,/admin/dashboard-config,app/admin/dashboard-config/page.tsx + ActionForm.tsx + actions.ts,Dashboard/config administrator,read/write,"dashboard_config_heads, dashboard_config_parameters, dashboard_config_versions, mvp3_kpi_definitions, user_roles; rpc dash_create_config_draft, dash_publish_config, dash_return_config, dash_submit_config",none,LIVE_DATABASE,none,RLS by dashboard-admin capability,dashboard KPI parameter set across draft/submitted/returned/published lifecycle,inserts dashboard_config_versions + audit_events,Main dashboard KPI engine (lib/dashboard-kpi/*),none found
EP-028,/admin/execution,app/admin/execution/page.tsx + CapacityForm.tsx + EvidencePolicyForm.tsx + GisRulesForm.tsx + OfflinePolicyForm.tsx + RawJsonDetails.tsx + ReasonsManager.tsx + VisitModesForm.tsx + actions.ts,Execution-policy administrator,read/write,"audit_events, engine_settings; rpc has_capability",none,LIVE_DATABASE,none,RLS by execution-admin capability,engine_settings covering daily capacity/evidence policy/gis rules/offline policy/visit modes,updates engine_settings + audit_events,Field execution engine (lib/execution/*) / Preparation / Offline sync,execution-admin-contract.spec.ts
EP-029,/(app)/ai/suggestions,app/(app)/ai/suggestions/page.tsx + AiDockets.tsx + actions.ts,Any authenticated persona (advisory only; never legal-source surfaces),read/write,"ai_events, ai_suggestions",Google Gemini (lib/providers/ai-gemini.ts),LIVE_EXTERNAL,"Fails closed to a governed BLOCKED_EXTERNAL 'unavailable' state when GEMINI_API_KEY is absent (default in most environments); provider reports unavailable, never fabricated",RLS by suggestion-surface allowlist (isSuggestionSurfaceAllowed refuses legal-source surfaces before any call),ai_suggestions across pending/accepted/dismissed states + ai_events log,inserts ai_events/ai_suggestions,Contextual actions across module surfaces (lib/ai/contextual-actions.ts),ai-delta-contract.spec.ts
EP-030,/(app)/cases,app/(app)/cases/page.tsx + OpenCase.tsx + actions.ts,Enforcement officer,read/write,"cases, factories",none,LIVE_DATABASE,none,RLS by enforcement capability,cases linked to factories across open/closed states,inserts cases + audit_events,Enforcement module / Factory 360 compliance history,cd-001-v7-visual-evidence.spec.ts
EP-031,/(app)/committee,app/(app)/committee/page.tsx + RecordSignature.tsx + actions.ts,Committee member,read/write,"report_verifications, signature_acts",DocuSign eSignature (lib/providers/signature-docusign.ts; sandbox demo.docusign.net — explicitly a short-term non-production-PKI provider),LIVE_EXTERNAL,"Real DocuSign sandbox calls when DOCUSIGN_* configured (not a frontend mock); fails closed to a governed BLOCKED_EXTERNAL 'unavailable' state without credentials, never fabricates 'verified'",RLS by committee-member capability,report_verifications + signature_acts across pending/verified states,inserts signature_acts + audit_events,Committee decision dossier / final report,mvp2-signature-docusign.spec.ts
EP-032,/(app)/dashboard,app/(app)/dashboard/page.tsx + DashboardView.tsx + DecisionCanvas.tsx + KpiGrid.tsx + MetricStrip.tsx + metrics.ts,All personas (role-scoped KPI projection),read,"audit_events, checklist_responses, engine_settings, factories, geo_events, inspections, reviews, user_roles, violations, visits",none,LIVE_DATABASE,"lib/i18n-keys.generated.ts contains landing.mock.* decorative KPI/factory strings used ONLY on the pre-auth marketing/login hero, not on the authenticated dashboard route itself",RLS by role scope (inspector/planner/reviewer/admin projections differ per lib/dashboard-kpi/*),12 months of visits/inspections/reviews/violations history per blueprint section 7,none (read-only KPI aggregation),Operations/Planning/Executive decision-making surfaces,cd-045-downstream-contract.spec.ts
EP-033,/(app)/enforcement,app/(app)/enforcement/page.tsx,Enforcement officer,read,"cases, objections, violations",none,LIVE_DATABASE,none,RLS by enforcement capability,cases with linked objections and violations,none (read/dispatch to case detail),Cases module,cd-004-admin-control-plane-home.spec.ts
EP-034,/(app)/evidence-ocr,app/(app)/evidence-ocr/page.tsx + OcrReview.tsx + actions.ts,Inspector / Reviewer,read/write,"evidence, ocr_extractions",Google Gemini vision OCR (lib/providers/ocr-gemini.ts),LIVE_EXTERNAL,"Fails closed to a governed BLOCKED_EXTERNAL 'unavailable/no extraction' state when GEMINI_API_KEY is absent",RLS by evidence-owner/reviewer capability,evidence rows with attempted/confirmed OCR extractions,"inserts ocr_extractions (advisory text only, never auto-fills authoritative field)",Field inspection evidence review / Review workspace,factory360-cr-dossier-contract.spec.ts
EP-035,/(app)/factories,app/(app)/factories/page.tsx + FactoryList.tsx,All personas (scope-filtered),read,factories,none,LIVE_DATABASE,none,RLS by region/role scope,20-30 fictional KSA factories across regions/sectors,none (read/dispatch to factory detail),Planning factory selection / Factory 360,ai-delta-contract.spec.ts
EP-036,/(app)/factories/[id],app/(app)/factories/[id]/page.tsx + Controls.tsx + FactorySpatialMap.tsx + actions.ts,All personas (scope-filtered),read/write,"evidence, factories, factory_documents, factory_materials, factory_products, factory_representatives, factory_risk_snapshots, geo_events, industrial_licenses, penalty_notices",none,LIVE_DATABASE,none,RLS by region/role scope + view_factory_documents/view_risk_details capability gates,one complete Factory 360 story per factory (licence/products/risk/violations/documents),updates factory_documents/materials/products/representatives + audit_events,Factory 360 dossier (web) / Field factory verification,factory360-admin-control-plane.spec.ts
EP-037,/(app)/factories/cr/[id],app/(app)/factories/cr/[id]/page.tsx + Factory360ExportButton.tsx,All personas (scope-filtered),read,"(delegates to lib/factory360/dossier.ts loadFactory360Dossier)",none,LIVE_DATABASE,none,RLS via resolveFactory360Permissions,commercial-registration-keyed Factory 360 dossier scenarios,export action (client-side PDF/print only),Factory 360 web canonical view,factory360-cr-dossier-contract.spec.ts
EP-038,/(app)/field,app/(app)/field/page.tsx + actions.ts,Inspector,read/write,"assignments, checklist_responses, inspections, notifications, package_versions",none,LIVE_DATABASE,none,RLS by inspector-own-assignment scope,assignments across new/preparation/ready/on-the-way/arrived/executing states,none (read/dispatch),Field workspace / Visit detail,a11y-form-label-contract.spec.ts
EP-039,/(app)/field/[visitId],app/(app)/field/[visitId]/page.tsx + PreExecution.tsx + Startup.tsx + actions.ts + preparation-actions.ts,Inspector,read/write,"assignments, cancellation_requests, configuration_templates, engine_settings, geo_override_requests, package_versions, visit_location_corrections, visit_package_snapshots, visit_preparations, visits; rpc expire_stale_geo_override_requests, request_visit_cancellation, request_visit_return, set_operational_state",none,LIVE_DATABASE,none,RLS by inspector-own-assignment scope,preparation-saved/ready-for-execution/on-the-way/arrived/outside-geofence-pending scenarios,inserts visit_preparations/cancellation_requests/geo_override_requests + audit_events,Operations queue (cancellation/override) / Planning queue,execution-preparation-contract.spec.ts
EP-040,/(app)/field/factory-360,app/(app)/field/factory-360/page.tsx + [id]/page.tsx + Factory360Offline.tsx,Inspector,read,"commercial_registrations, industrial_licenses",none,LIVE_DATABASE,"offline island reads a cached Factory360Snapshot written by lib/factory360/offline-snapshot.ts (persisted IndexedDB cache of live data, not a hardcoded mock)",RLS via resolveFactory360Permissions,factory 360 dossiers cached for offline iPad access,"writes IndexedDB snapshot cache (client-side only, no server mutation)",Field inspection workspace factory verification step,factory360-ipad-field.spec.ts
EP-041,/(app)/field/inspection/[id],app/(app)/field/inspection/[id]/page.tsx + Workspace.tsx + FactoryVerification.tsx + SignaturePad.tsx + runtime.ts,Inspector,read/write,"action_forms, cancellation_requests, checklist_responses, configuration_templates, engine_settings, evidence, factories, factory_documents, factory_materials, factory_products, inspection_factory_checks, inspection_item_states, inspection_items, inspections, package_version_dependency_snapshots, package_version_item_snapshots, violation_codes, violations",Media capture (lib/providers/media.ts synthetic fixture capture + malware-scan stub used only in dev/test/staging per env-gate),LIVE_DATABASE,"Execution/checklist/evidence writes are LIVE_DATABASE; the optional media.ts synthetic capture/scan path is a separate PERSISTED_CONTRACT_STUB gated by assertNonProduction — the real capture path is Workspace.tsx enqueueEvidence to real Supabase Storage",RLS by inspector-own-assignment scope,executing/offline-draft/evidence-retry/completed-pending-submission scenarios,inserts checklist_responses/inspection_item_states/evidence/violations + audit_events,Submission/Review workflow,execution-workspace-contract.spec.ts
EP-042,/(app)/incident-reports,app/(app)/incident-reports/page.tsx + IncidentReportForm.tsx + actions.ts,Inspector / Operations specialist,read/write,incident_reports,none,LIVE_DATABASE,none,RLS by reporter/operations capability,incident-during-visit scenario per blueprint scenario catalogue,inserts incident_reports + audit_events,Operations queue / Case module,none found
EP-043,/(app)/operations,app/(app)/operations/page.tsx + CancellationQueue.tsx + Controls.tsx + Monitoring.tsx + OpsExport.tsx + OpsMap.tsx + OverrideQueue.tsx + actions.ts + region-posture.ts + sla.ts,Operations Centre manager / specialist,read/write,"action_forms, cancellation_requests, engine_settings, evidence, factories, geo_events, geo_override_requests, inspections, notifications, visits; rpc decide_geo_override, expire_stale_geo_override_requests",Mapbox rendering only via OpsMap.tsx/GeoMap (map display; separate from the /api/routing/eta Directions route),LIVE_DATABASE,none,RLS by operations capability,outside-geofence pending/approved/rejected/expired + cancellation queue scenarios,updates geo_override_requests/cancellation_requests + audit_events + notifications,Planning queue (reschedule) / Inspector correction workspace / Dashboard,cd-023-immediate-authority-bar.spec.ts
EP-044,/(app)/operations/exceptions,app/(app)/operations/exceptions/page.tsx + lib/operations/exceptions.ts,Operations Centre manager,read,"cases, risk_exceptions",none,LIVE_DATABASE,none,RLS by operations capability,risk exceptions grouped by category/branch,none (read/group-only helper functions),Risk/compliance dashboard,mvp2-m2-09-exceptions.spec.ts
EP-045,/(app)/operations/live,app/(app)/operations/live/page.tsx + LiveMapInner.tsx + LiveOps.tsx + types.ts,Operations Centre manager,read,"factories, visits",Leaflet + CARTO tiles (map rendering; not Mapbox),LIVE_DATABASE,none,RLS by operations capability,live in-progress visits with current geo position,none (read-only live map),Operations monitoring,cd-045-downstream-contract.spec.ts
EP-046,/(app)/planning,app/(app)/planning/page.tsx + CreateVisitSection.tsx + DiscardDraftButton.tsx + ExportButton.tsx + RefreshButton.tsx + draft-actions.ts + export-actions.ts,Planner,read/write,"factories, package_versions, planning_lookups, profiles, visit_plans; rpc expire_lapsed_visits",none,LIVE_DATABASE,none,RLS by planner capability,draft/published/returned/cancelled/expired visit_plans,updates visit_plans + audit_events; export produces file download,Planning plans list / Visits board,cd-020-planning-home.spec.ts
EP-047,/(app)/planning/bulk,app/(app)/planning/bulk/page.tsx + BulkForm.tsx + CriteriaBuilder.tsx + DistributionPanels.tsx + EligibilityLedger.tsx + TargetingLensClient.tsx + actions.ts + criteria.ts,Planner,read/write,"assignments, factories, inspections, package_versions, planning_lookups, profiles, user_roles, violations, visit_packages, visit_plans, visits; rpc publish_bulk_plan",none,LIVE_DATABASE,none,RLS by planner capability,bulk plan with eligible/ineligible factories + daily-capacity-full scenario,inserts visit_plans/visits/assignments (bulk) + audit_events,Visits board / Inspector assignment queue,cd-021-bulk-targeting.spec.ts
EP-048,/(app)/planning/bulk/review,app/(app)/planning/bulk/review/page.tsx + ReviewClient.tsx + EvidenceLedger.tsx,Planner,read,(delegates to planning/bulk/actions.ts eligibility state),none,LIVE_DATABASE,none,RLS by planner capability,bulk plan under review with eligibility ledger,none (review/publish dispatch),Bulk plan publish -> Visits board,cd-021-bulk-targeting.spec.ts
EP-049,/(app)/planning/immediate,app/(app)/planning/immediate/page.tsx + AuthorityBar.tsx + ImmediateForm.tsx + actions.ts,Senior inspection planner,read/write,"enforcement_recommendations, factory_representatives, planning_lookups, visit_location_events, visits; rpc create_immediate_visit, has_planning_capability",none,LIVE_DATABASE,none,RLS by senior-planner capability,Immediate Inspection + unregistered-establishment scenario,inserts visits (immediate) + audit_events,Field assignment queue / Operations,cd-023-immediate-authority-bar.spec.ts
EP-050,/(app)/planning/plans + plans/[id],app/(app)/planning/plans/page.tsx + [id]/page.tsx,Planner,read,"visit_plans, visits",none,LIVE_DATABASE,none,RLS by planner capability,plan list with linked visits across statuses,none (read/dispatch),Visit detail / Planning bulk review,cd-020-planning-home.spec.ts
EP-051,/(app)/planning/single,app/(app)/planning/single/page.tsx + IdentityDossier.tsx + Wizard.tsx + actions.ts + duplicate.ts,Planner,read/write,"assignments, engine_settings, factories, package_versions, user_roles, visit_packages, visit_plans, visits; rpc publish_single_visit",none,LIVE_DATABASE,none,RLS by planner capability,draft single plan + published single physical visit + visit-at-inspector-daily-capacity scenario,inserts visit_plans/visits/assignments + audit_events,Visits board / Field assignment,cd-020-planning-home.spec.ts
EP-052,/(app)/portal,app/(app)/portal/page.tsx + CreateRequest.tsx + actions.ts + lib/portal/self-assessment.ts,External factory representative (public portal),read/write,"external_requests, factories, self_assessments",none,LIVE_DATABASE,none,RLS scoped to portal-external-requester identity,Chemical Clearance / Customs Exemption external requests + self-assessment submissions,inserts external_requests/self_assessments + audit_events,Admin compliance-requests queue / Planning immediate inspection trigger,cd-021-bulk-targeting.spec.ts (portal coverage)
EP-053,/(app)/profile,app/(app)/profile/page.tsx + NotificationPrefsForm.tsx + actions.ts,All authenticated personas,read/write,"notification_preferences, profiles",none,LIVE_DATABASE,none,RLS scoped to own user_id,each seeded persona with distinct notification preference set,updates notification_preferences,Notification delivery adapters (lib/notify.ts),ai-delta-contract.spec.ts (profile coverage)
EP-054,/(app)/reviews,app/(app)/reviews/page.tsx + DecisionPanel.tsx,Reviewer / Review lead,read,"engine_settings, inspection_factory_checks, inspections, reviews",none,LIVE_DATABASE,none,RLS by reviewer capability (scan-only-open per memory note),submitted-v1/under-review/returned/resubmitted-v2/approved/rejected scenarios,none (read/dispatch to review detail),Review workspace,cd-028-review-queue.spec.ts
EP-055,/(app)/reviews/[id],app/(app)/reviews/[id]/page.tsx + DecisionPanel.tsx + FindingTraceChain.tsx + StartReview.tsx + VersionCompare.tsx + actions.ts + stale-check.ts + started/page.tsx,Reviewer,read/write,"assignments, audit_events, inspection_items, inspections, reviews, submission_versions",none,LIVE_DATABASE,none,RLS by reviewer capability,returned-with-scoped-correction + resubmitted-v2 + version-comparison scenarios,inserts reviews/submission_versions decisions + audit_events,Inspector correction workspace / Factory 360 compliance history / Dashboard,cd-030-version-comparison.spec.ts
EP-056,/(app)/tasks,app/(app)/tasks/page.tsx + TaskBoard.tsx,All personas with assigned workflow tasks,read,"profiles, workflow_task_assignments",none,LIVE_DATABASE,none,RLS scoped to assignee/team,workflow_task_assignments across all governed workflows,none (read/dispatch to task action),Governed workflow transition engine consumers,none found
EP-057,/(app)/virtual,app/(app)/virtual/page.tsx + ScheduleForm.tsx + actions.ts,Planner / Inspector (Virtual Inspection),read/write,"virtual_sessions, visit_preparations, visits",none,LIVE_DATABASE,none,RLS by planner/inspector scope,scheduled virtual inspection sessions,inserts virtual_sessions + audit_events,Virtual room join flow,cd-041-virtual-backend.spec.ts
EP-058,/(app)/virtual/[id],app/(app)/virtual/[id]/page.tsx + Room.tsx + actions.ts,Inspector / Factory representative (Virtual Inspection),read/write,"inspections, virtual_participants, virtual_sessions, visit_preparations, visits; rpc set_operational_state, vs_append_event, vs_mark_session_verified",Video conferencing (lib/providers/video.ts — deterministic staging stub only; real vendor SDK explicitly NOT integrated; no vendor selected),PERSISTED_CONTRACT_STUB,"Media/room layer only (identity/OTP verification via vp_request_otp/vp_verify_otp is LIVE_DATABASE, and the session/participant rows themselves are LIVE_DATABASE); UI always renders a 'SIMULATED VIDEO SESSION' badge honestly. video.ts fixtureId is a synthetic media session, assertNonProduction-gated",RLS by virtual-session participant scope,virtual-provider blocked/degraded scenario per blueprint,inserts virtual_participants + vs_append_event audit trail,Review queue (post virtual inspection submission),cd-041-virtual-verified-gate.spec.ts
EP-059,/(app)/visits,app/(app)/visits/page.tsx + VisitsBoard.tsx + actions.ts,Planner / Operations / Inspector (scope-filtered),read/write,"assignments, inspections, notifications, profiles, visits",none,LIVE_DATABASE,"VisitsBoard.tsx comments explicitly document a claim/reassign guard that must never be faked as safe (HANDOFF_BLOCKED_GUARD) — governed disclosure, not a hidden mock",RLS by role scope,full visit lifecycle board across all statuses,updates visits/assignments + audit_events,Field workspace / Planning plans,ai-delta-contract.spec.ts (visits coverage)
EP-060,/(app)/visits/[id],app/(app)/visits/[id]/page.tsx + ActionBar.tsx + Attachments.tsx + DualStateRibbon.tsx + FocusScroll.tsx + NotesEditor.tsx + actions.ts,Planner / Operations / Inspector (scope-filtered),read/write,"attachments, audit_events, package_versions, planning_expiry_rules, profiles, visit_attachments, visit_lifecycle_events, visit_location_events, visit_packages, visits",none,LIVE_DATABASE,none,RLS by role scope,cancelled/expired/returned/corrected-location scenarios,inserts visit_lifecycle_events/visit_location_events + audit_events,Operations queue / Field assignment,cd-027-visit-detail.spec.ts
EP-061,/(app)/visits/calendar,app/(app)/visits/calendar/page.tsx + CalendarBoard.tsx,Planner,read,visits,none,LIVE_DATABASE,none,RLS by planner scope,visits distributed across a 12-month calendar window,none (read-only calendar),Planning single/bulk creation flows,cd-026-visit-management.spec.ts
