factory_code,name_en,name_ar,status,region,city_industrial_area,lat,lng,sector_activity_class,cr_number,license_number,plant_number,products_summary,raw_materials_summary,source_system,source_provenance_note,risk_band,risk_score,contacts,documents,required_screen_endpoint_coverage
F-3301,Dammam Metal Works,أعمال الدمام المعدنية,EXISTING (0011),Eastern,Dammam 1st Industrial City,26.4340000,50.1030000,steel,4030-203301 (synthetic),IL-9301 (synthetic),PLANT-9301 (not yet seeded),"Sheet metal fabrication; galvanized ducting (NEW)","Cold-rolled steel coil; zinc coating material (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,61.00,not yet seeded,not yet seeded,"Eastern-cluster factory for P-011/P-014 daily-capacity scenario"
F-3302,Gulf Cables & Electrical,كابلات ومعدات الخليج الكهربائية,EXISTING (0011),Eastern,Dammam 2nd Industrial City,26.3520000,50.0350000,electrical,4030-203302 (synthetic),IL-9302 (synthetic),PLANT-9302 (not yet seeded),"Copper power cables; low-voltage wiring harnesses (NEW)","Copper rod; PVC/XLPE insulation compound (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,48.75,not yet seeded,not yet seeded,"Eastern-cluster factory; outside-geofence approval request scenario (dense industrial-city GPS drift)"
F-3303,Jubail Fertilizer Co. (SAFCO IV),شركة الجبيل للأسمدة (سافكو 4),EXISTING (0011 + products/materials in 0017),Eastern,Jubail Industrial City 1,27.0450000,49.5610000,fertilizer,4030-203303 (synthetic),IL-9303 (synthetic),PLANT-9303 (not yet seeded),"Granular urea; anhydrous ammonia (SEEDED in 0017_w3_factory_master_data.sql)","Natural gas feedstock; anti-caking additive (SEEDED in 0017)",senaei (synthetic adapter),REALISTIC_SYNTHETIC - one of the four 'demo core' factories with full products/materials/workforce already seeded,high,88.25,not yet seeded (representatives ARE seeded: Fahad Al-Dossary, Safety Superintendent),license document seeded (0011),"Reference exemplar for coherence rules (products/raw materials already correctly matched); geofence_radius_m=250 (large complex)"
F-3304,Jubail Advanced Composites,الجبيل للمواد المركبة المتقدمة,EXISTING (0011),Eastern,Jubail Industrial City 2,27.0740000,49.4880000,composites,4030-203304 (synthetic),IL-9304 (synthetic),PLANT-9304 (not yet seeded),"Carbon-fiber reinforced panels; fiberglass pipe wrap (NEW)","Carbon fiber tow; epoxy resin system (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,57.50,not yet seeded,not yet seeded,"Medium-risk incident-during-visit scenario factory"
F-3305,Al Ahsa Beverage Industries,صناعات الأحساء للمشروبات,EXISTING (0011),Eastern,Al Ahsa Industrial City,25.3620000,49.5850000,food,4030-203305 (synthetic),IL-9305 (synthetic),PLANT-9305 (not yet seeded),"Bottled juice concentrate blends; carbonated soft drinks (NEW)","Fruit concentrate (imported); CO2/sweetener syrup (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,27.00,not yet seeded,not yet seeded,"Low-risk factory for offline-draft/pending-outbox execution scenario"
F-4401,Yanbu Refining Support Industries,صناعات ينبع الداعمة للتكرير,EXISTING (0011),Madinah,Yanbu Industrial City,23.9820000,38.2260000,petrochemical,4030-204401 (synthetic),IL-9401 (synthetic),PLANT-9401 (not yet seeded),"Refinery maintenance components; industrial valves (NEW)","Forged steel blanks; corrosion-resistant alloy stock (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,high,79.75,not yet seeded,not yet seeded,"High-risk history scenario (already has 12-month approved cycle from 0011 seed do-block)"
F-4402,Madinah Dates Processing Co.,شركة المدينة لتصنيع التمور,EXISTING (0011),Madinah,Madinah Industrial City,24.4310000,39.5980000,food,4030-204402 (synthetic),IL-9402 (synthetic),PLANT-9402 (not yet seeded),"Pitted/packaged dates; date paste and syrup (NEW)","Raw dates (local harvest); food-grade packaging (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,24.50,not yet seeded,not yet seeded,"Low-risk factory for Customs Exemption scenario (date exports)"
F-4403,Madinah Pharmaceutical Packaging Factory,مصنع المدينة للتغليف الدوائي,NEW (proposed - blueprint example),Madinah,Madinah Industrial City (Pharma Zone),24.4450000,39.6100000,pharmaceutical_packaging,4030-204403 (synthetic),IL-9403 (synthetic),PLANT-9403 (proposed),"Blister-pack pharmaceutical packaging; sterile vial secondary packaging","Pharma-grade PVC/aluminum foil laminate; printed cartons (GMP-controlled)",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed per blueprint section 2 named example,high,73.00,"Persona: Dr. Huda Al-Ansari, QA/Regulatory Affairs Manager, +966-50-2104403 (synthetic)","GMP certificate + industrial license (synthetic)","Chemical Clearance secondary factory (pharma packaging materials are chemically regulated); high-risk pharma-sector coverage gap fill"
F-5501,Qassim Agricultural Machinery,آلات القصيم الزراعية,EXISTING (0011),Qassim,Qassim Industrial City,26.3050000,43.9080000,machinery,4030-205501 (synthetic),IL-9501 (synthetic),PLANT-9501 (not yet seeded),"Tractor implements; irrigation pivot components (NEW)","Structural steel tube; hydraulic cylinders (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,41.25,not yet seeded,not yet seeded,"Medium-risk history scenario factory (already has 12-month approved cycle from 0011 seed do-block)"
F-5502,Hail Cement Products,منتجات حائل الإسمنتية,EXISTING (0011),Hail,Hail Industrial City,27.4980000,41.6580000,cement,4030-205502 (synthetic),IL-9502 (synthetic),PLANT-9502 (not yet seeded),"Precast concrete blocks; cement paving tiles (NEW)","Portland cement clinker; aggregate/sand (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,55.00,not yet seeded,not yet seeded,"Medium-risk bulk-plan ineligible-factory example (e.g. expired license test case)"
F-6601,Asir Mineral Water Co.,شركة عسير للمياه المعدنية,EXISTING (0011),Asir,Abha Industrial City,18.2540000,42.6100000,food,4030-206601 (synthetic),IL-9601 (synthetic),PLANT-9601 (not yet seeded),"Bottled natural mineral water; 5-gallon refill jugs (NEW)","Spring water source (local); PET preforms/caps (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,low,22.75,not yet seeded,not yet seeded,"Low-risk factory for draft-single-plan scenario (never published)"
F-6602,Jazan Aluminum Extrusions,جازان لبثق الألمنيوم,EXISTING (0011),Jazan,Jazan Economic City,17.2120000,42.6740000,aluminum,4030-206602 (synthetic),IL-9602 (synthetic),PLANT-9602 (not yet seeded),"Aluminum window/door profiles; extruded aluminum rod (NEW)","Aluminum billet; anodizing chemicals (NEW)",senaei (synthetic adapter),REALISTIC_SYNTHETIC,medium,63.50,not yet seeded,not yet seeded,"Medium-risk factory for samples/seizure scenario placeholder (schema not ready - see SEED_SCENARIO_CATALOG SCN-027)"
F-6603,Jazan Advanced Ceramics Factory,مصنع جازان للسيراميك المتقدم,NEW (proposed - blueprint example),Jazan,Jazan Economic City (Zone 2),17.2300000,42.6500000,ceramics,4030-206603 (synthetic),IL-9603 (synthetic),PLANT-9603 (proposed),"Glazed ceramic floor/wall tiles; sanitaryware","Ball clay and kaolin (imported); ceramic frit and glaze (imported)",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed per blueprint section 2 named example; diversifies Jazan beyond aluminum,medium,50.00,"Persona: Nasser Al-Hazmi, Production Manager, +966-50-2106603 (synthetic)",license document (synthetic),"Sector diversity coverage; virtual-provider-degraded scenario candidate (remote region, weaker connectivity narrative)"
F-7701,Najran Textile Mills,مصانع نجران للمنسوجات,NEW (proposed - fills missing region),Najran,Najran Industrial City,17.5350000,44.2350000,textiles,4030-207701 (synthetic),IL-9701 (synthetic),PLANT-9701 (proposed),"Woven cotton fabric rolls; ready-made workwear garments","Raw cotton fiber (imported); dyes and finishing chemicals",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed to give Najran region a factory (previously absent from the 23 existing rows),low,30.00,"Persona: Aisha Al-Yami, Plant Manager, +966-50-2107701 (synthetic)",license document (synthetic),"KSA 13-region coverage completeness; General Visit Report scenario"
F-7702,Al Bahah Agro Processing Factory,مصنع الباحة للصناعات الزراعية,NEW (proposed - fills missing region),Al Bahah,Al Bahah Industrial Area,20.0125000,41.4680000,food,4030-207702 (synthetic),IL-9702 (synthetic),PLANT-9702 (proposed),"Dried fruit and nut packs; honey bottling","Local mountain-region produce; imported nuts; glass jars/packaging",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed to give Al Bahah region a factory,low,26.00,"Persona: Majed Al-Ghamdi, Owner-Operator, +966-50-2107702 (synthetic)",license document (synthetic),"KSA region-coverage completeness; unregistered-establishment comparator (small owner-operated site)"
F-7703,Al Jouf Dates & Preserves Factory,مصنع الجوف للتمور والمحفوظات,NEW (proposed - fills missing region),Al Jouf,Sakaka Industrial Area,29.9697000,40.2064000,food,4030-207703 (synthetic),IL-9703 (synthetic),PLANT-9703 (proposed),"Packaged dates (Al Jouf variety); date-based preserves and jams","Raw dates (local Al Jouf harvest); sugar/pectin for preserves",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed to give Al Jouf region a factory,low,25.50,"Persona: Sultan Al-Rasheed, Quality Officer, +966-50-2107703 (synthetic)",license document (synthetic),"KSA region-coverage completeness; expired-visit scenario factory"
F-7704,Arar Northern Cement Products,مصنع عرعر لمنتجات الأسمنت الشمالية,NEW (proposed - fills missing region),Northern Borders,Arar Industrial City,30.9753000,41.0381000,cement,4030-207704 (synthetic),IL-9704 (synthetic),PLANT-9704 (proposed),"Cement blocks; ready-mix cement bags","Portland cement clinker (trucked in); aggregate/sand (local quarry)",senaei (synthetic adapter),REALISTIC_SYNTHETIC - proposed to give Northern Borders region a factory,medium,47.00,"Persona: Turki Al-Anazi, Plant Supervisor, +966-50-2107704 (synthetic)",license document (synthetic),"KSA region-coverage completeness; returned-before-publication planning scenario"

SCHEMA_GAP,,,,,,,,,,,,,,,,,"plant_production_line_items and industrial_licenses (rich v2 shape with plant_number/license_type/stage/investment_size) exist in 20260720010000_factory360_v2_foundation.sql but the 23 EXISTING factories above were seeded BEFORE that migration and have NOT been projected into industrial_licenses/plant_production_line_items yet - only the legacy factories.license_number text column and the compatibility factory_products/factory_materials tables are populated (and only for 4 of the 23: F-2214/2215/2216/3303). A seeding wave must explicitly backfill industrial_licenses + plant_production_line_items rows for all 23 existing + 7 new factories, not just add new factory rows, or Factory 360 v2 screens will read empty for most factories."
SCHEMA_GAP,,,,,,,,,,,,,,,,,"F-2214/F-2215/F-2216 (0003_seed_contract_data.sql) use fixed uuid literals (f0000000-...-2214 etc.) while F-1101..F-6602 (0011) use gen_random_uuid() defaults - the deterministic-ID seeder must resolve BOTH id schemes (some factories are id-pinned, most are not) rather than assuming one universal deterministic-ID strategy."
