finding_id,category,object,query_basis,count_or_sample,severity,evidence_note
DQ-011,submitted_inspection_without_submission_version,"public.inspections, public.submission_versions","status in ('submitted','under_review','approved','rejected') and no matching submission_versions row",1 row: inspection id 97000000-0000-4000-8000-000000000002 (visit_id b7000000-0000-4000-8000-000000000006; status=approved; lifecycle_status=approved; submitted_at=2026-07-04),HIGH,An approved inspection exists with a submitted_at timestamp but zero rows in submission_versions — the immutable-version contract required before approval was bypassed for this fixture record.
DQ-012,approved_inspection_without_approved_review,"public.inspections, public.reviews","status='approved' and no reviews row with status='approved' for that inspection_id",1 row: same inspection id 97000000-0000-4000-8000-000000000002,HIGH,Same fixture inspection has zero rows in reviews at all (approved or otherwise); the workflow-status field was set directly without a governing review decision, contradicting the canonical-transition rule.
DQ-013,evidence_linked_id_semantics_partial_orphan,public.evidence,"linked_type='arrival' and linked_id not found in geo_events (or journey_sessions)",20 of 32 'arrival'-linked evidence rows resolve linked_id to a geo_events row; the remaining 12 do not resolve against geo_events or journey_sessions,LOW,"All 32 'arrival' evidence rows do carry a populated visit_id (no true orphan against visits), but linked_id for 12/32 does not resolve to any inspected target table, leaving the evidence-to-arrival-event linkage ambiguous for those rows."
DQ-014,dashboard_config_tables_empty,"public.dashboard_config_heads, public.dashboard_config_parameters, public.dashboard_config_versions","select count(*) from each",0 rows in all three tables,HIGH,"The dashboard configuration engine has zero governed KPI parameter/version/head rows even though mvp3_kpi_definitions (28 rows) and 12524+ rows of underlying source facts (audit_events, inspections, visits, reviews) exist — dashboards have no published KPI configuration to calculate from."
DQ-015,zero_row_tables_supporting_required_journeys,"public.cancellation_requests, public.incident_reports, public.objections, public.risk_runs, public.risk_simulations, public.risk_variables, public.sla_calendars, public.sla_timers, public.self_assessments, public.penalty_notices, public.factory_locations, public.visit_attachments, public.correction_evidence, public.bulk_violation_batches (+ 41 more)",row count = 0 across 55 of 143 public tables,55 tables at 0 rows (see MIGRATION_STATE_MATRIX.csv / SCHEMA_CATALOG.csv object classification for full list),MEDIUM,"38% of public schema tables are canonical+applied but empty, including cancellation/incident/objection/risk-simulation/SLA-timer/self-assessment/penalty-notice tables the seeding blueprint (Section G/J) requires populated scenarios for; these journeys currently have no persisted evidence path."
DQ-016,notification_preferences_coverage_gap,"public.notification_preferences, public.profiles","count(*) from notification_preferences vs profiles",notification_preferences=1 row vs profiles=8 rows (7 of 8 personas have no preference row),MEDIUM,Only one persona has an explicit notification_preferences row; the other seven fall back to undocumented defaults, which is untestable as a distinct RLS/business scenario.
DQ-017,visit_plans_draft_never_published,public.visit_plans,"status='draft' count vs total",394 of 648 visit_plans (61%) remain status=draft; status distribution is limited to draft/published only (no archived/expired plan-level status observed),LOW,"A majority of visit_plans never reach published state, which is plausible for real usage but was not distinguished from abandoned/fixture drafts in this profiling pass — recommend seed registry tagging so genuine coherent draft scenarios are distinguishable from stale test drafts."
DQ-018,referential_integrity_clean_baseline,"visits, inspections, assignments, evidence, findings, violations, checklist_responses, reviews, submission_versions","not exists join against parent table for each FK",0 orphans found in all 15 checked FK relationships except DQ-011/DQ-012/DQ-013 above,INFO,Positive finding: outside of the fixture/placeholder rows called out in DQ-005/011/012/013 the remaining referential integrity across visit→factory, inspection→visit, assignment→visit/inspector, evidence→inspection, finding/violation/checklist→inspection, review→inspection/submission_version and submission_version→inspection is fully intact (zero broken FKs).
DQ-019,no_impossible_dates_found,"visits, industrial_licenses, commercial_registrations, inspections","window_end<window_start; expiry_date<issue_date; started_at>submitted_at",0 rows in every check,INFO,"Positive finding: no reversed date ranges, no expiry-before-issue license/CR rows, and no inspection started_at after its own submitted_at were found in this profiling pass."
DQ-020,geo_and_capture_coordinates_in_ksa_bbox,"factories, geo_events, visits, evidence","lat/lng outside approx KSA bbox (16-32.5N, 34-56E) or exactly (0,0)",0 suspicious rows in any of the 4 tables checked,INFO,Positive finding: all populated coordinate columns fall within a plausible Saudi Arabia bounding box; no (0,0) or clearly-wrong-continent coordinates were found.
