priority_rank,screen_id,journey_id,design_ac_id,current_status,missing_item,dependency_or_hold_reason
11,SCR-ADM-060,P00,DSG-011,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Risk configuration remains constrained reproducible versioned and source-labelled""; required evidence not yet produced: draft/test/published frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
12,SCR-ADM-070,P00,DSG-012,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""GIS settings support geometry threshold policy preview validation and publish""; required evidence not yet produced: map states; provider failure; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
13,SCR-ADM-080,P00,DSG-013,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Notification/SLA configuration has an explicit reconciled logical surface""; required evidence not yet produced: route reconciliation; event/template/provider states; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
14,SCR-ADM-090,P00,DSG-014,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Role matrix communicates permission data scope segregation conflicts and versioning""; required evidence not yet produced: matrix keyboard/RTL/unauthorized frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
15,SCR-WEB-100,P01,DSG-015,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Planning home makes Bulk Single Immediate and draft resume clear""; required evidence not yet produced: desktop dark/light EN/AR; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
16,SCR-WEB-110,P01,DSG-016,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Bulk criteria results and target selection remain understandable at enterprise density""; required evidence not yet produced: criteria/error/no-result/selection frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
17,SCR-WEB-120,P01,DSG-017,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Single planning combines search Factory360 map configuration and duplicate guard""; required evidence not yet produced: wizard and map states; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
18,SCR-WEB-130,P01,DSG-018,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Immediate planning distinguishes registered/unregistered minimum controls and authorization""; required evidence not yet produced: both branches; validation/unauthorized; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
19,SCR-WEB-140,P02,DSG-019,correction_required,"design acceptance status=correction_required (NOT accepted) — outstanding per CD-024_DESIGN_REVIEW_R1.md: runtime transaction/query-error truth, equal-fidelity/state evidence, frozen shell, user-copy separation, theme/RTL/narrow parity, keyboard semantics, direct-route authorization, research provenance; required evidence still missing: route/ownership decision; equal-fidelity decision-zone hypotheses; populated + conflict + stale/concurrent + failure-preserved-input states; Arabic RTL; dark/light; narrow; keyboard/focus; wiring map",blocked: correction_required per CD-024_DESIGN_REVIEW_R1.md (R1 BLOCK 2026-07-14) — implementation remains blocked pending P1 correction
20,SCR-WEB-150,P03,DSG-020,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Review shows complete plan child visits blockers notifications and atomic publish""; required evidence not yet produced: ready/blocked/publishing/published; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
21,SCR-WEB-200,P03,DSG-021,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Visit workspace supports filters views map calendar workload bulk actions and partial failures""; required evidence not yet produced: dense desktop; constrained width; bulk failure; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
22,SCR-WEB-210,P03,DSG-022,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Visit detail integrates state factory assignment schedule package map timeline notes and actions""; required evidence not yet produced: detail state variants; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
23,SCR-IPAD-600,P04,DSG-028,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Assignments prioritize today returned work urgency route and offline readiness""; required evidence not yet produced: 1024x1366 portrait/landscape light/dark; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
24,SCR-IPAD-610,P04;P05,DSG-029,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Startup pack proves exact package readiness device checks factory context and eligibility""; required evidence not yet produced: golden screen; readiness failures; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
25,SCR-VIR-700,P05;P06B,DSG-036,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Appointment/waiting room exposes participants readiness timing join reschedule and fallback""; required evidence not yet produced: desktop/tablet/low-bandwidth; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
26,SCR-IPAD-620,P06A,DSG-030,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Journey makes route ETA GPS accuracy geofence privacy and override truthful""; required evidence not yet produced: map/offline/poor-GPS/override frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
27,SCR-VIR-710,P06B,DSG-037,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""OTP verification exposes identity counters cooldown expiry lockout and audit""; required evidence not yet produced: all verification failure states; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
28,SCR-VIR-720,P06B;P07;P08,DSG-038,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Provider-neutral room supports governed session evidence checklist close and fallback without fake video""; required evidence not yet produced: provider-pending and adapter-ready frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
29,SCR-IPAD-630,P07,DSG-031,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Inspection workspace supports touch-first sections progress guidance autosave blockers and recovery""; required evidence not yet produced: golden screen; offline/conflict/locked; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
30,SCR-IPAD-640,P08,DSG-032,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Evidence capture exposes media metadata annotation compression lifecycle and sync truth""; required evidence not yet produced: capture/annotate/queue/retry/archive; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
31,SCR-IPAD-650,P08,DSG-033,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Findings link clauses evidence violations penalties and blocking actions""; required evidence not yet produced: rule available/unavailable/action incomplete; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
32,SCR-IPAD-660,P09,DSG-034,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Pre-submit review exposes blockers manifest sync acknowledgement and immutable result""; required evidence not yet produced: not-ready/online/offline/idempotent retry; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
33,SCR-WEB-300,P10,DSG-023,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Review queue enables SLA/risk/version/workload prioritization and claim behavior""; required evidence not yet produced: queue states and keyboard proof; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
34,SCR-WEB-310,P10,DSG-024,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Review workspace is immutable evidence-led and guards approve return reject""; required evidence not yet produced: golden screen; degraded evidence; decisions; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
35,SCR-IPAD-670,P11,DSG-035,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Returned correction exposes reason exact unlocked sections immutable comments and version""; required evidence not yet produced: locked edit attempt/offline/resubmit; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|sync_conflict|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(1024x1366 portrait;landscape)",none
36,SCR-WEB-320,P11,DSG-025,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Version comparison identifies all change types and navigates changed sections""; required evidence not yet produced: side-by-side RTL and non-color diff; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
37,SCR-WEB-400,P12,DSG-026,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Factory360 is a resilient source/freshness-aware dossier with isolated failures""; required evidence not yet produced: full dossier; one-widget failure; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;tablet)",none
38,SCR-WEB-400,P12,DSG-CMD-014,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Factory 360 CR->License-selector->single-plant IA shell; selecting a license refreshes all sections without leaving""; required evidence not yet produced: cr overview + selector + refreshed-section frames",open decision: SL-3 CR-to-license relation needs verification before full acceptance
39,SCR-WEB-400,P12,DSG-CMD-015,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""CR Overview portfolio is counts-only with no CR-level risk or compliance number""; required evidence not yet produced: portfolio summary frame",none
40,SCR-WEB-400,P12,DSG-CMD-016,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""License Overview + factory-level Compliance Rate (existing formula) + compliance/risk trend charts + penalties over existing rows""; required evidence not yet produced: overview + trends + penalties frames",none
41,SCR-WEB-400,P12,DSG-CMD-017,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Government Information and Machines rendered as unavailable-boundary sections unless Senaei feed confirmed""; required evidence not yet produced: unavailable-boundary section frames",blocked pending Senaei feed confirmation (SL-4/SL-5 genuine functional gap) — rendered as unavailable-boundary until confirmed
42,SCR-WEB-400,P12,DSG-CMD-018,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Grouped document/image galleries with non-merge rule; viewer metadata-only""; required evidence not yet produced: grouped gallery + blocked-viewer frame",decision-blocked: SL-8 viewer behavior blocked pending decision; DOC-002 non-merge rule constraint
43,SCR-WEB-400,P12,DSG-CMD-019,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""AI Risk Explanation entry + traceable placeholder only; PDF export spec-only gated on governed export""; required evidence not yet produced: deferred-AI + export-gated frames",Phase-2 AI deferral (BR-010) for AI Risk Explanation; PDF export gated pending governed export mechanism (SL-6)
44,SCR-WEB-500,P12,DSG-027,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Operations presents trustworthy KPIs map/list alerts SLA workload and drilldown""; required evidence not yet produced: dashboard/live-map/wallboard; stale/provider failure; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|offline|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop;wallboard)",none
45,SCR-WEB-500,P12,DSG-CMD-009,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Live Operations Map + Inspector Card with projected-route labelling and drilldowns to visit/Factory 360""; required evidence not yet produced: live map + inspector card + drill frames",none
46,SCR-WEB-500,P12,DSG-CMD-010,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Inspector Card conditional-display contract: Arrived/Started/License No./Risk Level appear only when their fact exists""; required evidence not yet produced: before/after arrival + missing-field frames",none
47,SCR-WEB-500,P12,DSG-CMD-011,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Regional Performance Map choropleth with region->factory->Factory 360 drill over existing metrics""; required evidence not yet produced: national/regional/factory drill frames",none
48,SCR-WEB-500,P12,DSG-CMD-012,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Regional map uses greyscale/ranked default; colour banding marked decision-blocked""; required evidence not yet produced: ranked default frame + SL-2 note","decision-blocked: SL-2 colour-banding/threshold policy not yet defined (open decision) — ranked/greyscale default proceeds, colour variant on hold"
49,SCR-WEB-500,P12,DSG-CMD-013,not_started,"additional composed design outcome status=not_started (NOT accepted) — ""Operational Highlights deterministic priority-ordered panel with deep links; NL layer deferred labelled non-AI""; required evidence not yet produced: highlights panel + deep-link frames",Phase-2 AI deferral — natural-language layer deferred; base deterministic panel not blocked
