evidence_id,source_file,screen_journey_component,referenced_path,resolved_actual_path,truth_status,notes
CD026-EV-004,product-contract/evidence/EVIDENCE_STATUS.md (line 151),Visit management (CD-026) — Arabic document-level RTL with live ui_strings copy,screens/cd-026-visit-management-v1/ar-rtl.png,product-contract/evidence/screens/cd-026-visit-management-v1/ar-rtl.png,present-and-located,"Captured — 52/52 AR keys live per EVIDENCE_STATUS.md."
CD026-EV-005,product-contract/evidence/EVIDENCE_STATUS.md (line 152),"Visit management (CD-026) — narrow 412, no horizontal overflow",screens/cd-026-visit-management-v1/narrow-412.png,product-contract/evidence/screens/cd-026-visit-management-v1/narrow-412.png,present-and-located,"Captured per EVIDENCE_STATUS.md."
CD027-EV-003,product-contract/evidence/EVIDENCE_STATUS.md (line 164),"Visit detail (CD-027) — Dual-State Ribbon primary, planner EN: five never-collapsed domain tracks + tabpanel",screens/cd-027-visit-detail-v1/ribbon-primary.png,product-contract/evidence/screens/cd-027-visit-detail-v1/ribbon-primary.png,present-and-located,"Captured per EVIDENCE_STATUS.md."
CD027-EV-004,product-contract/evidence/EVIDENCE_STATUS.md (line 165),"Visit detail (CD-027) — narrow 412, ribbon reflows to ordered accessible state ledger (S36)",screens/cd-027-visit-detail-v1/ribbon-narrow-412.png,product-contract/evidence/screens/cd-027-visit-detail-v1/ribbon-narrow-412.png,present-and-located,"Captured per EVIDENCE_STATUS.md."
CYCLE2-WAVE1-login-dark-1920x1080,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 34),Login screen — dark theme 1920x1080,login-dark-1920x1080.png,product-contract/evidence/screens/cycle2-wave1/login-dark-1920x1080.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc; not in repo-cleanup/documentation_inventory.csv MOVE list (likely a later capture)."
CYCLE2-WAVE1-login-light-1920x1080,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 34),Login screen — light theme 1920x1080,login-light-1920x1080.png,product-contract/evidence/screens/cycle2-wave1/login-light-1920x1080.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
CYCLE2-WAVE1-profile-tv-1920x1080-dark,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 74),Profile screen — wallboard/TV viewport 1920x1080 dark,profile-tv-1920x1080-dark.png,product-contract/evidence/screens/cycle2-wave1/profile-tv-1920x1080-dark.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
CYCLE2-WAVE1-profile-tv-1920x1080-light,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 74),Profile screen — wallboard/TV viewport 1920x1080 light,profile-tv-1920x1080-light.png,product-contract/evidence/screens/cycle2-wave1/profile-tv-1920x1080-light.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
CYCLE2-WAVE1-profile-laptop-1366x768-dark,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 75),Profile screen — laptop viewport 1366x768 dark,profile-laptop-1366x768-dark.png,product-contract/evidence/screens/cycle2-wave1/profile-laptop-1366x768-dark.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
CYCLE2-WAVE1-profile-tablet-1024x768-dark,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 76),Profile screen — tablet viewport 1024x768 dark (tightest band),profile-tablet-1024x768-dark.png,product-contract/evidence/screens/cycle2-wave1/profile-tablet-1024x768-dark.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
CYCLE2-WAVE1-profile-ipad-834x1194-dark,product-contract/evidence/CYCLE2-WAVE1-UI-UX-EVIDENCE-2026-07-16.md (line 78),Profile screen — iPad viewport 834x1194 dark,profile-ipad-834x1194-dark.png,product-contract/evidence/screens/cycle2-wave1/profile-ipad-834x1194-dark.png,present-and-located,"Named directly in the Cycle 2 Wave 1 UI/UX evidence doc."
DASH-EV-003,product-contract/evidence/EVIDENCE_STATUS.md (line 124),Business dashboard (strategic view) — EN dark desktop,screens/dashboard-business-v1/strategic-en-dark-desktop.png,product-contract/evidence/screens/dashboard-business-v1/strategic-en-dark-desktop.png,present-and-located,"Captured and visually reviewed per EVIDENCE_STATUS.md."
DASH-EV-004,product-contract/evidence/EVIDENCE_STATUS.md (line 125),Business dashboard (strategic view) — EN light desktop,screens/dashboard-business-v1/strategic-en-light-desktop.png,product-contract/evidence/screens/dashboard-business-v1/strategic-en-light-desktop.png,present-and-located,"Captured and visually reviewed per EVIDENCE_STATUS.md."
