key,en,ar,status,approved_source,screens,role,kind,priority,shared
virtual.appointment.participantsAreHeldUntilThe,Participants are held until the inspector admits them. Admission is recorded on the visit audit trail.,,new,,SCR-VIR-700,alert-body,alert-body,P1,
virtual.appointment.plannedAppointmentWindow,Planned appointment window,,new,,SCR-VIR-700,hint,field-hint,P1,
virtual.appointment.scheduledWindow,Scheduled window,,new,,SCR-VIR-700,term,field-term,P1,
virtual.appointment.theGovernedVisitThisAppointment,The governed visit this appointment serves,,new,,SCR-VIR-700,hint,field-hint,P1,
virtual.appointment.virtualAppointmentVa2081,Virtual appointment · VA-2081,,new,,SCR-VIR-700,sq-content,page-title,P1,
virtual.appointment.waitingRoom,Waiting room,,new,,SCR-VIR-700,alert-title,alert-title,P1,
virtual.session.agenda,Agenda,,new,,SCR-VIR-720,title,section-title,P1,
virtual.session.appliedWhenTheSessionCannot,Applied when the session cannot continue remotely,,new,,SCR-VIR-720,hint,field-hint,P1,
virtual.session.checklist,Checklist,,new,,SCR-VIR-720,title,section-title,P1,
virtual.session.derivedFromThePackage,Derived from the package,,new,,SCR-VIR-720,hint,field-hint,P1,
virtual.session.everyCaptureIsBoundTo,Every capture is bound to the checklist item open at the time and cannot be reassigned afterwards.,,new,,SCR-VIR-720,alert-body,alert-body,P1,
virtual.session.evidenceIsCapturedLive,Evidence is captured live,,new,,SCR-VIR-720,alert-title,alert-title,P1,
virtual.session.fallback,Fallback,,new,,SCR-VIR-720,term,field-term,P1,
virtual.session.independentOfTheVisitPlanning,Independent of the visit planning status,,new,,SCR-VIR-720,hint,field-hint,P1,
virtual.session.insufficientEvidence,Insufficient evidence,,new,,SCR-VIR-720,ad-state__title,state-title,P1,
virtual.session.notes,Notes,,new,,SCR-VIR-720,title,section-title,P1,
virtual.session.oneAnsweredItemHasNo,One answered item has no evidence attached. The session cannot be closed until every non-compliant response carries evidence.,,new,,SCR-VIR-720,ad-state__body,state-body,P1,
virtual.session.participantList,Participant list,,new,,SCR-VIR-720,title,section-title,P1,
virtual.session.sections,Sections,,new,,SCR-VIR-720,term,field-term,P1,
virtual.session.sessionNotes,Session notes,,new,,SCR-VIR-720,field-label,form-label,P1,
virtual.session.sessionState,Session state,,new,,SCR-VIR-720,term,field-term,P1,
virtual.session.theLiveVideoRegionIs,The live video region is a mandatory region of SCR-VIR-720. The virtual session provider is not configured.,,new,,SCR-VIR-720,ad-state__body,state-body,P1,
virtual.session.thePublishedVersionThisSession,The published version this session executes,,new,,SCR-VIR-720,hint,field-hint,P1,
virtual.session.video,Video,,new,,SCR-VIR-720,title,section-title,P1,
virtual.verify.appliedWhenTheRetryLimit,Applied when the retry limit is reached,,new,,SCR-VIR-710,hint,field-hint,P1,
virtual.verify.attemptsUsed,Attempts used,,new,,SCR-VIR-710,term,field-term,P1,
virtual.verify.audit,Audit,,new,,SCR-VIR-710,title,section-title,P1,
virtual.verify.countedAgainstTheGovernedRetry,Counted against the governed retry limit,,new,,SCR-VIR-710,hint,field-hint,P1,
virtual.verify.declaredAtAppointmentCreation,Declared at appointment creation,,new,,SCR-VIR-710,hint,field-hint,P1,
virtual.verify.determinesWhatTheParticipantMay,Determines what the participant may see,,new,,SCR-VIR-710,hint,field-hint,P1,
virtual.verify.identityDetails,Identity details,,new,,SCR-VIR-710,title,section-title,P1,
virtual.verify.identityVerificationVs40066,Identity verification · VS-40066,,new,,SCR-VIR-710,sq-content,page-title,P1,
virtual.verify.lockout,Lockout,,new,,SCR-VIR-710,term,field-term,P1,
virtual.verify.matchedAgainstTheGovernedRecord,Matched against the governed record,,new,,SCR-VIR-710,hint,field-hint,P1,
virtual.verify.nationalId,National ID,,new,,SCR-VIR-710,term,field-term,P1,
virtual.verify.oneTimePasscode,One-time passcode,,new,,SCR-VIR-710,field-label,form-label,P1,
virtual.verify.otpState,OTP state,,new,,SCR-VIR-710,title,section-title,P1,
virtual.verify.retries,Retries,,new,,SCR-VIR-710,title,section-title,P1,
virtual.verify.sessionLocked,Session locked,,new,,SCR-VIR-710,alert-title,alert-title,P1,
virtual.verify.theSessionStaysLockedUntil,The session stays locked until every required participant is verified. Verification cannot be waived from this screen.,,new,,SCR-VIR-710,alert-body,alert-body,P1,
virtual.verify.theVerificationExceptionPathIs,The verification exception path is a mandatory region of SCR-VIR-710. No escalation rule is configured.,,new,,SCR-VIR-710,ad-state__body,state-body,P1,
visits.detail.fromTheGovernedMirror,From the governed mirror,,new,,SCR-WEB-210,hint,field-hint,P1,
visits.detail.geofenceAndArrivalAreA,Geofence and arrival are a mandatory region of SCR-WEB-210. The map provider is not configured.,,new,,SCR-WEB-210,ad-state__body,state-body,P1,
visits.detail.independentOfOperationalState,Independent of operational state,,new,,SCR-WEB-210,hint,field-hint,P1,
visits.detail.independentOfPlanningStatus,Independent of planning status,,new,,SCR-WEB-210,hint,field-hint,P1,
visits.detail.map,Map,,new,,SCR-WEB-210,title,section-title,P1,
visits.detail.package,Package,,new,,SCR-WEB-210,title,section-title,P1,
visits.detail.schedule,Schedule,,new,,SCR-WEB-210,title,section-title,P1,
visits.detail.setDuringPlanning,Set during planning,,new,,SCR-WEB-210,hint,field-hint,P1,
visits.detail.thePublishedVersionThisVisit,The published version this visit executes,,new,,SCR-WEB-210,hint,field-hint,P1,
visits.detail.theVisitTimelineIsA,The visit timeline is a mandatory region of SCR-WEB-210. No timeline source is configured.,,new,,SCR-WEB-210,ad-state__body,state-body,P1,
visits.list.anyCity,Any city,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.anyInspector,Any inspector,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.anyRegion,Any region,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.anyStatus,Any status,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.anyType,Any type,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.anyWindow,Any window,,new,,SCR-WEB-200,Select option,filter-option,P1,
visits.list.cancelled,Cancelled,,new,,SCR-WEB-200,kpi-label,kpi-label,P1,
visits.list.planningStatusAndOperationalState,"Planning status and operational state are two independent tracks and are never merged. Rescheduling, reassignment, cancellation, bulk actions and publish/return are not available here.",,new,,SCR-WEB-200,alert-body,alert-body,P1,
visits.list.readOnlyWorkspace,Read-only workspace,,new,,SCR-WEB-200,alert-title,alert-title,P1,
visits.list.visitIdReferenceFactoryName,"Visit ID / reference, factory name, CR number, industrial licence, inspector",,new,,SCR-WEB-200,Placeholder text,placeholder,P1,
visits.list.visitManagement,Visit management,,new,,SCR-WEB-200,sq-content,page-title,P1,
factory360.approvedViolationsCorrectiveActions,Approved violations & corrective actions,,suggest,Approved inspection violations & corrective actions,SCR-WEB-400,title,section-title,P1,
planning.configure.mode,Mode,,suggest,Model,SCR-WEB-140 SCR-VIR-700,title,section-title,P1,yes
planning.configure.packageVersion,Package version,,suggest,Package decision,SCR-WEB-140,title,section-title,P1,
planning.review.assignedInspectors,Assigned inspectors,,suggest,Assigned inspector,SCR-WEB-150,term,field-term,P1,
planning.review.visits,Visits,,suggest,2 visits,SCR-WEB-150,title,section-title,P1,
planning.single.visitConfiguration,Visit configuration,,suggest,Risk Configuration,SCR-WEB-120,title,section-title,P1,
reviews.workspace.approve,Approve,,suggest,Approved,SCR-WEB-310,Button,action,P1,
reviews.workspace.reject,Reject,,suggest,Rejected,SCR-WEB-310,Button,action,P1,
virtual.appointment.unavailable,Unavailable,,suggest,available,SCR-VIR-700 SCR-VIR-720,ad-state__title,state-title,P1,yes
virtual.verify.exception,Exception,,suggest,Exceptions,SCR-VIR-710,title,section-title,P1,
visits.detail.currentOfficialRecord,Current official record,,suggest,Current official,SCR-WEB-210,hint,field-hint,P1,
visits.detail.industrialLicence,Industrial licence,,suggest,Industrial license,SCR-WEB-210,term,field-term,P1,
visits.detail.plannedWindow,Planned window,,suggest,Planning window,SCR-WEB-210,hint,field-hint,P1,
factory360.commercialRegistrationLegalIdentity,Commercial registration & legal identity,السجل التجاري والهوية النظامية,reuse,Commercial registration & legal identity,SCR-WEB-400,title,section-title,P1,
planning.single.assignedInspector,Assigned inspector,المفتش المعيّن,reuse,Assigned inspector,SCR-WEB-120 SCR-WEB-130 SCR-WEB-140 SCR-WEB-210,field-label,form-label,P1,yes
planning.single.commercialRegistration,Commercial registration,السجل التجاري,reuse,Commercial registration,SCR-WEB-120,hint,field-hint,P1,
factory360.clearReCertifyEgress,Clear & re-certify egress,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.critical,Critical,,new,,SCR-WEB-400 SCR-WEB-310,cell-badge,status-label,P2,yes
factory360.hotRolledCoil,Hot-rolled coil,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.hsActivity,HS / activity,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.labelInspect,Label & inspect,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.line,Line,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.major,Major,,new,,SCR-WEB-400,cell-badge,status-label,P2,
factory360.modonV6,MODON · v6,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.rawMaterial,Raw material,,new,,SCR-WEB-400,cell-text,ui-text,P2,
factory360.rollingLineA,Rolling line A,,new,,SCR-WEB-400,cell-text,ui-text,P2,
planning.bulk.eligibility,Eligibility,,new,,SCR-WEB-110,cell-text,ui-text,P2,
planning.bulk.eligible,Eligible,,new,,SCR-WEB-110,Compliant,status-label,P2,
planning.review.bulkPlanning,Bulk planning,,new,,SCR-WEB-150,value,ui-text,P2,
planning.review.scheduled,Scheduled,,new,,SCR-WEB-150,cell-text,ui-text,P2,
reviews.workspace.bulkScheduled,Bulk · Scheduled,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.due1d,due 1d,,new,,SCR-WEB-310,Warning,status-label,P2,
reviews.workspace.ev,Ev,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.finding,FINDING,,new,,SCR-WEB-310,kindLabel,badge-label,P2,
reviews.workspace.inspectionFactory,Inspection / factory,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.singleScheduled,Single · Scheduled,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.sla,SLA,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.vio,Vio,,new,,SCR-WEB-310,cell-text,ui-text,P2,
reviews.workspace.wetRiserCertificate,Wet riser certificate,,new,,SCR-WEB-310,caption,evidence-copy,P2,
virtual.appointment.inSession,In session,,new,,SCR-VIR-700,Compliant,status-label,P2,
virtual.appointment.observer,Observer,,new,,SCR-VIR-700,cell-text,ui-text,P2,
virtual.appointment.participant,Participant,,new,,SCR-VIR-700 SCR-VIR-710 SCR-VIR-720,cell-text,ui-text,P2,yes
virtual.appointment.pendingOtp,Pending OTP,,new,,SCR-VIR-700,Warning,status-label,P2,
virtual.appointment.presence,Presence,,new,,SCR-VIR-700,cell-text,ui-text,P2,
virtual.appointment.role,Role,,new,,SCR-VIR-700 SCR-VIR-710 SCR-VIR-720,cell-text,ui-text,P2,yes
virtual.appointment.verification,Verification,,new,,SCR-VIR-700,cell-text,ui-text,P2,
virtual.appointment.virtual,Virtual,,new,,SCR-VIR-700,value,ui-text,P2,
virtual.session.chemicalStorageLabelled,Chemical storage labelled,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.fireExitsUnobstructed,Fire exits unobstructed,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.joined,Joined,,new,,SCR-VIR-720,Info,status-label,P2,
virtual.session.machineGuardingInPlace,Machine guarding in place,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.nonCompliant,Non-compliant,,new,,SCR-VIR-720,Critical,status-label,P2,
virtual.session.none,None,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.notAnswered,Not answered,,new,,SCR-VIR-720,Draft,status-label,P2,
virtual.session.physicalVisitNotRaised,Physical visit not raised,,new,,SCR-VIR-720,value,ui-text,P2,
virtual.session.presenting,Presenting,,new,,SCR-VIR-720,Compliant,status-label,P2,
virtual.session.response,Response,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.safety,Safety,,new,,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.stable,Stable,,new,,SCR-VIR-720,Compliant,status-label,P2,
virtual.verify.delivered,Delivered,,new,,SCR-VIR-710,Info,status-label,P2,
virtual.verify.event,Event,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.mismatch,Mismatch,,new,,SCR-VIR-710,Critical,status-label,P2,
virtual.verify.otpEntered,OTP entered,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.otpResent,OTP resent,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.otpSent,OTP sent,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.result,Result,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.system,System,,new,,SCR-VIR-710,cell-text,ui-text,P2,
virtual.verify.time,Time,,new,,SCR-VIR-710,cell-text,ui-text,P2,
visits.list.bulkScheduled,Bulk · scheduled,,new,,SCR-WEB-200,cell-text,ui-text,P2,
visits.list.draftValidated,Draft (validated),,new,,SCR-WEB-200 SCR-WEB-210,OnHold,status-label,P2,yes
visits.list.notSourceBacked,Not source-backed,,new,,SCR-WEB-200,cell-text,ui-text,P2,
visits.list.planningStatus,Planning status,,new,,SCR-WEB-200 SCR-WEB-210,cell-text,ui-text,P2,yes
visits.list.singleScheduled,Single · scheduled,,new,,SCR-WEB-200,cell-text,ui-text,P2,
visits.list.visitReference,Visit reference,,new,,SCR-WEB-200,cell-text,ui-text,P2,
visits.list.visitWindow,Visit window,,new,,SCR-WEB-200 SCR-WEB-120 SCR-WEB-140 SCR-WEB-210,cell-text,ui-text,P2,yes
factory360.originatingReport,Originating report,,suggest,origin report,SCR-WEB-400,cell-text,ui-text,P2,
factory360.product,Product,,suggest,Products,SCR-WEB-400,cell-text,ui-text,P2,
factory360.qtyCapacity,Qty / capacity,,suggest,Quantity / capacity,SCR-WEB-400,cell-text,ui-text,P2,
factory360.realMaxProduction,Real / max production,,suggest,Real / maximum production,SCR-WEB-400,cell-text,ui-text,P2,
planning.bulk.lastInspection,Last inspection,,suggest,Latest inspection,SCR-WEB-110,cell-text,ui-text,P2,
planning.review.visit,Visit,,suggest,1 visit,SCR-WEB-150 SCR-VIR-700,cell-text,ui-text,P2,yes
reviews.workspace.overdue1d,overdue 1d,,suggest,overdue,SCR-WEB-310,Critical,status-label,P2,
reviews.workspace.overdue2d,overdue 2d,,suggest,overdue,SCR-WEB-310,Critical,status-label,P2,
virtual.session.item,Item,,suggest,Items,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.section,Section,,suggest,Inspection,SCR-VIR-720,cell-text,ui-text,P2,
virtual.session.state,State,,suggest,Started,SCR-VIR-720,cell-text,ui-text,P2,
virtual.verify.actor,Actor,,suggest,Factory,SCR-VIR-710,cell-text,ui-text,P2,
factory360.approved,approved,معتمد,reuse,Approved,SCR-WEB-400,Compliant,status-label,P2,
factory360.comparison,Comparison,المقارنة,reuse,Comparison,SCR-WEB-400 SCR-WEB-320,cell-text,ui-text,P2,yes
factory360.crNumber,CR number,رقم السجل التجاري,reuse,CR number,SCR-WEB-400 SCR-WEB-120,cell-text,ui-text,P2,yes
factory360.currentOfficial,Current official,البيانات الرسمية الحالية,reuse,Current official,SCR-WEB-400,cell-text,ui-text,P2,
factory360.date,Date,التاريخ,reuse,Date,SCR-WEB-400,cell-text,ui-text,P2,
factory360.field,Field,الحقل,reuse,Field,SCR-WEB-400,cell-text,ui-text,P2,
factory360.gracePeriod,Grace period,فترة السماح,reuse,Grace period,SCR-WEB-400,cell-text,ui-text,P2,
factory360.industrialLicense,Industrial license,الرخصة الصناعية,reuse,Industrial license,SCR-WEB-400,cell-text,ui-text,P2,
factory360.latestImmutableVersion,Latest immutable version,أحدث نسخة ثابتة,reuse,Latest immutable version,SCR-WEB-400,cell-text,ui-text,P2,
factory360.name,Name,الاسم,reuse,Name,SCR-WEB-400,cell-text,ui-text,P2,
factory360.observedAtSubmission,Observed at submission,البيانات المرصودة عند الإرسال,reuse,Observed at submission,SCR-WEB-400,cell-text,ui-text,P2,
factory360.returned,returned,مُعاد,reuse,Returned,SCR-WEB-400,Warning,status-label,P2,
factory360.severity,Severity,الدرجة,reuse,Severity,SCR-WEB-400,cell-text,ui-text,P2,
factory360.source,Source,المصدر,reuse,Source,SCR-WEB-400,cell-text,ui-text,P2,
factory360.unchanged,unchanged,دون تغيير,reuse,unchanged,SCR-WEB-400,Compliant,status-label,P2,
factory360.violation,Violation,المخالفة,reuse,Violation,SCR-WEB-400,cell-text,ui-text,P2,
virtual.session.degraded,Degraded,متدهور,reuse,degraded,SCR-VIR-720,Warning,status-label,P2,
virtual.session.inProgress,In progress,قيد التنفيذ,reuse,In Progress,SCR-VIR-720,value,ui-text,P2,
factory360.30Days,30 days,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.7Days,7 days,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.el233UnlabelledPanel,EL-233 · Unlabelled panel,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.fs014BlockedEmergencyEgress,FS-014 · Blocked emergency egress,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.il44718,IL-44718,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.ins86502,INS-86502,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.ins87740,INS-87740,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.ins88213,INS-88213,,new,,SCR-WEB-400,cell-text,sample-data,P3,
factory360.steelBillet,Steel billet,,new,,SCR-WEB-400,cell-text,sample-data,P3,
planning.bulk.factoryTable,Factory table,,new,,SCR-WEB-110,title,sample-data,P3,
planning.bulk.jubailChemicalsCo,Jubail Chemicals Co.,,new,,SCR-WEB-110 SCR-WEB-150,cell-text,sample-data,P3,yes
planning.review.24Jul20260401,"24 Jul 2026, 04:01 · A. Planner",,new,,SCR-WEB-150,value,sample-data,P3,
planning.review.bp672,BP-672,,new,,SCR-WEB-150,value,sample-data,P3,
planning.review.vs51022,VS-51022,,new,,SCR-WEB-150,cell-text,sample-data,P3,
planning.review.vs51028,VS-51028,,new,,SCR-WEB-150,cell-text,sample-data,P3,
planning.single.factory360Preview,Factory 360 preview,,new,,SCR-WEB-120,title,sample-data,P3,
planning.single.factoryNameCrNumberOr,"Factory name, CR number or industrial licence",,new,,SCR-WEB-120,field-label,sample-data,P3,
planning.single.factorySearch,Factory search,,new,,SCR-WEB-120,title,sample-data,P3,
reviews.compare.0520Jul,05 – 20 Jul,,new,,SCR-WEB-320,ins,sample-data,P3,
reviews.compare.v211Feb2026,v2 · 11 Feb 2026,,new,,SCR-WEB-320,value,sample-data,P3,
reviews.compare.v318May2026,v3 · 18 May 2026,,new,,SCR-WEB-320,value,sample-data,P3,
reviews.workspace.09Jul20260831,09 Jul 2026 08:31 · N. Al-Harbi,,new,,SCR-WEB-310,time-inspector,sample-data,P3,
reviews.workspace.3EvidenceItems,3 evidence items,,new,,SCR-WEB-310,evidenceCount,sample-data,P3,
reviews.workspace.42Of42MandatoryItems,42 of 42 mandatory items answered · 31 evidence files · compliance 92%,,new,,SCR-WEB-310,summary,sample-data,P3,
reviews.workspace.alRasheedSteelWorksIns,Al Rasheed Steel Works INS-88213,,new,,SCR-WEB-310,cell-text,sample-data,P3,
reviews.workspace.deviceIpad04Sha2569f2c,Device iPad-04 · sha256 9f2c…41ab,,new,,SCR-WEB-310,provenance,sample-data,P3,
reviews.workspace.due21Jul2026,Due 21 Jul 2026,,new,,SCR-WEB-310,due,sample-data,P3,
reviews.workspace.fnd0412,FND-0412,,new,,SCR-WEB-310,refCode,sample-data,P3,
reviews.workspace.gulfTextilesLtdIns88190,Gulf Textiles Ltd. INS-88190,,new,,SCR-WEB-310,cell-text,sample-data,P3,
