cd,screen,state_n,state_id,state_label,is_primary,is_outlier
CD-016,SCR-ADM-080,S09,deactivated,"Deactivated with history",,
CD-016,SCR-ADM-080,S10,empty,"Empty — no rules",,
CD-016,SCR-ADM-080,S11,loading,"Loading",,
CD-016,SCR-ADM-080,S12,unauthorized,"Unauthorized",,
CD-016,SCR-ADM-080,S13,offline,"Offline",,
CD-017,SCR-ADM-090,S01,view,"View — primary (matrix + simulator)",yes,
CD-017,SCR-ADM-090,S02,conflict,"SoD conflict — submission blocked (outlier)",,yes
CD-017,SCR-ADM-090,S03,self-escalation,"Self-escalation blocked",,
CD-017,SCR-ADM-090,S04,beyond-authority,"Grant beyond authority — rejected",,
CD-017,SCR-ADM-090,S05,draft,"Draft change — not effective",,
CD-017,SCR-ADM-090,S06,submitted,"Submitted — awaiting second admin",,
CD-017,SCR-ADM-090,S07,published,"Published matrix — immutable",,
CD-017,SCR-ADM-090,S08,denied,"Effective-access denied (simulator)",,
CD-017,SCR-ADM-090,S09,empty,"Empty — no roles in scope",,
CD-017,SCR-ADM-090,S10,loading,"Loading",,
CD-017,SCR-ADM-090,S11,unauthorized,"Unauthorized",,
CD-017,SCR-ADM-090,S12,offline,"Offline",,
CD-018,ADM-LOCALIZATION,S01,review,"Review — primary (EN/AR side-by-side)",yes,
CD-018,ADM-LOCALIZATION,S02,source-drift,"Source drift — re-review required (outlier)",,yes
CD-018,ADM-LOCALIZATION,S03,placeholder-error,"Placeholder error — cannot approve",,
CD-018,ADM-LOCALIZATION,S04,missing,"Missing Arabic",,
CD-018,ADM-LOCALIZATION,S05,needs-review,"Needs review queue",,
CD-018,ADM-LOCALIZATION,S06,approved,"Approved",,
CD-018,ADM-LOCALIZATION,S07,restored,"Version restored (versioned event)",,
CD-018,ADM-LOCALIZATION,S08,empty,"Filtered empty",,
CD-018,ADM-LOCALIZATION,S09,loading,"Loading",,
CD-018,ADM-LOCALIZATION,S10,unauthorized,"Unauthorized",,
CD-018,ADM-LOCALIZATION,S11,offline,"Offline",,
CD-019,ADM-AUDIT,S01,stream,"Event stream — primary (narrative + diff)",yes,
CD-019,ADM-AUDIT,S02,redaction,"Sensitive redaction (outlier)",,yes
CD-019,ADM-AUDIT,S03,partial-payload,"Partial payload — historical gap",,
CD-019,ADM-AUDIT,S04,degraded,"Service degraded — truncated read",,
CD-019,ADM-AUDIT,S05,delivery-unknown,"External delivery unconfirmed",,
CD-019,ADM-AUDIT,S06,filtered-empty,"Filtered empty",,
CD-019,ADM-AUDIT,S07,no-events,"No events",,
CD-019,ADM-AUDIT,S08,loading,"Loading",,
CD-019,ADM-AUDIT,S09,unauthorized,"Unauthorized",,
CD-019,ADM-AUDIT,S10,offline,"Offline",,
# 95 states across 8 screens; every state renders in EN+AR, dark+light, 1440/1024/412 via the harness and export.html.
