finding_id,current_term,complete_current_phrase,file,line,route_or_surface,persona,visible_to_user,usage_type,localization_key,current_english,current_arabic,proposed_english,proposed_arabic,classification,legal_or_regulatory_risk,rationale,implementation_status,validation_evidence
F0-022,workspace,"open row-action link text ""Open workspace""",apps/web/src/app/reviews/page.tsx,237,/reviews (Review queue table),Reviewer / Committee,yes,translation fallback (row-action link text),review.list.open,Open workspace,(none found),Open review,فتح المراجعة,A,none,Companion to F0-021; highest-priority workspace fix (row-action link),pending,
F0-023,workspace,"body copy ""...happen in the workspace as explicit, audited actions...""",apps/web/src/app/reviews/page.tsx,278,/reviews (Review queue banner),Reviewer / Committee,yes,translation fallback (banner body; same key as F0-020),review.list.scanBody,(see F0-020 full text),(none found),(see F0-020 proposed text),(pending AR authoring),A,none,Same string as F0-020; the word workspace appears mid-sentence in the same banner,pending,
F0-024,workspace,"ws.unauthBody ""This workspace requires the Level 2 Reviewer role...""",apps/web/src/app/reviews/[id]/page.tsx,61,/reviews/:id (Review detail - unauthorized),Reviewer / Committee,yes,translation fallback (unauthorized message body),review.ws.unauthBody,This workspace requires the Level 2 Reviewer role and matching scope. Navigation visibility is not authorization; RLS remains the boundary.,(none found),This review requires the Level 2 Reviewer role and matching scope. Navigation visibility is not authorization; access control remains the boundary.,تتطلب مساحة العمل هذه دور مراجع المستوى الثاني والنطاق المطابق له. ظهور الرابط في التنقل لا يعني وجود صلاحية.,A,none,"Workspace -> Open review glossary swap; also contains a second internal term ""RLS"" leaking into user copy, flagged separately as F0-040",pending,
F0-025,registry,The registry is temporarily unavailable. Nothing was changed.,apps/web/src/app/factories/cr/[id]/page.tsx,39,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (error/neutral state),f360.err.neutral,The registry is temporarily unavailable. Nothing was changed.,(none found),The Factory list is temporarily unavailable. Nothing was changed.,قائمة المصانع غير متاحة مؤقتًا. لم يتم تغيير أي شيء.,A,none,Glossary swap registry -> Factory list; shared with the iPad mirror at F0-026,implemented,"typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:39; EN applies literal glossary swap (registry -> Factory list), not the not-found phrasing, per task spec"
F0-026,registry,The registry is temporarily unavailable. Nothing was changed. (iPad mirror),apps/web/src/app/field/factory-360/[id]/page.tsx,51,/field/factory-360/:id (Factory profile - iPad),Inspector (iPad field),yes,translation fallback (error/neutral state),f360.err.neutral,The registry is temporarily unavailable. Nothing was changed.,(none found),The Factory list is temporarily unavailable. Nothing was changed.,قائمة المصانع غير متاحة مؤقتًا. لم يتم تغيير أي شيء.,A,none,Same key as F0-025; must change together per shared-loader construction,implemented,typecheck pass; edited apps/web/src/app/field/factory-360/[id]/page.tsx:51 (shared key with F0-025)
F0-027,registry,"admin.template.heading ""Governed template registry""",supabase/migrations/20260715210000_cd006_011_frontend_strings.sql,230,/admin (governed templates screen),Admin,yes,ui_strings table row (en/ar columns),admin.template.heading,Governed template registry,سجل القوالب المحكوم,Governed template list,قائمة القوالب المحكومة,B,none,"Admin-facing but still user-visible copy; glossary swap applies (registry -> list variant), needs product confirmation since this is an admin config screen not the Factory list",pending,
F0-028,portfolio,License portfolio section heading,apps/web/src/app/factories/cr/[id]/page.tsx,106,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (section <h3>),f360.cr.portfolio,License portfolio,(none found),All licenses,جميع التراخيص,A,none,Glossary swap portfolio -> All licenses; shared with iPad at F0-029,implemented,typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:106
F0-029,portfolio,"noAggregate caption ""Portfolio facts only...""",apps/web/src/app/factories/cr/[id]/page.tsx,115,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (caption text),f360.cr.noAggregate,Portfolio facts only. No CR-level risk score or compliance rate is calculated.,(none found),All-licenses facts only. No CR-level risk score or compliance rate is calculated.,بيانات جميع التراخيص فقط. لا يُحتسب معدل مخاطر أو نسبة امتثال على مستوى السجل التجاري.,A,none,Same key rendered on both web and iPad (apps/web/src/app/field/factory-360/[id]/page.tsx:159),implemented,"typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:115 and apps/web/src/app/field/factory-360/[id]/page.tsx:159 (shared key); AR not authored, no existing AR source found for f360.cr.noAggregate - left for Wave 4"
F0-030,lineage,"f360.enforcement.heading ""Penalty lineage""",apps/web/src/app/factories/cr/[id]/page.tsx,224,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (section <h2>),f360.enforcement.heading,Penalty lineage,(none found),Penalty history,سجل العقوبات,A,none,Glossary swap lineage -> history; shared with iPad at apps/web/src/app/field/factory-360/[id]/page.tsx:198,implemented,typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:224 and apps/web/src/app/field/factory-360/[id]/page.tsx:198 (shared key); EN 'Penalty history' per glossary
F0-031,lineage,"admin.reg.lineage.heading ""Version lineage""",apps/web/src/app/admin/regulations/page.tsx,403,/admin/regulations (Compliance Library detail),Admin,yes,translation fallback (section <h3>),admin.reg.lineage.heading,Version lineage,(none found),Version history,سجل الإصدارات,B,none,"Glossary swap lineage -> history; admin-facing, still user-visible",pending,
F0-032,lineage,"admin.reg.lineage.successor ""governed successor""",apps/web/src/app/admin/regulations/page.tsx,408,/admin/regulations (Compliance Library detail),Admin,yes,translation fallback (inline text near F0-031 heading),admin.reg.lineage.successor,governed successor,(none found),newer version,(pending AR authoring),B,none,Companion phrase to F0-031 in the same section,pending,
F0-033,SLA,"ops.sla.heading ""SLA watch (ENG-09)""",apps/web/src/app/operations/page.tsx,517,/operations (Operations Center),Operations staff,yes,translation fallback (section heading),ops.sla.heading,SLA watch (ENG-09),(none found),Deadline watch,تنبيهات المواعيد النهائية,A,none,"ENG-09 is an internal requirement ID leaking into a user-visible heading (see F0-041); operations staff are ordinary users per the glossary carve-out (SLA kept only in admin config), so this becomes Deadline",pending,
F0-034,SLA,"ops.sla.empty.title ""No SLA breaches in scope""",apps/web/src/app/operations/page.tsx,519,/operations (Operations Center),Operations staff,yes,translation fallback (EmptyState title),ops.sla.empty.title,No SLA breaches in scope,(none found),No deadline breaches in scope,لا توجد تنبيهات مواعيد نهائية ضمن النطاق,A,none,Companion empty-state to F0-033,pending,
F0-035,SLA,"ops.sla.th.sla table header ""SLA""",apps/web/src/app/operations/page.tsx,436,/operations (Operations Center table),Operations staff,yes,translation fallback (table column header),ops.sla.th.sla,SLA,(none found),Deadline status,حالة الموعد النهائي,A,none,"Table already has a separate ""Deadline"" column (ops.sla.th.deadline) at line 435 - the two headers are inconsistent today; product must decide the final two-column wording (e.g. Deadline / Deadline status) to avoid a duplicate ""Deadline"" header",pending,
F0-036,SLA,dashboard SLA breach rate metric title,apps/web/src/app/dashboard/DashboardView.tsx,182,/dashboard,All authenticated web users,yes,inline copy() call rendered as MetricCard title,(none - inline copy() helper; no t() key),SLA breach rate,معدل تجاوز اتفاقية الخدمة,Deadline breach rate,معدل تجاوز الموعد النهائي,A,none,Dashboard is an ordinary-user surface per glossary carve-out (SLA kept only in admin config screens),pending,
F0-037,SLA,dashboard SLA configuration error text,apps/web/src/app/dashboard/page.tsx,162,/dashboard,All authenticated web users,yes,inline text() helper rendered as error/status label,(none - inline text() helper; no t() key),SLA configuration,تهيئة اتفاقية مستوى الخدمة,Deadline configuration,تهيئة الموعد النهائي,A,none,Companion to F0-036 on the dashboard error path,pending,
F0-038,geofence,"ops.override.heading ""Geofence override approvals (M04-043)""",apps/web/src/app/operations/page.tsx,388,/operations (Operations Center),Operations staff,yes,translation fallback (section heading),ops.override.heading,Geofence override approvals (M04-043),(none found),Location exception approvals,طلبات استثناء الموقع,A,none,"Also leaks internal requirement code M04-043 into user-visible text (see F0-041); Operations Center is not the GIS-admin carve-out, so geofence -> location exception applies",pending,
F0-039,geofence,"field.start.geofenceHeading ""Geofence — {name}""",apps/web/src/app/field/[visitId]/page.tsx,99,/field/:visitId (Inspector check-in - iPad),Inspector (iPad field),yes,translation fallback (section heading),field.start.geofenceHeading,Geofence — {name},(none found),Location exception — {name},استثناء الموقع — {name},A,none,Inspector-facing per the glossary carve-out (geofence -> location exception for inspectors); companion string field.start.geofenceCheck at line 98 needs the same treatment,pending,
F0-040,RLS-scoped,"context lozenge ""SCR-WEB-300 · /reviews · RLS-scoped""",apps/web/src/app/reviews/page.tsx,268,/reviews (Review queue),Reviewer / Committee,yes,translation fallback rendered inside an legacy-lozenge badge,review.list.context,SCR-WEB-300 · /reviews · RLS-scoped,(none found),(needs product decision — likely remove or replace with plain-language scope note; badge may be an intentional traceability affordance; out of scope for this wave),قائمة للاطّلاع فقط,F,none,"Raw dev/DB-security term ""RLS-scoped"" and internal screen code SCR-WEB-300 shown in a user-visible badge; also occurs at apps/web/src/app/visits/page.tsx:202,214 (""SCR-WEB-200/210 · RLS-scoped""); flagged for a product decision before remediation since it may be a deliberate traceability convention",pending,
F0-041,ENG- / M0x- codes,"Requirement codes embedded in visible headings (ENG-09, M04-043, M07-001/-018)",apps/web/src/app/operations/page.tsx,517,/operations and related admin screens,Operations staff / Admin,yes,translation fallback headings containing bracketed requirement IDs,ops.sla.heading / ops.override.heading,SLA watch (ENG-09) / Geofence override approvals (M04-043),(none found),(strip the bracketed code from user-visible text; keep the code in code comments/tests only),(pending),F,none,Pattern repeats across Operations Center headings; representative sample only - a full sweep for bracketed requirement codes in headings is recommended as part of Wave 3 (Administration/Operations),pending,
F0-042,dossier,D3-07_factory-360.html <title> golden-screen mockup,design/retired-predecessor/d3/D3-07_factory-360.html,5,Design mockup (golden screen #6 - Factory 360),Design/engineering reviewers,yes,HTML <title> tag (browser tab text in the mockup),(none - static design HTML),retired predecessor D3 · SCR-WEB-400 — Factory 360 (golden #6 dossier half),(none),retired predecessor D3 · SCR-WEB-400 — Factory 360 (golden #6 profile half),(none),A,none,"Design source-of-truth HTML mockup; needs to be updated in lockstep with the app so future implementers do not reintroduce ""dossier""",implemented,typecheck pass; edited design/retired-predecessor/d3/D3-07_factory-360.html:5 <title>
F0-043,dossier,Export dossier (permission-gated) button,design/retired-predecessor/d3/D3-07_factory-360.html,27,Design mockup (golden screen #6 - Factory 360),Design/engineering reviewers,yes,HTML <button> visible text,(none - static design HTML),Export dossier (permission-gated),(none),Export profile (permission-gated),(none),E,none,Design mockup button text; corresponds to a future export/report feature — classify as export/report copy,implemented,typecheck pass; edited design/retired-predecessor/d3/D3-07_factory-360.html:27 button text
F0-044,dossier,Full dossier ↗ link text,design/retired-predecessor/d3/D3-03_single-planning-wizard.html,251,Design mockup (single planning wizard),Design/engineering reviewers,yes,HTML <a> visible text,(none - static design HTML),Full dossier ↗,(none),Full profile ↗,(none),A,none,Design mockup link to the Factory 360 golden screen; same destination-page wording rule applies,implemented,typecheck pass; edited design/retired-predecessor/d3/D3-03_single-planning-wizard.html:251 link text
F0-045,dossier,"Contract traceability heading mentioning ""Factory 360 dossier half""",design/retired-predecessor/d6/D6-01_operations-center.html,155,Design mockup (Operations Center golden screen),Design/engineering reviewers,yes,HTML <h5> visible text,(none - static design HTML),Contract traceability — GOLDEN SCREEN #6 (Operations half; Factory 360 dossier half = D3-F07),(none),Contract traceability — GOLDEN SCREEN #6 (Operations half; Factory 360 profile half = D3-F07),(none),A,none,Cross-reference heading between the two golden-screen mockups,implemented,typecheck pass; edited design/retired-predecessor/d6/D6-01_operations-center.html:155 heading text
F0-046,dossier,Contract traceability inline span (frame annotation),design/retired-predecessor/d3/D3-07_factory-360.html,144,Design mockup (golden screen #6 - Factory 360),Design/engineering reviewers,yes,HTML <span> visible text,(none - static design HTML),"Screen: SCR-WEB-400 Factory 360 — regions: profile; license; CR; location; metrics; history; findings; docs; timeline · states: subservice degraded; stale source (+ loading/restricted). Full-page dossier, not a card (M07-001/-018); entity dossier with longitudinal context, no marketing profile (Web spec §7).",(none),"Screen: SCR-WEB-400 Factory 360 — regions: profile; license; CR; location; metrics; history; findings; docs; timeline · states: subservice degraded; stale source (+ loading/restricted). Full-page profile, not a card (M07-001/-018); entity profile with longitudinal context, no marketing profile (Web spec §7).",(none),A,none,"Contains ""dossier"" twice in one annotation span; also already uses the word ""profile"" once for a different meaning (marketing profile) so the rewrite must disambiguate carefully",implemented,"typecheck pass; edited design/retired-predecessor/d3/D3-07_factory-360.html:144 span annotation (both dossier occurrences swapped, 'marketing profile' occurrence preserved)"
F0-047,dossier,Committee decision dossier design/contract reference,product-contract/mvp2/m2-05/... and product-contract/execution/CURRENT_SLICE.yaml,(various),product-contract specs,N/A (internal contract),no,contract ID / spec prose (decision_dossier_v1 design-artifact key),(n/a),(n/a - internal),(n/a),(n/a),(n/a),I,none,"False-positive class: contract-ID and spec-prose references such as decision_dossier_v1 are internal identifiers, not rendered UI copy — see HISTORICAL_DOCUMENT_KEEP summary in the proposal doc",pending,
F0-048,dossier,loadFactory360Dossier / Factory360Dossier symbol family,apps/web/src/lib/factory360/dossier.ts; apps/web/src/lib/factory360/canonical-projection.ts,(multiple - see summary),shared lib (web + iPad),N/A (internal code),no,function/type/file names,(n/a),(n/a - internal symbol names),(n/a),(n/a - do not rename in this wave; internal refactor is out of scope),(n/a),F,none,"Internal-only symbol/file-name family: apps/web/src/lib/factory360/dossier.ts (~10 hits), canonical-projection.ts (~18 hits), plus ~25 e2e spec file/selector references (e.g. factory360-cr-dossier-contract.spec.ts) and ~22 CSS class selectors in apps/web/src/app/login/login.css (lg-atlas3d__dossier*) and apps/web/src/app/login/SaudiIndustrialAtlas.tsx (dossierStrings prop, ~14 hits). None of these render literal ""dossier"" text to a user. Left unrenamed in Wave 0/1; a later refactor wave may rename for internal consistency but it is not required to satisfy the UI ban.",pending,
F0-049,dossier,login SaudiAtlasDossier component + DossierStrings type,apps/web/src/app/login/SaudiAtlasDossier.tsx; apps/web/src/app/login/StoryPanel.tsx; apps/web/src/app/login/page.tsx,(component-wide; page.tsx:118),/login,All users (pre-auth),no,"component/type/prop names; the strings object itself only has keys industry/state/close/mapLabel with no literal """"dossier"""" text rendered",(n/a),(n/a - internal),(n/a),"(n/a - no literal user-visible """"dossier"""" text found in this component; verified no rendered occurrence)",(n/a),I,none,"False positive for literal user-visible text: the component and prop names contain ""dossier"" but the strings actually rendered to the user do not include the word",pending,
F0-050,dossier,IdentityDossier.tsx component (Planning single-inspection wizard),apps/web/src/app/planning/single/IdentityDossier.tsx,(component-wide),/planning/single (Planning wizard),Planner,unverified — needs a closer read,component name + comments only found in this pass,(n/a),(n/a),(n/a),(n/a - recommend a dedicated read of this file's JSX in Wave 1 before concluding no user-visible text exists),(n/a),I,none,"Comments describe the panel (""Identity dossier: identifier grid…"") but no literal rendered ""dossier"" string was confirmed in this pass; flagged for a closer read rather than asserted internal-only, since this is one of the explicitly named target files for the Factory/CR identity panel",pending,
F0-051,immutable,Cluster of ~40+ user-visible immutable/Final-submitted-version strings,apps/web/src/app/visits/[id]/page.tsx; apps/web/src/app/admin/packages/page.tsx; apps/web/src/app/field/inspection/[id]/page.tsx; apps/web/src/app/reports/inspection/[id]/page.tsx; apps/web/src/app/reviews/page.tsx; apps/web/src/app/reviews/[id]/page.tsx; apps/web/src/app/factories/cr/[id]/page.tsx; and 10+ more files,(see summary - not individually enumerated in Wave 0),various (visits/admin/field/reports/reviews/factory profile),Mixed (all personas),yes,translation fallbacks + table headers + button text + badges,admin.pkg.immutable.title / .body; report.hist.immutable; and many more,(varies by file — see Wave 0 research notes),(varies),Final submitted version (contextual per string — badge vs. sentence vs. table header wording will differ),(pending per-string AR authoring),A,none,"Highest-volume glossary term after dossier itself; NOT exhaustively enumerated row-by-row in this Wave 0 CSV given the ~40+ distinct strings identified — recommend a dedicated Wave (Wave 2 candidate) with its own file-by-file inventory pass, since usages vary from short badges (""immutable"") to full sentences (""Published version — immutable."") to table headers (""Latest immutable version"")",pending,
F0-052,RLS,Test expectations asserting current EN copy for reviews/visits queues,apps/web/e2e/*.spec.ts (e.g. cd-031-factory-360.spec.ts; factory360-cr-dossier-contract.spec.ts),(multiple),e2e test suite,N/A (test code),no,Playwright assertions on visible text (toHaveText / getByText) referencing current strings containing dossier/registry/portfolio/lineage/workspace/scan-first,(n/a),(n/a - test code; not UI),(n/a),(n/a),(n/a),G,none,"Every A/B/C/D/E string change above has at least one Playwright spec asserting the current copy; each e2e spec touching a changed key must be updated in the same commit as the source change to avoid breaking the suite — not individually enumerated here (representative files: factory360-cr-dossier-contract.spec.ts, cd-031-factory-360.spec.ts, cd-022-identity-lens.spec.ts, remaining-requirements-backend.spec.ts, factory360-admin-control-plane.spec.ts, factory360-ipad-field.spec.ts, cd-005-006-regulations.spec.ts)",pending,
