"key","old_english","new_english","old_arabic","new_arabic","changed"
"ops.sla.empty.title","No deadline alerts in scope","No deadline alerts in this view","لا توجد تنبيهات مواعيد نهائية ضمن النطاق","لا توجد تنبيهات مواعيد نهائية في هذا العرض","yes"
"ops.sla.heading","Deadline alerts","Deadline alerts","تنبيهات المواعيد النهائية","تنبيهات المواعيد النهائية","no"
"ops.sla.th.sla","Deadline status","Deadline status","حالة الموعد النهائي","حالة الموعد النهائي","no"
"report.hist.immutable","final","final","نهائية","نهائية","no"
"report.integrityBlocked.body","This inspection is recorded as approved but has no final submitted version on file. The approval is not valid and must not be relied on as an official decision until a final submitted version exists (DEF-WF-006).","This inspection is marked approved, but it has no final version on file. The approval is not valid. Do not treat it as an official decision until a final submitted version exists (DEF-WF-006).","هذا التفتيش مسجَّل كمعتمَد لكن لا توجد نسخة نهائية مُقدَّمة له في السجل. هذا الاعتماد غير صالح ويجب عدم الاعتماد عليه كقرار رسمي إلى أن توجد نسخة نهائية مُقدَّمة (DEF-WF-006).","هذا التفتيش مُعلَّم كمعتمَد، لكن لا توجد له نسخة نهائية في السجل. هذا الاعتماد غير صالح. لا تعتبره قرارًا رسميًا إلى أن توجد نسخة نهائية مُقدَّمة (DEF-WF-006).","yes"
"report.integrityBlocked.status","approval invalid — no final submitted version","approval invalid — no final submitted version","الاعتماد غير صالح — لا توجد نسخة نهائية مُقدَّمة","الاعتماد غير صالح — لا توجد نسخة نهائية مُقدَّمة","no"
"report.items.heading","Checklist responses — final v{n}","Checklist responses — final v{n}","إجابات قائمة التفتيش — النسخة النهائية {n}","إجابات قائمة التفتيش — النسخة النهائية {n}","no"
"report.notSubmitted.title","No final submitted version yet.","No final submitted version yet.","لا توجد نسخة نهائية مُقدَّمة حتى الآن.","لا توجد نسخة نهائية مُقدَّمة حتى الآن.","no"
"review.cmp.heading","Version comparison — Tamper-evident Scope Rail","Version comparison — Tamper-evident Scope Rail","مقارنة النسخ — شريط النطاق الكاشف للتلاعب","مقارنة النسخ — شريط النطاق الكاشف للتلاعب","no"
"review.cmp.tamperBody","An answer changed outside the sections the reviewer returned. Read every flagged row before deciding.","An answer changed outside the sections the reviewer returned. Read every flagged row before deciding.","تغيّرت إجابة خارج الأقسام التي أعادها المراجع. اقرأ كل صف مُعلَّم قبل اتخاذ القرار.","تغيّرت إجابة خارج الأقسام التي أعادها المراجع. اقرأ كل صف مُعلَّم قبل اتخاذ القرار.","no"
"review.list.colFingerprint","Review readiness","Review readiness","جاهزية المراجعة","جاهزية المراجعة","no"
"review.list.colOpen","Review","Review","المراجعة","المراجعة","no"
"review.list.context","Read-only queue","Read-only queue","قائمة للاطّلاع فقط","قائمة للاطّلاع فقط","no"
"review.list.empty","No inspections awaiting review","No inspections waiting for review","لا توجد عمليات تفتيش بانتظار المراجعة","لا توجد عمليات تفتيش تنتظر المراجعة","yes"
"review.list.fp.readyBlockTag","derived","derived","مُستنتج","مُستنتج","no"
"review.list.fp.sla","Deadline","Deadline","الموعد النهائي","الموعد النهائي","no"
"review.list.fp.slaUnavailable","Deadline unavailable — required config/timestamp missing","Deadline not available — required setting or timestamp is missing","الموعد النهائي غير متاح — إعداد أو طابع زمني مطلوب غير موجود","الموعد النهائي غير متاح — إعداد مطلوب أو طابع زمني مفقود","yes"
"review.list.fpTitle","Review readiness","Review readiness","جاهزية المراجعة","جاهزية المراجعة","no"
"review.list.open","Open review","Open review","فتح المراجعة","فتح المراجعة","no"
"review.list.scanTitle","Review overview","Review overview","نظرة عامة على المراجعة","نظرة عامة على المراجعة","no"
"review.list.searchAria","Search the review queue","Search the review queue","البحث في قائمة انتظار المراجعة","البحث في قائمة انتظار المراجعة","no"
"review.list.title","Inspection review queue","Inspection review queue","قائمة انتظار مراجعة التفتيش","قائمة انتظار مراجعة التفتيش","no"
"review.list.unauthBody","This queue requires the Level 2 Reviewer role and matching scope. Navigation visibility is not authorization.","You need the Level 2 Reviewer role with matching scope to use this queue. Seeing it in the menu does not mean you have access.","تتطلب هذه القائمة دور مراجع المستوى الثاني والنطاق المطابق له. ظهور الرابط في التنقل لا يعني وجود صلاحية.","تحتاج إلى دور مراجع المستوى الثاني مع النطاق المطابق لاستخدام هذه القائمة. ظهورها في القائمة لا يعني أن لديك صلاحية الوصول.","yes"
"review.ws.approveWarnTitle","Irreversible:","Irreversible:","لا رجعة فيه:","لا رجعة فيه:","no"
"review.ws.audited","Audited: reviewer, reason, sections, prior/new status, version, timestamp.","Audited: reviewer, reason, sections, old and new status, version, timestamp.","مُدقَّق: المراجِع، السبب، الأقسام، الحالة السابقة/الجديدة، النسخة، الطابع الزمني.","مُدقَّق: المراجِع، السبب، الأقسام، الحالة القديمة والجديدة، النسخة، الطابع الزمني.","yes"
"review.ws.fvNote","Observations never modify the Senaei source record; checks are audit-logged with before/after values.","Observations never change the Senaei source record. Checks are logged in the audit trail with before and after values.","لا تُعدِّل الملاحظات سجل سنائي المصدر أبدًا؛ وتُسجَّل عمليات التحقق في سجل التدقيق بقيم ما قبل/بعد.","لا تُغيّر الملاحظات سجل سنائي المصدر أبدًا. تُسجَّل عمليات التحقق في سجل التدقيق بالقيم قبل وبعد.","yes"
"review.ws.loadingDesc","Fetching checklist, evidence, factory verification and version comparison data.","Getting checklist, evidence, factory verification and version comparison data.","يجري جلب بيانات قائمة التفتيش والأدلة والتحقق من المصنع ومقارنة النسخ.","يجري الحصول على بيانات قائمة التفتيش والأدلة والتحقق من المصنع ومقارنة النسخ.","yes"
"review.ws.readOnlyTitle","Read-only submitted version.","Read-only submitted version.","نسخة مُقدَّمة للاطّلاع فقط.","نسخة مُقدَّمة للاطّلاع فقط.","no"
"review.ws.rejectWarnTitle","Final:","Final:","نهائي:","نهائي:","no"
"review.ws.returnScopeHint","Only selected sections unlock; the rest stays locked.","Only selected sections unlock; the rest stays locked.","تُفتح الأقسام المحدَّدة فقط؛ وتبقى بقية الأقسام مقفلة.","تُفتح الأقسام المحدَّدة فقط؛ وتبقى بقية الأقسام مقفلة.","no"
"review.ws.timelineHeading","Timeline — audit trail","Timeline — audit trail","الجدول الزمني — سجل التدقيق","الجدول الزمني — سجل التدقيق","no"
"review.ws.timelineNote","Append-only rows from audit_events; the database rejects edits and deletes.","Rows are only added, never changed, from audit_events. The database blocks edits and deletes.","صفوف تُضاف فقط من audit_events؛ وترفض قاعدة البيانات أي تعديل أو حذف لها.","تُضاف الصفوف فقط ولا تُعدَّل أبدًا، من audit_events. تمنع قاعدة البيانات أي تعديل أو حذف.","yes"
"review.ws.unauthBody","This workspace requires the Level 2 Reviewer role and matching scope. Navigation visibility is not authorization.","You need the Level 2 Reviewer role with matching scope to use this workspace. Seeing it in the menu does not mean you have access.","تتطلب مساحة العمل هذه دور مراجع المستوى الثاني والنطاق المطابق له. ظهور الرابط في التنقل لا يعني وجود صلاحية.","تحتاج إلى دور مراجع المستوى الثاني مع النطاق المطابق لاستخدام مساحة العمل هذه. ظهورها في القائمة لا يعني أن لديك صلاحية الوصول.","yes"
"shell.nav.audit","Activity Log","Activity Log","سجل النشاط","سجل النشاط","no"
"shell.nav.gis","Map Settings","Map Settings","إعدادات الخريطة","إعدادات الخريطة","no"
"shell.nav.localization","Language & Translations","Language & Translations","اللغة والترجمات","اللغة والترجمات","no"
"shell.nav.risk","Risk Settings","Risk Settings","إعدادات المخاطر","إعدادات المخاطر","no"
"shell.nav.workflows","Workflow Settings","Workflow Settings","إعدادات سير العمل","إعدادات سير العمل","no"
"visit.detail.auditHeading","Planning history — cannot be edited, only added to (ENG-12, latest 30)","Planning history — cannot be edited, only added to (ENG-12, latest 30)","سجل التخطيط — لا يمكن تعديله، تُضاف إليه أحداث جديدة فقط (ENG-12، آخر 30 حدثًا)","سجل التخطيط — لا يمكن تعديله، تُضاف إليه أحداث جديدة فقط (ENG-12، آخر 30 حدثًا)","no"
"visit.detail.immutable","final","final","نهائية","نهائية","no"
"visit.detail.journeyHeading","Journey & location events — cannot be edited (EV-005)","Journey & location events — cannot be edited (EV-005)","أحداث الرحلة والموقع — لا يمكن تعديلها (EV-005)","أحداث الرحلة والموقع — لا يمكن تعديلها (EV-005)","no"
"visit.detail.notFoundDesc","IDs never change or get reused (FLD-VIS-001).","IDs never change or get reused (FLD-VIS-001).","المعرّفات لا تتغيّر ولا يُعاد استخدامها أبدًا (FLD-VIS-001).","المعرّفات لا تتغيّر ولا يُعاد استخدامها أبدًا (FLD-VIS-001).","no"
"visit.list.colOperational","Visit status","Visit status","حالة الزيارة","حالة الزيارة","no"
"visit.ribbon.operational","Visit status","Visit status","حالة الزيارة","حالة الزيارة","no"
"visit.ribbon.src.insp","inspection engine — submissions are final","inspection engine — submissions are final","محرّك التفتيش — النسخ المُقدَّمة نهائية","محرّك التفتيش — النسخ المُقدَّمة نهائية","no"
