design page ID,design page name,proposed application route,proposed component,Claude Code mapping classification,Codex validation,alternative route or component,design-versus-code delta,functional implication,wiring implication,risk,recommended action,evidence
WA-DES-012 (repository-defined; no native Claude page ID),SAQEEL Admin SENAI Data,/admin/integrations/senaei,(none recorded / new route required),"CLOSE MATCH / medium (governed authority + Web-Index both flag scope uncertainty, not contradicted); code candidate: medium (governed authority + Web-Index both flag scope uncertainty, not contradicted); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep)",NO CODE MATCH,/admin/integrations/senaei,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",No current implementation component is established.,A new route or foundation decision would require separate contract authority.,HIGH — no current code match,BLOCK,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-012), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: no exact apps/ path supplied for filesystem verification. "
WA-DES-013 (repository-defined; no native Claude page ID),SAQEEL Admin Virtual Premium,/admin/virtual,(none recorded / new route required),"CLOSE MATCH / medium (governed authority + Web-Index both flag scope uncertainty, not contradicted); code candidate: medium (governed authority + Web-Index both flag scope uncertainty, not contradicted); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep)",NO CODE MATCH,/admin/virtual,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",No current implementation component is established.,A new route or foundation decision would require separate contract authority.,HIGH — no current code match,BLOCK,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-013), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: no exact apps/ path supplied for filesystem verification. "
WA-DES-014 (repository-defined; no native Claude page ID),SAQEEL Admin Workflow Builder,/admin/workflows,apps/web/src/app/(app)/admin/workflows/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/workflows,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-014), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-015 (repository-defined; no native Claude page ID),SAQEEL Admin,/admin (contested — see conflict note),apps/web/src/app/(app)/admin/page.tsx,"DESIGN-VS-CODE CONFLICT / medium; code candidate: high (route/file exists); design content: yes — content-read 2026-07-24, real conflict found",AMBIGUOUS,/admin is contested between SAQEEL Admin and SAQEEL Control Panel; /admin/operations is not a semantic match,"CONTENT-READ 2026-07-24: SAQEEL Admin.dc.html is itself a comprehensive SPA-style admin shell (own 'ADMIN'-branded sidebar, 14 internal onClick-switched views: Approval & Configuration, Compliance Library, Packages & Surveys, Inspection Items, Enforcement Library, Risk Configuration, Workflow Configuration, Notifications, Localization, Devices, GIS Configuration, Integrations, Users & Roles, Audit Trail) — this reads as THE intended general /admin landing, not a narrow sub-page. CONFLICT: SAQEEL Control Panel.dc.html's own sidebar links to this exact file (href=""SAQEEL Admin.dc.html"") but labels it merely 'Inspection Rules' — contradicting what Admin.dc.html actually contains. Two design pages (Admin, Control Panel) both plausibly target the single real /admin route; the design source does not resolve which is canonical. Not resolvable from code alone — flagged for sponsor/design-team disambiguation, not guessed.","Both designs plausibly claim the general Admin landing, while Control Panel's inherited /admin/operations mapping is incorrect.",No application change until sponsor/design authority selects one canonical /admin design or defines distinct routes.,HIGH — unresolved design authority collision,BLOCK,"Live inventory revision 1784805992533435. Claude evidence: CONTENT-READ 2026-07-24: SAQEEL Admin.dc.html is itself a comprehensive SPA-style admin shell (own 'ADMIN'-branded sidebar, 14 internal onClick-switched views: Approval & Configuration, Compliance Library, Packages & Surveys, Inspection Items, Enforcement Library, Risk Configuration, Workflow Configuration, Notifications, Localization, Devices, GIS Configuration, Integrations, Users & Roles, Audit Trail) — this reads as THE intended general /admin landing, not a narrow sub-page. CONFLICT: SAQEEL Control Panel.dc.html's own sidebar links to this exact file (href=""SAQEEL Admin.dc.html"") but labels it merely 'Inspection Rules' — contradicting what Admin.dc.html actually contains. Two design pages (Admin, Control Panel) both plausibly target the single real /admin route; the design source does not resolve which is canonical. Not resolvable from code alone — flagged for sponsor/design-team disambiguation, not guessed.. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-001 (repository-defined; no native Claude page ID),SAQEEL AI Studio,/ai/suggestions,apps/web/src/app/(app)/ai/suggestions/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/ai/suggestions,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-001), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-016 (repository-defined; no native Claude page ID),SAQEEL Auth States,/launch;/launch/no-workspace;/reset,apps/web/src/app/launch/page.tsx;apps/web/src/app/launch/no-workspace/page.tsx;apps/web/src/app/reset/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/launch;/launch/no-workspace;/reset,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784618956418580. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-016), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 3/3 exact apps/ paths exist. "
WA-DES-017 (repository-defined; no native Claude page ID),SAQEEL Cases,/cases,apps/web/src/app/(app)/cases/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/cases,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-017), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-018 (repository-defined; no native Claude page ID),SAQEEL Committee,/committee,apps/web/src/app/(app)/committee/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/committee,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-018), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-019 (repository-defined; no native Claude page ID),SAQEEL Compliance Requests,/admin/compliance-requests;/admin/compliance-requests/new;/admin/compliance-requests/:id,apps/web/src/app/(app)/admin/compliance-requests/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/compliance-requests;/admin/compliance-requests/new;/admin/compliance-requests/:id,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-019), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 3/3 exact apps/ paths exist. "
WA-DES-020 (repository-defined; no native Claude page ID),SAQEEL Control Panel,/admin (contested — see conflict note),apps/web/src/app/(app)/admin/page.tsx,"DESIGN-VS-CODE CONFLICT / medium; code candidate: low (governed /admin/operations candidate does not semantically match); design content: yes — content-read 2026-07-24, real conflict found",AMBIGUOUS,/admin is contested between SAQEEL Admin and SAQEEL Control Panel; /admin/operations is not a semantic match,"CONTENT-READ 2026-07-24: SAQEEL Control Panel.dc.html is a broad card-grid admin-config landing (5 groups: People & access, Inspection rules & forms, Scoring & intelligence, Operations setup, Records & oversight; cards link OUT to Users Roles, Admin, Admin Detail, Risk, AI Studio, KPI Management, Admin Execution, Admin Integrations Data, Compliance Requests, Enforcement, Cases). PREVIOUS MAPPING WAS WRONG: governed DESIGN_ROUTE_MAP.csv's claim of /admin/operations does not semantically match — the real apps/web/src/app/(app)/admin/operations/page.tsx is a narrow MVP3 'Platform operations and resilience' page (feature flags, error queue, integration endpoints), nothing like this broad landing hub. Downgraded from the prior CLOSE MATCH/high 'three-source agreement' claim, which was route-existence-only (Web-Index + file grep), not design-content-verified — exactly the confidence-conflation problem flagged by Codex re-review. Best real candidate is /admin itself (contested with SAQEEL Admin.dc.html — see that row).","Both designs plausibly claim the general Admin landing, while Control Panel's inherited /admin/operations mapping is incorrect.",No application change until sponsor/design authority selects one canonical /admin design or defines distinct routes.,HIGH — unresolved design authority collision,BLOCK,"Live inventory revision 1784805992533435. Claude evidence: CONTENT-READ 2026-07-24: SAQEEL Control Panel.dc.html is a broad card-grid admin-config landing (5 groups: People & access, Inspection rules & forms, Scoring & intelligence, Operations setup, Records & oversight; cards link OUT to Users Roles, Admin, Admin Detail, Risk, AI Studio, KPI Management, Admin Execution, Admin Integrations Data, Compliance Requests, Enforcement, Cases). PREVIOUS MAPPING WAS WRONG: governed DESIGN_ROUTE_MAP.csv's claim of /admin/operations does not semantically match — the real apps/web/src/app/(app)/admin/operations/page.tsx is a narrow MVP3 'Platform operations and resilience' page (feature flags, error queue, integration endpoints), nothing like this broad landing hub. Downgraded from the prior CLOSE MATCH/high 'three-source agreement' claim, which was route-existence-only (Web-Index + file grep), not design-content-verified — exactly the confidence-conflation problem flagged by Codex re-review. Best real candidate is /admin itself (contested with SAQEEL Admin.dc.html — see that row).. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-021 (repository-defined; no native Claude page ID),SAQEEL Dashboard Config,/admin/dashboard-config,apps/web/src/app/admin/dashboard-config/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/dashboard-config,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-021), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
5e8154ad-aa9e-4e3d-9b7a-c66ca020bd61::SAQEEL Delegation.dc.html (path identity),SAQEEL Delegation,—,—,NO CODE MATCH / high (absence confirmed); code candidate: high (absence confirmed); design content: yes — content-read this session,NO CODE MATCH,No alternative established,"Content-read 2026-07-24: full inspector-absence delegation/reassignment UI (delegate-to, cover window, scope, reason, audited). grep -ri 'delegat' apps/web/src returned zero files. Confirmed independently by the design team's own SAQEEL Web-Index.dc.html, which lists this page's route as '⊘ not yet in repo (confirmed requirement)'.",The design capability has no verified current Web/Admin implementation.,"Do not invent a route, API, or implementation lease.",HIGH — new route/backend scope may be required,BLOCK,"Live inventory revision 1784805992533435. Claude evidence: Content-read 2026-07-24: full inspector-absence delegation/reassignment UI (delegate-to, cover window, scope, reason, audited). grep -ri 'delegat' apps/web/src returned zero files. Confirmed independently by the design team's own SAQEEL Web-Index.dc.html, which lists this page's route as '⊘ not yet in repo (confirmed requirement)'.. Independent component check: no exact apps/ path supplied for filesystem verification. "
WA-DES-022 (repository-defined; no native Claude page ID),SAQEEL Design System,FOUNDATION_ONLY,(none recorded / new route required),CLOSE MATCH / medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page); code candidate: medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),NO CODE MATCH,FOUNDATION_ONLY,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",No current implementation component is established.,A new route or foundation decision would require separate contract authority.,HIGH — no current code match,BLOCK,"Live inventory revision 1784619219725011. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-022), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: no exact apps/ path supplied for filesystem verification. "
WA-DES-023 (repository-defined; no native Claude page ID),SAQEEL Enforcement,/enforcement;/admin/violations,apps/web/src/app/(app)/enforcement/page.tsx;apps/web/src/app/(app)/admin/violations/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/enforcement;/admin/violations,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805992533435. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-023), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 2/2 exact apps/ paths exist. "
