route_id,route,scope_layer,route_group,render_type,current_evidence,capture_action,safety_note
RTE-018,/planning,MVP1_GOVERNED,Planning,rendered,NONE_CURRENT,capture_safe_states,confirm_role_routing
RTE-019,/planning/bulk,MVP1_GOVERNED,Planning,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,do_not_create_or_publish_plan
RTE-020,/planning/bulk/review,MVP1_GOVERNED,Planning,rendered,NONE_CURRENT,capture_with_isolated_fixture,do_not_assign_or_publish
RTE-021,/planning/immediate,MVP1_GOVERNED,Planning,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,do_not_create_or_dispatch
RTE-022,/planning/plans/:id,MVP1_GOVERNED,Planning,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk_read_only_post_publish
RTE-023,/planning/single,MVP1_GOVERNED,Planning,rendered,NONE_CURRENT,capture_safe_states,do_not_create_or_assign
RTE-024,/reviews,MVP1_GOVERNED,Review,rendered,NONE_CURRENT,capture_safe_states,do_not_claim_or_reassign
RTE-025,/reviews/:id,MVP1_GOVERNED,Review,rendered,NONE_CURRENT,capture_with_isolated_fixture,do_not_approve_return_or_reject
RTE-026,/virtual/:id,MVP1_GOVERNED,Virtual,rendered,NONE_CURRENT,capture_with_isolated_fixture,provider_partial_do_not_fake_video_or_change_session
RTE-027,/visits,MVP1_GOVERNED,Visits,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-028,/visits/:id,MVP1_GOVERNED,Visits,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,use_authorized_record_do_not_mutate
RTE-029,/admin/audit,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,confirm_replay_procedure_read_contract
RTE-030,/admin/gis/spatial,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_publish_location_change
RTE-031,/admin/risk/models,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_publish_model
RTE-032,/ai/suggestions,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,ai_advisory_and_provider_truth
RTE-033,/cases,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_transition_case
RTE-034,/committee,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_record_decision
RTE-035,/evidence-ocr,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_upload_sensitive_evidence
RTE-036,/operations/exceptions,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_resolve_exception
RTE-037,/portal,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,external_scope_and_privacy
RTE-038,/tasks,ADDITIONAL_ROUTE,MVP2,rendered,NONE_CURRENT,discover_states_then_capture,do_not_claim_or_complete_task
RTE-039,/admin/devices,ADDITIONAL_ROUTE,MVP3,rendered,NONE_CURRENT,discover_states_then_capture,do_not_enroll_or_revoke_device
RTE-040,/admin/integrations,ADDITIONAL_ROUTE,MVP3,rendered,NONE_CURRENT,discover_states_then_capture,provider_truth_no_credentials
RTE-041,/admin/operations,ADDITIONAL_ROUTE,MVP3,rendered,NONE_CURRENT,discover_states_then_capture,confirm_actions_before_click
RTE-042,/admin/security-access,ADDITIONAL_ROUTE,MVP3,rendered,NONE_CURRENT,discover_states_then_capture,do_not_change_permissions
RTE-043,/enforcement,ADDITIONAL_ROUTE,MVP3,rendered,NONE_CURRENT,discover_states_then_capture,do_not_create_or_finalize_enforcement
RTE-044,/admin/localization,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,do_not_publish_translation
RTE-045,/dashboard,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,validate_historical_then_capture,read_only_on_load_governed_metrics_only
RTE-046,/factories,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,read_only_on_load
RTE-047,/planning/plans,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,confirm_actions_before_click
RTE-048,/profile,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,do_not_change_account
RTE-049,/reports/inspection/:id,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,use_authorized_read_only_record
RTE-050,/virtual,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,read_only_on_load
RTE-051,/visits/calendar,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-052,/visits/map,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,discover_states_then_capture,read_only_on_load
RTE-053,/visits/workload,ADDITIONAL_ROUTE,Platform,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-054,/,ADDITIONAL_ROUTE,Public,redirect,NONE_CURRENT,capture_redirect_trace,unauthenticated_redirect
RTE-055,/launch,ADDITIONAL_ROUTE,Public,redirect,NONE_CURRENT,capture_persona_redirect_traces,role_derived_redirect
RTE-056,/launch/no-workspace,ADDITIONAL_ROUTE,Public,rendered,NONE_CURRENT,discover_states_then_capture,no_workspace_state
RTE-057,/login,ADDITIONAL_ROUTE,Public,rendered,NONE_CURRENT,validate_historical_then_capture,do_not_expose_demo_credentials_in_release_art
RTE-058,/reset,ADDITIONAL_ROUTE,Public,rendered,NONE_CURRENT,discover_states_then_capture,do_not_send_real_reset_without_authority
RTE-059,/reviews/:id/started,ADDITIONAL_ROUTE,Review,redirect,NONE_CURRENT,capture_redirect_trace,reviewer_transition_trace_only
