recommendation_id,area,recommendation,why_it_matters,acceptance_test,proposed_package,status
REC-028,Minister view,Require citations freshness and uncertainty in AI answers,Makes AI defensible,Unsupported questions return cannot answer instead of fabricated output,CD-PREM-03,PROPOSED
REC-029,Minister view,Separate factual briefing from human action,Preserves accountability,AI never creates a regulatory action without a governed human step,CD-PREM-03,PROPOSED
REC-030,Minister view,Provide yearly zonal sector risk compliance and remediation comparisons,Matches executive needs,Every comparison has a governed definition period and drilldown,CD-PREM-03,PROPOSED
REC-031,Maps,Pair every operational map with a synchronized accessible list,Improves comprehension and accessibility,Map selection and list selection remain equivalent and keyboard operable,CD-PREM-03,PROPOSED
REC-032,Maps,Distinguish official verified inspection and projected locations,Prevents false geographic precision,Every location carries source confidence and time label,CD-PREM-04,PROPOSED
REC-033,Maps,Label projected routes persistently until real telemetry is live,Prevents stakeholder misunderstanding,No projected position is visually or textually presented as live GPS,CD-PREM-04,PROPOSED
REC-034,Planning,Show why each factory was selected with criteria and model version,Supports auditor explainability,Every target traces to rule data and manual override reason,CD-PREM-04,PROPOSED
REC-035,Planning,Combine calendar map workload and conflict resolution without hiding blockers,Improves assignment quality,Planner can see timing geography capacity truth and unresolved conflicts together,CD-PREM-04,PROPOSED
REC-036,Factory 360,Turn Factory 360 into a decision-grade spatial timeline,Connects fragmented history,Users can move from identity to visits findings actions documents and source evidence,CD-PREM-04,PROPOSED
REC-037,Operations,Prioritize exceptions by consequence and required next action,Reduces dashboard noise,Every alert identifies owner evidence urgency and allowed resolution,CD-PREM-04,PROPOSED
REC-038,Operations,Show service freshness and degradation per widget,Protects trust during partial outages,One stale feed does not contaminate other live or current sections,CD-PREM-04,PROPOSED
REC-039,Inspector,Design iPad as a field application rather than responsive desktop,Improves field usability,Portrait and landscape journeys meet touch readability and interruption requirements,CD-PREM-05,PROPOSED
REC-040,Inspector,Keep the valid next action and blockers persistent,Reduces field uncertainty,Inspector always knows what is complete blocked and safe to do next,CD-PREM-05,PROPOSED
REC-041,Inspector,Expose saved locally queued syncing synced failed and conflict states,Prevents silent data loss,Every draft and evidence item has truthful actionable sync status,CD-PREM-05,PROPOSED
REC-042,Evidence,Show chain of custody and quality at capture time,Reduces review returns,Evidence displays source time device link hash status and recoverable quality issues,CD-PREM-05,PROPOSED
REC-043,Evidence,Use finding-centred capture rather than a generic attachment list,Improves traceability,Every evidence item is linked to question finding clause or approved exception,CD-PREM-05,PROPOSED
REC-044,Submission,Use a pre-submit proof summary with fix links,Prevents incomplete immutable submission,Every blocker navigates directly to the exact unresolved section,CD-PREM-05,PROPOSED
REC-045,Returned work,Highlight only editable returned scope and immutable prior content,Protects version integrity,Locked content cannot appear editable and changes compare clearly,CD-PREM-05,PROPOSED
REC-046,Virtual inspection,Use readiness and participant verification as the room spine,Improves governed remote execution,Appointment identity devices network state and next transition are always visible,CD-PREM-06,PROPOSED
REC-047,Virtual inspection,Design provider-pending and low-bandwidth work modes honestly,Allows useful work without fake video,Checklist evidence notes and fallback work while video remains explicitly unavailable,CD-PREM-06,PROPOSED
REC-048,Review,Create a change-focused review and version comparison mode,Reduces reviewer cognitive load,Reviewer navigates changed sections evidence and immutable comments efficiently,CD-PREM-06,PROPOSED
REC-049,Committee,Generate a business-readable decision dossier with source drilldown,Supports defensible decisions,Summary risk evidence history objections and recommendation each trace to governed records,CD-PREM-06,PROPOSED
REC-050,Audit,Provide a replayable inspection timeline across planning field evidence review and outcome,Supports internal and external audit,Auditor reconstructs who what when where why version source and correlation without chat history,CD-PREM-06,PROPOSED
